Name,Chaney Hart,,,,,,
12,9,LCOR-075,0,0,0,0,
13,9,LCOR-504,0,0,0,0,
14,9,LCOR-511,0,0,0,0,
15,9,LCOR-041,0,0,0,0,
16,9,LCOR-1121,,,,0,
1,10,LCOR-1007,,,,0,
2,10,LCOR-1029,,,,0,
3,10,LCOR-023,0,0,0,0,
4,10,LCOR-020,0,0,0,0,
5,10,LCOR-010,0,0,0,0,
6,10,LCOR-292,0,0,0,0,
7,10,LCOR-420,0,0,0,0,
8,10,LCOR-157,0,0,0,0,
9,10,LCOR-226,0,0,1,1,
10,10,LCOR-263,0,0,0,0,
11,10,LCOR-018,0,0,0,0,
12,10,LCOR-286,0,2,1,3,
13,10,LCOR-133,0,0,0,0,
14,10,LCOR-039,0,0,0,0,
15,10,LCOR-203,0,0,0,0,
16,10,LCOR-1131,,,,0,
1,11,LCOR-1008,,,,0,
2,11,LCOR-164,0,0,0,0,
3,11,LCOR-529,0,0,0,0,
4,11,LCOR-386,0,0,0,0,
5,11,LCOR-028,0,0,0,0,
6,11,LCOR-527,0,0,0,0,
7,11,LCOR-141,0,0,0,0,
8,11,LCOR-150,0,0,0,0,
9,11,LCOR-233,0,0,0,0,
10,11,LCOR-161,0,0,0,0,
11,11,LCOR-019,0,0,1,1,
12,11,LCOR-360,0,0,0,0,
13,11,LCOR-289,0,0,0,0,
14,11,LCOR-040,0,0,0,0,
15,11,LCOR-324,0,0,0,0,
16,11,LCOR-1139,,,,0,
1,12,LCOR-1009,,,,0,
2,12,LCOR-180,0,0,0,0,
3,12,LCOR-403,0,0,0,0,
4,12,LCOR-364,0,0,0,0,
5,12,LCOR-277,0,0,0,0,
6,12,LCOR-115,0,2,0,2,
7,12,LCOR-111,0,0,0,0,
8,12,LCOR-303,0,0,0,0,
9,12,LCOR-588,0,0,0,0,
10,12,LCOR-561,0,0,0,0,
11,12,LCOR-035,0,0,0,0,
12,12,LCOR-241,0,0,0,0,
13,12,LCOR-218,0,2,0,2,
14,12,LCOR-002,0,0,0,0,
15,12,LCOR-026,0,0,0,0,
16,12,LCOR-1201,,,,0,
1,13,LCOR-1010,,,,0,
2,13,LCOR-066,0,0,0,0,
3,13,LCOR-423,0,0,0,0,
4,13,LCOR-200,0,0,0,0,
5,13,LCOR-332,0,0,0,0,
6,13,LCOR-137,0,0,0,0,
7,13,LCOR-338,0,0,0,0,
8,13,LCOR-544,0,0,0,0,
9,13,LCOR-320,0,1,0,1,
10,13,LCOR-077,0,0,0,0,
11,13,LCOR-593,0,0,0,0,
12,13,LCOR-088,0,0,0,0,
13,13,LCOR-030,0,0,0,0,
14,13,LCOR-156,0,0,0,0,
15,13,LCOR-051,0,0,0,0,
16,13,LCOR-1203,,,,0,
1,14,LCOR-1011,,,,0,
2,14,LCOR-060,0,0,0,0,
3,14,LCOR-604,0,0,0,0,
4,14,LCOR-368,0,0,0,0,
5,14,LCOR-046,0,0,0,0,
6,14,LCOR-031,0,0,0,0,
7,14,LCOR-347,0,0,2,2,
8,14,LCOR-176,0,0,0,0,
9,14,LCOR-269,0,0,1,1,
10,14,LCOR-147,0,0,0,0,
11,14,LCOR-257,0,0,1,1,
12,14,LCOR-256,0,0,0,0,
13,14,LCOR-014,0,0,0,0,
14,14,LCOR-091,0,0,0,0,
15,14,LCOR-264,0,0,0,0,
16,14,LCOR-1206,,,,0,
1,15,LCOR-116,0,0,0,0,
2,15,LCOR-486,0,0,0,0,
3,15,LCOR-174,,,,0,
4,15,LCOR-357,0,0,0,0,
5,15,LCOR-473,0,0,0,0,
6,15,LCOR-525,0,0,1,1,
7,15,LCOR-437,0,0,0,0,
8,15,LCOR-550,0,0,0,0,
9,15,LCOR-307,0,0,0,0,
10,15,LCOR-449,0,0,0,0,
11,15,LCOR-507,0,0,0,0,
12,15,LCOR-154,0,0,0,0,
13,15,LCOR-562,0,0,0,0,
14,15,LCOR-334,0,0,0,0,
15,15,LCOR-393,0,0,0,0,
16,15,LCOR-1070,,,,0,
1,16,LCOR-442,0,0,0,0,
2,16,LCOR-247,0,0,0,0,
3,16,LCOR-611,0,0,0,0,
4,16,LCOR-327,0,0,0,0,
5,16,LCOR-528,0,0,0,0,
6,16,LCOR-072,0,0,0,0,
7,16,LCOR-610,0,0,0,0,
8,16,LCOR-516,0,0,0,0,
9,16,LCOR-280,0,0,0,0,
10,16,LCOR-033,0,0,0,0,
11,16,LCOR-331,0,0,0,0,
12,16,LCOR-372,0,0,0,0,
13,16,LCOR-105,0,0,0,0,
14,16,LCOR-352,0,0,0,0,
15,16,LCOR-614,0,0,0,0,
16,16,LCOR-1035,,,,0,
1,17,LCOR-376,0,0,0,0,
2,17,LCOR-016,0,0,0,0,
3,17,LCOR-132,0,0,0,0,
4,17,LCOR-574,0,0,0,0,
5,17,LCOR-079,0,0,0,0,
6,17,LCOR-458,0,0,0,0,
7,17,LCOR-411,0,0,0,0,
8,17,LCOR-394,0,0,0,0,
9,17,LCOR-275,0,0,0,0,
10,17,LCOR-601,0,0,0,0,
11,17,LCOR-252,0,0,0,0,
12,17,LCOR-134,0,1,0,1,
13,17,LCOR-502,0,0,0,0,
14,17,LCOR-481,0,0,0,0,
15,17,LCOR-271,0,0,0,0,
16,17,LCOR-1062,,,,0,
1,18,LCOR-377,0,1,0,1,
2,18,LCOR-058,0,0,0,0,
3,18,LCOR-052,0,0,0,0,
4,18,LCOR-475,0,0,0,0,
5,18,LCOR-085,0,0,0,0,
6,18,LCOR-351,0,0,0,0,
7,18,LCOR-053,,,,0,
8,18,LCOR-302,,,,0,
9,18,LCOR-1069,,,,0,
10,18,LCOR-306,0,0,0,0,
11,18,LCOR-392,0,0,0,0,
12,18,LCOR-243,0,0,0,0,
13,18,LCOR-572,0,0,0,0,
14,18,LCOR-463,0,0,0,0,
15,18,LCOR-260,0,0,0,0,
16,18,LCOR-1077,,,,0,
1,19,LCOR-548,0,0,0,0,
2,19,LCOR-057,0,0,0,0,
3,19,LCOR-406,3,4,4,11,near dead
4,19,LCOR-089,0,0,0,0,
5,19,LCOR-491,0,0,0,0,
6,19,LCOR-121,0,0,0,0,
7,19,LCOR-585,0,0,0,0,
8,19,LCOR-554,0,0,0,0,
9,19,LCOR-152,0,0,0,0,
10,19,LCOR-558,0,0,0,0,
11,19,LCOR-138,0,0,0,0,
12,19,LCOR-383,0,0,0,0,
13,19,LCOR-568,0,0,0,0,
14,19,LCOR-080,0,0,0,0,
15,19,LCOR-391,0,0,0,0,
16,19,LCOR-1086,,,,0,
1,20,LCOR-553,0,0,0,0,
2,20,LCOR-162,0,0,1,1,
3,20,LCOR-242,0,0,0,0,
4,20,LCOR-330,0,0,0,0,
5,20,LCOR-166,0,0,0,0,
6,20,LCOR-512,0,0,0,0,
7,20,LCOR-059,0,0,0,0,
8,20,LCOR-101,0,0,0,0,
9,20,LCOR-067,0,0,0,0,
10,20,LCOR-1100,,,,0,
11,20,LCOR-103,0,0,0,0,
12,20,LCOR-230,0,0,0,0,
13,20,LCOR-534,0,0,0,0,
14,20,LCOR-261,0,0,0,0,
15,20,LCOR-493,0,0,0,0,
16,20,LCOR-1087,,,,0,
1,21,LCOR-468,0,1,0,1,
2,21,LCOR-098,0,0,0,0,
3,21,LCOR-482,0,0,0,0,
4,21,LCOR-350,0,0,0,0,
5,21,LCOR-129,0,0,0,0,
6,21,LCOR-012,0,0,0,0,
7,21,LCOR-248,0,0,0,0,
8,21,LCOR-476,0,1,0,1,
9,21,LCOR-584,0,0,0,0,
10,21,LCOR-518,0,0,0,0,
11,21,LCOR-450,0,0,0,0,
12,21,LCOR-017,0,0,0,0,
13,21,LCOR-495,0,0,0,0,
14,21,LCOR-144,0,0,0,0,
15,21,LCOR-204,0,0,0,0,
16,21,LCOR-1142,,,,0,
1,22,LCOR-470,0,0,0,0,
2,22,LCOR-616,0,0,0,0,
3,22,LCOR-245,0,0,0,0,
4,22,LCOR-165,0,0,0,0,
5,22,LCOR-209,0,0,0,0,
6,22,LCOR-340,0,0,0,0,
7,22,LCOR-326,0,0,0,0,
8,22,LCOR-149,0,0,0,0,
9,22,LCOR-1015,,,,0,
10,22,LCOR-169,0,0,0,0,
11,22,LCOR-063,0,0,0,0,
12,22,LCOR-483,0,0,0,0,
13,22,LCOR-514,0,0,0,0,
14,22,LCOR-266,0,0,0,0,
15,22,LCOR-122,0,0,0,0,
16,22,LCOR-1148,,,,0,
1,23,LCOR-485,0,0,0,0,
2,23,LCOR-398,0,0,0,0,
3,23,LCOR-171,0,0,0,0,
4,23,LCOR-422,0,0,0,0,
5,23,LCOR-319,0,0,0,0,
6,23,LCOR-106,0,0,0,0,
7,23,LCOR-445,0,0,0,0,
8,23,LCOR-401,0,0,0,0,
9,23,LCOR-291,0,0,0,0,
10,23,LCOR-207,0,0,1,1,
11,23,LCOR-090,0,0,1,1,
12,23,LCOR-015,0,0,0,0,
13,23,LCOR-202,0,0,0,0,
14,23,LCOR-290,0,0,0,0,
15,23,LCOR-333,0,0,0,0,
16,23,LCOR-1155,,,,0,
1,24,LCOR-489,0,0,0,0,
2,24,LCOR-178,0,0,0,0,
3,24,LCOR-367,0,0,0,0,
4,24,LCOR-608,0,0,0,0,
5,24,LCOR-229,0,0,0,0,
6,24,LCOR-503,0,0,0,0,
7,24,LCOR-339,0,0,0,0,
8,24,LCOR-348,0,0,0,0,
9,24,LCOR-182,0,0,0,0,
10,24,LCOR-546,0,0,0,0,
11,24,LCOR-212,0,0,0,0,
12,24,LCOR-404,0,0,0,0,
13,24,LCOR-084,0,0,0,0,
14,24,LCOR-309,0,0,0,0,
15,24,LCOR-318,0,0,0,0,
16,24,LCOR-1162,,,,0,
1,25,LCOR-214,0,0,0,0,
2,25,LCOR-192,0,0,0,0,
3,25,LCOR-130,0,0,0,0,
4,25,LCOR-606,0,0,0,0,
5,25,LCOR-022,0,0,0,0,
6,25,LCOR-434,0,0,0,0,
7,25,LCOR-160,0,0,0,0,
8,25,LCOR-199,0,0,0,0,
9,25,LCOR-506,0,0,0,0,
10,25,LCOR-049,0,0,0,0,
11,25,LCOR-065,0,0,0,0,
12,25,LCOR-055,0,0,2,2,
13,25,LCOR-448,0,1,2,3,
14,25,LCOR-379,0,0,0,0,
15,25,LCOR-301,0,0,1,1,
16,25,LCOR-1180,,,,0,
1,26,LCOR-462,0,1,0,1,
2,26,LCOR-293,0,0,0,0,
3,26,LCOR-605,0,0,0,0,
4,26,LCOR-170,0,0,0,0,
5,26,LCOR-487,0,0,0,0,
6,26,LCOR-278,0,0,0,0,
7,26,LCOR-613,0,0,0,0,
8,26,LCOR-300,0,0,0,0,
9,26,LCOR-341,0,0,0,0,
10,26,LCOR-095,0,0,0,0,
11,26,LCOR-361,0,0,0,0,
12,26,LCOR-387,0,0,1,1,
13,26,LCOR-356,0,0,1,1,
14,26,LCOR-484,0,0,0,0,
15,26,LCOR-508,0,0,1,1,
16,26,LCOR-1178,,,,0,
1,27,LCOR-533,0,0,0,0,
2,27,LCOR-441,0,0,0,0,
3,27,LCOR-126,0,0,0,0,
4,27,LCOR-399,0,0,0,0,
5,27,LCOR-323,0,0,0,0,
6,27,LCOR-061,0,0,0,0,
7,27,LCOR-197,0,0,0,0,
8,27,LCOR-373,0,0,0,0,
9,27,LCOR-206,3,3,3,9,
10,27,LCOR-322,0,0,1,1,
11,27,LCOR-048,0,0,0,0,
12,27,LCOR-175,0,0,0,0,
13,27,LCOR-295,0,0,0,0,
14,27,LCOR-388,0,0,0,0,
15,27,LCOR-429,0,0,1,1,
16,27,LCOR-1016,,,,0,
1,28,LCOR-537,0,0,1,1,
2,28,LCOR-276,0,0,2,2,
3,28,LCOR-086,0,0,0,0,
4,28,LCOR-425,0,0,0,0,
5,28,LCOR-596,0,0,0,0,
6,28,LCOR-227,0,0,0,0,
7,28,LCOR-335,0,0,0,0,
8,28,LCOR-128,0,0,1,1,
9,28,LCOR-551,0,0,0,0,
10,28,LCOR-337,0,0,0,0,
11,28,LCOR-096,0,0,0,0,
12,28,LCOR-405,0,0,0,0,
13,28,LCOR-559,0,0,0,0,
14,28,LCOR-1018,,,,0,
15,28,LCOR-083,0,0,0,0,
16,28,LCOR-1020,,,,0,
1,29,LCOR-024,0,0,0,0,
2,29,LCOR-557,0,0,0,0,
3,29,LCOR-297,0,0,1,1,
4,29,LCOR-381,0,0,0,0,
5,29,LCOR-382,0,0,0,0,
6,29,LCOR-185,0,0,0,0,
7,29,LCOR-044,0,0,0,0,
8,29,LCOR-600,0,0,0,0,
9,29,LCOR-127,0,0,1,1,
10,29,LCOR-1048,,,,0,
11,29,LCOR-1054,,,,0,
12,29,LCOR-1049,,,,0,
13,29,LCOR-1103,,,,0,
14,29,LCOR-1122,,,,0,
15,29,LCOR-1124,,,,0,ziptied
16,29,LCOR-1134,,,,0,
1,30,LCOR-424,0,2,2,4,
2,30,LCOR-1025,,,,0,
3,30,LCOR-583,0,4,2,6,
4,30,LCOR-093,0,1,0,1,
5,30,LCOR-281,0,2,0,2,
6,30,LCOR-1073,,,,0,
7,30,LCOR-1082,,,,0,
8,30,LCOR-1095,,,,0,
9,30,LCOR-1244,,,,0,
10,30,LCOR-1052,,,,0,
11,30,LCOR-1202,,,,0,
12,30,LCOR-1210,,,,0,
13,30,LCOR-1154,,,,0,
14,30,LCOR-1099,,,,0,
15,30,LCOR-1140,,,,0,
16,30,LCOR-1161,,,,0,
1,44,LCOR-1028,,,,0,
2,44,LCOR-1169,,,,0,
3,44,LCOR-1245,,,,0,
4,44,LCOR-1014,,,,0,
5,44,LCOR-1034,,,,0,
6,44,LCOR-1118,,,,0,
7,44,LCOR-1129,,,,0,
8,44,LCOR-1136,,,,0,
9,44,LCOR-1151,,,,0,
10,44,LCOR-1159,,,,0,
11,44,LCOR-1160,,,,0,
12,44,LCOR-1193,,,,0,
13,44,LCOR-1249,,,,0,
14,44,LCOR-1261,,,,0,
15,44,LCOR-1237,,,,0,
16,44,LCOR-1135,,,,0,
1,45,LCOR-1039,,,,0,
2,45,LCOR-599,3,2,1,6,apical bud
3,45,LCOR-316,2,2,0,4,apical bud
4,45,LCOR-100,0,2,1,3,
5,45,LCOR-304,1,1,0,2,
6,45,LCOR-494,0,2,0,2,
7,45,LCOR-439,0,0,2,2,
8,45,LCOR-378,0,0,0,0,
9,45,LCOR-595,0,1,0,1,
10,45,LCOR-1239,,,,0,
11,45,LCOR-371,0,0,0,0,
12,45,LCOR-234,0,0,1,1,
13,45,LCOR-461,0,0,2,2,
14,45,LCOR-519,0,0,0,0,
15,45,LCOR-1226,,,,0,
16,45,LCOR-1027,,,,0,
1,46,LCOR-1042,,,,0,
2,46,LCOR-112,3,3,3,9,apical bud
3,46,LCOR-190,0,0,3,3,
4,46,LCOR-313,0,1,2,3,
5,46,LCOR-446,0,0,1,1,
6,46,LCOR-032,0,0,0,0,
7,46,LCOR-492,0,0,0,0,
8,46,LCOR-311,0,0,0,0,
9,46,LCOR-523,0,0,0,0,
10,46,LCOR-432,0,0,0,0,
11,46,LCOR-025,0,0,0,0,
12,46,LCOR-538,0,0,0,0,
13,46,LCOR-102,0,0,0,0,
14,46,LCOR-155,0,0,0,0,
15,46,LCOR-490,0,0,1,1,
16,46,LCOR-1255,,,,0,
1,47,LCOR-1079,,,,0,
2,47,LCOR-374,0,1,2,3,
3,47,LCOR-521,1,3,2,6,
4,47,LCOR-232,0,0,0,0,
5,47,LCOR-315,0,0,0,0,
6,47,LCOR-419,0,0,0,0,
7,47,LCOR-365,0,0,0,0,
8,47,LCOR-480,0,1,2,3,
9,47,LCOR-433,0,0,0,0,
10,47,LCOR-453,0,0,0,0,
11,47,LCOR-223,3,0,0,3,
12,47,LCOR-359,,,,0,
13,47,LCOR-216,0,1,0,1,
14,47,LCOR-159,0,0,0,0,
15,47,LCOR-426,,,,0,
16,47,LCOR-1068,,,,0,
1,48,LCOR-1083,,,,0,
2,48,LCOR-113,0,2,3,5,
3,48,LCOR-505,0,0,3,3,
4,48,LCOR-153,0,0,3,3,
5,48,LCOR-336,0,0,3,3,
6,48,LCOR-412,0,0,1,1,
7,48,LCOR-509,0,0,1,1,
8,48,LCOR-549,0,0,0,0,
9,48,LCOR-466,0,0,0,0,
10,48,LCOR-547,0,0,0,0,
11,48,LCOR-598,0,0,0,0,
12,48,LCOR-464,0,0,0,0,
13,48,LCOR-555,0,0,0,0,
14,48,LCOR-189,0,0,0,0,
15,48,LCOR-447,2,3,3,8,
16,48,LCOR-1170,,,,0,
1,49,LCOR-1113,,,,0,
2,49,LCOR-1172,,,,0,
3,49,LCOR-270,0,0,0,0,
4,49,LCOR-114,0,0,0,0,
5,49,LCOR-591,0,0,0,0,
6,49,LCOR-029,0,0,3,3,
7,49,LCOR-056,0,2,2,4,
8,49,LCOR-578,0,0,1,1,
9,49,LCOR-586,0,0,0,0,
10,49,LCOR-531,0,0,0,0,
11,49,LCOR-477,0,0,0,0,
12,49,LCOR-460,0,0,0,0,
13,49,LCOR-615,0,0,0,0,
14,49,LCOR-602,0,0,0,0,
15,49,LCOR-456,0,0,0,0,
16,49,LCOR-1174,,,,0,ziptied
1,50,LCOR-1126,,,,0,
2,50,LCOR-500,0,2,1,3,
3,50,LCOR-119,0,0,0,0,
4,50,LCOR-375,0,1,0,1,
5,50,LCOR-208,0,0,0,0,
6,50,LCOR-457,0,0,0,0,
7,50,LCOR-440,0,0,0,0,
8,50,LCOR-501,0,0,0,0,
9,50,LCOR-118,0,0,0,0,
10,50,LCOR-262,0,0,0,0,
11,50,LCOR-172,0,0,0,0,
12,50,LCOR-081,0,2,1,3,
13,50,LCOR-210,0,0,0,0,
14,50,LCOR-417,0,0,0,0,
15,50,LCOR-390,0,0,2,2,
16,50,LCOR-1196,,,,0,
1,51,LCOR-1019,,,,0,
2,51,LCOR-1256,,,,0,
3,51,LCOR-1167,,,,0,
4,51,LCOR-219,0,0,0,0,
5,51,LCOR-532,0,0,0,0,
6,51,LCOR-431,0,0,0,0,
7,51,LCOR-479,0,0,0,0,
8,51,LCOR-1030,,,,0,
9,51,LCOR-108,0,0,0,0,
10,51,LCOR-312,0,0,0,0,
11,51,LCOR-225,0,0,0,0,
12,51,LCOR-329,0,0,0,0,
13,51,LCOR-478,0,0,0,0,
14,51,LCOR-567,0,0,0,0,
15,51,LCOR-413,0,0,0,0,
16,51,LCOR-1205,,,,0,
1,52,LCOR-1041,,,,0,
2,52,LCOR-1218,,,,0,
3,52,LCOR-389,0,0,1,1,
4,52,LCOR-246,0,2,1,3,
5,52,LCOR-1050,,,,0,
6,52,LCOR-430,0,0,0,0,
7,52,LCOR-465,0,0,0,0,
8,52,LCOR-1117,,,,0,
9,52,LCOR-183,0,0,0,0,
10,52,LCOR-1096,,,,0,
11,52,LCOR-317,0,0,0,0,
12,52,LCOR-215,0,0,0,0,
13,52,LCOR-187,0,0,0,0,
14,52,LCOR-1220,,,,0,
15,52,LCOR-576,0,0,0,0,
16,52,LCOR-1243,,,,0,
1,53,LCOR-1065,,,,0,
2,53,LCOR-1230,,,,0,
3,53,LCOR-288,0,2,3,5,
4,53,LCOR-407,3,2,2,7,
5,53,LCOR-580,0,0,0,0,
6,53,LCOR-566,0,0,2,2,
7,53,LCOR-097,0,0,0,0,
8,53,LCOR-1194,,,,0,
9,53,LCOR-592,0,0,0,0,
10,53,LCOR-451,0,0,0,0,
11,53,LCOR-597,0,0,0,0,
12,53,LCOR-1031,,,,0,
13,53,LCOR-050,0,0,0,0,
14,53,LCOR-444,0,0,0,0,
15,53,LCOR-1032,,,,0,
16,53,LCOR-1208,,,,0,
1,54,LCOR-1074,,,,0,
2,54,LCOR-590,0,0,0,0,
3,54,LCOR-038,0,0,0,0,
4,54,LCOR-1038,,,,0,
5,54,LCOR-205,3,3,2,8,
6,54,LCOR-1138,,,,,
7,54,LCOR-1252,,,,,
8,54,LCOR-1182,,,,,
9,54,LCOR-1107,,,,,
10,54,LCOR-1123,,,,,
11,54,LCOR-1133,,,,,
12,54,LCOR-1179,,,,,
13,54,LCOR-1190,,,,,
14,54,LCOR-1013,,,,,
15,54,LCOR-1251,,,,,
16,54,LCOR-1045,,,,,
1,55,LCOR-1084,,,,,
2,55,LCOR-1176,,,,,
3,55,LCOR-1055,,,,,
4,55,LCOR-1067,,,,,
5,55,LCOR-1146,,,,,
6,55,LCOR-1036,,,,,
7,55,LCOR-1157,,,,,
8,55,LCOR-1184,,,,,
9,55,LCOR-1232,,,,,
10,55,LCOR-1258,,,,,
11,55,LCOR-1012,,,,,
12,55,LCOR-1109,,,,,
13,55,LCOR-1000,,,,,
14,55,LCOR-1125,,,,,
15,55,LCOR-1130,,,,,
16,55,LCOR-1195,,,,,
,,,,,,,
