Leaf collection and SPAD,,,,,,,
pick 3 leaves from top of tree. Ranging from leaf 8-15,,,,,,,
Leaves should be fully expanded,,,,,,,
Pick leaves. Measure SPADbag and then put in labeled paper ,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
row,column,ID,event_short,block,Leaf_collection,SPAD,Drought Score
13,8,LCOR-469,13-15B,large,no,,
14,8,LCOR-167,5A,large,yes,,
15,8,LCOR-274,5C,large,yes,,
2,9,LCOR-581,5A,large,yes,,
3,9,LCOR-001,4A,large,yes,,
4,9,LCOR-342,CT3,large,yes,,
5,9,LCOR-471,13-15B,large,no,,
6,9,LCOR-380,7,large,no,,
7,9,LCOR-076,13-15E,large,yes,,
8,9,LCOR-163,5A,large,yes,,
10,9,LCOR-217,2H,large,yes,,
11,9,LCOR-231,4A,large,yes,,
12,9,LCOR-075,13-15E,large,yes,,
13,9,LCOR-504,CT3,large,yes,,
14,9,LCOR-511,16-20,large,yes,,
15,9,LCOR-041,5C,large,yes,,
3,10,LCOR-023,4B,large,no,,
4,10,LCOR-020,4B,large,no,,
5,10,LCOR-010,4A,large,yes,,
6,10,LCOR-292,8-9D,large,yes,,
7,10,LCOR-420,8-9D,large,yes,,
8,10,LCOR-157,5A,large,yes,,
10,10,LCOR-263,4B,large,no,,
11,10,LCOR-018,4B,large,no,,
12,10,LCOR-286,8-9D,large,yes,,
13,10,LCOR-133,5,large,no,,
14,10,LCOR-039,5C,large,yes,,
15,10,LCOR-203,CT3,large,yes,,
2,11,LCOR-164,5A,large,yes,,
3,11,LCOR-529,5,large,no,,
4,11,LCOR-386,7,large,no,,
5,11,LCOR-028,4B,large,no,,
6,11,LCOR-527,5,large,no,,
8,11,LCOR-150,7,large,no,,
9,11,LCOR-233,4A,large,yes,,
10,11,LCOR-161,5A,large,yes,,
11,11,LCOR-019,4B,large,no,,
12,11,LCOR-360,1,large,no,,
13,11,LCOR-289,8-9D,large,yes,,
14,11,LCOR-040,5C,large,yes,,
2,12,LCOR-180,1C,large,no,,
3,12,LCOR-403,1C,large,no,,
4,12,LCOR-364,1,large,no,,
5,12,LCOR-277,5C,large,yes,,
7,12,LCOR-111,16-20,large,yes,,
8,12,LCOR-303,13-15E,large,yes,,
9,12,LCOR-588,5A,large,yes,,
10,12,LCOR-561,5C,large,yes,,
11,12,LCOR-035,5C,large,yes,,
12,12,LCOR-241,5A,large,yes,,
13,12,LCOR-218,2H,large,yes,,
14,12,LCOR-002,4A,large,yes,,
15,12,LCOR-026,4B,large,no,,
2,13,LCOR-066,2H,large,yes,,
3,13,LCOR-423,4B,large,no,,
4,13,LCOR-200,CT3,large,yes,,
6,13,LCOR-137,5,large,no,,
7,13,LCOR-338,CT3,large,yes,,
8,13,LCOR-544,4A,large,yes,,
9,13,LCOR-320,16-20,large,yes,,
10,13,LCOR-077,13-15E,large,yes,,
12,13,LCOR-088,8-9D,large,yes,,
13,13,LCOR-030,5C,large,yes,,
14,13,LCOR-156,5A,large,yes,,
15,13,LCOR-051,1,large,no,,
2,14,LCOR-060,2H,large,yes,,
3,14,LCOR-604,13-15E,large,yes,,
4,14,LCOR-368,5,large,no,,
5,14,LCOR-046,1,large,no,,
6,14,LCOR-031,5C,large,yes,,
7,14,LCOR-347,CT3,large,yes,,
8,14,LCOR-176,1C,large,no,,
9,14,LCOR-269,5C,large,yes,,
10,14,LCOR-147,7,large,no,,
11,14,LCOR-257,4B,large,no,,
12,14,LCOR-256,4B,large,no,,
13,14,LCOR-014,4A,large,yes,,
14,14,LCOR-091,8-9D,large,yes,,
15,14,LCOR-264,4B,large,no,,
2,15,LCOR-486,1C,large,no,,
4,15,LCOR-357,1,large,no,,
5,15,LCOR-473,13-15B,large,no,,
6,15,LCOR-525,5,large,no,,
7,15,LCOR-437,1,large,no,,
8,15,LCOR-550,7,large,no,,
9,15,LCOR-307,13-15E,large,yes,,
10,15,LCOR-449,2H,large,yes,,
11,15,LCOR-507,16-20,large,yes,,
12,15,LCOR-154,7,large,no,,
13,15,LCOR-562,5C,large,yes,,
15,15,LCOR-393,1C,large,no,,
1,16,LCOR-442,1,large,no,,
2,16,LCOR-247,5A,large,yes,,
3,16,LCOR-611,13-15E,large,yes,,
5,16,LCOR-528,5,large,no,,
6,16,LCOR-072,13-15E,large,yes,,
7,16,LCOR-610,13-15E,large,yes,,
8,16,LCOR-516,16-20,large,yes,,
9,16,LCOR-280,5C,large,yes,,
10,16,LCOR-033,5C,large,yes,,
12,16,LCOR-372,5,large,no,,
13,16,LCOR-105,16-20,large,yes,,
14,16,LCOR-352,1,large,no,,
15,16,LCOR-614,13-15E,large,yes,,
1,17,LCOR-376,5,large,no,,
2,17,LCOR-016,4B,large,no,,
3,17,LCOR-132,5,large,no,,
4,17,LCOR-574,5C,large,yes,,
5,17,LCOR-079,13-15E,large,yes,,
6,17,LCOR-458,2H,large,yes,,
7,17,LCOR-411,8-9D,large,yes,,
8,17,LCOR-394,1C,large,no,,
9,17,LCOR-275,5C,large,yes,,
12,17,LCOR-134,5,large,no,,
13,17,LCOR-502,CT3,large,yes,,
14,17,LCOR-481,1C,large,no,,
15,17,LCOR-271,5C,large,yes,,
1,18,LCOR-377,5,large,no,,
2,18,LCOR-058,2H,large,yes,,
3,18,LCOR-052,1,large,no,,
4,18,LCOR-475,13-15B,large,no,,
5,18,LCOR-085,8-9D,large,yes,,
6,18,LCOR-351,1,large,no,,
10,18,LCOR-306,13-15E,large,yes,,
11,18,LCOR-392,7,large,no,,
12,18,LCOR-243,5A,large,yes,,
13,18,LCOR-572,5C,large,yes,,
14,18,LCOR-463,13-15B,large,no,,
15,18,LCOR-260,4B,large,no,,
1,19,LCOR-548,7,large,no,,
3,19,LCOR-406,1C,large,no,,
4,19,LCOR-089,8-9D,large,yes,,
5,19,LCOR-491,CT3,large,yes,,
7,19,LCOR-585,5A,large,yes,,
8,19,LCOR-554,7,large,no,,
9,19,LCOR-152,7,large,no,,
10,19,LCOR-558,7,large,no,,
11,19,LCOR-138,5,large,no,,
12,19,LCOR-383,7,large,no,,
13,19,LCOR-568,5C,large,yes,,
14,19,LCOR-080,13-15E,large,yes,,
15,19,LCOR-391,7,large,no,,
1,20,LCOR-553,7,large,no,,
2,20,LCOR-162,5A,large,yes,,
3,20,LCOR-242,5A,large,yes,,
5,20,LCOR-166,5A,large,yes,,
7,20,LCOR-059,2H,large,yes,,
8,20,LCOR-101,16-20,large,yes,,
9,20,LCOR-067,2H,large,yes,,
11,20,LCOR-103,16-20,large,yes,,
12,20,LCOR-230,4A,large,yes,,
13,20,LCOR-534,4A,large,yes,,
14,20,LCOR-261,4B,large,no,,
15,20,LCOR-493,CT3,large,yes,,
1,21,LCOR-468,13-15B,large,no,,
2,21,LCOR-098,8-9D,large,yes,,
3,21,LCOR-482,1C,large,no,,
4,21,LCOR-350,CT3,large,yes,,
5,21,LCOR-129,5,large,no,,
6,21,LCOR-012,4A,large,yes,,
7,21,LCOR-248,5A,large,yes,,
8,21,LCOR-476,13-15B,large,no,,
9,21,LCOR-584,5A,large,yes,,
10,21,LCOR-518,16-20,large,yes,,
11,21,LCOR-450,2H,large,yes,,
12,21,LCOR-017,4B,large,no,,
13,21,LCOR-495,CT3,large,yes,,
14,21,LCOR-144,7,large,no,,
15,21,LCOR-204,CT3,large,yes,,
1,22,LCOR-470,13-15B,large,no,,
2,22,LCOR-616,13-15E,large,yes,,
3,22,LCOR-245,5A,large,yes,,
4,22,LCOR-165,5A,large,yes,,
5,22,LCOR-209,CT3,large,yes,,
6,22,LCOR-340,CT3,large,yes,,
8,22,LCOR-149,7,large,no,,
10,22,LCOR-169,1C,large,no,,
11,22,LCOR-063,2H,large,yes,,
12,22,LCOR-483,1C,large,no,,
13,22,LCOR-514,16-20,large,yes,,
14,22,LCOR-266,4B,large,no,,
1,23,LCOR-485,1C,large,no,,
2,23,LCOR-398,1C,large,no,,
3,23,LCOR-171,1C,large,no,,
4,23,LCOR-422,4B,large,no,,
5,23,LCOR-319,16-20,large,yes,,
6,23,LCOR-106,16-20,large,yes,,
7,23,LCOR-445,1,large,no,,
8,23,LCOR-401,1C,large,no,,
9,23,LCOR-291,8-9D,large,yes,,
10,23,LCOR-207,CT3,large,yes,,
11,23,LCOR-090,8-9D,large,yes,,
12,23,LCOR-015,4B,large,no,,
13,23,LCOR-202,CT3,large,yes,,
14,23,LCOR-290,8-9D,large,yes,,
1,24,LCOR-489,1C,large,no,,
2,24,LCOR-178,1C,large,no,,
3,24,LCOR-367,5,large,no,,
4,24,LCOR-608,13-15E,large,yes,,
5,24,LCOR-229,4A,large,yes,,
6,24,LCOR-503,CT3,large,yes,,
7,24,LCOR-339,CT3,large,yes,,
8,24,LCOR-348,CT3,large,yes,,
9,24,LCOR-182,1C,large,no,,
10,24,LCOR-546,4A,large,yes,,
11,24,LCOR-212,2H,large,yes,,
12,24,LCOR-404,1C,large,no,,
13,24,LCOR-084,13-15E,large,yes,,
14,24,LCOR-309,16-20,large,yes,,
15,24,LCOR-318,16-20,large,yes,,
1,25,LCOR-214,2H,large,yes,,
2,25,LCOR-192,13-15B,large,no,,
3,25,LCOR-130,5,large,no,,
4,25,LCOR-606,13-15E,large,yes,,
5,25,LCOR-022,4B,large,no,,
6,25,LCOR-434,4B,large,no,,
7,25,LCOR-160,5A,large,yes,,
8,25,LCOR-199,CT3,large,yes,,
9,25,LCOR-506,16-20,large,yes,,
10,25,LCOR-049,1,large,no,,
11,25,LCOR-065,2H,large,yes,,
12,25,LCOR-055,1,large,no,,
13,25,LCOR-448,1,large,no,,
14,25,LCOR-379,7,large,no,,
15,25,LCOR-301,13-15E,large,yes,,
1,26,LCOR-462,2H,large,yes,,
2,26,LCOR-293,8-9D,large,yes,,
3,26,LCOR-605,13-15E,large,yes,,
4,26,LCOR-170,1C,large,no,,
5,26,LCOR-487,1C,large,no,,
6,26,LCOR-278,5C,large,yes,,
7,26,LCOR-613,13-15E,large,yes,,
8,26,LCOR-300,13-15E,large,yes,,
9,26,LCOR-341,CT3,large,yes,,
10,26,LCOR-095,8-9D,large,yes,,
11,26,LCOR-361,1,large,no,,
12,26,LCOR-387,7,large,no,,
13,26,LCOR-356,1,large,no,,
14,26,LCOR-484,1C,large,no,,
15,26,LCOR-508,16-20,large,yes,,
1,27,LCOR-533,4A,large,yes,,
2,27,LCOR-441,1,large,no,,
4,27,LCOR-399,1C,large,no,,
7,27,LCOR-197,CT3,large,yes,,
8,27,LCOR-373,5,large,no,,
9,27,LCOR-206,CT3,large,yes,,
10,27,LCOR-322,16-20,large,yes,,
11,27,LCOR-048,1,large,no,,
12,27,LCOR-175,1C,large,no,,
13,27,LCOR-295,13-15E,large,yes,,
14,27,LCOR-388,7,large,no,,
15,27,LCOR-429,4B,large,no,,
1,28,LCOR-537,4A,large,yes,,
2,28,LCOR-276,5C,large,yes,,
3,28,LCOR-086,8-9D,large,yes,,
4,28,LCOR-425,4B,large,no,,
6,28,LCOR-227,4A,large,yes,,
8,28,LCOR-128,5,large,no,,
9,28,LCOR-551,7,large,no,,
10,28,LCOR-337,CT3,large,yes,,
11,28,LCOR-096,8-9D,large,yes,,
12,28,LCOR-405,1C,large,no,,
13,28,LCOR-559,7,large,no,,
15,28,LCOR-083,13-15E,large,yes,,
1,29,LCOR-024,4B,large,no,,
2,29,LCOR-557,7,large,no,,
3,29,LCOR-297,13-15E,large,yes,,
4,29,LCOR-381,7,large,no,,
5,29,LCOR-382,7,large,no,,
6,29,LCOR-185,13-15B,large,no,,
7,29,LCOR-044,1,large,no,,
9,29,LCOR-127,5,large,no,,
1,30,LCOR-424,4B,large,no,,
3,30,LCOR-583,5A,large,yes,,
4,30,LCOR-093,8-9D,large,yes,,
5,30,LCOR-281,8-9D,large,yes,,
3,45,LCOR-316,16-20,small,yes,,
4,45,LCOR-100,16-20,small,yes,,
5,45,LCOR-304,13-15E,small,yes,,
6,45,LCOR-494,CT3,small,yes,,
7,45,LCOR-439,1,small,no,,
8,45,LCOR-378,5,small,no,,
11,45,LCOR-371,5,small,no,,
12,45,LCOR-234,4A,small,yes,,
13,45,LCOR-461,2H,small,yes,,
14,45,LCOR-519,5,small,no,,
2,46,LCOR-112,16-20,small,yes,,
3,46,LCOR-190,13-15B,small,no,,
4,46,LCOR-313,16-20,small,yes,,
5,46,LCOR-446,1,small,no,,
6,46,LCOR-032,5C,small,yes,,
7,46,LCOR-492,CT3,small,yes,,
8,46,LCOR-311,16-20,small,yes,,
9,46,LCOR-523,5,small,no,,
10,46,LCOR-432,4B,small,no,,
11,46,LCOR-025,4B,small,no,,
13,46,LCOR-102,16-20,small,yes,,
14,46,LCOR-155,5A,small,yes,,
15,46,LCOR-490,1C,small,no,,
2,47,LCOR-374,5,small,no,,
3,47,LCOR-521,5,small,no,,
4,47,LCOR-232,4A,small,yes,,
5,47,LCOR-315,16-20,small,yes,,
6,47,LCOR-419,8-9D,small,yes,,
7,47,LCOR-365,5,small,no,,
8,47,LCOR-480,1C,small,no,,
9,47,LCOR-433,4B,small,no,,
10,47,LCOR-453,2H,small,yes,,
11,47,LCOR-223,2H,small,yes,,
13,47,LCOR-216,2H,small,yes,,
14,47,LCOR-159,5A,small,yes,,
15,47,LCOR-426,4B,small,no,,
3,48,LCOR-505,16-20,small,yes,,
4,48,LCOR-153,7,small,no,,
6,48,LCOR-412,8-9D,small,yes,,
7,48,LCOR-509,16-20,small,yes,,
8,48,LCOR-549,7,small,no,,
9,48,LCOR-466,13-15B,small,no,,
10,48,LCOR-547,7,small,no,,
12,48,LCOR-464,13-15B,small,no,,
13,48,LCOR-555,7,small,no,,
14,48,LCOR-189,13-15B,small,no,,
15,48,LCOR-447,1,small,no,,
3,49,LCOR-270,5C,small,yes,,
6,49,LCOR-029,5C,small,yes,,
7,49,LCOR-056,1,small,no,,
8,49,LCOR-578,5A,small,yes,,
9,49,LCOR-586,5A,small,yes,,
10,49,LCOR-531,5,small,no,,
11,49,LCOR-477,1C,small,no,,
12,49,LCOR-460,2H,small,yes,,
13,49,LCOR-615,13-15E,small,yes,,
15,49,LCOR-456,2H,small,yes,,
2,50,LCOR-500,CT3,small,yes,,
4,50,LCOR-375,5,small,no,,
5,50,LCOR-208,CT3,small,yes,,
6,50,LCOR-457,2H,small,yes,,
7,50,LCOR-440,1,small,no,,
8,50,LCOR-501,CT3,small,yes,,
10,50,LCOR-262,4B,small,no,,
11,50,LCOR-172,1C,small,no,,
12,50,LCOR-081,13-15E,small,yes,,
13,50,LCOR-210,CT3,small,yes,,
14,50,LCOR-417,8-9D,small,yes,,
15,50,LCOR-390,7,small,no,,
4,51,LCOR-219,2H,small,yes,,
5,51,LCOR-532,5,small,no,,
6,51,LCOR-431,4B,small,no,,
7,51,LCOR-479,1C,small,no,,
9,51,LCOR-108,16-20,small,yes,,
10,51,LCOR-312,16-20,small,yes,,
11,51,LCOR-225,4A,small,yes,,
13,51,LCOR-478,1C,small,no,,
14,51,LCOR-567,5C,small,yes,,
15,51,LCOR-413,8-9D,small,yes,,
3,52,LCOR-389,7,small,no,,
4,52,LCOR-246,5A,small,yes,,
6,52,LCOR-430,4B,small,no,,
7,52,LCOR-465,13-15B,small,no,,
9,52,LCOR-183,13-15B,small,no,,
12,52,LCOR-215,2H,small,yes,,
13,52,LCOR-187,13-15B,small,no,,
15,52,LCOR-576,5A,small,yes,,
3,53,LCOR-288,8-9D,small,yes,,
4,53,LCOR-407,8-9D,small,yes,,
5,53,LCOR-580,5A,small,yes,,
6,53,LCOR-566,5C,small,yes,,
7,53,LCOR-097,8-9D,small,yes,,
10,53,LCOR-451,2H,small,yes,,
13,53,LCOR-050,1,small,no,,
14,53,LCOR-444,1,small,no,,
3,54,LCOR-038,5C,small,yes,,
