row,column,ID,Drought Score,Stem damage,Root damage,Top dieback,SPAD
1,5,LCOR-082,1,bio,0,,#N/A
2,5,LCOR-344,1,0,1,,30.4
3,5,LCOR-070,0,phys,1,,28.4
4,5,LCOR-282,2,bio,1,,24.9
5,5,LCOR-027,2,0,1,,30
6,5,LCOR-573,0,nio,0,,25.2
7,5,LCOR-068,4,nio,2,broken,#N/A
8,5,LCOR-575,0,phys,1,,26.2
9,5,LCOR-346,0,bag,1,,23.2
10,5,LCOR-092,0,bio,1,,25.5
11,5,LCOR-142,1,0,1,,21.7
12,5,LCOR-563,2,0,2,1,16.3
13,5,LCOR-353,X,X,X,,26.6
14,5,LCOR-314,0,phys,0,,26.3
15,5,LCOR-042,1,0,0,,18.3
16,5,LCOR-1059,,,,,#N/A
1,6,LCOR-1003,,,,,#N/A
2,6,LCOR-577,0,bio,1,,22.4
3,6,LCOR-069,2,0,2,,30.7
4,6,LCOR-043,1,bio,1,,21.6
5,6,LCOR-062,1,bio,1,,28.8
6,6,LCOR-135,0,0,0,,24.7
7,6,LCOR-003,0,bio,1,,21.4
8,6,LCOR-191,1,0,1,,17.2
9,6,LCOR-310,1,bag,0,,22
10,6,LCOR-251,3,bio,1,1,19.6
11,6,LCOR-358,3,bio,1,,19.3
12,6,LCOR-363,1,0,2,1,17.5
13,6,LCOR-355,2,0,1,,16.1
14,6,LCOR-472,0,0,1,,25.1
15,6,LCOR-421,1,bio,0,,20.3
16,6,LCOR-1102,,,,,#N/A
1,7,LCOR-1004,,,,,#N/A
2,7,LCOR-177,0,0,1,,23.4
3,7,LCOR-073,1,phys,1,,24.3
4,7,LCOR-510,1,bio,1,,29.7
5,7,LCOR-474,0,bio,0,,28.3
6,7,LCOR-181,0,0,0,,21.9
7,7,LCOR-148,0,0,0,,30.7
8,7,LCOR-400,0,0,1,,21.6
9,7,LCOR-530,0,bio,1,,22.7
10,7,LCOR-587*,,,,,18.2
11,7,LCOR-005,X,X,X,,24.8
12,7,LCOR-094,0,bag,1,,24.4
13,7,LCOR-296,0,bag,0,,22.1
14,7,LCOR-265,1,0,1,1,29.5
15,7,LCOR-198,4,phys,2,1,26.4
16,7,LCOR-1111,,,,,#N/A
1,8,LCOR-1005,,,,,#N/A
2,8,LCOR-179,1,phys,0,,27.7
3,8,LCOR-036,2,0,1,,17.9
4,8,LCOR-279,1,bio,1,,27.3
5,8,LCOR-078,2,0,0,,29.6
6,8,LCOR-582,2,phys,0,,19.6
7,8,LCOR-385,3,bio,1,,28.1
8,8,LCOR-250,1,bio,0,,19.1
9,8,LCOR-034,3,phys &bio,1,,29.9
10,8,LCOR-255,2,0,1,,24.2
11,8,LCOR-238,4,0,2,1,#N/A
12,8,LCOR-254,2,bio,1,,20.5
13,8,LCOR-469,2,bio,2,1,25.1
14,8,LCOR-167,3,bio,2,1,27.8
15,8,LCOR-274,2,0,1,1,21.4
16,8,LCOR-1114,,,,,#N/A
1,9,LCOR-1006,,,,,#N/A
2,9,LCOR-581,0,bio,0,,25.4
3,9,LCOR-001,0,bio,1,,18.8
4,9,LCOR-342,1,phys,1,,22.3
5,9,LCOR-471,1,0,1,,21.3
6,9,LCOR-380,1,bio,1,,29.5
7,9,LCOR-076,1,0,1,,26.1
8,9,LCOR-163,0,0,0,,28.2
9,9,LCOR-609,1,0,0,,25.4
10,9,LCOR-217,2,0,2,,29
11,9,LCOR-231,0,0,0,,20.6
12,9,LCOR-075,1,0,1,,25.7
13,9,LCOR-504,2,0,2,1,26
14,9,LCOR-511,0,0,bag,0,27.5
15,9,LCOR-041,0,phys,bag,,23.5
16,9,LCOR-1121,,,,,#N/A
1,10,LCOR-1007,,,,,#N/A
2,10,LCOR-1029,,,,,#N/A
3,10,LCOR-023,0,0,1,,26.8
4,10,LCOR-020,0,bio,1,,25.3
5,10,LCOR-010,1,phys,1,,28.4
6,10,LCOR-292,1,bio,1,,29.6
7,10,LCOR-420,1,phys,1,,17.7
8,10,LCOR-157,3,bio,1,,23.4
9,10,LCOR-226,3,0,1,,25.8
10,10,LCOR-263,2,bio,2,,19
11,10,LCOR-018,2,bio,1,,18.4
12,10,LCOR-286,3,bio,bag,,17.8
13,10,LCOR-133,3,0,1,1,29.1
14,10,LCOR-039,1,bio,0,1,27.5
15,10,LCOR-203,1,bio,2,,21.2
16,10,LCOR-1131,,,,,#N/A
1,11,LCOR-1008,,,,,#N/A
2,11,LCOR-164,0,0,0,,22.6
3,11,LCOR-529,1,0,0,,24.9
4,11,LCOR-386,1,0,0,,25.4
5,11,LCOR-028,1,0,1,,24.4
6,11,LCOR-527,1,0,2,,19.2
7,11,LCOR-141,1,0,0,,24.7
8,11,LCOR-150,1,0,1,,26.9
9,11,LCOR-233,0,phys,bag,,24.8
10,11,LCOR-161,1,0,bag,,19.4
11,11,LCOR-019,2,bio,1,1,18
12,11,LCOR-360,3,phys,1,1,22
13,11,LCOR-289,1,0,bag,,23.5
14,11,LCOR-040,2,phys,0,,29.9
15,11,LCOR-324,0,phys,1,,22.2
16,11,LCOR-1139,,,,,#N/A
1,12,LCOR-1009,,,,,#N/A
2,12,LCOR-180,1,0,0,,25
3,12,LCOR-403,1,phys,1,,21.2
4,12,LCOR-364,1,0,1,,28.2
5,12,LCOR-277,0,phys,0,,17.5
6,12,LCOR-115,3,0,1,,19.4
7,12,LCOR-111,2,0,1,,19.7
8,12,LCOR-303,1,bio,1,,26.6
9,12,LCOR-588,0,0,bag,,29.5
10,12,LCOR-561,0,bio,0,,30.6
11,12,LCOR-035,2,bio,1,1,16.9
12,12,LCOR-241,0,0,0,,29.6
13,12,LCOR-218,3,0,bag,,23.5
14,12,LCOR-002,3,0,2,1,24.4
15,12,LCOR-026,3,bio,1,1,29.1
16,12,LCOR-1201,,,,,#N/A
1,13,LCOR-1010,,,,,#N/A
2,13,LCOR-066,1,phys,0,,19.8
3,13,LCOR-423,1,0,0,,30.6
4,13,LCOR-200,1,bio,1,,22.7
5,13,LCOR-332,1,phys,0,,19
6,13,LCOR-137,1,bio,1,,30.1
7,13,LCOR-338,0,0,0,,29.6
8,13,LCOR-544,1,bio,0,,22.9
9,13,LCOR-320,3,0,1,,30.1
10,13,LCOR-077,0,bio,bag,,18.4
11,13,LCOR-593,1,bio,1,,19.8
12,13,LCOR-088,0,bio,0,,31
13,13,LCOR-030,0,bio,0,,27
14,13,LCOR-156,1,bio,bag,,17
15,13,LCOR-051,4,0,2,1,#N/A
16,13,LCOR-1203,,,,,#N/A
1,14,LCOR-1011,,,,,#N/A
2,14,LCOR-060,2,phys,1,,26.9
3,14,LCOR-604,1,0,1,,29.3
4,14,LCOR-368,3,0,2,1,16.5
5,14,LCOR-046,0,phys,0,,28.7
6,14,LCOR-031,1,bio,0,,17.8
7,14,LCOR-347,2,bio,0,,29.2
8,14,LCOR-176,1,0,1,,20.3
9,14,LCOR-269,1,bio,0,,18.9
10,14,LCOR-147,0,0,1,,16.7
11,14,LCOR-257,0,0,1,,22.5
12,14,LCOR-256,2,bio,0,,22.2
13,14,LCOR-014,0,phys,bag,,28.9
14,14,LCOR-091,3,0,2,1,24.6
15,14,LCOR-264,4,bio,2,1,26.9
16,14,LCOR-1206,,,,,#N/A
1,15,LCOR-116,3,phys,1,,#N/A
2,15,LCOR-486,2,0,0,1,22.2
3,15,LCOR-174,X,X,X,,19.1
4,15,LCOR-357,1,0,1,,19.3
5,15,LCOR-473,1,0,0,,24.5
6,15,LCOR-525,1,bio,1,1,24.7
7,15,LCOR-437,0,0,0,,28.8
8,15,LCOR-550,1,bio,1,,27.1
9,15,LCOR-307,0,0,1,,30.7
10,15,LCOR-449,0,0,1,,26.5
11,15,LCOR-507,3,0,0,,22.1
12,15,LCOR-154,1,phys,1,,30
13,15,LCOR-562,3,bio,2,1,25.2
14,15,LCOR-334,3,0,1,,27.3
15,15,LCOR-393,1,phys,1,,24
16,15,LCOR-1070,,,,,#N/A
1,16,LCOR-442,1,bio,2,,#N/A
2,16,LCOR-247,1,bio,0,,24.9
3,16,LCOR-611,1,bio,0,,28.8
4,16,LCOR-327,1,0,0,,28.4
5,16,LCOR-528,1,bio,0,,19.2
6,16,LCOR-072,0,0,0,,16.7
7,16,LCOR-610,1,0,0,,24.1
8,16,LCOR-516,2,phys,0,,22.3
9,16,LCOR-280,1,bio,1,,18.7
10,16,LCOR-033,1,phys,2,,27.3
11,16,LCOR-331,2,0,1,,29.2
12,16,LCOR-372,3,phys&bio,0,,22.7
13,16,LCOR-105,2,0,0,,27.2
14,16,LCOR-352,2,bio,0,,24.6
15,16,LCOR-614,3,bio,2,1,29.2
16,16,LCOR-1035,,,,,#N/A
1,17,LCOR-376,1,bio,1,,#N/A
2,17,LCOR-016,1,,0,,28.6
3,17,LCOR-132,1,,0,,25.2
4,17,LCOR-574,3,,2,,19.3
5,17,LCOR-079,3,,0,,24.3
6,17,LCOR-458,1,,0,,30.6
7,17,LCOR-411,0,,1,,29.3
8,17,LCOR-394,0,,0,,25.5
9,17,LCOR-275,1,,0,,21.2
10,17,LCOR-601,1,phys,0,,27.3
11,17,LCOR-252,1,bio,1,,21.4
12,17,LCOR-134,5,bio,2,1,#N/A
13,17,LCOR-502,2,bio,1,,22
14,17,LCOR-481,3,,0,1,17.2
15,17,LCOR-271,3,bio,0,,24.4
16,17,LCOR-1062,,,,,#N/A
1,18,LCOR-377,3,bio,1,,#N/A
2,18,LCOR-058,2,,1,1,25.7
3,18,LCOR-052,1,,0,,17.1
4,18,LCOR-475,1,,0,,24.7
5,18,LCOR-085,2,,1,,16
6,18,LCOR-351,3,,1,1,21.9
7,18,LCOR-053,X,,X,,#N/A
8,18,LCOR-302,X,,X,,20.4
9,18,LCOR-1069,,,,,#N/A
10,18,LCOR-306,0,,1,,23.9
11,18,LCOR-392,3,,1,1,28
12,18,LCOR-243,2,,1,,18
13,18,LCOR-572,1,bio,1,,23.3
14,18,LCOR-463,3,,2,1,19.2
15,18,LCOR-260,2,bio,1,,28.4
16,18,LCOR-1077,,,,,#N/A
1,19,LCOR-548,1,bio,1,,#N/A
2,19,LCOR-057,2,,1,1,20
3,19,LCOR-406,5,,2,1,#N/A
4,19,LCOR-089,4,,2,1,#N/A
5,19,LCOR-491,1,phys,1,,23.1
6,19,LCOR-121,3,,1,1,29.9
7,19,LCOR-585,4,,1,1,18.8
8,19,LCOR-554,3,bio,1,1,21.3
9,19,LCOR-152,1,,,,25.9
10,19,LCOR-558,2,,,,25.2
11,19,LCOR-138,1,,,,20.1
12,19,LCOR-383,1,bio,,,19.1
13,19,LCOR-568,2,bio,,,20.1
14,19,LCOR-080,1,,,,18.6
15,19,LCOR-391,1,,,,25.6
16,19,LCOR-1086,,,,,#N/A
1,20,LCOR-553,3,,1,,#N/A
2,20,LCOR-162,1,,0,,25.1
3,20,LCOR-242,1,bio,0,,29
4,20,LCOR-330,1,,0,,29.5
5,20,LCOR-166,1,,1,,29.7
6,20,LCOR-512,4,,1,1,19.3
7,20,LCOR-059,2,bio,0,1,18.9
8,20,LCOR-101,2,,0,1,18.7
9,20,LCOR-067,1,,0,,19.4
10,20,LCOR-1100,,,,,#N/A
11,20,LCOR-103,1,,0,,17.1
12,20,LCOR-230,2,,1,1,22.5
13,20,LCOR-534,1,phys,0,,16.9
14,20,LCOR-261,1,,1,,26
15,20,LCOR-493,1,phys,1,,31
16,20,LCOR-1087,,,,,#N/A
1,21,LCOR-468,3,bio,2,1,#N/A
2,21,LCOR-098,0,bio,0,,16.2
3,21,LCOR-482,1,,1,,19.5
4,21,LCOR-350,1,,1,,28.7
5,21,LCOR-129,1,,2,,18.3
6,21,LCOR-012,1,bio,1,,16.2
7,21,LCOR-248,0,,0,,25.5
8,21,LCOR-476,3,bio,1,,22.5
9,21,LCOR-584,1,bio,1,,20
10,21,LCOR-518,3,,1,,26.4
11,21,LCOR-450,2,bio,2,,27
12,21,LCOR-017,1,,1,,20.6
13,21,LCOR-495,3,,1,1,23.5
14,21,LCOR-144,3,,0,1,19.2
15,21,LCOR-204,1,,0,,25.4
16,21,LCOR-1142,,,,,#N/A
1,22,LCOR-470,1,bio,1,,#N/A
2,22,LCOR-616,0,,1,,19.5
3,22,LCOR-245,5,bio,2,1,#N/A
4,22,LCOR-165,2,,1,,28.8
5,22,LCOR-209,2,,1,1,22.1
6,22,LCOR-340,1,,0,,22.7
7,22,LCOR-326,1,bio,0,,17.5
8,22,LCOR-149,1,bio,2,,31
9,22,LCOR-1015,,,,,#N/A
10,22,LCOR-169,2,,1,,20.4
11,22,LCOR-063,2,,0,,22.1
12,22,LCOR-483,1,,0,,29.4
13,22,LCOR-514,2,,0,1,19.2
14,22,LCOR-266,4,,2,1,#N/A
15,22,LCOR-122,1,bio,2,,18.8
16,22,LCOR-1148,,,,,#N/A
1,23,LCOR-485,1,bio,1,,#N/A
2,23,LCOR-398,2,,2,,27.6
3,23,LCOR-171,1,bio,1,,20.8
4,23,LCOR-422,4,,2,1,#N/A
5,23,LCOR-319,1,,0,,21
6,23,LCOR-106,4,,2,1,#N/A
7,23,LCOR-445,1,,0,,17.3
8,23,LCOR-401,1,bio,2,,27.4
9,23,LCOR-291,1,,0,,24.6
10,23,LCOR-207,2,,1,1,27.6
11,23,LCOR-090,0,,0,,23.8
12,23,LCOR-015,1,,1,,22.6
13,23,LCOR-202,1,bio,1,,19
14,23,LCOR-290,0,,1,,18.3
15,23,LCOR-333,2,,2,1,17.3
16,23,LCOR-1155,,,,,#N/A
1,24,LCOR-489,2,,1,1,#N/A
2,24,LCOR-178,2,,1,,18.6
3,24,LCOR-367,2,bio,0,,34.2
4,24,LCOR-608,4,,2,1,#N/A
5,24,LCOR-229,1,,0,,27.4
6,24,LCOR-503,3,bio,1,1,20.1
7,24,LCOR-339,1,,0,,25.4
8,24,LCOR-348,1,,0,,29.8
9,24,LCOR-182,3,,2,1,20
10,24,LCOR-546,0,bio,1,,26.1
11,24,LCOR-212,2,,1,1,31.3
12,24,LCOR-404,2,,2,,27.8
13,24,LCOR-084,0,,1,,31
14,24,LCOR-309,3,,2,1,22.3
15,24,LCOR-318,0,,1,,28.2
16,24,LCOR-1162,,,,,#N/A
1,25,LCOR-214,0,,1,,#N/A
2,25,LCOR-192,1,,0,,30.3
3,25,LCOR-130,2,,2,,22
4,25,LCOR-606,2,,2,1,16.6
5,25,LCOR-022,2,,1,,26.9
6,25,LCOR-434,0,,1,,27.7
7,25,LCOR-160,1,bio,1,,24.3
8,25,LCOR-199,2,,1,1,21.8
9,25,LCOR-506,1,bio,1,,26
10,25,LCOR-049,1,,1,,24.6
11,25,LCOR-065,2,,1,1,25.8
12,25,LCOR-055,0,,1,,30.7
13,25,LCOR-448,2,,1,1,30.6
14,25,LCOR-379,0,bio,1,,31.1
15,25,LCOR-301,2,bio,1,,26.3
16,25,LCOR-1180,,,,,#N/A
1,26,LCOR-462,1,bio,0,,#N/A
2,26,LCOR-293,0,,1,,31.5
3,26,LCOR-605,2,phys,2,1,25.6
4,26,LCOR-170,1,,1,,27.3
5,26,LCOR-487,3,,2,,19.2
6,26,LCOR-278,3,bio,1,1,14.4
7,26,LCOR-613,0,,0,,28.7
8,26,LCOR-300,1,bio,0,,13.6
9,26,LCOR-341,2,,2,1,11.8
10,26,LCOR-095,2,,2,1,12.1
11,26,LCOR-361,2,bio,0,,31.3
12,26,LCOR-387,4,,2,1,12.3
13,26,LCOR-356,1,bio,0,,28.2
14,26,LCOR-484,0,,0,,25.9
15,26,LCOR-508,3,,2,1,17.9
16,26,LCOR-1178,,,,,#N/A
1,27,LCOR-533,0,,1,,#N/A
2,27,LCOR-441,0,bio,1,,29.3
3,27,LCOR-126,3,,2,1,17.2
4,27,LCOR-399,0,,1,,26.5
5,27,LCOR-323,5,bio,2,1,#N/A
6,27,LCOR-061,3,bio,2,1,21.3
7,27,LCOR-197,3,,2,1,26.6
8,27,LCOR-373,3,,2,1,19.3
9,27,LCOR-206,5,,2,1,#N/A
10,27,LCOR-322,2,,1,1,28.2
11,27,LCOR-048,3,,1,1,19.5
12,27,LCOR-175,0,,1,,24.1
13,27,LCOR-295,0,bio,1,,30.2
14,27,LCOR-388,1,bio,0,,23.9
15,27,LCOR-429,1,bio,0,,25.2
16,27,LCOR-1016,,,,,#N/A
1,28,LCOR-537,3,bio,2,1,#N/A
2,28,LCOR-276,1,,1,,27.6
3,28,LCOR-086,2,,1,1,20.7
4,28,LCOR-425,1,,1,,23
5,28,LCOR-596,1,,1,,27.2
6,28,LCOR-227,1,,1,,27.4
7,28,LCOR-335,2,,1,,28.2
8,28,LCOR-128,3,,1,1,15.1
9,28,LCOR-551,1,,0,,26.2
10,28,LCOR-337,2,,0,,27.3
11,28,LCOR-096,2,,0,1,31.5
12,28,LCOR-405,2,,2,,25.1
13,28,LCOR-559,2,,0,,27.3
14,28,LCOR-1018,,,,,#N/A
15,28,LCOR-083,2,,1,1,31.5
16,28,LCOR-1020,,,,,#N/A
1,29,LCOR-024,1,,0,,#N/A
2,29,LCOR-557,1,bio,1,,#N/A
3,29,LCOR-297,3,bio,1,1,#N/A
4,29,LCOR-381,2,bio,0,,#N/A
5,29,LCOR-382,1,bio,0,,#N/A
6,29,LCOR-185,3,bio,1,1,#N/A
7,29,LCOR-044,3,,0,1,#N/A
8,29,LCOR-600,3,phys,1,1,#N/A
9,29,LCOR-127,2,,0,,#N/A
10,29,LCOR-1048,,,,,#N/A
11,29,LCOR-1054,,,,,#N/A
12,29,LCOR-1049,,,,,#N/A
13,29,LCOR-1103,,,,,#N/A
14,29,LCOR-1122,,,,,#N/A
15,29,LCOR-1124,,,,,#N/A
16,29,LCOR-1134,,,,,#N/A
1,30,LCOR-424,3,bio,1,,#N/A
2,30,LCOR-1025,,,,,#N/A
3,30,LCOR-583,3,0,1,1,#N/A
4,30,LCOR-093,2,bio,1,,#N/A
5,30,LCOR-281,3,0,1,,#N/A
6,30,LCOR-1073,,,,,#N/A
7,30,LCOR-1082,,,,,#N/A
8,30,LCOR-1095,,,,,#N/A
9,30,LCOR-1244,,,,,#N/A
10,30,LCOR-1052,,,,,#N/A
11,30,LCOR-1202,,,,,#N/A
12,30,LCOR-1210,,,,,#N/A
13,30,LCOR-1154,,,,,#N/A
14,30,LCOR-1099,,,,,#N/A
15,30,LCOR-1140,,,,,#N/A
16,30,LCOR-1161,,,,,#N/A
1,44,LCOR-1028,,,,,#N/A
2,44,LCOR-1169,,,,,#N/A
3,44,LCOR-1245,,,,,#N/A
4,44,LCOR-1014,,,,,#N/A
5,44,LCOR-1034,,,,,#N/A
6,44,LCOR-1118,,,,,#N/A
7,44,LCOR-1129,,,,,#N/A
8,44,LCOR-1136,,,,,#N/A
9,44,LCOR-1151,,,,,#N/A
10,44,LCOR-1159,,,,,#N/A
11,44,LCOR-1160,,,,,#N/A
12,44,LCOR-1193,,,,,#N/A
13,44,LCOR-1249,,,,,#N/A
14,44,LCOR-1261,,,,,#N/A
15,44,LCOR-1237,,,,,#N/A
16,44,LCOR-1135,,,,,#N/A
1,45,LCOR-1039,,,,,#N/A
2,45,LCOR-599,4,,,,#N/A
3,45,LCOR-316,3,bio,,,#N/A
4,45,LCOR-100,3,,,,#N/A
5,45,LCOR-304,3,bio,,,#N/A
6,45,LCOR-494,1,bio,,,#N/A
7,45,LCOR-439,1,0,,,#N/A
8,45,LCOR-378,1,0,,,#N/A
9,45,LCOR-595,1,0,,,#N/A
10,45,LCOR-1239,0,0,,,#N/A
11,45,LCOR-371,0,bio,,,#N/A
12,45,LCOR-234,0,bio,,,#N/A
13,45,LCOR-461,1,0,,,#N/A
14,45,LCOR-519,1,0,,,#N/A
15,45,LCOR-1226,,,,,#N/A
16,45,LCOR-1027,,,,,#N/A
1,46,LCOR-1042,,,,,#N/A
2,46,LCOR-112,2,0,,,#N/A
3,46,LCOR-190,3,0,,,25.1
4,46,LCOR-313,1,0,,,27.3
5,46,LCOR-446,1,bio,,,28.2
6,46,LCOR-032,1,phys,,,25.1
7,46,LCOR-492,2,bio,,,38.6
8,46,LCOR-311,2,0,,,36.9
9,46,LCOR-523,2,bio,,,28.9
10,46,LCOR-432,1,0,,,28.2
11,46,LCOR-025,1,bio,,,34.3
12,46,LCOR-538,0,0,,,30.8
13,46,LCOR-102,0,0,,,35.9
14,46,LCOR-155,0,bio,,,29.7
15,46,LCOR-490,2,0,,1,33.7
16,46,LCOR-1255,,,,,#N/A
1,47,LCOR-1079,,,,,#N/A
2,47,LCOR-374,0,,,,30.6
3,47,LCOR-521,3,,,1,32.9
4,47,LCOR-232,1,,,,32.2
5,47,LCOR-315,0,bio,,,30.8
6,47,LCOR-419,0,,,,29.7
7,47,LCOR-365,1,,,,37.8
8,47,LCOR-480,1,,,,34
9,47,LCOR-433,1,bio,,,28.8
10,47,LCOR-453,1,bio,,,28
11,47,LCOR-223,0,,,,32
12,47,LCOR-359*,X,X,X,X,#N/A
13,47,LCOR-216,1,,,,40.2
14,47,LCOR-159,1,bio,,,38.9
15,47,LCOR-426,1,,,,30
16,47,LCOR-1068,,,,,#N/A
1,48,LCOR-1083,,,,,#N/A
2,48,LCOR-113,0,,,,29.4
3,48,LCOR-505,0,,,,38.8
4,48,LCOR-153,0,bio,,,29.8
5,48,LCOR-336,0,bio,,,28.6
6,48,LCOR-412,1,bio,,,40.3
7,48,LCOR-509,1,,,,39.6
8,48,LCOR-549,1,,,,37.7
9,48,LCOR-466,1,,,,35.5
10,48,LCOR-547,1,,,,34.3
11,48,LCOR-598,0,,,,37.9
12,48,LCOR-464,0,,,,31.9
13,48,LCOR-555,0,,,,40.4
14,48,LCOR-189,2,,,,40.5
15,48,LCOR-447,3,bio,,,36.9
16,48,LCOR-1170,,,,,#N/A
1,49,LCOR-1113,,,,,#N/A
2,49,LCOR-1172,,,,,#N/A
3,49,LCOR-270,2,,,,37.8
4,49,LCOR-114,2,,,,39.2
5,49,LCOR-591,1,,,,31.6
6,49,LCOR-029,1,,,,34.4
7,49,LCOR-056,1,bio,,,30.2
8,49,LCOR-578,1,,,,30.4
9,49,LCOR-586,1,bio,,,36.2
10,49,LCOR-531,1,,,,37.6
11,49,LCOR-477,0,,,,37.2
12,49,LCOR-460,0,,,,32.8
13,49,LCOR-615,0,,,,33.3
14,49,LCOR-602,1,,,,39.4
15,49,LCOR-456,1,,,,39.4
16,49,LCOR-1174,,,,,#N/A
1,50,LCOR-1126,,,,,#N/A
2,50,LCOR-500,1,,,,34.9
3,50,LCOR-119,1,bio,,,29.5
4,50,LCOR-375,1,,,,36.7
5,50,LCOR-208,1,,,,31.9
6,50,LCOR-457,1,bio,,,38.5
7,50,LCOR-440,1,,,,31.1
8,50,LCOR-501,1,,,,37.5
9,50,LCOR-118,1,bio,,,37.5
10,50,LCOR-262,1,bio,,,29.2
11,50,LCOR-172,5,,,,#N/A
12,50,LCOR-081,1,,,,37.2
13,50,LCOR-210,1,bio,,,37.4
14,50,LCOR-417,1,bio,,,34.3
15,50,LCOR-390,1,0,,,31.7
16,50,LCOR-1196,,,,,#N/A
1,51,LCOR-1019,,,,,#N/A
2,51,LCOR-1256,,,,,#N/A
3,51,LCOR-1167,,,,,#N/A
4,51,LCOR-219,5,,,,#N/A
5,51,LCOR-532,1,,,,36.5
6,51,LCOR-431,1,bio,,,32.2
7,51,LCOR-479,1,,,,33.8
8,51,LCOR-1030,,,,,#N/A
9,51,LCOR-108,1,,,,39.8
10,51,LCOR-312,1,bio,,,37.8
11,51,LCOR-225,1,bio,,,29
12,51,LCOR-329,0,bio,,,31.6
13,51,LCOR-478,0,bio,,,29.3
14,51,LCOR-567,1,bio,,,40.9
15,51,LCOR-413,0,bio,,,32
16,51,LCOR-1205,,,,,#N/A
1,52,LCOR-1041,,,,,#N/A
2,52,LCOR-1218,,,,,#N/A
3,52,LCOR-389,1,bio,,,39.5
4,52,LCOR-246,1,phys,,,28
5,52,LCOR-1050,,,,,#N/A
6,52,LCOR-430,1,,,,30.4
7,52,LCOR-465,1,,,,35.5
8,52,LCOR-1117,,,,,#N/A
9,52,LCOR-183,1,,,,37.7
10,52,LCOR-1096,,,,,#N/A
11,52,LCOR-317,0,bio,,,28.3
12,52,LCOR-215,0,,,,33.6
13,52,LCOR-187,0,bio,,,35.2
14,52,LCOR-1220,,,,,#N/A
15,52,LCOR-576,0,,,,32.9
16,52,LCOR-1243,,,,,#N/A
1,53,LCOR-1065,,,,,#N/A
2,53,LCOR-1230,,,,,#N/A
3,53,LCOR-288,3,,,,35
4,53,LCOR-407,1,,,,35.4
5,53,LCOR-580,1,,,,28.4
6,53,LCOR-566,1,,,,36.2
7,53,LCOR-097,1,,,,38.8
8,53,LCOR-1194,,,,,#N/A
9,53,LCOR-592,1,,,,39
10,53,LCOR-451,1,bio,,,30.2
11,53,LCOR-597,1,bio,,,34.6
12,53,LCOR-1031,,,,,#N/A
13,53,LCOR-050,1,bio,,,34.3
14,53,LCOR-444,1,,,,36.2
15,53,LCOR-1032,,,,,#N/A
