"","row.x","column.x","ID","SPAD_June","SPAD_July","SPAD_June_2022","SPAD_July_2022","row.y","column.y","SPAD.1","SPAD.2","SPAD.3","Aug_avg_SPAD","Comments","SPAD_aug_2022","row.x.x","column.x.x","SPAD1","SPAD2","SPAD3","SPADavg","SPAD_sep_2022","row.y.y","column.y.y","DS_1","DS_18","DS_32","DS_55","SPAD_18","SPAD_32","SPAD_55","SPAD_July_2023","SPAD_Aug_2023","SPAD_Sep_2023","avg_SPAD"
"16",6,4,"LCOR-607","33.8","32.06666667",33.8,32.06666667,6,4,47.4,53.6,55.2,52.06666667,"small",52.06666667,6,4,36,46.7,38.3,"40.33333333",40.33333333,6,4,1,"2","2",2,"24.4","21.8",21.2,24.4,21.8,21.2,34.7166666675
"17",7,4,"LCOR-396","32.03333333","28.53333333",32.03333333,28.53333333,7,4,33.5,42.8,46.5,40.93333333,"",40.93333333,7,4,37,46,50.2,"44.4",44.4,7,4,0,"1","1",1,"31.8","29.8",28.7,31.8,29.8,28.7,34.641666665
"18",9,4,"LCOR-054","34.06666667","30.53333333",34.06666667,30.53333333,9,4,28.9,41.9,40.4,37.06666667,"",37.06666667,9,4,41.3,45.9,47.3,"44.83333333",44.83333333,9,4,0,"0","0",1,"29.8","23.3",27,29.8,23.3,27,32.95833333375
"19",11,4,"LCOR-268","34.23333333","29.53333333",34.23333333,29.53333333,11,4,32.6,36.4,43.3,37.43333333,"",37.43333333,11,4,45,48.6,43.6,"45.73333333",45.73333333,11,4,0,"0","0",1,"30.1","28.2",31.3,30.1,28.2,31.3,34.24583333125
"20",13,4,"LCOR-107","33.13333333","30.26666667",33.13333333,30.26666667,13,4,34.2,39.9,42.4,38.83333333,"",38.83333333,13,4,45.9,43.9,45.3,"45.03333333",45.03333333,13,4,3,"4","4",4,"19.4","16.7",25.8,19.4,16.7,25.8,30.99999999875
"21",14,4,"LCOR-201","31.23333333","28.43333333",31.23333333,28.43333333,14,4,34.8,38.2,40.7,37.9,"",37.9,14,4,46.4,48,46.9,"47.1",47.1,14,4,0,"2","2",1,"27.8","19.1",36.4,27.8,19.1,36.4,33.2333333325
"22",15,4,"LCOR-211","31.5","26.6",31.5,26.6,15,4,37.4,41.3,41.8,40.16666667,"",40.16666667,15,4,47.9,39.3,44.7,"43.96666667",43.96666667,15,4,0,"0","0",1,"30.4","25.5",29.7,30.4,25.5,29.7,33.50000000125
"23",2,5,"LCOR-344","33.06666667","25.5",33.06666667,25.5,2,5,35.1,34.9,39.1,36.36666667,"",36.36666667,2,5,45,42.8,45.9,"44.56666667",44.56666667,2,5,0,"1","1",2,"27.9","30.4",19.2,27.9,30.4,19.2,31.670833335
"24",3,5,"LCOR-070","29.4","32.03333333",29.4,32.03333333,3,5,42.6,41.8,48.7,44.36666667,"",44.36666667,3,5,41.8,45,39.4,"42.06666667",42.06666667,3,5,0,"0","0",1,"35.2","28.4",31,35.2,28.4,31,35.8541666675
"25",4,5,"LCOR-282","30.96666667","28.06666667",30.96666667,28.06666667,4,5,34.9,36.2,36.5,35.86666667,"",35.86666667,4,5,44.2,48.7,46.4,"46.43333333",46.43333333,4,5,1,"2","2",2,"33.9","24.9",27.6,33.9,24.9,27.6,32.95000000125
"26",5,5,"LCOR-027","33.1","29.06666667",33.1,29.06666667,5,5,32.7,34.9,38.9,35.5,"",35.5,5,5,46.2,43.3,39.3,"42.93333333",42.93333333,5,5,1,"2","2",3,"26","30",23.4,26,30,23.4,31.9375
"27",6,5,"LCOR-573","34","26.96666667",34,26.96666667,6,5,34.4,40.6,44.8,39.93333333,"",39.93333333,6,5,43.8,43.7,41.5,"43",43,6,5,0,"0","0",1,"32.1","25.2",23.3,32.1,25.2,23.3,33.05416666625
"28",8,5,"LCOR-575","38.13333333","28.36666667",38.13333333,28.36666667,8,5,30.1,30,36,32.03333333,"",32.03333333,8,5,42.2,37.6,45.2,"41.66666667",41.66666667,8,5,0,"0","0",1,"31.9","26.2",30,31.9,26.2,30,32.54166666625
"29",9,5,"LCOR-346","36","22.83333333",36,22.83333333,9,5,39.7,39.8,38.2,39.23333333,"",39.23333333,9,5,44.1,43.6,44.2,"43.96666667",43.96666667,9,5,1,"0","0",1,"29.3","23.2",30.5,29.3,23.2,30.5,33.0333333325
"30",10,5,"LCOR-092","30.43333333","29.45",30.43333333,29.45,10,5,37.1,39.1,35.9,37.36666667,"",37.36666667,10,5,47.9,41.2,43.8,"44.3",44.3,10,5,0,"0","0",1,"29.4","25.5",23.6,29.4,25.5,23.6,32.17708333375
"31",11,5,"LCOR-142","29.4","29.2",29.4,29.2,11,5,38.3,44.9,49.1,44.1,"",44.1,11,5,45.2,43.4,45.2,"44.6",44.6,11,5,1,"1","1",2,"24.3","21.7",23.2,24.3,21.7,23.2,32.575
"32",12,5,"LCOR-563","32.7","30.3",32.7,30.3,12,5,38.1,40.1,41.6,39.93333333,"insect damage",39.93333333,12,5,44.8,47.8,46,"46.2",46.2,12,5,1,"2","2",3,"20.6","16.3",23.5,20.6,16.3,23.5,31.1833333325
"33",14,5,"LCOR-314","36.53333333","28.36666667",36.53333333,28.36666667,14,5,31.4,36.6,35.7,34.56666667,"",34.56666667,14,5,48.2,47.9,44.6,"46.9",46.9,14,5,0,"0","0",1,"29.1","26.3",25.2,29.1,26.3,25.2,32.6916666675
"34",15,5,"LCOR-042","32.93333333","21.16666667",32.93333333,21.16666667,15,5,32.8,36.2,35.7,34.9,"",34.9,15,5,47.8,45.9,46.9,"46.86666667",46.86666667,15,5,0,"1","1",1,"27.1","18.3",25.1,27.1,18.3,25.1,30.15833333375
"35",2,6,"LCOR-577","30.6","31.66666667",30.6,31.66666667,2,6,32.2,33.2,39.3,34.9,"",34.9,2,6,37.2,43.5,43.2,"41.3",41.3,2,6,0,"0","0",1,"29.9","22.4",32.8,29.9,22.4,32.8,32.30833333375
"36",3,6,"LCOR-069","33.53333333","33.73333333",33.53333333,33.73333333,3,6,38.1,42.3,44.1,41.5,"",41.5,3,6,45.5,43.7,48.9,"46.03333333",46.03333333,3,6,1,"2","2",4,"26.1","30.7",26.4,26.1,30.7,26.4,34.93749999875
"37",4,6,"LCOR-043","37.1","28",37.1,28,4,6,35.6,37.1,38.4,37.03333333,"",37.03333333,4,6,44.2,46.2,43.9,"44.76666667",44.76666667,4,6,1,"1","1",2,"30.3","21.6",24.8,30.3,21.6,24.8,32.57916666625
"38",5,6,"LCOR-062","26.03333333","29.6",26.03333333,29.6,5,6,32,35.7,38.3,35.33333333,"",35.33333333,5,6,39.6,45.8,49.4,"44.93333333",44.93333333,5,6,0,"1","1",2,"25.7","28.8",22.5,25.7,28.8,22.5,31.029166665
"39",6,6,"LCOR-135","31.06666667","31.56666667",31.06666667,31.56666667,6,6,29,30.5,32.7,30.73333333,"",30.73333333,6,6,47.1,43.3,45.7,"45.36666667",45.36666667,6,6,0,"0","0",1,"33","24.7",31.2,33,24.7,31.2,32.29583333375
"40",7,6,"LCOR-003","33.76666667","28.86666667",33.76666667,28.86666667,7,6,32.6,37.5,45.2,38.43333333,"",38.43333333,7,6,45.9,44.7,42.2,"44.26666667",44.26666667,7,6,0,"0","0",1,"30","21.4",27.4,30,21.4,27.4,32.82083333375
"41",8,6,"LCOR-191","30.6","28.33333333",30.6,28.33333333,8,6,43.7,40.9,42.6,42.4,"",42.4,8,6,39,39,40.7,"39.56666667",39.56666667,8,6,1,"1","1",2,"29.6","17.2",26.9,29.6,17.2,26.9,32.125
"42",9,6,"LCOR-310","28.76666667","29.33333333",28.76666667,29.33333333,9,6,35.2,42.8,43.6,40.53333333,"",40.53333333,9,6,45.5,48.2,43.5,"45.73333333",45.73333333,9,6,0,"1","1",1,"30.6","22",35.2,30.6,22,35.2,34.08749999875
"43",10,6,"LCOR-251","36.9","32.43333333",36.9,32.43333333,10,6,31.3,34.9,35.2,33.8,"",33.8,10,6,36.4,39.4,39.6,"38.46666667",38.46666667,10,6,0,"3","3",2,"30.7","19.6",31,30.7,19.6,31,32.0875
"44",11,6,"LCOR-358","39.7","31.23333333",39.7,31.23333333,11,6,27.1,35.1,33.6,31.93333333,"",31.93333333,11,6,35.9,38.5,41.3,"38.56666667",38.56666667,11,6,0,"3","3",3,"22.6","19.3",29.9,22.6,19.3,29.9,30.6458333325
"45",12,6,"LCOR-363","39.6","24.66666667",39.6,24.66666667,12,6,46.3,49.2,49.8,48.43333333,"",48.43333333,12,6,42.4,42.8,NA,"42.6",42.6,12,6,1,"1","1",2,"24.3","17.5",25.4,24.3,17.5,25.4,33.86666666625
"46",13,6,"LCOR-355","33.13333333","29.16666667",33.13333333,29.16666667,13,6,42.5,43.6,37.9,41.33333333,"",41.33333333,13,6,43.9,45.9,49.5,"46.43333333",46.43333333,13,6,1,"2","2",2,"29.1","16.1",23.7,29.1,16.1,23.7,32.53749999875
"47",14,6,"LCOR-472","32.9","28.63333333",32.9,28.63333333,14,6,34.6,36.3,39.6,36.83333333,"",36.83333333,14,6,42.6,47.2,48.1,"45.96666667",45.96666667,14,6,0,"0","0",1,"26","25.1",30.1,26,25.1,30.1,32.7958333325
"48",15,6,"LCOR-421","35.4","27.16666667",35.4,27.16666667,15,6,37.5,36.9,42.2,38.86666667,"",38.86666667,15,6,39.5,43.1,43.7,"42.1",42.1,15,6,0,"0","1",2,"23.2","20.3",30.3,23.2,20.3,30.3,32.02500000125
"49",2,7,"LCOR-177","33.66666667","33.73333333",33.66666667,33.73333333,2,7,29.8,34.2,36.3,33.43333333,"",33.43333333,2,7,44,42.1,45.5,"43.86666667",43.86666667,2,7,0,"0","0",1,"22.8","23.4",31.1,22.8,23.4,31.1,31.92916666625
"50",3,7,"LCOR-073","33.4","30.06666667",33.4,30.06666667,3,7,35,39,39.3,37.76666667,"",37.76666667,3,7,47.1,40.3,45.1,"44.16666667",44.16666667,3,7,0,"1","1",1,"29.7","24.3",32.5,29.7,24.3,32.5,33.708333335
"51",4,7,"LCOR-510","32.23333333","21.83333333",32.23333333,21.83333333,4,7,37.5,38.3,43.2,39.66666667,"",39.66666667,4,7,42.2,41.2,43.4,"42.26666667",42.26666667,4,7,0,"0","1",2,"27.3","29.7",26,27.3,29.7,26,32.33333333375
"52",5,7,"LCOR-474","32.4","23.03333333",32.4,23.03333333,5,7,36.1,34.8,40.7,37.2,"",37.2,5,7,42.4,48.2,44.1,"44.9",44.9,5,7,0,"0","0",1,"30.1","28.3",26.5,30.1,28.3,26.5,32.45416666625
"53",6,7,"LCOR-181","30.06666667","32.26666667",30.06666667,32.26666667,6,7,37.2,41.8,46,41.66666667,"",41.66666667,6,7,44.8,43.7,38.4,"42.3",42.3,6,7,0,"0","0",1,"31.2","21.9",28.9,31.2,21.9,28.9,33.745833335
"54",7,7,"LCOR-148","32.5","29.8",32.5,29.8,7,7,32.5,31.8,34.2,32.83333333,"",32.83333333,7,7,40.6,37.7,40.1,"39.46666667",39.46666667,7,7,0,"0","0",1,"30.5","30.7",33.4,30.5,30.7,33.4,32.75416666625
"55",8,7,"LCOR-400","38.4","29.33333333",38.4,29.33333333,8,7,32.6,32.3,31.7,32.2,"",32.2,8,7,42.3,39.3,45,"42.2",42.2,8,7,0,"0","0",1,"27.7","21.6",32.9,27.7,21.6,32.9,32.06666666625
"56",9,7,"LCOR-530","32.23333333","28",32.23333333,28,9,7,34.9,35.9,39,36.6,"",36.6,9,7,43.9,52.9,47.1,"47.96666667",47.96666667,9,7,0,"0","0",1,"28","22.7",28.2,28,22.7,28.2,32.5375
"57",12,7,"LCOR-094","29.06666667","28.7",29.06666667,28.7,12,7,38.2,38.8,45.1,40.7,"",40.7,12,7,40.2,37.9,41.7,"39.93333333",39.93333333,12,7,0,"0","0",0,"26.3","24.4",34.8,26.3,24.4,34.8,33.075
"58",13,7,"LCOR-296","35.83333333","28.73333333",35.83333333,28.73333333,13,7,30.3,30.9,40.5,33.9,"",33.9,13,7,50.4,44.2,44.4,"46.33333333",46.33333333,13,7,0,"0","0",1,"24.1","22.1",29.9,24.1,22.1,29.9,31.84999999875
"59",14,7,"LCOR-265","35","25.4",35,25.4,14,7,33.7,36.6,40.7,37,"",37,14,7,44.3,43.2,44,"43.83333333",43.83333333,14,7,1,"1","1",2,"25.3","29.5",23.2,25.3,29.5,23.2,32.02916666625
"60",15,7,"LCOR-198","32.5","23.46666667",32.5,23.46666667,15,7,33,30.4,32.3,31.9,"",31.9,15,7,38.1,40.7,39.4,"39.4",39.4,15,7,2,"4","4",4,"25.1","26.4",21.2,25.1,26.4,21.2,28.98333333375
"61",2,8,"LCOR-179","34.26666667","26.26666667",34.26666667,26.26666667,2,8,31.1,30.2,33.9,31.73333333,"",31.73333333,2,8,45.4,48.4,46.4,"46.73333333",46.73333333,2,8,0,"1","1",1,"32.3","27.7",25.2,32.3,27.7,25.2,31.99166666625
"62",3,8,"LCOR-036","35.1","28.63333333",35.1,28.63333333,3,8,26.9,30.5,33.9,30.43333333,"",30.43333333,3,8,45.7,44.5,44.8,"45",45,3,8,0,"2","2",1,"29.4","17.9",25.6,29.4,17.9,25.6,30.31249999875
"63",4,8,"LCOR-279","32.93333333","23.7",32.93333333,23.7,4,8,38.5,33.4,35.4,35.76666667,"",35.76666667,4,8,46.1,47.7,44.9,"46.23333333",46.23333333,4,8,0,"1","1",1,"30.1","27.3",29.6,30.1,27.3,29.6,32.675
"64",5,8,"LCOR-078","36.23333333","24.43333333",36.23333333,24.43333333,5,8,30.4,40.3,40.6,37.1,"",37.1,5,8,43,46.4,46.1,"45.16666667",45.16666667,5,8,0,"2","2",1,"32.5","29.6",31.2,32.5,29.6,31.2,34.16666666625
"65",6,8,"LCOR-582","32.43333333","29.43333333",32.43333333,29.43333333,6,8,29.1,30.5,36.2,31.93333333,"",31.93333333,6,8,44.8,46.3,45.8,"45.63333333",45.63333333,6,8,0,"2","2",0,"31.4","19.6",33.5,31.4,19.6,33.5,31.98333333125
"66",7,8,"LCOR-385","38.86666667","28.7",38.86666667,28.7,7,8,29.4,40.1,37.5,35.66666667,"",35.66666667,7,8,43,42.6,45.9,"43.83333333",43.83333333,7,8,0,"3","3",0,"26.3","28.1",33.7,26.3,28.1,33.7,33.8541666675
"67",8,8,"LCOR-250","35.96666667","24.93333333",35.96666667,24.93333333,8,8,32,36.5,37.3,35.26666667,"",35.26666667,8,8,39.5,42,39.6,"40.36666667",40.36666667,8,8,0,"1","1",0,"25.7","19.1",31.8,25.7,19.1,31.8,31.05000000125
"68",9,8,"LCOR-034","36.13333333","28.86666667",36.13333333,28.86666667,9,8,39.4,42.2,41.4,41,"",41,9,8,41.5,43,45.3,"43.26666667",43.26666667,9,8,0,"3","3",2,"24.8","29.9",21.7,24.8,29.9,21.7,33.33333333375
"69",10,8,"LCOR-255","37.83333333","28.33333333",37.83333333,28.33333333,10,8,28.4,30.8,37.2,32.13333333,"",32.13333333,10,8,43,39.9,42.9,"41.93333333",41.93333333,10,8,0,"2","2",2,"27.1","24.2",23.6,27.1,24.2,23.6,30.90833333125
"70",12,8,"LCOR-254","23.73333333","32.9",23.73333333,32.9,12,8,39.8,32.7,41.6,38.03333333,"",38.03333333,12,8,45.2,41.3,47,"44.5",44.5,12,8,0,"2","2",1,"23.6","20.5",26.7,23.6,20.5,26.7,30.99999999875
"71",13,8,"LCOR-469","31.1","27.7",31.1,27.7,13,8,48.7,45.7,53.5,49.3,"",49.3,13,8,42.7,42.2,44.1,"43",43,13,8,1,"2","2",3,"29.2","25.1",28.5,29.2,25.1,28.5,35.4
"72",14,8,"LCOR-167","32.83333333","27.1",32.83333333,27.1,14,8,32,32.5,35.8,33.43333333,"",33.43333333,14,8,40.6,40.8,44.6,"42",42,14,8,1,"3","3",3,"25.5","27.8",27.3,25.5,27.8,27.3,31.17499999875
"73",15,8,"LCOR-274","29.86666667","32.06666667",29.86666667,32.06666667,15,8,33.5,35.6,41,36.7,"",36.7,15,8,42.6,40.4,42.2,"41.73333333",41.73333333,15,8,0,"1","2",2,"24.8","21.4",26.8,24.8,21.4,26.8,31.25833333375
"74",2,9,"LCOR-581","38.23333333","34.76666667",38.23333333,34.76666667,2,9,29.3,34.1,35.9,33.1,"",33.1,2,9,45.8,41.2,42.4,"43.13333333",43.13333333,2,9,0,"0","0",0,"25.9","25.4",33.1,25.9,25.4,33.1,33.34166666625
"75",3,9,"LCOR-001","40.96666667","29.56666667",40.96666667,29.56666667,3,9,26.7,31.4,31.2,29.76666667,"",29.76666667,3,9,39.5,40.1,44,"41.2",41.2,3,9,0,"0","0",1,"24.7","18.8",26.5,24.7,18.8,26.5,30.158333335
"76",4,9,"LCOR-342","35.9","26.73333333",35.9,26.73333333,4,9,28.1,28.7,38.7,31.83333333,"",31.83333333,4,9,43.8,43.7,43.2,"43.56666667",43.56666667,4,9,1,"1","1",2,"28.9","22.3",20.5,28.9,22.3,20.5,30.1958333325
"77",5,9,"LCOR-471","40.33333333","30.33333333",40.33333333,30.33333333,5,9,28.8,32.8,36.1,32.56666667,"",32.56666667,5,9,43.2,40.1,38.5,"40.6",40.6,5,9,0,"1","1",1,"27","21.3",27,27,21.3,27,31.4625
"78",6,9,"LCOR-380","36.2","25.46666667",36.2,25.46666667,6,9,32.9,31.4,40.4,34.9,"",34.9,6,9,39.4,44.8,43.4,"42.53333333",42.53333333,6,9,0,"1","1",1,"28","29.5",29,28,29.5,29,32.5625
"79",7,9,"LCOR-076","34.26666667","28.5",34.26666667,28.5,7,9,30.7,32.7,39,34.13333333,"",34.13333333,7,9,41.7,47.1,45.9,"44.9",44.9,7,9,0,"1","1",1,"26.2","26.1",30.5,26.2,26.1,30.5,32.34166666625
"80",8,9,"LCOR-163","37.03333333","27.9",37.03333333,27.9,8,9,27.5,32.7,33.3,31.16666667,"",31.16666667,8,9,37.9,43.3,45.5,"42.23333333",42.23333333,8,9,0,"0","0",1,"26.8","28.2",30.2,26.8,28.2,30.2,31.8375
"81",10,9,"LCOR-217","34.9","31.03333333",34.9,31.03333333,10,9,37.1,40.6,43,40.23333333,"",40.23333333,10,9,41.3,45.3,40.7,"42.43333333",42.43333333,10,9,1,"1","2",2,"17.4","29",18.9,17.4,29,18.9,31.766666665
"82",11,9,"LCOR-231","34.13333333","30.43333333",34.13333333,30.43333333,11,9,34.8,35.1,40.7,36.86666667,"",36.86666667,11,9,42.7,43.5,41.2,"42.46666667",42.46666667,11,9,0,"0","0",0,"28.9","20.6",30.4,28.9,20.6,30.4,32.58333333375
"83",12,9,"LCOR-075","32.3","27.13333333",32.3,27.13333333,12,9,41,45,43.3,43.1,"",43.1,12,9,41.9,46.5,NA,"44.2",44.2,12,9,1,"1","1",1,"21.8","25.7",30.2,21.8,25.7,30.2,33.44166666625
"84",13,9,"LCOR-504","32.46666667","27.23333333",32.46666667,27.23333333,13,9,42.2,44.1,46,44.1,"",44.1,13,9,41.6,43.9,43.7,"43.06666667",43.06666667,13,9,1,"2","2",2,"27.1","26",26.7,27.1,26,26.7,33.84583333375
"85",14,9,"LCOR-511","34.13333333","29.23333333",34.13333333,29.23333333,14,9,35.7,41.7,35.8,37.73333333,"",37.73333333,14,9,43.2,46.4,44.7,"44.76666667",44.76666667,14,9,0,"0","0",0,"26.8","27.5",32.4,26.8,27.5,32.4,33.78749999875
"86",15,9,"LCOR-041","33.26666667","27.2",33.26666667,27.2,15,9,26.1,30.7,31.4,29.4,"",29.4,15,9,43.4,47.8,49.5,"46.9",46.9,15,9,0,"0","0",0,"27.2","23.5",37.7,27.2,23.5,37.7,31.82083333375
"87",3,10,"LCOR-023","34.06666667","28.7",34.06666667,28.7,3,10,41.5,38.9,41.1,40.5,"",40.5,3,10,43.3,42.1,38.2,"41.2",41.2,3,10,0,"0","0",1,"31.4","26.8",29.4,31.4,26.8,29.4,34.07083333375
"88",4,10,"LCOR-020","35.13333333","27.46666667",35.13333333,27.46666667,4,10,38.3,47.7,44.8,43.6,"",43.6,4,10,46.1,42.7,47,"45.26666667",45.26666667,4,10,0,"0","0",1,"33.6","25.3",28.2,33.6,25.3,28.2,35.27083333375
"89",5,10,"LCOR-010","32.1","28.13333333",32.1,28.13333333,5,10,42.4,48.3,46.8,45.83333333,"",45.83333333,5,10,45.2,43.4,41.2,"43.26666667",43.26666667,5,10,0,"1","1",2,"29.5","28.4",25.3,29.5,28.4,25.3,34.7958333325
"90",6,10,"LCOR-292","33.93333333","18.16666667",33.93333333,18.16666667,6,10,35.8,38.4,44.1,39.43333333,"",39.43333333,6,10,39.5,40.1,41.8,"40.46666667",40.46666667,6,10,1,"1","1",2,"29.6","29.6",24.4,29.6,29.6,24.4,31.87916666625
"91",7,10,"LCOR-420","33.9","26",33.9,26,7,10,34.2,31.8,39.7,35.23333333,"",35.23333333,7,10,47,45.2,45.6,"45.93333333",45.93333333,7,10,0,"1","1",1,"30.1","17.7",23.3,30.1,17.7,23.3,30.92499999875
"92",8,10,"LCOR-157","34.83333333","36.4",34.83333333,36.4,8,10,34.3,33.7,29.1,32.36666667,"",32.36666667,8,10,41.3,43.6,44.2,"43.03333333",43.03333333,8,10,0,"1","3",2,"30.5","23.4",26.1,30.5,23.4,26.1,32.375
"93",10,10,"LCOR-263","33.4","32.93333333",33.4,32.93333333,10,10,34.7,39.4,39.3,37.8,"",37.8,10,10,44.2,43.4,39,"42.2",42.2,10,10,1,"2","2",2,"25.9","19",21.9,25.9,19,21.9,31.36666666625
"94",11,10,"LCOR-018","38.5","31.53333333",38.5,31.53333333,11,10,33.6,35.5,40.8,36.63333333,"",36.63333333,11,10,47.4,46.7,46.2,"46.76666667",46.76666667,11,10,0,"2","2",1,"22.4","18.4",29.4,22.4,18.4,29.4,32.5333333325
"95",12,10,"LCOR-286","28.43333333","24.96666667",28.43333333,24.96666667,12,10,38.9,41.4,41.6,40.63333333,"",40.63333333,12,10,47.1,46.1,44.5,"45.9",45.9,12,10,0,"3","3",1,"25.1","17.8",36,25.1,17.8,36,32.4333333325
"96",13,10,"LCOR-133","31.53333333","29.8",31.53333333,29.8,13,10,37.6,38.1,40,38.56666667,"",38.56666667,13,10,40.7,41.5,40.7,"40.96666667",40.96666667,13,10,3,"3","3",4,"16.1","29.1",23.3,16.1,29.1,23.3,30.9916666675
"97",14,10,"LCOR-039","35.76666667","30.33333333",35.76666667,30.33333333,14,10,37.8,32.4,39.8,36.66666667,"",36.66666667,14,10,38,42.4,43.7,"41.36666667",41.36666667,14,10,0,"1","1",1,"28.1","27.5",28.5,28.1,27.5,28.5,33.11250000125
"98",15,10,"LCOR-203","35.46666667","20.56666667",35.46666667,20.56666667,15,10,37.8,38.7,36,37.5,"",37.5,15,10,38.5,37.6,39.5,"38.53333333",38.53333333,15,10,1,"1","1",1,"23.7","21.2",21,23.7,21.2,21,29.43333333375
"99",2,11,"LCOR-164","33.06666667","27.3",33.06666667,27.3,2,11,40.6,43.5,44.1,42.73333333,"",42.73333333,2,11,41.3,41.6,47.3,"43.4",43.4,2,11,0,"0","0",1,"28.2","22.6",26.5,28.2,22.6,26.5,33.31666666625
"100",3,11,"LCOR-529","29.06666667","26.03333333",29.06666667,26.03333333,3,11,35.8,35.3,35.8,35.63333333,"",35.63333333,3,11,45.6,47.2,48.9,"47.23333333",47.23333333,3,11,1,"1","1",1,"31.9","24.9",25.9,31.9,24.9,25.9,32.03749999875
