"","date","SPAD","Midday_WP","ID","Response_curve","E","Emm","A","Ca","Ci","CO2_r_sp","Qin","gsw","RHcham","VPcham","VPDleaf","Fm","Fv.Fm","Fs","Fm.","PhiPS2","ETR","PhiCO2","NPQ","Fmin","Fo.","Fv..Fm.","qP","qN","qP_Fo","qN_Fo","Tleaf","sample_date"
"48","6/14/23 10:59",NA,0.5,"LCOR-412","Q",0.001200693,1.200693409,8.959009072,410.0344567,198.2589023,419.397,600.0026,0.071252197,45.10099804,1.51917094,1.697977647,2739.22,"0.841467089",475.8732721,1207.68,"0.605960791","153.0650056",0.019886408,"1.268167064",506.75,"506.75","0.580393813","1.044051086","0.686029376","0.946191508","0.664453044",25.19665333,"Jun14"
"49","6/14/23 11:00",NA,0.5,"LCOR-412","Q",0.001221789,1.22178919,7.236988135,410.0356694,240.3761859,417.812,299.9975484,0.072838967,44.81283291,1.517027817,1.69063452,2739.22,"0.841467089",478.0014877,1927.11,"0.751959417","95.07888655",0.032918568,"0.421413412",577.89,"577.89","0.700126096","1.074034266","0.37574549","0.97069708","0.352330962",25.14705806,"Jun14"
"50","6/14/23 11:01",NA,0.5,"LCOR-412","Q",0.001180625,1.180625144,4.340379071,410.1642533,303.0339588,414.963,150.0040323,0.071933132,45.65307247,1.520128784,1.654089635,2739.22,"0.841467089",480.672732,2138.33,"0.775211154","49.00825583",0.042929482,"0.281009012",625.81,"625.81","0.707337034","1.095957255","0.284322493","0.972761614","0.260693935",24.97118065,"Jun14"
"51","6/14/23 11:03",NA,0.5,"LCOR-412","Q",0.001229106,1.229105701,0.68591204,410.320225,384.8924629,411.316,50.01438065,0.074798561,45.73917856,1.517477072,1.656925142,2739.22,"0.841467089",483.5367537,2332.87,"0.792728805","16.70562223",0.042078094,"0.174184588",658.16,"658.16","0.717875407","1.104270737","0.195261069","0.974044094","0.176293466",24.97215161,"Jun14"
"52","6/14/23 11:04",NA,0.5,"LCOR-412","Q",0.001265087,1.265086603,-1.741706659,410.32926,435.8295245,408.916,0.0499931,0.076631164,45.63817112,1.519998749,1.665088034,2658.97,"0.817416612",0,0,"0","0",0,"0",0,"0","0","0","0","0","0",25.0285129,"Jun14"
"67","6/14/23 11:58",NA,1.16,"LCOR-063","Q",0.00144747,1.447469939,11.68035379,412.9672204,189.3206494,424.926,1799.992333,0.087904898,47.25845636,1.502098356,1.664261769,2658.97,"0.817416612",499.3366939,968.732,"0.484546093","366.6022443",0.008870113,"1.744794226",505.09,"505.09","0.478607086","1.012408941","0.784741025","0.971333693","0.777662155",24.92962,"Jun14"
"68","6/14/23 11:59",NA,1.16,"LCOR-063","Q",0.001338444,1.338444019,10.65038462,410.2331818,191.0465199,421.226,1499.974839,0.081741628,47.29522295,1.51103303,1.653000288,2658.97,"0.817416612",500.9986777,910.896,"0.449993547","283.7637252",0.009825712,"1.919070893",488.59,"488.59","0.463616044","0.970616857","0.805423013","0.963529667","0.804271939",24.91729677,"Jun14"
"69","6/14/23 12:01",NA,1.16,"LCOR-063","Q",0.001240092,1.24009248,10.14722612,409.9388597,185.2081776,420.466,1000.016548,0.07578329,46.49325346,1.508719666,1.650112039,2658.97,"0.817416612",502.1288291,957.627,"0.475653016","200.0616158",0.014133163,"1.776623884",475.47,"475.47","0.503491443","0.944709236","0.779181589","0.964745704","0.782771458",24.88971935,"Jun14"
"70","6/14/23 12:02",NA,1.16,"LCOR-063","Q",0.001173887,1.173886871,9.439296126,409.9106024,186.0084321,419.775,600.0109677,0.070747352,45.41568523,1.509143169,1.671407768,2658.97,"0.817416612",503.3029111,1259.42,"0.600369288","151.6548379",0.022131607,"1.111265503",501.37,"501.37","0.601904051","0.997450154","0.648660549","0.976975933","0.643919418",25.00460645,"Jun14"
"71","6/14/23 12:04",NA,1.16,"LCOR-063","Q",0.001142589,1.142589073,6.988637595,410.1552503,233.6208275,417.618,300.0010968,0.067396064,44.50905232,1.510306315,1.706431125,2658.97,"0.817416612",504.9813022,2011.04,"0.748895446","94.69243035",0.034522902,"0.32218653",586.77,"586.77","0.708225595","1.057424995","0.312677348","0.987219383","0.298106326",25.19450645,"Jun14"
"72","6/14/23 12:05",NA,1.16,"LCOR-063","Q",0.001064436,1.064436359,3.418792067,410.1049962,313.9746403,414.065,149.9957419,0.063967554,44.90750311,1.509158546,1.674093878,2658.97,"0.817416612",507.1486145,2362.26,"0.78531211","49.64407134",0.040816577,"0.125604294",650.5,"650.5","0.72462811","1.083745026","0.147729366","0.988456342","0.136513401",25.01884839,"Jun14"
"73","6/14/23 12:07",NA,1.16,"LCOR-063","Q",0.000962551,0.962550781,0.650972857,410.1133219,381.2744645,411.26,49.99734516,0.057778753,45.28027777,1.505120245,1.674076114,2658.97,"0.817416612",509.4553059,2605.36,"0.804458767","16.94701645",0.056789112,"0.020576811",686.93,"686.93","0.7363397","1.092510383","0.027185047","0.988692003","0.024665442",24.99746129,"Jun14"
"74","6/14/23 12:08",NA,1.16,"LCOR-063","Q",0.000936383,0.936383229,-1.295543283,410.2453885,435.9693577,409.028,0.0499931,0.056445909,45.74166948,1.511323212,1.666568582,2828.58,"0.819460118",0,0,"0","0",0,"0",0,"0","0","0","0","0","0",24.99057742,"Jun14"
"89","6/14/23 13:24",NA,1.17,"LCOR-546","Q",0.003066618,3.066617845,18.17417521,412.0774465,244.928892,431.423,1800.004333,0.189184599,46.3528276,1.513018316,1.667715329,2828.58,"0.819460118",531.8955686,1047.7,"0.492320732","372.4869515",0.012866687,"1.699799561",544.45,"544.45","0.480337883","1.024946709","0.779675413","0.960478692","0.768313331",25.00557,"Jun14"
"90","6/14/23 13:26",NA,1.17,"LCOR-546","Q",0.002791284,2.791283889,17.46354873,410.2548838,237.1593598,428.148,1500.483871,0.174528423,46.77817811,1.508972053,1.641353896,2828.58,"0.819460118",533.2808666,1026.96,"0.48071895","303.2417977",0.014869077,"1.75432344",524.81,"524.81","0.488967438","0.983130804","0.782031192","0.956207882","0.777261052",24.84453871,"Jun14"
"91","6/14/23 13:27",NA,1.17,"LCOR-546","Q",0.002602165,2.602164603,16.30757204,410.0547486,232.01728,427.169,1000.0016,0.157967999,46.1634678,1.512393258,1.685031355,2828.58,"0.819460118",534.3111141,1115.45,"0.520990529","219.127302",0.020926321,"1.535819624",516.05,"516.05","0.537361603","0.969534344","0.740803363","0.960911947","0.739084394",25.09339,"Jun14"
"92","6/14/23 13:29",NA,1.17,"LCOR-546","Q",0.002482261,2.482261224,15.14954279,410.0469832,238.4267606,426.249,600.0246774,0.152378699,46.04295192,1.511798767,1.6648317,2828.58,"0.819460118",535.285347,1561.97,"0.657301134","166.0397878",0.032550553,"0.810905459",548.29,"548.29","0.648975332","1.01282915","0.555460051","0.976587195","0.546445211",24.98391935,"Jun14"
"93","6/14/23 13:30",NA,1.17,"LCOR-546","Q",0.002399593,2.39959292,10.39201831,410.4324551,284.5267693,421.861,300.0242,0.146001149,45.67692942,1.507175689,1.677649823,2828.58,"0.819460118",536.3962087,2147.8,"0.750257841","94.87217798",0.046213152,"0.316966198",622.49,"622.49","0.7101732","1.056443471","0.308591218","0.984286689","0.293704432",25.02713667,"Jun14"
"94","6/14/23 13:32",NA,1.17,"LCOR-546","Q",0.002268274,2.268274212,5.426038777,410.3896714,337.3235502,416.646,150.0041935,0.140488779,46.2273619,1.511180672,1.646553135,2828.58,"0.819460118",538.1213642,2384.99,"0.774371648","48.95520321",0.053160872,"0.185992394",657.44,"657.44","0.72434266","1.069068123","0.20431202","0.985354749","0.191375112",24.88389355,"Jun14"
"95","6/14/23 13:34",NA,1.17,"LCOR-546","Q",0.002179758,2.179758081,0.982114388,410.5985473,387.8961731,412.26,50.00159677,0.133345662,45.84422248,1.506639325,1.664885529,2828.58,"0.819460118",539.5707845,2543.94,"0.787899563","16.59961083",0.054054444,"0.111889431",681.51,"681.51","0.732104531","1.076211839","0.132571365","0.985786784","0.122800361",24.95694516,"Jun14"
"96","6/14/23 13:35",NA,1.17,"LCOR-546","Q",0.002104466,2.104465978,-1.364719255,410.2933682,416.6227885,409.665,0.0499931,0.127593625,45.80397802,1.511930262,1.677887599,2781.3,"0.805602517",0,0,"0","0",0,"0",0,"0","0","0","0","0","0",25.05341667,"Jun14"
"111","6/14/23 15:28",NA,0.73,"LCOR-347","Q",0.00343943,3.439429745,22.91721591,412.254908,265.6213874,436.555,1800.032333,0.274343313,58.35122064,1.879604409,1.306199531,2781.3,"0.805602517",886.0015769,1162.79,"0.238038187","180.1011154",0.016046619,"1.391919435",556.95,"556.95","0.521022713","0.456867198","0.727632792","0.444917151","0.722348436",25.03229,"Jun14"
"112","6/14/23 15:29",NA,0.73,"LCOR-347","Q",0.003182572,3.18257197,21.78474953,410.0898468,259.1389129,432.964,1499.995484,0.251983525,57.60102124,1.845741063,1.311078084,2781.3,"0.805602517",810.0081538,1140.15,"0.289560011","182.5975429",0.018355013,"1.439415866",541.09,"541.09","0.525422094","0.5510998","0.73258757","0.550720788","0.732452772",24.87903871,"Jun14"
"113","6/14/23 15:31",NA,0.73,"LCOR-347","Q",0.002774421,2.77442115,20.22451522,410.084913,249.6470841,431.413,999.9410323,0.218201883,57.03165508,1.849920094,1.311834278,2781.3,"0.805602517",764.0352692,1291.18,"0.408265874","171.7052608",0.025666504,"1.154076116",541.85,"541.85","0.580345111","0.70348809","0.665395521","0.702389247","0.66504739",24.90521935,"Jun14"
"114","6/14/23 15:32",NA,0.73,"LCOR-347","Q",0.002526604,2.526604453,18.01912642,409.9586896,252.1577044,429.05,600.0054516,0.197236656,56.86440495,1.882892588,1.316173159,2781.3,"0.805602517",836.1447308,1878.8,"0.554958095","140.182526",0.038368627,"0.480359804",586.57,"586.57","0.687795401","0.806865085","0.411212313","0.779192818","0.402789889",25.10200323,"Jun14"
"115","6/14/23 15:34",NA,0.73,"LCOR-347","Q",0.002501413,2.501412923,11.67460418,410.1868579,307.2934666,422.967,300.0250323,0.201827262,57.26212123,1.896048335,1.274490661,2781.3,"0.805602517",910.87968,2449.9,"0.6281972","79.43747031",0.051557951,"0.135270827",655.17,"655.17","0.732572758","0.857521923","0.155870055","0.806098031","0.14790534",24.95173226,"Jun14"
"116","6/14/23 15:36",NA,0.73,"LCOR-347","Q",0.002453291,2.45329131,5.880088976,410.3100934,352.5788762,417.163,149.9550667,0.194807407,57.04176158,1.894501949,1.293223537,2781.3,"0.805602517",882.0833462,2596.45,"0.660273317","41.72829051",0.057317871,"0.07119336",695.16,"695.16","0.732265208","0.901686042","0.088608626","0.833928286","0.082499403",25.04240667,"Jun14"
"117","6/14/23 15:38",NA,0.73,"LCOR-347","Q",0.002226788,2.226787959,1.156154403,410.4457084,391.4847648,412.219,49.94431935,0.177841713,57.54323477,1.911739537,1.281659333,2781.3,"0.805602517",824.31452,2635.51,"0.687227702","14.46207537",0.059895076,"0.055317567",691.54,"691.54","0.737606763","0.931699296","0.069763992","0.864601667","0.065066746",25.07224516,"Jun14"
"118","6/14/23 15:39",NA,0.73,"LCOR-347","Q",0.002240542,2.240542321,-1.226258601,410.2394207,413.0244772,409.73,0.0499931,0.179672384,57.24536072,1.892181727,1.277071053,2858.75,"0.782618277",0,0,"0","0",0,"0",0,"0","0","0","0","0","0",24.94492903,"Jun14"
"133","6/15/23 13:45",NA,1.04,"LCOR-268","Q",0.001802203,1.802203271,18.55483684,412.440076,188.7658915,431.866,1799.99129,0.139665142,66.18787349,2.502361142,1.306061573,2858.75,"0.782618277",689.11176,942.213,"0.268624228","203.2380536",0.013072556,"2.034080404",495.31,"495.31","0.474312072","0.566344912","0.810909945","0.789035361","0.856625591",28.06130323,"Jun14"
"134","6/15/23 13:46",NA,1.04,"LCOR-268","Q",0.001879259,1.879259027,17.93729741,410.0681735,202.4969397,429.167,1499.984839,0.146045964,65.57366533,2.467518216,1.304333534,2858.75,"0.782618277",666.1051538,983.008,"0.32238074","203.2930091",0.015194722,"1.908165549",488.27,"488.27","0.503289902","0.640546807","0.791292059","0.876468178","0.83839164",27.8958129,"Jun14"
"135","6/15/23 13:48",NA,1.04,"LCOR-268","Q",0.001831085,1.831084784,17.62295808,410.0569803,197.6880299,428.825,999.9961935,0.140041527,64.66640122,2.482151047,1.323646681,2858.75,"0.782618277",684.56936,1256.96,"0.455376973","191.5294849",0.022407775,"1.274336494",506.14,"506.14","0.597330066","0.762354013","0.680856581","0.90066503","0.715944594",28.04947097,"Jun14"
"136","6/15/23 13:50",NA,1.04,"LCOR-268","Q",0.00182885,1.828850304,15.63110551,410.1305954,225.543726,426.761,600.0084516,0.143771361,64.574255,2.478970657,1.288880757,2858.75,"0.782618277",778.5236538,1807.83,"0.569360142","143.8212363",0.033367504,"0.581315721",563.57,"563.57","0.688261618","0.82724378","0.457881299","0.867595265","0.469724803",27.87762581,"Jun14"
"137","6/15/23 13:51",NA,1.04,"LCOR-268","Q",0.001628497,1.628496844,10.03159893,410.0234554,274.0687906,420.739,299.9764667,0.127157545,64.08299373,2.493779373,1.293498742,2858.75,"0.782618277",806.5656,2112.56,"0.618204643","78.16125381",0.044521163,"0.353216003",639.19,"639.19","0.697433446","0.886399479","0.336188254","0.875847953","0.333521059",27.96579,"Jun14"
"138","6/15/23 13:53",NA,1.04,"LCOR-268","Q",0.001632747,1.632746546,5.078782501,409.9994782,335.0667276,415.692,149.9959677,0.123845603,62.87937464,2.467103122,1.330822686,2858.75,"0.782618277",797.61656,2282.56,"0.650560529","41.12573576",0.049869149,"0.25243148",672.97,"672.97","0.705168758","0.922560056","0.263608414","0.8939411","0.257536953",28.01394516,"Jun14"
"139","6/15/23 13:55",NA,1.04,"LCOR-268","Q",0.00157179,1.571789617,0.624728284,410.4424187,393.5148804,411.278,49.9955129,0.121078096,63.31712525,2.513668146,1.309223844,2858.75,"0.782618277",765.52224,2371.62,"0.677215473","14.26587827",0.043934097,"0.205399685",669.95,"669.95","0.717513767","0.943836208","0.222555738","0.917675759","0.217730221",28.12639677,"Jun14"
"140","6/15/23 13:57",NA,1.04,"LCOR-268","Q",0.001478733,1.478733317,-2.34578112,410.251551,434.6256408,408.456,0.0499931,0.115066322,63.25235515,2.473555578,1.295032761,2661.93,"0.753565871",0,0,"0","0",0,"0",0,"0","0","0","0","0","0",27.88097742,"Jun14"
"155","6/15/23 16:07",NA,0.68,"LCOR-155","Q",0.00293028,2.930280439,16.48119962,411.3919148,237.6524409,429.145,1799.98,0.164783849,53.36955862,1.990873803,1.810526487,2661.93,"0.753565871",757.20288,974.129,"0.222687262","168.4816018",0.012442097,"1.732625761",521.24,"521.24","0.464916864","0.478982974","0.78843784","0.681860422","0.841401705",28.02963333,"Jun14"
"156","6/15/23 16:09",NA,0.68,"LCOR-155","Q",0.001882973,1.882973299,15.6463906,410.2030147,199.6604838,426.481,1500.026774,0.125756879,61.04318521,2.283823321,1.511429571,2661.93,"0.753565871",708.77228,973.279,"0.27176865","171.3818502",0.014265537,"1.735012263",510.57,"510.57","0.475412497","0.571648098","0.784922561","0.833647096","0.841825447",28.00186774,"Jun14"
"157","6/15/23 16:10",NA,0.68,"LCOR-155","Q",0.002133395,2.133395383,14.79559522,409.9103501,235.5166513,425.81,1000.013833,0.145376221,59.7796178,2.243814458,1.487383696,2661.93,"0.753565871",685.16848,1125.66,"0.391318444","164.5896553",0.020377152,"1.364772667",512.13,"512.13","0.545040243","0.717962479","0.714610661","0.937875306","0.765860547",27.71019667,"Jun14"
"158","6/15/23 16:12",NA,0.68,"LCOR-155","Q",0.001806402,1.806402451,13.60789034,409.962275,217.4855417,424.442,599.9960323,0.120102936,60.06390631,2.334869688,1.515820209,2661.93,"0.753565871",755.73532,1713.72,"0.55900887","141.203645",0.031579368,"0.553305091",555.77,"555.77","0.675693812","0.82731092","0.450207961","0.905699037","0.472701172",28.25085161,"Jun14"
"159","6/15/23 16:14",NA,0.68,"LCOR-155","Q",0.001993916,1.993915903,9.509102962,409.9623442,288.4026372,420.39,299.9966129,0.137288262,59.67176614,2.266837479,1.469639907,2661.93,"0.753565871",844.8434,2276.43,"0.628873543","79.51548298",0.046879065,"0.169344105",632.83,"632.83","0.722007705","0.871006693","0.189985708","0.883455699","0.192179266",27.7344,"Jun14"
"160","6/15/23 16:15",NA,0.68,"LCOR-155","Q",0.001812561,1.812561208,4.619196449,410.3039626,338.7776047,415.734,149.9875806,0.120815167,59.19455951,2.286469713,1.512908181,2661.93,"0.753565871",835.6294,2437.15,"0.657128449","41.53859735",0.055091953,"0.092230679",676.05,"676.05","0.722606323","0.90938652","0.113189115","0.899144917","0.112057212",28.02050323,"Jun14"
"161","6/15/23 16:17",NA,0.68,"LCOR-155","Q",0.00190007,1.900070259,0.393798725,410.3084189,395.6467432,411.253,50.03094516,0.129156678,59.80751058,2.319590549,1.485349463,2661.93,"0.753565871",808.766,2610.72,"0.690213428","14.55005117",0.064978974,"0.019615279",688.21,"688.21","0.736390727","0.937292394","0.02594593","0.921843103","0.025529183",28.04560323,"Jun14"
"162","6/15/23 16:19",NA,0.68,"LCOR-155","Q",0.001832392,1.832392297,-2.520107305,410.2103577,433.1737122,408.3,0.0499931,0.124180751,59.23734498,2.268795209,1.489213071,2972.89,"0.774748343",0,0,"0","0",0,"0",0,"0","0","0","0","0","0",27.83280323,"Jun14"
"177","20230622 08:46:59",27.6,NA,"LCOR-322","Q",0.001472218,1.472218321,11.61155113,408.2087333,208.1523038,423.358,1800.148667,0.098020606,61.29351418,2.290815897,1.498803769,3673.6,"0.832298454",597.51772,729.06,"0.180427235","136.5211371",0.008482423,"4.038817107",446.76,"446.76","0.387210929","0.465966277","0.91251503","1.164177514","0.96304483",27.97639,"Jun22"
"178","20230622 08:49:22",27.6,NA,"LCOR-322","Q",0.001510742,1.510742015,10.88631119,414.2460968,234.5018238,419.158,1500.040323,0.102948671,62.18374369,2.321096564,1.465489232,3673.6,"0.832298454",569.85816,736.497,"0.226258681","142.683789",0.009602651,"3.987936136",440.62,"440.62","0.401735513","0.563203088","0.908481649","1.383714832","0.960612476",27.96265484,"Jun22"
"179","20230622 08:52:04",27.6,NA,"LCOR-322","Q",0.001286012,1.286012214,11.90117226,413.0799355,182.7987766,422.518,1000.025484,0.086542488,61.4605278,2.299899292,1.479577386,3673.6,"0.832298454",583.13896,898.548,"0.351020802","147.6420739",0.015603795,"3.088373687",455.67,"455.67","0.492881849","0.71218042","0.862371773","1.116572807","0.907611879",27.93043226,"Jun22"
"180","20230622 08:54:44",27.6,NA,"LCOR-322","Q",0.001263145,1.263145497,11.21959168,411.8942581,193.5671698,421.497,599.9849032,0.086206791,61.16453823,2.309491712,1.458917881,3673.6,"0.832298454",691.23784,1437.78,"0.519232539","131.1538288",0.024633774,"1.555050147",503.95,"503.95","0.649494359","0.799441183","0.705383875","0.908520897","0.731250006",27.88016452,"Jun22"
"181","20230622 08:57:11",27.6,NA,"LCOR-322","Q",0.001274092,1.274091899,8.723795906,409.5708,234.3360499,420.462,299.9256,0.084536576,60.00690068,2.267025558,1.500560031,3673.6,"0.832298454",763.5753846,1954.51,"0.609326438","77.02568459",0.039350857,"0.879550373",580.23,"580.23","0.703132755","0.866588043","0.555733714","0.88979199","0.562247664",27.87641667,"Jun22"
"182","20230622 08:59:26",27.6,NA,"LCOR-322","Q",0.001159257,1.159256979,4.909737671,409.9234667,298.3789016,416.058,149.9938,0.077265365,60.24658747,2.29967482,1.491455005,3673.6,"0.832298454",743.1904615,2101.91,"0.646421368","40.86349173",0.0485227,"0.747743719",616.35,"616.35","0.706766703","0.914617746","0.514086189","0.914444405","0.514038841",27.98322333,"Jun22"
"183","20230622 09:01:47",27.6,NA,"LCOR-322","Q",0.001080934,1.080934465,0.50403153,410.3479667,389.3442765,411.97,49.97850667,0.072150007,60.51901343,2.331428277,1.487339145,3673.6,"0.832298454",708.74044,2306.5,"0.692720382","14.58763287",0.041052684,"0.592716237",622.33,"622.33","0.730184262","0.948692567","0.448042946","0.945178474","0.447125387",28.10786333,"Jun22"
"184","20230622 09:03:53",27.6,NA,"LCOR-322","Q",0.001158215,1.158215009,-1.526034411,410.0975667,432.4158348,409.1,0.0499931,0.075328675,59.62257687,2.287397983,1.527717714,2656.45,"0.764352124",0,0,"#DIV/0!","#DIV/0!",-2.12e-14,"#DIV/0!",0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","0","1.308297535",28.09144,"Jun22"
