"","tier","Csetpoint","sample_date.x.x","n.x","A_sd","A","A_se","A_qt","A_upper","A_lower","gsw_sd","gsw","gsw_se","gsw_qt","gsw_upper","gsw_lower","Ci_sd","Ci","Ci_se","Ci_qt","Ci_upper","Ci_lower","sample_date.x.y","n.y","PhiPS2_sd","PhiPS2","PhiPS2_se","PhiPS2_qt","PhiPS2_upper","PhiPS2_lower","ETR_sd","ETR","ETR_se","ETR_qt","ETR_upper","ETR_lower"
"14","WT",100,"Aug29",1,NA,-0.05017141,NA,12.7062047361747,NA,NA,NA,-0.000970497,NA,12.7062047361747,NA,NA,NA,16.09436663,NA,12.7062047361747,NA,NA,"July20",1,NA,0.143680648,NA,12.7062047361747,NA,NA,NA,90.60535205,NA,12.7062047361747,NA,NA
"15","WT",100,"Aug29",1,NA,-0.05017141,NA,12.7062047361747,NA,NA,NA,-0.000970497,NA,12.7062047361747,NA,NA,NA,16.09436663,NA,12.7062047361747,NA,NA,"July27",1,NA,0.097658842,NA,12.7062047361747,NA,NA,NA,61.583796,NA,12.7062047361747,NA,NA
"16","WT",100,"Aug29",1,NA,-0.05017141,NA,12.7062047361747,NA,NA,NA,-0.000970497,NA,12.7062047361747,NA,NA,NA,16.09436663,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.187530126666667,NA,12.7062047361747,NA,NA,NA,118.25806788,NA,12.7062047361747,NA,NA
"17","WT",100,"Aug29",1,NA,-0.05017141,NA,12.7062047361747,NA,NA,NA,-0.000970497,NA,12.7062047361747,NA,NA,NA,16.09436663,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.163039838666667,NA,12.7062047361747,NA,NA,NA,102.813560056667,NA,12.7062047361747,NA,NA
"18","WT",100,"July18",1,NA,0.840624828,NA,12.7062047361747,NA,NA,NA,0.320975047,NA,12.7062047361747,NA,NA,NA,92.46688935,NA,12.7062047361747,NA,NA,"July18",1,NA,0.118831126,NA,12.7062047361747,NA,NA,NA,74.93427922,NA,12.7062047361747,NA,NA
"19","WT",100,"July18",1,NA,0.840624828,NA,12.7062047361747,NA,NA,NA,0.320975047,NA,12.7062047361747,NA,NA,NA,92.46688935,NA,12.7062047361747,NA,NA,"July20",1,NA,0.143680648,NA,12.7062047361747,NA,NA,NA,90.60535205,NA,12.7062047361747,NA,NA
"20","WT",100,"July18",1,NA,0.840624828,NA,12.7062047361747,NA,NA,NA,0.320975047,NA,12.7062047361747,NA,NA,NA,92.46688935,NA,12.7062047361747,NA,NA,"July27",1,NA,0.097658842,NA,12.7062047361747,NA,NA,NA,61.583796,NA,12.7062047361747,NA,NA
"21","WT",100,"July18",1,NA,0.840624828,NA,12.7062047361747,NA,NA,NA,0.320975047,NA,12.7062047361747,NA,NA,NA,92.46688935,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.187530126666667,NA,12.7062047361747,NA,NA,NA,118.25806788,NA,12.7062047361747,NA,NA
"22","WT",100,"July18",1,NA,0.840624828,NA,12.7062047361747,NA,NA,NA,0.320975047,NA,12.7062047361747,NA,NA,NA,92.46688935,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.163039838666667,NA,12.7062047361747,NA,NA,NA,102.813560056667,NA,12.7062047361747,NA,NA
"23","WT",100,"July20",1,NA,1.329389495,NA,12.7062047361747,NA,NA,NA,0.155721353,NA,12.7062047361747,NA,NA,NA,84.0685232,NA,12.7062047361747,NA,NA,"July18",1,NA,0.118831126,NA,12.7062047361747,NA,NA,NA,74.93427922,NA,12.7062047361747,NA,NA
"24","WT",100,"July20",1,NA,1.329389495,NA,12.7062047361747,NA,NA,NA,0.155721353,NA,12.7062047361747,NA,NA,NA,84.0685232,NA,12.7062047361747,NA,NA,"July20",1,NA,0.143680648,NA,12.7062047361747,NA,NA,NA,90.60535205,NA,12.7062047361747,NA,NA
"25","WT",100,"July20",1,NA,1.329389495,NA,12.7062047361747,NA,NA,NA,0.155721353,NA,12.7062047361747,NA,NA,NA,84.0685232,NA,12.7062047361747,NA,NA,"July27",1,NA,0.097658842,NA,12.7062047361747,NA,NA,NA,61.583796,NA,12.7062047361747,NA,NA
"26","WT",100,"July20",1,NA,1.329389495,NA,12.7062047361747,NA,NA,NA,0.155721353,NA,12.7062047361747,NA,NA,NA,84.0685232,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.187530126666667,NA,12.7062047361747,NA,NA,NA,118.25806788,NA,12.7062047361747,NA,NA
"27","WT",100,"July20",1,NA,1.329389495,NA,12.7062047361747,NA,NA,NA,0.155721353,NA,12.7062047361747,NA,NA,NA,84.0685232,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.163039838666667,NA,12.7062047361747,NA,NA,NA,102.813560056667,NA,12.7062047361747,NA,NA
"28","WT",100,"July27",1,NA,0.204947309,NA,12.7062047361747,NA,NA,NA,0.047520347,NA,12.7062047361747,NA,NA,NA,90.97071645,NA,12.7062047361747,NA,NA,"July18",1,NA,0.118831126,NA,12.7062047361747,NA,NA,NA,74.93427922,NA,12.7062047361747,NA,NA
"29","WT",100,"July27",1,NA,0.204947309,NA,12.7062047361747,NA,NA,NA,0.047520347,NA,12.7062047361747,NA,NA,NA,90.97071645,NA,12.7062047361747,NA,NA,"July20",1,NA,0.143680648,NA,12.7062047361747,NA,NA,NA,90.60535205,NA,12.7062047361747,NA,NA
"30","WT",100,"July27",1,NA,0.204947309,NA,12.7062047361747,NA,NA,NA,0.047520347,NA,12.7062047361747,NA,NA,NA,90.97071645,NA,12.7062047361747,NA,NA,"July27",1,NA,0.097658842,NA,12.7062047361747,NA,NA,NA,61.583796,NA,12.7062047361747,NA,NA
"31","WT",100,"July27",1,NA,0.204947309,NA,12.7062047361747,NA,NA,NA,0.047520347,NA,12.7062047361747,NA,NA,NA,90.97071645,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.187530126666667,NA,12.7062047361747,NA,NA,NA,118.25806788,NA,12.7062047361747,NA,NA
"32","WT",100,"July27",1,NA,0.204947309,NA,12.7062047361747,NA,NA,NA,0.047520347,NA,12.7062047361747,NA,NA,NA,90.97071645,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.163039838666667,NA,12.7062047361747,NA,NA,NA,102.813560056667,NA,12.7062047361747,NA,NA
"33","WT",100,"Jun14",1,NA,-0.160346107333333,NA,12.7062047361747,NA,NA,NA,0.334086581666667,NA,12.7062047361747,NA,NA,NA,51.1678075633333,NA,12.7062047361747,NA,NA,"July18",1,NA,0.118831126,NA,12.7062047361747,NA,NA,NA,74.93427922,NA,12.7062047361747,NA,NA
"34","WT",100,"Jun14",1,NA,-0.160346107333333,NA,12.7062047361747,NA,NA,NA,0.334086581666667,NA,12.7062047361747,NA,NA,NA,51.1678075633333,NA,12.7062047361747,NA,NA,"July20",1,NA,0.143680648,NA,12.7062047361747,NA,NA,NA,90.60535205,NA,12.7062047361747,NA,NA
"35","WT",100,"Jun14",1,NA,-0.160346107333333,NA,12.7062047361747,NA,NA,NA,0.334086581666667,NA,12.7062047361747,NA,NA,NA,51.1678075633333,NA,12.7062047361747,NA,NA,"July27",1,NA,0.097658842,NA,12.7062047361747,NA,NA,NA,61.583796,NA,12.7062047361747,NA,NA
"36","WT",100,"Jun14",1,NA,-0.160346107333333,NA,12.7062047361747,NA,NA,NA,0.334086581666667,NA,12.7062047361747,NA,NA,NA,51.1678075633333,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.187530126666667,NA,12.7062047361747,NA,NA,NA,118.25806788,NA,12.7062047361747,NA,NA
"37","WT",100,"Jun14",1,NA,-0.160346107333333,NA,12.7062047361747,NA,NA,NA,0.334086581666667,NA,12.7062047361747,NA,NA,NA,51.1678075633333,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.163039838666667,NA,12.7062047361747,NA,NA,NA,102.813560056667,NA,12.7062047361747,NA,NA
"38","WT",100,"Jun22",1,NA,-0.684099284666667,NA,12.7062047361747,NA,NA,NA,0.134671991333333,NA,12.7062047361747,NA,NA,NA,57.2899953366667,NA,12.7062047361747,NA,NA,"July18",1,NA,0.118831126,NA,12.7062047361747,NA,NA,NA,74.93427922,NA,12.7062047361747,NA,NA
"39","WT",100,"Jun22",1,NA,-0.684099284666667,NA,12.7062047361747,NA,NA,NA,0.134671991333333,NA,12.7062047361747,NA,NA,NA,57.2899953366667,NA,12.7062047361747,NA,NA,"July20",1,NA,0.143680648,NA,12.7062047361747,NA,NA,NA,90.60535205,NA,12.7062047361747,NA,NA
"40","WT",100,"Jun22",1,NA,-0.684099284666667,NA,12.7062047361747,NA,NA,NA,0.134671991333333,NA,12.7062047361747,NA,NA,NA,57.2899953366667,NA,12.7062047361747,NA,NA,"July27",1,NA,0.097658842,NA,12.7062047361747,NA,NA,NA,61.583796,NA,12.7062047361747,NA,NA
"41","WT",100,"Jun22",1,NA,-0.684099284666667,NA,12.7062047361747,NA,NA,NA,0.134671991333333,NA,12.7062047361747,NA,NA,NA,57.2899953366667,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.187530126666667,NA,12.7062047361747,NA,NA,NA,118.25806788,NA,12.7062047361747,NA,NA
"42","WT",100,"Jun22",1,NA,-0.684099284666667,NA,12.7062047361747,NA,NA,NA,0.134671991333333,NA,12.7062047361747,NA,NA,NA,57.2899953366667,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.163039838666667,NA,12.7062047361747,NA,NA,NA,102.813560056667,NA,12.7062047361747,NA,NA
"43","WT",200,"Aug29",1,NA,0.251029142,NA,12.7062047361747,NA,NA,NA,0.018010008,NA,12.7062047361747,NA,NA,NA,173.2940002,NA,12.7062047361747,NA,NA,"July18",1,NA,0.130246368,NA,12.7062047361747,NA,NA,NA,82.1352337,NA,12.7062047361747,NA,NA
"44","WT",200,"Aug29",1,NA,0.251029142,NA,12.7062047361747,NA,NA,NA,0.018010008,NA,12.7062047361747,NA,NA,NA,173.2940002,NA,12.7062047361747,NA,NA,"July20",1,NA,0.170386508,NA,12.7062047361747,NA,NA,NA,107.4475294,NA,12.7062047361747,NA,NA
"45","WT",200,"Aug29",1,NA,0.251029142,NA,12.7062047361747,NA,NA,NA,0.018010008,NA,12.7062047361747,NA,NA,NA,173.2940002,NA,12.7062047361747,NA,NA,"July27",1,NA,0.110537071,NA,12.7062047361747,NA,NA,NA,69.7058758,NA,12.7062047361747,NA,NA
"46","WT",200,"Aug29",1,NA,0.251029142,NA,12.7062047361747,NA,NA,NA,0.018010008,NA,12.7062047361747,NA,NA,NA,173.2940002,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.270739545,NA,12.7062047361747,NA,NA,NA,170.7331991,NA,12.7062047361747,NA,NA
"47","WT",200,"Aug29",1,NA,0.251029142,NA,12.7062047361747,NA,NA,NA,0.018010008,NA,12.7062047361747,NA,NA,NA,173.2940002,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.20280056,NA,12.7062047361747,NA,NA,NA,127.8867904,NA,12.7062047361747,NA,NA
"48","WT",200,"July18",1,NA,3.660997882,NA,12.7062047361747,NA,NA,NA,0.050046354,NA,12.7062047361747,NA,NA,NA,75.01774783,NA,12.7062047361747,NA,NA,"July18",1,NA,0.130246368,NA,12.7062047361747,NA,NA,NA,82.1352337,NA,12.7062047361747,NA,NA
"49","WT",200,"July18",1,NA,3.660997882,NA,12.7062047361747,NA,NA,NA,0.050046354,NA,12.7062047361747,NA,NA,NA,75.01774783,NA,12.7062047361747,NA,NA,"July20",1,NA,0.170386508,NA,12.7062047361747,NA,NA,NA,107.4475294,NA,12.7062047361747,NA,NA
"50","WT",200,"July18",1,NA,3.660997882,NA,12.7062047361747,NA,NA,NA,0.050046354,NA,12.7062047361747,NA,NA,NA,75.01774783,NA,12.7062047361747,NA,NA,"July27",1,NA,0.110537071,NA,12.7062047361747,NA,NA,NA,69.7058758,NA,12.7062047361747,NA,NA
"51","WT",200,"July18",1,NA,3.660997882,NA,12.7062047361747,NA,NA,NA,0.050046354,NA,12.7062047361747,NA,NA,NA,75.01774783,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.270739545,NA,12.7062047361747,NA,NA,NA,170.7331991,NA,12.7062047361747,NA,NA
"52","WT",200,"July18",1,NA,3.660997882,NA,12.7062047361747,NA,NA,NA,0.050046354,NA,12.7062047361747,NA,NA,NA,75.01774783,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.20280056,NA,12.7062047361747,NA,NA,NA,127.8867904,NA,12.7062047361747,NA,NA
"53","WT",200,"July20",1,NA,4.917480651,NA,12.7062047361747,NA,NA,NA,0.134620195,NA,12.7062047361747,NA,NA,NA,136.319273,NA,12.7062047361747,NA,NA,"July18",1,NA,0.130246368,NA,12.7062047361747,NA,NA,NA,82.1352337,NA,12.7062047361747,NA,NA
"54","WT",200,"July20",1,NA,4.917480651,NA,12.7062047361747,NA,NA,NA,0.134620195,NA,12.7062047361747,NA,NA,NA,136.319273,NA,12.7062047361747,NA,NA,"July20",1,NA,0.170386508,NA,12.7062047361747,NA,NA,NA,107.4475294,NA,12.7062047361747,NA,NA
"55","WT",200,"July20",1,NA,4.917480651,NA,12.7062047361747,NA,NA,NA,0.134620195,NA,12.7062047361747,NA,NA,NA,136.319273,NA,12.7062047361747,NA,NA,"July27",1,NA,0.110537071,NA,12.7062047361747,NA,NA,NA,69.7058758,NA,12.7062047361747,NA,NA
"56","WT",200,"July20",1,NA,4.917480651,NA,12.7062047361747,NA,NA,NA,0.134620195,NA,12.7062047361747,NA,NA,NA,136.319273,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.270739545,NA,12.7062047361747,NA,NA,NA,170.7331991,NA,12.7062047361747,NA,NA
"57","WT",200,"July20",1,NA,4.917480651,NA,12.7062047361747,NA,NA,NA,0.134620195,NA,12.7062047361747,NA,NA,NA,136.319273,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.20280056,NA,12.7062047361747,NA,NA,NA,127.8867904,NA,12.7062047361747,NA,NA
"58","WT",200,"July27",1,NA,1.616469957,NA,12.7062047361747,NA,NA,NA,0.176180514,NA,12.7062047361747,NA,NA,NA,181.1761143,NA,12.7062047361747,NA,NA,"July18",1,NA,0.130246368,NA,12.7062047361747,NA,NA,NA,82.1352337,NA,12.7062047361747,NA,NA
"59","WT",200,"July27",1,NA,1.616469957,NA,12.7062047361747,NA,NA,NA,0.176180514,NA,12.7062047361747,NA,NA,NA,181.1761143,NA,12.7062047361747,NA,NA,"July20",1,NA,0.170386508,NA,12.7062047361747,NA,NA,NA,107.4475294,NA,12.7062047361747,NA,NA
"60","WT",200,"July27",1,NA,1.616469957,NA,12.7062047361747,NA,NA,NA,0.176180514,NA,12.7062047361747,NA,NA,NA,181.1761143,NA,12.7062047361747,NA,NA,"July27",1,NA,0.110537071,NA,12.7062047361747,NA,NA,NA,69.7058758,NA,12.7062047361747,NA,NA
"61","WT",200,"July27",1,NA,1.616469957,NA,12.7062047361747,NA,NA,NA,0.176180514,NA,12.7062047361747,NA,NA,NA,181.1761143,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.270739545,NA,12.7062047361747,NA,NA,NA,170.7331991,NA,12.7062047361747,NA,NA
"62","WT",200,"July27",1,NA,1.616469957,NA,12.7062047361747,NA,NA,NA,0.176180514,NA,12.7062047361747,NA,NA,NA,181.1761143,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.20280056,NA,12.7062047361747,NA,NA,NA,127.8867904,NA,12.7062047361747,NA,NA
"63","WT",200,"Jun14",1,NA,10.54959928,NA,12.7062047361747,NA,NA,NA,0.307468271,NA,12.7062047361747,NA,NA,NA,140.437971,NA,12.7062047361747,NA,NA,"July18",1,NA,0.130246368,NA,12.7062047361747,NA,NA,NA,82.1352337,NA,12.7062047361747,NA,NA
"64","WT",200,"Jun14",1,NA,10.54959928,NA,12.7062047361747,NA,NA,NA,0.307468271,NA,12.7062047361747,NA,NA,NA,140.437971,NA,12.7062047361747,NA,NA,"July20",1,NA,0.170386508,NA,12.7062047361747,NA,NA,NA,107.4475294,NA,12.7062047361747,NA,NA
"65","WT",200,"Jun14",1,NA,10.54959928,NA,12.7062047361747,NA,NA,NA,0.307468271,NA,12.7062047361747,NA,NA,NA,140.437971,NA,12.7062047361747,NA,NA,"July27",1,NA,0.110537071,NA,12.7062047361747,NA,NA,NA,69.7058758,NA,12.7062047361747,NA,NA
"66","WT",200,"Jun14",1,NA,10.54959928,NA,12.7062047361747,NA,NA,NA,0.307468271,NA,12.7062047361747,NA,NA,NA,140.437971,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.270739545,NA,12.7062047361747,NA,NA,NA,170.7331991,NA,12.7062047361747,NA,NA
"67","WT",200,"Jun14",1,NA,10.54959928,NA,12.7062047361747,NA,NA,NA,0.307468271,NA,12.7062047361747,NA,NA,NA,140.437971,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.20280056,NA,12.7062047361747,NA,NA,NA,127.8867904,NA,12.7062047361747,NA,NA
"68","WT",200,"Jun22",1,NA,4.663728246,NA,12.7062047361747,NA,NA,NA,0.115854848,NA,12.7062047361747,NA,NA,NA,131.9413608,NA,12.7062047361747,NA,NA,"July18",1,NA,0.130246368,NA,12.7062047361747,NA,NA,NA,82.1352337,NA,12.7062047361747,NA,NA
"69","WT",200,"Jun22",1,NA,4.663728246,NA,12.7062047361747,NA,NA,NA,0.115854848,NA,12.7062047361747,NA,NA,NA,131.9413608,NA,12.7062047361747,NA,NA,"July20",1,NA,0.170386508,NA,12.7062047361747,NA,NA,NA,107.4475294,NA,12.7062047361747,NA,NA
"70","WT",200,"Jun22",1,NA,4.663728246,NA,12.7062047361747,NA,NA,NA,0.115854848,NA,12.7062047361747,NA,NA,NA,131.9413608,NA,12.7062047361747,NA,NA,"July27",1,NA,0.110537071,NA,12.7062047361747,NA,NA,NA,69.7058758,NA,12.7062047361747,NA,NA
"71","WT",200,"Jun22",1,NA,4.663728246,NA,12.7062047361747,NA,NA,NA,0.115854848,NA,12.7062047361747,NA,NA,NA,131.9413608,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.270739545,NA,12.7062047361747,NA,NA,NA,170.7331991,NA,12.7062047361747,NA,NA
"72","WT",200,"Jun22",1,NA,4.663728246,NA,12.7062047361747,NA,NA,NA,0.115854848,NA,12.7062047361747,NA,NA,NA,131.9413608,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.20280056,NA,12.7062047361747,NA,NA,NA,127.8867904,NA,12.7062047361747,NA,NA
"73","WT",300,"Aug29",1,NA,0.692465027,NA,12.7062047361747,NA,NA,NA,0.000284307,NA,12.7062047361747,NA,NA,NA,199.3254642774,NA,12.7062047361747,NA,NA,"July18",1,NA,0.13483377,NA,12.7062047361747,NA,NA,NA,85.02575531,NA,12.7062047361747,NA,NA
"74","WT",300,"Aug29",1,NA,0.692465027,NA,12.7062047361747,NA,NA,NA,0.000284307,NA,12.7062047361747,NA,NA,NA,199.3254642774,NA,12.7062047361747,NA,NA,"July20",1,NA,0.185455878,NA,12.7062047361747,NA,NA,NA,116.9523025,NA,12.7062047361747,NA,NA
"75","WT",300,"Aug29",1,NA,0.692465027,NA,12.7062047361747,NA,NA,NA,0.000284307,NA,12.7062047361747,NA,NA,NA,199.3254642774,NA,12.7062047361747,NA,NA,"July27",1,NA,0.125733322,NA,12.7062047361747,NA,NA,NA,79.28813065,NA,12.7062047361747,NA,NA
"76","WT",300,"Aug29",1,NA,0.692465027,NA,12.7062047361747,NA,NA,NA,0.000284307,NA,12.7062047361747,NA,NA,NA,199.3254642774,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.310749979,NA,12.7062047361747,NA,NA,NA,195.9605948,NA,12.7062047361747,NA,NA
"77","WT",300,"Aug29",1,NA,0.692465027,NA,12.7062047361747,NA,NA,NA,0.000284307,NA,12.7062047361747,NA,NA,NA,199.3254642774,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.223970245,NA,12.7062047361747,NA,NA,NA,141.2356145,NA,12.7062047361747,NA,NA
"78","WT",300,"July18",1,NA,5.567923648,NA,12.7062047361747,NA,NA,NA,-0.579758355,NA,12.7062047361747,NA,NA,NA,306.1274372,NA,12.7062047361747,NA,NA,"July18",1,NA,0.13483377,NA,12.7062047361747,NA,NA,NA,85.02575531,NA,12.7062047361747,NA,NA
"79","WT",300,"July18",1,NA,5.567923648,NA,12.7062047361747,NA,NA,NA,-0.579758355,NA,12.7062047361747,NA,NA,NA,306.1274372,NA,12.7062047361747,NA,NA,"July20",1,NA,0.185455878,NA,12.7062047361747,NA,NA,NA,116.9523025,NA,12.7062047361747,NA,NA
"80","WT",300,"July18",1,NA,5.567923648,NA,12.7062047361747,NA,NA,NA,-0.579758355,NA,12.7062047361747,NA,NA,NA,306.1274372,NA,12.7062047361747,NA,NA,"July27",1,NA,0.125733322,NA,12.7062047361747,NA,NA,NA,79.28813065,NA,12.7062047361747,NA,NA
"81","WT",300,"July18",1,NA,5.567923648,NA,12.7062047361747,NA,NA,NA,-0.579758355,NA,12.7062047361747,NA,NA,NA,306.1274372,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.310749979,NA,12.7062047361747,NA,NA,NA,195.9605948,NA,12.7062047361747,NA,NA
"82","WT",300,"July18",1,NA,5.567923648,NA,12.7062047361747,NA,NA,NA,-0.579758355,NA,12.7062047361747,NA,NA,NA,306.1274372,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.223970245,NA,12.7062047361747,NA,NA,NA,141.2356145,NA,12.7062047361747,NA,NA
"83","WT",300,"July20",1,NA,8.001361485,NA,12.7062047361747,NA,NA,NA,0.117947019,NA,12.7062047361747,NA,NA,NA,183.9092547,NA,12.7062047361747,NA,NA,"July18",1,NA,0.13483377,NA,12.7062047361747,NA,NA,NA,85.02575531,NA,12.7062047361747,NA,NA
"84","WT",300,"July20",1,NA,8.001361485,NA,12.7062047361747,NA,NA,NA,0.117947019,NA,12.7062047361747,NA,NA,NA,183.9092547,NA,12.7062047361747,NA,NA,"July20",1,NA,0.185455878,NA,12.7062047361747,NA,NA,NA,116.9523025,NA,12.7062047361747,NA,NA
"85","WT",300,"July20",1,NA,8.001361485,NA,12.7062047361747,NA,NA,NA,0.117947019,NA,12.7062047361747,NA,NA,NA,183.9092547,NA,12.7062047361747,NA,NA,"July27",1,NA,0.125733322,NA,12.7062047361747,NA,NA,NA,79.28813065,NA,12.7062047361747,NA,NA
"86","WT",300,"July20",1,NA,8.001361485,NA,12.7062047361747,NA,NA,NA,0.117947019,NA,12.7062047361747,NA,NA,NA,183.9092547,NA,12.7062047361747,NA,NA,"Jun14",1,NA,0.310749979,NA,12.7062047361747,NA,NA,NA,195.9605948,NA,12.7062047361747,NA,NA
"87","WT",300,"July20",1,NA,8.001361485,NA,12.7062047361747,NA,NA,NA,0.117947019,NA,12.7062047361747,NA,NA,NA,183.9092547,NA,12.7062047361747,NA,NA,"Jun22",1,NA,0.223970245,NA,12.7062047361747,NA,NA,NA,141.2356145,NA,12.7062047361747,NA,NA
"88","WT",300,"July27",1,NA,3.183813981,NA,12.7062047361747,NA,NA,NA,0.097091937,NA,12.7062047361747,NA,NA,NA,240.7430955,NA,12.7062047361747,NA,NA,"July18",1,NA,0.13483377,NA,12.7062047361747,NA,NA,NA,85.02575531,NA,12.7062047361747,NA,NA
