"","row","column","ID","event","event_short","construct","construct2","block","H49","H144","H299","H335","H357","H385","H421","H497","H664","H801","D49","D144","D299","D335","D357","D385","D421","D497","D664","D801"
"123",13,12,"LCOR-218","LC-102 2H","2H","LC-102","transgenic","large",1524,1524,1524,1716.024,2133.6,2667,3291.84,3352.8,3352.8,4358.64,12.7,13,13,16,20,22,23.5,24,24,28.2
"124",14,12,"LCOR-002","LC-102 4A","4A","LC-102","transgenic","large",711.1999999,793,847.344,1136.904,1478.28,1767.84,2407.92,2529.84,2590.8,3078.48,5.842,6,6,9,12,12,15,16,15.9,19.44
"125",15,12,"LCOR-026","LC-102 4B","4B","LC-102","transgenic","large",1371.6,1647,1761.744,2112.264,2560.32,3124.2,3779.52,3870.96,3870.96,4480.56,8.89,11,12,16,20,23,25,27,27,33.39
"126",2,13,"LCOR-066","LC-102 2H","2H","LC-102","transgenic","large",1041.4,1250.5,1353.312,1627.632,1981.2,2316.48,2941.32,2941.32,2941.32,3627.12,6.858,8,9,11,14,16,18,18,18,25.32
"127",3,13,"LCOR-423","LC-102 4B","4B","LC-102","transgenic","large",1219.2,1296.25,1478.28,1627.632,2087.88,2545.08,3108.96,3108.96,3160.776,4419.6,8.128,9,11,12,16,17,19,19,19.5,30.14
"128",4,13,"LCOR-200","CT717 3","CT3","Control","control","large",1320.8,1418.25,1551.432,1828.8,2255.52,2819.4,3474.72,3505.2,3544.824,4846.32,9.144,10,10,14,18,19,23,24,23,37.5
"129",6,13,"LCOR-137","LC-102 5","5","LC-102","transgenic","large",1270,1494.5,1725.168,1828.8,2148.84,2651.76,3444.24,3444.24,3508.248,4754.88,9.652,10,12,13.5,16,17,22,22,22.5,34.16
"130",7,13,"LCOR-338","CT717 3","CT3","Control","control","large",1409.7,1662.25,1662.25,2023.872,2438.4,2910.84,3581.4,3627.12,3688.08,4998.72,9.906,12,12,15.5,20,24,27,27,27.6,45.45
"131",8,13,"LCOR-544","LC-102 4A","4A","LC-102","transgenic","large",1041.4,1128.5,1770.888,1770.888,1770.888,2133.6,2941.32,2987.04,2987.04,4236.72,11.938,11.938,12,12,15,15,19,20,20,29.76
"132",9,13,"LCOR-320","LC-102 16-20","16-20","Escape","control","large",1524,1753.75,1753.75,2112.264,2468.88,2987.04,3596.64,3596.64,3605.784,4876.8,11.176,12,13,16,20,22,25,25,25.6,38.02
"133",10,13,"LCOR-077","LC-102 13-15E","13-15E","LC-102","transgenic","large",1270,1555.5,1555.5,1987.296,2453.64,3063.24,3901.44,3992.88,4059.936,6126.48,11.43,12,12,16.5,20,23,27,27,28.1,45.89
"134",12,13,"LCOR-088","LC-102 8-9D","8-9D","Escape","control","large",1206.5,1372.5,1834.896,1834.896,2194.56,2682.24,3520.44,3566.16,3672.84,4632.96,9.906,11,12,14,17,19,22,28,22.8,35.32
"135",13,13,"LCOR-030","LC-102 5C","5C","LC-102","transgenic","large",1587.5,1799.5,1799.5,2225.04,2621.28,3154.68,3520.44,3931.92,4029.456,5273.04,11.938,12,12,15,20,23,26,26,25.5,37.33
"136",14,13,"LCOR-156","LC-102 5A","5A","LC-102","transgenic","large",1346.2,1346.2,1463.04,1463.04,2026.92,2575.56,3474.72,3627.12,3703.32,4511.04,8.636,9,9,12,15,17,23,25,25,33.96
"137",15,13,"LCOR-051","LC-102 1","1","LC-102","transgenic","large",1155.7,1403,1530.096,1746.504,2103.12,2514.6,3261.36,3291.84,3380.232,3688.08,7.62,9,10,13,15,17,21,21,20.9,22.83
"138",2,14,"LCOR-060","LC-102 2H","2H","LC-102","transgenic","large",1295.4,1342,1368.552,1624.584,1981.2,2423.16,3017.52,3017.52,3075.432,3870.96,8.382,9,9,12.1,14,16,19.5,20,20.5,30.54
"139",3,14,"LCOR-604","LC-102 13-15E","13-15E","LC-102","transgenic","large",1536.7,1860.5,1908.048,2258.568,2743.2,3322.32,4145.28,4480.56,4480.56,5516.88,10.414,12,13,19,23,26,30,34,34,48.66
"140",4,14,"LCOR-368","LC-102 5","5","LC-102","transgenic","large",1104.9,1128.5,1146.048,1469.136,1889.76,2423.16,3596.64,3596.64,3596.64,3596.64,6.35,6.35,7,10.5,12.5,16,20,21,21,21
"141",5,14,"LCOR-046","LC-102 1","1","LC-102","transgenic","large",1282.7,1464,1508.76,1859.28,2255.52,2773.68,3596.64,3718.56,4072.128,5547.36,9.652,10,10,13.5,17,20,24,26,27,42.29
"142",6,14,"LCOR-031","LC-102 5C","5C","LC-102","transgenic","large",1041.4,1189.5,1258.824,1560.576,1981.2,2545.08,3459.48,3596.64,3596.64,4907.28,7.366,8,8,12,14,17,23,25,25,36.18
"143",7,14,"LCOR-347","CT717 3","CT3","Control","control","large",1270,1372.5,1426.464,1776.984,2209.8,2758.44,3550.92,3566.16,3611.88,5120.64,11.176,11.176,11.176,14,17,19,23,24,24,36.83
"144",8,14,"LCOR-176","LC-102 1C","1C","LC-102","transgenic","large",1181.1,1403,1417.32,1685.544,2011.68,2453.64,3169.92,3840.48,3840.48,4602.48,7.874,10,10,13,15,18,23,24,24,36.49
"145",9,14,"LCOR-269","LC-102 5C","5C","LC-102","transgenic","large",1117.6,1326.75,1389.888,1773.936,2194.56,2834.64,3794.76,3901.44,3934.968,5303.52,8.128,9,9,13.5,16,20,25,26,28,39.34
"146",10,14,"LCOR-147","LC-102 7","7","LC-102","transgenic","large",1397,1509.75,1530.096,2017.776,2316.48,2834.64,3688.08,3779.52,3813.048,5273.04,9.398,10,10,15.5,19,21,26,27,27.1,41.08
"147",11,14,"LCOR-257","LC-102 4B","4B","LC-102","transgenic","large",1460.5,1555.5,1621.536,1953.768,2407.92,2941.32,3825.24,3825.24,3904.488,5212.08,9.652,11,11,15,18,22,24.5,26,26.1,40.05
"148",12,14,"LCOR-256","LC-102 4B","4B","LC-102","transgenic","large",1524,1647,1679.448,1959.864,2407.92,2941.32,3810,3931.92,3977.64,5455.92,10.922,11,12,15.1,19,22,28,29,28.2,43.13
"149",13,14,"LCOR-014","LC-102 4A","4A","LC-102","transgenic","large",1384.3,1647,1743.456,2072.64,2499.36,3124.2,3992.88,4145.28,4145.28,6736.08,9.398,11,12,16,20,23,27.5,28,28,49.69
"150",14,14,"LCOR-091","LC-102 8-9D","8-9D","Escape","control","large",1485.9,1677.5,1700.784,2072.64,2499.36,3032.76,3901.44,3992.88,4090.416,4541.52,10.16,12,12,17,23,25,29,29,29.5,34.89
"151",15,14,"LCOR-264","LC-102 4B","4B","LC-102","transgenic","large",1003.3,1006.5,1091.184,1417.32,1813.56,2316.48,3017.52,3048,3069.336,3169.92,7.112,7.112,8,12,14,17,20,21,19.8,20.29
"152",2,15,"LCOR-486","LC-102 1C","1C","LC-102","transgenic","large",1181.1,1494.5,1569.72,2020.824,2529.84,3108.96,3931.92,3931.92,4166.616,5059.68,10.16,12,12,17,20,23,27,28,27.2,41.1
"153",4,15,"LCOR-357","LC-102 1","1","LC-102","transgenic","large",1168.4,1555.5,1578.864,1953.768,2286,2834.64,3581.4,3596.64,3694.176,4907.28,9.906,11,11,15,18,21,24.5,27,26.7,38.05
"154",5,15,"LCOR-473","LC-102 13-15B","13-15B","LC-102","transgenic","large",1092.2,1403,1447.8,1749.552,2103.12,2575.56,3398.52,3627.12,3627.12,4724.4,8.636,10,10,14.1,17,19,23.5,23.5,23.5,38.95
"155",6,15,"LCOR-525","LC-102 5","5","LC-102","transgenic","large",1498.6,1830,1901.952,2282.952,2773.68,3474.72,4297.68,4358.64,4428.744,5821.68,10.922,12,13,18.5,24,26,31,32,33.5,46.57
"156",7,15,"LCOR-437","LC-102 1","1","LC-102","transgenic","large",1422.4,1769,1865.376,2194.56,2621.28,3291.84,4160.52,4175.76,4312.92,5547.36,10.414,12,13,18,21,24,28,29,29.9,45.47
"157",8,15,"LCOR-550","LC-102 7","7","LC-102","transgenic","large",1460.5,1555.5,1618.488,1953.768,2423.16,3002.28,3886.2,3886.2,3938.016,5151.12,11.43,11.43,12,15,19,21,25,26,25.5,39.17
"158",9,15,"LCOR-307","LC-102 13-15E","13-15E","LC-102","transgenic","large",1066.8,1143.75,1203.96,1463.04,1783.08,2164.08,2788.92,2788.92,2819.4,3870.96,7.874,8,8,11,17,17,20,20,20.1,30.75
"159",10,15,"LCOR-449","LC-102 2H","2H","LC-102","transgenic","large",1473.2,1616.5,1716.024,2048.256,2468.88,3048,3870.96,3992.88,4056.888,5151.12,10.668,12,12,16,19,22,27,28,28.1,40.3
"160",11,15,"LCOR-507","LC-102 16-20","16-20","Escape","control","large",1447.8,1601.25,1682.496,2048.256,2438.4,3017.52,3855.72,3931.92,4023.36,5090.16,10.16,11,12,16,20,22,27,28,29.5,41.3
"161",12,15,"LCOR-154","LC-102 7","7","LC-102","transgenic","large",1549.4,1769,1862.328,2191.512,2651.76,3322.32,4175.76,4297.68,4419.6,5760.72,11.176,13,13,17,21,24,30,31,32,46.33
"162",13,15,"LCOR-562","LC-102 5C","5C","LC-102","transgenic","large",1574.8,1647,1740.408,2072.64,2529.84,3139.44,3931.92,3992.88,4002.024,4602.48,10.16,12,12,15,19,22,26,26,27,30.59
"163",15,15,"LCOR-393","LC-102 1C","1C","LC-102","transgenic","large",1219.2,1555.5,1642.872,1956.816,2407.92,2849.88,3566.16,3657.6,3764.28,4389.12,8.89,10,11,15,18,20,23,23,24.9,28.9
"164",2,16,"LCOR-247","LC-102 5A","5A","LC-102","transgenic","large",1270,1555.5,1588.008,1859.28,2286,2788.92,3581.4,3596.64,3630.168,4815.84,8.89,10,10,15,17,20,23.5,25,25,34.6
"165",3,16,"LCOR-611","LC-102 13-15E","13-15E","LC-102","transgenic","large",863.5999999,884.5,944.88,1283.208,1691.64,2118.36,2819.4,2819.4,2837.688,3566.16,5.588,6,7,10,13,15,18.5,19,19.1,27.59
"166",5,16,"LCOR-528","LC-102 5","5","LC-102","transgenic","large",685.8,884.5,884.5,1109.472,1310.64,1676.4,2453.64,2529.84,2566.416,3779.52,6.858,7,10,10,13,13,17,18,22.1,26.87
"167",6,16,"LCOR-072","LC-102 13-15E","13-15E","LC-102","transgenic","large",787.3999999,1082.75,1161.288,1493.52,1889.76,2270.76,2773.68,2773.68,2810.256,4450.08,7.366,9,9,12.1,16,18,20.5,21,20,33.14
"168",7,16,"LCOR-610","LC-102 13-15E","13-15E","LC-102","transgenic","large",1193.8,1418.25,1481.328,1798.32,2194.56,2667,3185.16,3185.16,3185.16,4785.36,7.874,10,10,10,18,19,20.5,21,21,32.3
"169",8,16,"LCOR-516","LC-102 16-20","16-20","Escape","control","large",634.9999999,701.5,731.52,1018.032,1341.12,1661.16,2240.28,2286,2313.432,2956.56,3.81,5,6,7.4,10,11,14,14,15,18.97
"170",9,16,"LCOR-280","LC-102 5C","5C","LC-102","transgenic","large",1168.4,1311.5,1319.784,1627.632,2011.68,2529.84,3246.12,3261.36,3398.52,4419.6,7.112,8,10,11.5,15,17,22,22,21.5,31.85
"171",10,16,"LCOR-033","LC-102 5C","5C","LC-102","transgenic","large",1320.8,1403,1444.752,1712.976,2072.64,2529.84,3276.6,3291.84,3291.84,4114.8,8.636,9,10,13.1,15,17,21,22,22,30.04
"172",12,16,"LCOR-372","LC-102 5","5","LC-102","transgenic","large",1333.5,1403,1466.088,1740.408,2133.6,2636.52,3429,3505.2,3587.496,4632.96,8.636,9,10,12.8,16,18,22,22,21.6,32.5
"173",13,16,"LCOR-105","LC-102 16-20","16-20","Escape","control","large",990.6,1082.75,1097.28,1322.832,1676.4,2072.64,2545.08,2560.32,2609.088,3840.48,6.604,7,8,10.1,13,19,19,19,16.2,26.15
"174",14,16,"LCOR-352","LC-102 1","1","LC-102","transgenic","large",1358.9,1525,1584.96,1889.76,2377.44,2880.36,3505.2,3566.16,3666.744,4754.88,11.176,12,13,15,18,20,23,23,23.3,33.1
"175",15,16,"LCOR-614","LC-102 13-15E","13-15E","LC-102","transgenic","large",1117.6,1220,1261.872,1584.96,1813.56,2103.12,2697.48,2712.72,3026.664,3139.44,7.874,8,9,12.5,15,17,19,19,19,22.5
"176",2,17,"LCOR-016","LC-102 4B","4B","LC-102","transgenic","large",1016,1189.5,1240.536,1621.536,2011.68,2484.12,3185.16,3230.88,3233.928,4389.12,6.858,8,9,12,16,17,21,21,21,32.37
"177",3,17,"LCOR-132","LC-102 5","5","LC-102","transgenic","large",1270,1616.5,1673.352,1987.296,2286,2865.12,3596.64,3688.08,3721.608,4937.76,8.636,11,11,11,19,20,24,25,25,34.99
"178",4,17,"LCOR-574","LC-102 5C","5C","LC-102","transgenic","large",1498.6,1708,1767.84,2048.256,2499.36,3078.48,3733.8,3733.8,3749.04,4419.6,10.16,11,12,15.5,20,22,24,25,24,30.25
"179",5,17,"LCOR-079","LC-102 13-15E","13-15E","LC-102","transgenic","large",1104.9,1104.9,1124.712,1313.688,1645.92,2118.36,2834.64,2834.64,2862.072,3749.04,7.366,7.366,8,11.5,13,16,19.5,19.5,19.5,28.08
"180",6,17,"LCOR-458","LC-102 2H","2H","LC-102","transgenic","large",1422.4,1586,1621.536,1905,2255.52,2727.96,3444.24,3505.2,3511.296,4572,10.16,11,11,16,17,19,23,23,23.8,37
"181",7,17,"LCOR-411","LC-102 8-9D","8-9D","Escape","control","large",1498.6,1738.5,1770.888,2148.84,2529.84,3032.76,3657.6,3657.6,3709.416,5303.52,10.922,12,14,18.5,22.5,25,29,29,28,44.72
"182",8,17,"LCOR-394","LC-102 1C","1C","LC-102","transgenic","large",1663.7,1891,1981.2,2292.096,2804.16,3032.76,4099.56,4114.8,4184.904,5394.96,10.922,12,13,18.5,23,25,28.5,29,29.6,39.99
"183",9,17,"LCOR-275","LC-102 5C","5C","LC-102","transgenic","large",1460.5,1677.5,1677.5,1950.72,2270.76,2590.8,3002.28,3200.4,3291.84,4145.28,9.906,11,12,16,18,21,22.5,22.5,23.1,31.67
"184",12,17,"LCOR-134","LC-102 5","5","LC-102","transgenic","large",1409.7,1525,1560.576,2118.36,2179.32,2621.28,3078.48,3108.96,3166.872,3261.36,9.398,10,12,14,15,18,23,23,23.1,22.68
"185",13,17,"LCOR-502","CT717 3","CT3","Control","control","large",1193.8,1357.25,1380.744,1642.872,1981.2,2484.12,3215.64,3322.32,3328.416,4236.72,8.636,9,10,12,15,17,23,24,23.1,35.2
"186",14,17,"LCOR-481","LC-102 1C","1C","LC-102","transgenic","large",1155.7,1189.5,1264.92,1554.48,1950.72,2453.64,3185.16,3261.36,3297.936,3962.4,7.112,8,9,11.5,14,17,21,21,22.1,28.38
"187",15,17,"LCOR-271","LC-102 5C","5C","LC-102","transgenic","large",1257.3,1311.5,1438.656,1752.6,2225.04,2788.92,3642.36,3749.04,3749.04,4632.96,8.89,9,10,14.8,18,20,25,26,26,35.16
"188",2,18,"LCOR-058","LC-102 2H","2H","LC-102","transgenic","large",1308.1,1433.5,1484.376,1813.56,2209.8,2575.56,3124.2,3139.44,3233.928,3596.64,9.652,11,11,14.5,17,19,22,23,22.9,25.3
"189",3,18,"LCOR-052","LC-102 1","1","LC-102","transgenic","large",1066.8,1067.5,1118.616,1395.984,1767.84,2179.32,2773.68,2773.68,2874.264,3779.52,6.35,7,7,10.5,15,15,18,19,18.1,26.25
"190",4,18,"LCOR-475","LC-102 13-15B","13-15B","LC-102","transgenic","large",1473.2,1677.5,1691.64,1947.672,2346.96,2804.16,3459.48,3459.48,3526.536,4846.32,10.668,12,12,15,18,20,23,23,24.1,35.3
"191",5,18,"LCOR-085","LC-102 8-9D","8-9D","Escape","control","large",1270,1433.5,1493.52,1801.368,2179.32,2697.48,3429,3444.24,3505.2,4297.68,9.144,10,10,14,17,19,19,22,22,30.28
"192",6,18,"LCOR-351","LC-102 1","1","LC-102","transgenic","large",1371.6,1525,1525,1798.32,2011.68,2484.12,3124.2,3124.2,3215.64,4206.24,9.144,10,10,14,16,18,22.5,22.5,22.9,32.48
"193",10,18,"LCOR-306","LC-102 13-15E","13-15E","LC-102","transgenic","large",1460.5,1647,1725.168,2017.776,2407.92,2926.08,3596.64,3596.64,3633.216,4724.4,10.922,12,13,17,20,22,25.5,26,26.6,37.81
"194",11,18,"LCOR-392","LC-102 7","7","LC-102","transgenic","large",1447.8,1555.5,1636.776,1926.336,2346.96,2804.16,3505.2,3505.2,3550.92,4389.12,10.668,11,12,16.2,18,21,24,25,25,36.07
"195",12,18,"LCOR-243","LC-102 5A","5A","LC-102","transgenic","large",1346.2,1708,1773.936,2109.216,2590.8,3169.92,4053.84,4175.76,4233.672,5242.56,11.43,12,13,16.5,20,24,28.5,29,30,39.17
"196",13,18,"LCOR-572","LC-102 5C","5C","LC-102","transgenic","large",1231.9,1281,1371.6,1661.16,2042.16,2560.32,3261.36,3383.28,3459.48,4206.24,8.636,8.636,8.636,13,14,17,22,23,22.2,30.84
"197",14,18,"LCOR-463","LC-102 13-15B","13-15B","LC-102","transgenic","large",1473.2,1586,1682.496,2023.872,2392.68,2895.6,3444.24,3444.24,3459.48,4084.32,10.922,12,12,12,19,20,22,23,22.9,27.74
"198",15,18,"LCOR-260","LC-102 4B","4B","LC-102","transgenic","large",1320.8,1555.5,1645.92,1965.96,2407.92,2880.36,3627.12,3718.56,3810,4663.44,9.398,11,12,16.5,19,22,24.5,26,25,35.1
"199",3,19,"LCOR-406","LC-102 1C","1C","LC-102","transgenic","large",1168.4,1189.5,1189.5,1402.08,1645.92,1981.2,2636.52,2651.76,2651.76,2651.76,8.128,8.128,8.128,12,13,14,16,17,17,17
"200",4,19,"LCOR-089","LC-102 8-9D","8-9D","Escape","control","large",1308.1,1464,1464,1740.408,2118.36,2529.84,3185.16,3185.16,3188.208,3657.6,9.144,10,10,13.1,16,18,20.05,20.05,21,25.48
"201",5,19,"LCOR-491","CT717 3","CT3","Control","control","large",1028.7,1128.5,1353.312,1417.32,1767.84,2209.8,2926.08,2956.56,2956.56,3749.04,7.62,8,9,12.5,15,17,19,20,20,26.73
"202",7,19,"LCOR-585","LC-102 5A","5A","LC-102","transgenic","large",990.6,1128.5,1514.856,1514.856,1514.856,1844.04,2392.68,2407.92,2484.12,3322.32,6.604,7,10,10,11,12,18,19,20.1,27.73
"203",8,19,"LCOR-554","LC-102 7","7","LC-102","transgenic","large",1409.7,1464,1892.808,1892.808,2225.04,2743.2,3596.64,3718.56,3776.472,4572,9.398,10,15,15,18,20,24,25,25.5,31.34
"204",9,19,"LCOR-152","LC-102 7","7","LC-102","transgenic","large",1625.6,1891,1891,2228.088,2606.04,3078.48,3779.52,3810,3843.528,4968.24,11.938,13,13,19,22,24,26,28,28.9,37.98
"205",10,19,"LCOR-558","LC-102 7","7","LC-102","transgenic","large",1397,1433.5,1433.5,1831.848,2240.28,2606.04,2606.04,3169.92,3233.928,3962.4,8.89,10,10,13,16,18,18,20,20,25.89
"206",11,19,"LCOR-138","LC-102 5","5","LC-102","transgenic","large",1219.2,1281,1618.488,1691.64,2072.64,2499.36,2926.08,2926.08,2953.512,3870.96,9.144,9.144,9.144,14,16,17,19,19,20,27.35
"207",12,19,"LCOR-383","LC-102 7","7","LC-102","transgenic","large",1193.8,1281,1281,1697.736,2148.84,2545.08,2636.52,2636.52,2758.44,4023.36,7.366,8,9,14,16,17,18,18,18.1,26.17
"208",13,19,"LCOR-568","LC-102 5C","5C","LC-102","transgenic","large",1193.8,1250.5,1250.5,1615.44,2057.4,2423.16,2819.4,2819.4,2892.552,3566.16,7.366,8,10,13.5,16,17,19,19,19,24.15
"209",14,19,"LCOR-080","LC-102 13-15E","13-15E","LC-102","transgenic","large",800.1,854,1188.72,1210.056,1554.48,1859.28,2697.48,2697.48,2697.48,3322.32,5.334,5.334,9,11,11,12,15,15,15,20.29
"210",15,19,"LCOR-391","LC-102 7","7","LC-102","transgenic","large",1485.9,1555.5,1555.5,1923.288,2225.04,2682.24,3352.8,3383.28,3474.72,4541.52,9.906,11,11,15.5,18,19,23,24,24.4,34.53
"211",2,20,"LCOR-162","LC-102 5A","5A","LC-102","transgenic","large",876.3,1037,1136.904,1524,1935.48,2377.44,3337.56,3474.72,3474.72,4907.28,6.35,9,9,13.5,16,18,23.5,25,25,36.88
"212",3,20,"LCOR-242","LC-102 5A","5A","LC-102","transgenic","large",1270,1555.5,1569.72,1834.896,2194.56,2651.76,3459.48,3535.68,3557.016,4815.84,8.89,10,10,14.5,17,18,23,24,24.58,35.65
"213",5,20,"LCOR-166","LC-102 5A","5A","LC-102","transgenic","large",1270,1281,1328.928,1600.2,1950.72,2392.68,3230.88,3322.32,3480.816,4322.064,8.382,9,9,12,15,17,23,23,25.58,34.02
"214",7,20,"LCOR-059","LC-102 2H","2H","LC-102","transgenic","large",1676.4,1799.5,1844.04,2026.92,2392.68,2895.6,3794.76,3870.96,3977.64,4754.88,11.176,12,13,15.5,19,21,26,28,28.03,43.51
"215",8,20,"LCOR-101","LC-102 16-20","16-20","Escape","control","large",1409.7,1616.5,1709.928,2036.064,2499.36,3017.52,3810,3962.4,4029.456,4998.72,8.89,11,11,16.5,20,22,27,27,26.85,38.37
"216",9,20,"LCOR-067","LC-102 2H","2H","LC-102","transgenic","large",1193.8,1281,1313.688,1691.64,2087.88,2651.76,3413.76,3505.2,3599.688,4602.48,7.874,9,9,14,16,19,23,23,24.51,34.92
"217",11,20,"LCOR-103","LC-102 16-20","16-20","Escape","control","large",1193.8,1250.5,1322.832,1621.536,2011.68,2499.36,3230.88,3291.84,3328.416,3505.2,7.366,8,8,12.5,15,16,20.5,20.5,20.66,24.3
"218",12,20,"LCOR-230","LC-102 4A","4A","LC-102","transgenic","large",1485.9,1555.5,1603.248,1905,2286,2727.96,3916.68,3916.68,3916.68,4663.44,9.906,11,11,15.5,18,19,26,27,27,33.14
"219",13,20,"LCOR-534","LC-102 4A","4A","LC-102","transgenic","large",1270,1708,1708,1853.184,2316.48,2865.12,3520.44,3596.64,3617.976,4724.4,8.636,10,10,16,19,21,24,24,24.37,35.49
"220",14,20,"LCOR-261","LC-102 4B","4B","LC-102","transgenic","large",1181.1,1342,1426.464,1752.6,2179.32,2727.96,3535.68,3657.6,3721.608,4358.64,7.62,9,10,15,16,19,23,23,24.35,31.55
"221",15,20,"LCOR-493","CT717 3","CT3","Control","control","large",1219.2,1342,1389.888,1661.16,1965.96,2484.12,3108.96,3108.96,3182.112,3962.4,12.192,12.192,12.192,13.5,14,17,19,19,20.36,29.44
"222",2,21,"LCOR-098","LC-102 8-9D","8-9D","Escape","control","large",1219.2,1250.5,1591.056,1591.056,1813.56,2148.84,2895.6,2956.56,3005.328,4145.28,8.128,8.128,10,13,15,17,22.5,23,23.47,39.59
"223",3,21,"LCOR-482","LC-102 1C","1C","LC-102","transgenic","large",1270,1326.75,1542.288,1569.72,1798.32,2225.04,3063.24,3169.92,3297.936,4328.16,8.128,8.128,10,12,14,16,22,24,26.66,32.53
"224",4,21,"LCOR-350","CT717 3","CT3","Control","control","large",1371.6,1403,1822.704,1822.704,1981.2,2377.44,2987.04,3078.48,3078.48,4175.76,8.636,9,12,14.5,16,18,23,24,24,35.51
"225",5,21,"LCOR-129","LC-102 5","5","LC-102","transgenic","large",1511.3,1555.5,1795.272,1798.32,2164.08,2621.28,3383.28,3383.28,3508.248,3992.88,11.684,11.684,12,14,15,18,22.5,24,24.27,28.25
"226",6,21,"LCOR-012","LC-102 4A","4A","LC-102","transgenic","large",1270,1555.5,1555.5,1996.44,2423.16,2956.56,3703.32,3901.44,3965.448,4785.36,10.414,11,11,16,18,21,26,27,29.29,34.25
"227",7,21,"LCOR-248","LC-102 5A","5A","LC-102","transgenic","large",1168.4,1372.5,1642.872,1752.6,2164.08,2758.44,3703.32,3810,3928.872,4937.76,8.636,9,11,15,17,20,25,27,27.61,38.08
"228",8,21,"LCOR-476","LC-102 13-15B","13-15B","LC-102","transgenic","large",1282.7,1403,1621.536,1722.12,2072.64,2575.56,3215.64,3230.88,3282.696,4328.16,8.382,9,12,14,17,19,22,22,23.55,30.29
"229",9,21,"LCOR-584","LC-102 5A","5A","LC-102","transgenic","large",1320.8,1586,1586,1935.48,2087.88,2788.92,3520.44,3520.44,3651.504,4602.48,10.16,12,12,15.5,18,19,23,24,24.66,31.58
"230",10,21,"LCOR-518","LC-102 16-20","16-20","Escape","control","large",1498.6,1616.5,1616.5,1905,2346.96,2834.64,3550.92,3596.64,3654.552,4328.16,9.906,11,11,15,17,19,23,23,23.23,29.96
"231",11,21,"LCOR-450","LC-102 2H","2H","LC-102","transgenic","large",1219.2,1265.75,1624.584,1624.584,1889.76,2331.72,3108.96,3169.92,3285.744,3901.44,8.128,8.128,12,12.5,14,16,21,22,22.47,28.81
"232",12,21,"LCOR-017","LC-102 4B","4B","LC-102","transgenic","large",1651,1769,1769,2057.4,2377.44,2804.16,3505.2,3627.12,3703.32,4541.52,10.922,11,11,17,19,21,26,26,28.01,37.52
"233",13,21,"LCOR-495","CT717 3","CT3","Control","control","large",1625.6,1769,1769,2087.88,2545.08,3124.2,3901.44,3992.88,4078.224,4907.28,11.43,13,13,17.5,21,21,27,28,28.63,38.15
"234",14,21,"LCOR-144","LC-102 7","7","LC-102","transgenic","large",1295.4,1525,1525,1874.52,2225.04,2651.76,3291.84,3352.8,3438.144,4145.28,9.398,10,10,15.5,17,19,21.5,21.5,22.98,30.2
"235",15,21,"LCOR-204","CT717 3","CT3","Control","control","large",1371.6,1525,1525,1874.52,2225.04,2758.44,3413.76,3413.76,3483.864,4389.12,8.636,10,10,14,17,19,22,22,23.08,32.66
"236",2,22,"LCOR-616","LC-102 13-15E","13-15E","LC-102","transgenic","large",1346.2,1433.5,1433.5,1630.68,1950.72,2331.72,2910.84,2926.08,3014.472,3901.44,9.144,10,10,13,13,15,19,20,19.78,29.06
"237",3,22,"LCOR-245","LC-102 5A","5A","LC-102","transgenic","large",571.5,579.5,603.504,838.2,1066.8,1341.12,2072.64,2103.12,2209.8,2225.04,3.81,4,4,5.5,7,8,13,13,12.29,12.3
"238",4,22,"LCOR-165","LC-102 5A","5A","LC-102","transgenic","large",800.1,945.5,945.5,1219.2,1508.76,1935.48,2743.2,2895.6,2935.224,3505.2,7.112,7.112,7.112,10,11,14,19,20,20.29,25.18
"239",5,22,"LCOR-209","CT717 3","CT3","Control","control","large",1549.4,1586,1586,1859.28,2225.04,3032.76,3459.48,3505.2,3581.4,3870.96,10.414,11,11,14,16,19,24,25,25.57,29.31
"240",6,22,"LCOR-340","CT717 3","CT3","Control","control","large",990.6,1159,1161.288,1408.176,1630.68,1798.32,2423.16,2529.84,2535.936,3169.92,7.874,9,9,12.5,14,15,18,23,19.14,24.34
"241",8,22,"LCOR-149","LC-102 7","7","LC-102","transgenic","large",1358.9,1403,1472.184,1679.448,1950.72,2225.04,2834.64,2926.08,2993.136,3749.04,8.89,10,10,12,13,14,17,23,18.44,24.38
"242",10,22,"LCOR-169","LC-102 1C","1C","LC-102","transgenic","large",1155.7,1403,1505.712,1859.28,2286,2727.96,3276.6,3322.32,3456.432,4206.24,10.414,11,11,15.5,21,21,21,21,22.56,29.96
"243",11,22,"LCOR-063","LC-102 2H","2H","LC-102","transgenic","large",1549.4,1830,1865.376,2209.8,2423.16,2956.56,3657.6,3657.6,3794.76,4541.52,11.684,12,13,18,21,21,23.5,24,24.37,33.84
"244",12,22,"LCOR-483","LC-102 1C","1C","LC-102","transgenic","large",1371.6,1555.5,1645.92,1981.2,2560.32,2926.08,3596.64,3627.12,3733.8,5212.08,10.414,11,11,17.5,20,22,24,25,25.88,37.8
"245",13,22,"LCOR-514","LC-102 16-20","16-20","Escape","control","large",1473.2,1525,1594.104,1935.48,2286,2712.72,3261.36,3261.36,3435.096,4175.76,11.176,12,12,17,18,22,25,25,25.62,36.62
