Obs#,Time,Date,configName,configAuthor,remark,Observation,ID,leaf,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
12,12:12:08,9/19/22,Auto gsw+F,LI-COR Default,,12,LCOR-461,14,0.444484,2.915495,0.385685,7.513377,1.596692,1.386411,3.502562,1.90587,13.811107,15.905879,34.89172,0.441786,PSF-00336_20220919121208,0,0,0,106.008408,203.734039,0.479673,0.5,0.8,326.904266,47.04,40.84,26.1,26.63,100.38,155.9,155.1,0.5,1704,4.079,-3,169,119,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:11:47,9/19/22,-0.24,-0.001,0.003,0.012,-0.363,-0.756,1.427,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,184.588196,25,-13.381412,183.301086,184.617508,-1.316422,2.452449,2.44898,1.655313,0.927024,0.26102,0.005716,0.238581,1.658588,106.008408,0.000596,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919121208,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
13,12:13:17,9/19/22,Auto gsw+F,LI-COR Default,,13,LCOR-519,11,0.470166,2.917896,0.40492,7.890182,1.653165,1.432879,3.558458,1.905293,14.273903,16.468327,35.44828,0.441786,PSF-00336_20220919121317,0,0,0,111.324188,257.671143,0.56796,0.5,0.8,362.38028,48.32,41.88,26.23,26.9,100.38,156.2,154.1,1.4,1595,4.077,-20,168,117,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:11:47,9/19/22,-0.24,0.002,0.002,0.011,0.315,-0.269,0.649,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,228.791351,25,-20.051138,227.104782,229.026321,-1.921539,2.453878,2.450728,1.657851,0.924464,0.259649,0.007355,0.243945,1.55959,111.324188,0.000601,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919121317,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
14,12:14:26,9/19/22,Auto gsw+F,LI-COR Default,,14,LCOR-490,13,0.35255,2.91493,0.314511,6.466788,1.573164,1.39202,3.584521,2.011357,13.864636,15.668849,35.702137,0.441786,PSF-00336_20220919121426,0,0,0,98.545433,165.460617,0.404418,0.5,0.8,235.328949,45.51,40.27,26.41,27.03,100.4,155.9,155.5,0.3,1455,4.075,26,-168,108,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:11:47,9/19/22,-0.24,-0.001,-0.002,0.012,-0.957,-1.334,-2.589,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,155.227661,25,-7.111212,154.634003,155.30162,-0.667618,2.451575,2.446773,1.654718,0.927999,0.257849,0.006742,0.249075,1.431754,98.545433,0.000628,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919121426,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
15,12:15:58,9/19/22,Auto gsw+F,LI-COR Default,,15,LCOR-155,15,0.320218,2.916206,0.288535,7.145924,1.633574,1.433756,4.04941,2.415836,14.28229,16.272758,40.33799,0.441786,PSF-00336_20220919121558,0,0,0,111.611725,272.90799,0.591028,0.5,0.8,373.927795,46.51,40.82,26.68,29.12,100.39,156,155.3,0.5,1582,4.073,-15,177,122,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:11:47,9/19/22,-0.24,0.002,0.004,-9999,0.752,1.546,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,233.468048,25,-28.078161,227.462051,232.795853,-5.333801,2.452293,2.448103,1.656063,0.927578,0.255098,0.028986,0.255793,1.547375,111.611725,0.00062,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919121558,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
16,12:17:16,9/19/22,Auto gsw+F,LI-COR Default,,16,LCOR-102,15,0.33701,2.917237,0.30211,6.958549,1.647766,1.453369,3.896198,2.248432,14.477378,16.413807,38.811001,0.441786,PSF-00336_20220919121716,0,0,0,126.326324,234.418396,0.461107,0.5,0.8,21.667706,46.52,41.03,26.82,28.45,100.39,156.2,155,0.7,117,4.069,0,-163,83,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:11:47,9/19/22,-0.24,0.002,0.001,0.014,-1.257,-1.95,-5.424,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,214.821701,25,-13.636817,213.667984,214.936996,-1.269012,2.452551,2.448074,1.657153,0.926796,0.253632,0.019048,0.261442,0.213775,126.326324,0.000602,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919121716,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
17,12:20:24,9/19/22,Auto gsw+F,LI-COR Default,,17,LCOR-025,13,0.339227,2.918253,0.303901,6.799303,1.611866,1.422015,3.797251,2.185385,14.165998,16.057281,37.827915,0.441786,PSF-00336_20220919122024,0,0,0,87.579849,240.581161,0.635965,0.5,0.8,305.973663,44.35,39.13,27.26,28.01,100.38,156.3,154.7,1,1203,4.067,-5,160,79,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:11:47,9/19/22,-0.24,-0.003,-0.002,0.03,0.517,1.14,2.392,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,204.633591,25,-24.927555,202.240341,204.96994,-2.729599,2.449776,2.444939,1.65823,0.925971,0.24926,0.008345,0.274741,1.20228,87.579849,0.00062,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919122024,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
18,12:21:29,9/19/22,Auto gsw+F,LI-COR Default,,18,LCOR-432,13,0.407189,2.91709,0.357313,7.651342,1.66008,1.446334,3.751795,2.091716,14.407476,16.536674,37.373039,0.441786,PSF-00336_20220919122129,0,0,0,124.995232,269.742584,0.536613,0.5,0.8,302.635864,45.3,39.46,27.4,27.8,100.39,156.1,155.6,0.4,1410,4.066,16,153,67,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:11:47,9/19/22,-0.24,0.002,0.003,0.016,-1.073,-1.787,3.267,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,243.3461,25,-18.657354,240.698212,243.088898,-2.390686,2.450221,2.446225,1.656998,0.928253,0.24785,0.004105,0.27897,1.390947,124.995232,0.000605,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919122129,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
19,12:22:57,9/19/22,Auto gsw+F,LI-COR Default,,19,LCOR-523,12,0.295184,2.917116,0.268059,5.447731,1.609029,1.456765,3.596346,1.987316,14.51109,16.027826,35.823837,0.441786,PSF-00336_20220919122257,0,0,0,107.837677,299.671875,0.640148,0.5,0.8,256.652893,43.44,39.33,27.59,27.08,100.39,156.1,151.5,3,1002,4.065,0,-163,107,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:22:47,9/19/22,-0.22,-0.006,-0.003,0.01,0.037,-0.34,-0.73,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,268.739807,25,-21.60911,266.142731,268.801331,-2.6586,2.449986,2.44354,1.657025,0.918107,0.246059,-0.006832,0.284793,1.01969,107.837677,0.000631,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919122257,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
20,12:23:37,9/19/22,Auto gsw+F,LI-COR Default,,20,LCOR-311,11,0.435213,2.917266,0.378714,8.155461,1.690683,1.462976,3.793269,2.102586,14.574452,16.842915,37.78928,0.441786,PSF-00336_20220919122337,0,0,0,102.115273,201.927032,0.494296,0.5,0.8,308.264587,45.4,39.29,27.68,27.99,100.38,156.2,155.4,0.5,1559,4.064,18,178,259,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:22:47,9/19/22,-0.22,-0.001,0.001,0.009,-0.482,-0.584,1.617,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,177.541489,25,-17.544518,172.967072,176.863129,-3.896057,2.449913,2.446267,1.657184,0.927695,0.245189,0.003081,0.287524,1.526814,102.115273,0.000618,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919122337,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
21,12:24:24,9/19/22,Auto gsw+F,LI-COR Default,,21,LCOR-492,10,0.43864,2.918467,0.381327,8.330729,1.672741,1.440311,3.805919,2.133178,14.348228,16.663671,37.914173,0.441786,PSF-00336_20220919122424,0,0,0,150.299194,245.503525,0.387792,0.5,0.8,292.056488,44.78,38.55,27.73,28.05,100.38,156.3,155.1,0.8,1883,4.06,30,-172,82,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:22:47,9/19/22,-0.22,0,0.001,0.022,-3.591,-4.881,2.921,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,224.803085,25,-15.995667,219.633224,222.652298,-3.019073,2.448866,2.445379,1.658457,0.927098,0.244651,0.0031,0.290524,1.821646,150.299194,0.000622,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919122424,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
22,12:27:57,9/19/22,Auto gsw+F,LI-COR Default,,22,LCOR-032,12,0.339086,2.916021,0.303763,5.994431,1.552515,1.384794,3.48317,1.930655,13.799329,15.470658,34.709438,0.441786,PSF-00336_20220919122757,0,0,0,118.633392,301.763,0.606866,0.5,0.8,269.424622,41.54,37.05,27.74,26.54,100.35,156,153.3,1.7,1110,4.058,3,156,76,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:22:47,9/19/22,-0.22,0.001,0.003,0.013,-0.512,-1.048,-3.472,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,275.952087,25,-17.805395,276.07547,276.326416,-0.250946,2.446728,2.440828,1.655868,0.922593,0.244564,-0.015202,0.303871,1.117676,118.633392,0.00062,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919122757,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
23,12:29:11,9/19/22,Auto gsw+F,LI-COR Default,,23,LCOR-446,12,0.15216,2.917694,0.144618,3.270018,1.462785,1.371311,3.674225,2.21144,13.662459,14.573815,36.606533,0.441786,PSF-00336_20220919122911,0,0,0,108.986374,291.41217,0.626006,0.5,0.8,266.672607,39.3,36.84,27.67,27.45,100.37,156.2,154.7,1,1065,4.057,15,-159,112,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:22:47,9/19/22,-0.22,0.001,0,0.008,-0.046,-0.467,-0.22,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,258.098602,25,-23.427961,254.949692,257.943237,-2.993546,2.446451,2.437675,1.657637,0.926041,0.245269,-0.00342,0.307731,1.076757,108.986374,0.000628,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919122911,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
24,12:30:02,9/19/22,Auto gsw+F,LI-COR Default,,24,LCOR-313,10,0.133169,2.918621,0.127358,3.448038,1.477034,1.38066,4.11881,2.641776,13.754953,14.715085,41.034016,0.441786,PSF-00336_20220919123002,0,0,0,114.518883,167.320755,0.315573,0.5,0.8,226.872269,39.78,37.19,27.63,29.41,100.38,156.3,154.7,1.1,1797,4.056,26,174,77,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:22:47,9/19/22,-0.22,-0.001,0,-9999,-2.001,-4.067,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,159.410828,25,-5.80226,158.722046,159.031708,-0.309662,2.446946,2.438366,1.65862,0.925959,0.245674,0.021063,0.310946,1.743763,114.518883,0.000613,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919123002,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
25,12:30:58,9/19/22,Auto gsw+F,LI-COR Default,,25,LCOR-190,15,0.129878,2.91638,0.124341,3.881215,1.475839,1.367179,4.515106,3.039267,13.622338,14.705009,44.987759,0.441786,PSF-00336_20220919123058,0,0,0,97.371338,157.157654,0.380423,0.5,0.8,278.428314,39.71,36.79,27.64,31.01,100.36,156,155,0.6,1830,4.054,23,163,77,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:22:47,9/19/22,-0.22,0.002,0.003,-9999,-2.385,-2.483,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,141.629929,25,-11.584454,138.066177,140.608231,-2.542053,2.446372,2.43826,1.656247,0.926896,0.245505,0.040826,0.314812,1.773296,97.371338,0.000606,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919123058,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
26,12:31:32,9/19/22,Auto gsw+F,LI-COR Default,,26,LCOR-112,10,0.217202,2.917861,0.202154,5.173545,1.509018,1.36438,4.007197,2.498179,13.59306,15.034066,39.922958,0.441786,PSF-00336_20220919123132,0,0,0,101.935745,148.795929,0.314929,0.5,0.8,227.538986,40.55,36.67,27.66,28.94,100.37,156.2,154.2,1.3,1806,4.053,35,166,92,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:22:47,9/19/22,-0.22,0.001,0.003,-9999,-1.685,-1.553,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,138.660187,25,-7.934895,135.668991,137.460236,-1.791245,2.446197,2.439453,1.657815,0.924845,0.245302,0.014746,0.317086,1.751929,101.935745,0.000626,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919123132,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
27,12:32:46,9/19/22,Auto gsw+F,LI-COR Default,,27,LCOR-374,10,0.275498,2.916681,0.251722,5.070738,1.496295,1.354395,3.468043,1.971748,13.49486,14.908724,34.554741,0.441786,PSF-00336_20220919123246,0,0,0,119.980934,293.751892,0.591557,0.5,0.8,271.731964,40.05,36.25,27.73,26.46,100.36,156.1,150.3,3.7,1148,4.052,-14,-179,72,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,12:22:47,9/19/22,-0.22,0,0.003,0.012,-1.85,-2.954,-7.172,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,268.439056,25,-17.610193,267.796051,268.594177,-0.798126,2.445593,2.438725,1.656566,0.915165,0.244641,-0.015986,0.321844,1.152718,119.980934,0.000609,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220919123246,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2021-01-19T12:57:14.097Z
