"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-28","    3","0.00",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-29",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-30",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-31",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-01",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-02",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-03",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-05",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-06",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-07",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-08",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-09",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-10",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-18","    8","0.00",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-19",,,"0.06",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-20",,,"0.05",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-26","    6","0.00",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-28",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-06-30",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-01",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-02",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-03",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-04",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-09","    5","0.00",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-10",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-11",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-12",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-13",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-14",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-15",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-17",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-18",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-19",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-20",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-21",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-24","    3","0.00",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-26",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-27",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-28",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-29",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-30",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-07-31",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-01",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-02",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-03",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-04",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-05",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-06",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-10","    4","0.00",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-11",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-12",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-13",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-14",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-15",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-16",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-17",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-18",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-19",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-20",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-25","    5","0.00",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-26",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-27",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-28",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-29",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-30",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-08-31",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-01",,,"0.59",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-02",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-03",,,"0.04","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-04",,,"0.02",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-05",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-06",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-07",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-08",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-09",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-10",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-11",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-12",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-13",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-09-17",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-03","   16","2.00",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-04",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-05",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-06",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-09",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-10",,,"0.43",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-11",,,"0.50",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-12",,,"0.20",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-15",,,"0.01",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-16",,,"0.07",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-17",,,"0.04",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-18",,,"0.02",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-21","    3","0.03",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-22",,,"0.02",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-23",,,"0.02",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-24",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-25",,,"0.72",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-26",,,"0.38",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-27",,,"0.01",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-10-28",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-02","    5","0.60",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-03",,,"0.02",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-04",,,"0.57",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-05",,,"0.15",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-07","    2","1.53",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-08",,,"0.04",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-09",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-10",,,"0.05",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-11",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-12",,,"0.24",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-13",,,"0.32",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-14",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-15",,,"0.10",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-18",,,"0.00",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-19",,,"0.45",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-21",,,"0.02",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-23","    2","0.24",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-24",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-25",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-26",,,"0.00",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-28",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-11-29",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-01","    2","0.66",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-02",,,"0.27",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-04",,,"0.49",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-08","    4","2.11",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-10",,,"0.34",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-11",,,"0.32",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-12",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-13",,,"0.01",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-14",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-17",,,"0.01",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-18",,,"0.01",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-21","    3","0.50",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-22",,,"0.11",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-23",,,"0.03",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-24",,,"0.01",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-25",,,"0.33",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-26",,,"0.20",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-27",,,"0.04",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-28",,,"0.05",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-29",,,"0.01",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-30",,,"0.19",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-12-31",,,"0.09",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2024-01-01",,,"0.01",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2024-01-02",,,"0.02",
