7,17,LCOR-411,8-9D,,,,,,,,,7,17,LCOR-411,8-9D,,,,,,,,,7,17,LCOR-411,8-9D,,,,
13,17,LCOR-502,CT3,,,,,,,,,13,17,LCOR-502,CT3,,,,,,,,,13,17,LCOR-502,CT3,,,,
15,17,LCOR-271,5C,,,,,,,,,15,17,LCOR-271,5C,,,,,,,,,15,17,LCOR-271,5C,,,,
5,18,LCOR-085,8-9D,,,,,,,,,5,18,LCOR-085,8-9D,,,,,,,,,5,18,LCOR-085,8-9D,,,,
13,18,LCOR-572,5C,,,,,,,,,13,18,LCOR-572,5C,,,,,,,,,13,18,LCOR-572,5C,,,,
5,20,LCOR-166,5A,,,,,,,,,5,20,LCOR-166,5A,,,,,,,,,5,20,LCOR-166,5A,,,,
2,21,LCOR-098,8-9D,,,,,,,,,2,21,LCOR-098,8-9D,,,,,,,,,2,21,LCOR-098,8-9D,,,,
6,21,LCOR-012,4A,,,,,,,,,6,21,LCOR-012,4A,,,,,,,,,6,21,LCOR-012,4A,,,,
9,21,LCOR-584,5A,,,,,,,,,9,21,LCOR-584,5A,,,,,,,,,9,21,LCOR-584,5A,,,,
11,21,LCOR-450,2H,,,,,,,,,11,21,LCOR-450,2H,,,,,,,,,11,21,LCOR-450,2H,,,,
4,22,LCOR-165,5A,,,,,,,,,4,22,LCOR-165,5A,,,,,,,,,4,22,LCOR-165,5A,,,,
6,22,LCOR-340,CT3,,,,,,,,,6,22,LCOR-340,CT3,,,,,,,,,6,22,LCOR-340,CT3,,,,
13,22,LCOR-514,16-20,,,,,,,,,13,22,LCOR-514,16-20,,,,,,,,,13,22,LCOR-514,16-20,,,,
6,23,LCOR-106,16-20,,,,,,,,,6,23,LCOR-106,16-20,,,,,,,,,6,23,LCOR-106,16-20,,,,
11,23,LCOR-090,8-9D,,,,,,,,,11,23,LCOR-090,8-9D,,,,,,,,,11,23,LCOR-090,8-9D,,,,
14,23,LCOR-290,8-9D,,,,,,,,,14,23,LCOR-290,8-9D,,,,,,,,,14,23,LCOR-290,8-9D,,,,
4,24,LCOR-608,13-15E,,,,,,,,,4,24,LCOR-608,13-15E,,,,,,,,,4,24,LCOR-608,13-15E,,,,
10,24,LCOR-546,4A,,,,,,,,,10,24,LCOR-546,4A,,,,,,,,,10,24,LCOR-546,4A,,,,
13,24,LCOR-084,13-15E,,,,,,,,,13,24,LCOR-084,13-15E,,,,,,,,,13,24,LCOR-084,13-15E,,,,
1,25,LCOR-214,2H,,,,,,,,,1,25,LCOR-214,2H,,,,,,,,,1,25,LCOR-214,2H,,,,
7,25,LCOR-160,5A,,,,,,,,,7,25,LCOR-160,5A,,,,,,,,,7,25,LCOR-160,5A,,,,
8,26,LCOR-300,13-15E,,,,,,,,,8,26,LCOR-300,13-15E,,,,,,,,,8,26,LCOR-300,13-15E,,,,
9,26,LCOR-341,CT3,,,,,,,,,9,26,LCOR-341,CT3,,,,,,,,,9,26,LCOR-341,CT3,,,,
10,26,LCOR-095,8-9D,,,,,,,,,10,26,LCOR-095,8-9D,,,,,,,,,10,26,LCOR-095,8-9D,,,,
10,27,LCOR-322,16-20,,,,,,,,,10,27,LCOR-322,16-20,,,,,,,,,10,27,LCOR-322,16-20,,,,
13,27,LCOR-295,13-15E,,,,,,,,,13,27,LCOR-295,13-15E,,,,,,,,,13,27,LCOR-295,13-15E,,,,
6,28,LCOR-227,4A,,,,,,,,,6,28,LCOR-227,4A,,,,,,,,,6,28,LCOR-227,4A,,,,
14,46,LCOR-155,5A,,,,,,,,,14,46,LCOR-155,5A,,,,,,,,,14,46,LCOR-155,5A,,,,
4,47,LCOR-232,4A,,,,,,,,,4,47,LCOR-232,4A,,,,,,,,,4,47,LCOR-232,4A,,,,
6,48,LCOR-412,8-9D,,,,,,,,,6,48,LCOR-412,8-9D,,,,,,,,,6,48,LCOR-412,8-9D,,,,
8,49,LCOR-578,5A,,,,,,,,,8,49,LCOR-578,5A,,,,,,,,,8,49,LCOR-578,5A,,,,
12,49,LCOR-460,2H,,,,,,,,,12,49,LCOR-460,2H,,,,,,,,,12,49,LCOR-460,2H,,,,
15,49,LCOR-456,2H,,,,,,,,,15,49,LCOR-456,2H,,,,,,,,,15,49,LCOR-456,2H,,,,
5,50,LCOR-208,CT3,,,,,,,,,5,50,LCOR-208,CT3,,,,,,,,,5,50,LCOR-208,CT3,,,,
6,50,LCOR-457,2H,,,,,,,,,6,50,LCOR-457,2H,,,,,,,,,6,50,LCOR-457,2H,,,,
8,50,LCOR-501,CT3,,,,,,,,,8,50,LCOR-501,CT3,,,,,,,,,8,50,LCOR-501,CT3,,,,
14,51,LCOR-567,5C,,,,,,,,,14,51,LCOR-567,5C,,,,,,,,,14,51,LCOR-567,5C,,,,
