"","SMd2023","soil_water_content","Date"
"2023-09-08 23:45:00","2023-09-08 23:45:00",0.219666666666667,2023-09-08
"2023-09-09 23:45:00","2023-09-09 23:45:00",0.219,2023-09-09
"2023-09-10 23:45:00","2023-09-10 23:45:00",0.218427083333333,2023-09-10
"2023-09-11 23:45:00","2023-09-11 23:45:00",0.218,2023-09-11
"2023-09-12 23:45:00","2023-09-12 23:45:00",0.217395833333333,2023-09-12
"2023-09-13 23:45:00","2023-09-13 23:45:00",0.217,2023-09-13
"2023-09-14 23:45:00","2023-09-14 23:45:00",0.216760416666667,2023-09-14
"2023-09-15 23:45:00","2023-09-15 23:45:00",0.216,2023-09-15
"2023-09-16 23:45:00","2023-09-16 23:45:00",0.216,2023-09-16
"2023-09-17 23:45:00","2023-09-17 23:45:00",0.215458333333333,2023-09-17
"2023-09-18 23:45:00","2023-09-18 23:45:00",0.215,2023-09-18
"2023-09-19 23:45:00","2023-09-19 23:45:00",0.214666666666667,2023-09-19
"2023-09-20 23:45:00","2023-09-20 23:45:00",0.214,2023-09-20
"2023-09-21 23:45:00","2023-09-21 23:45:00",0.214,2023-09-21
"2023-09-22 23:45:00","2023-09-22 23:45:00",0.213447916666667,2023-09-22
"2023-09-23 23:45:00","2023-09-23 23:45:00",0.21296875,2023-09-23
"2023-09-24 23:45:00","2023-09-24 23:45:00",0.213822916666667,2023-09-24
"2023-09-25 23:45:00","2023-09-25 23:45:00",0.2284375,2023-09-25
"2023-09-26 23:45:00","2023-09-26 23:45:00",0.239447916666667,2023-09-26
"2023-09-27 23:45:00","2023-09-27 23:45:00",0.242072916666667,2023-09-27
"2023-09-28 23:45:00","2023-09-28 23:45:00",0.240822916666667,2023-09-28
"2023-09-29 23:45:00","2023-09-29 23:45:00",0.243333333333333,2023-09-29
"2023-09-30 23:45:00","2023-09-30 23:45:00",0.243635416666667,2023-09-30
"2023-10-01 23:45:00","2023-10-01 23:45:00",0.242333333333333,2023-10-01
"2023-10-02 23:45:00","2023-10-02 23:45:00",0.241208333333333,2023-10-02
"2023-10-03 23:45:00","2023-10-03 23:45:00",0.242677083333333,2023-10-03
"2023-10-04 23:45:00","2023-10-04 23:45:00",0.242989583333333,2023-10-04
"2023-10-05 23:45:00","2023-10-05 23:45:00",0.243,2023-10-05
"2023-10-06 23:45:00","2023-10-06 23:45:00",0.243177083333333,2023-10-06
"2023-10-07 23:45:00","2023-10-07 23:45:00",0.243802083333333,2023-10-07
"2023-10-08 23:45:00","2023-10-08 23:45:00",0.244,2023-10-08
"2023-10-09 23:45:00","2023-10-09 23:45:00",0.244770833333333,2023-10-09
"2023-10-10 23:45:00","2023-10-10 23:45:00",0.25103125,2023-10-10
"2023-10-11 17:30:00","2023-10-11 17:30:00",0.27212676056338,2023-10-11
