obs,time,elapsed,date,hhmmss,averaging,instrument,row,column,spad1,spad2,,operator,temp,event,event_short,block,leaf,tree,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
11,1659027202,1287.6,20220728 09:53:21,9:53:21,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659027194,0.007044234,7.044234461,32.69731999,797.9156452,667.2533559,67.37857283,80.57271939,0.500856444,2.945042759,0.457897401,0.289737898,241.741843,30.03091955,30.03091955,4.268022162,63.38741546,2.768700373,4.367902293,1.499321789,-310.6507397,64.05212881,4.847090828,-0.009677104,32.69731999,7.044234461,32.43272119,854.3009493,821.0887758,0.025151803,67.25611991,7.063508749,20.57555442,27.44194848,5.70E-05,79.29612613,0,0,1,0,52741.66164,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-177-20220728-09_53_22,10154.8,893.87424,1205.97,0.258792308,0.5,1261.236842,32.69731999,163.1991968,0.034037028,1.674336841,789.3505492,-,0,789.3505492,0.345464191,0.749114712,0.828961276,-2.374549815,1.0696239,0.661518235,0.338481765,1500.030968,1261.236842,0.840807203,0.161157902,6,0.5,0: Broadleaf,2,FALSE,1659027194,797.9156452,836.2170645,27.41857742,20.57045484,800.4963226,27.13705484,600.260129,100.879,0.099994306,30.43433871,29.65354516,999.9,0,0,10000.67935,0,1362.579032,1500.030968,0.973002323,0.026997529,0,893.811129,4.99935,15535.34516,14585.2129,37.43919355,39.43329032,37.72558065,38.20141935,39.57632258,1454.670323,40.36096774,0,118.9000001,0,893.87424,6.530076927,54.35384595,15536.024,15,1659027113,9:51:52,1659027113,1659026669,9,-0.319,0.005,-2.362,0.132,630,20,0.12,0.02,100,100,-2.581,0.2815,-1.282722538,-0.001994519,4.10E-07,7.06E-11,0.28153728,0,0,0,4,2101,2,25,1.5,8.9,1.87744,2.36328,1.59912,2.33276,1.59424,2.37549,34.3497,15.6993,18,621.589,405.86,30.0012,27.0138,30,26.8822,26.8484,37.5997,26.2394,51.7357,30,837.547,20.4647,100.23,100.39
12,1659027342,1427.6,20220728 09:55:41,9:55:41,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659027334,0.007158549,7.158549139,34.58706713,998.7479333,859.9635686,86.83826605,100.8525732,0.514717489,2.945443359,0.469468305,0.297150951,241.7418475,30.04809609,30.04809609,4.272233869,63.62033089,2.786300239,4.379575209,1.48593363,-315.692017,68.73651349,5.202512093,-0.011143986,34.58706713,7.158549139,34.39431579,1062.544381,1027.446303,-0.001427198,67.25836514,7.139315594,20.63264308,27.57275879,-9.87E-05,79.27226251,0,0,1,0,52745.07793,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-178-20220728-09_55_42,10166.1,899.9881923,1219.25,0.26185098,0.5,1261.23384,34.58706713,165.1276586,0.035535441,1.64520812,795.018367,-,0,795.018367,0.347944747,0.752564832,0.825429974,-2.702089995,1.062589131,0.664789682,0.335210318,1500.027,1261.23384,0.840807425,0.161158331,6,0.5,0: Broadleaf,2,FALSE,1659027334,998.7479333,1040.467333,27.59286667,20.63472,1001.547,27.31134667,600.2481333,100.879,0.10000565,30.48096,29.84375667,999.9,0,0,10002.957,0,703.2231333,1500.027,0.972995667,0.02700435,0,899.9971333,4.99935,14673.80333,14585.15333,35.39546667,38.05813333,35.7622,36.45406667,37.67473333,1454.656,40.372,0,139.1000001,0,899.9881923,-7.063897435,1340.950426,14672.92308,15,1659027113,9:51:52,1659027113,1659026669,9,-0.319,0.005,-2.362,0.132,630,20,0.12,0.02,100,100,-2.8,0.2815,-1.282722538,-0.001994519,4.10E-07,7.06E-11,0.28153728,0,0,0,4,2101,2,25,3.8,11.2,2.24487,2.35596,1.5979,2.33276,1.59424,2.39624,34.4864,15.6731,18,621.374,404.944,30.0001,27.1433,30.0007,26.9458,26.9157,44.9468,27.5279,54.0357,30,1041.27,20.6425,100.205,100.36
13,1659027464,1549.6,20220728 09:57:43,9:57:43,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659027456,0.007175865,7.175864814,34.67504158,1197.164667,1053.671195,106.3972317,120.886864,0.516182443,2.945026722,0.470681671,0.297929154,241.7365394,29.84737459,29.84737459,4.223242154,63.19650016,2.73682427,4.330657968,1.486417884,-316.4556383,69.46002718,5.247703528,-0.011368213,34.67504158,7.175864814,35.21017254,1266.761801,1230.794485,0.010505281,67.26,7.155451873,20.10985126,27.07038848,-0.0002496,79.25021646,0,0,1,0,52767.16614,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-179-20220728-09_57_44,10148,887.6201538,1195.68,0.257644057,0.5,1261.20938,34.67504158,162.4715507,0.035605884,1.697352134,784.9291039,-,0,784.9291039,0.343529118,0.749991903,0.831676087,-2.173665696,1.075074786,0.663223418,0.336776582,1499.998333,1261.20938,0.840807188,0.161157872,6,0.5,0: Broadleaf,2,FALSE,1659027456,1197.164667,1240.414667,27.10327,20.12443333,1199.975667,26.8217,600.2182667,100.8776333,0.100007727,30.28485667,29.57896333,999.9,0,0,10000.72367,0,789.9253,1499.998333,0.973004,0.02699586,0,887.5309,4.99935,14747.21333,14584.90667,37.88513333,39.94566667,37.74566667,39.8081,39.80806667,1454.639667,40.35933333,0,121.3,0,887.6201538,12.09497435,1204.420511,14751.48846,15,1659027504,9:58:24,1659027504,1659026669,10,0.183,0.005,-2.811,0.132,1240,20,0.24,0.02,100,100,-2.811,0.2816,-1.282722538,-0.001994519,4.10E-07,7.06E-11,0.28153728,0,0,0,4,2101,2,25,5.8,13.2,2.59521,2.33154,1.5979,2.33276,1.59424,2.4707,34.5777,15.6643,18,621.065,404.226,29.9995,27.232,30,27.0057,26.9692,51.9427,30.9486,55.7608,30,1242.39,20.1141,100.188,100.344
14,1659027590,1676.1,20220728 09:59:50,9:59:50,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659027582,0.007086747,7.086747375,34.28832673,1496.280452,1344.274174,135.7423958,151.0917172,0.504681981,2.945192885,0.461096763,0.291787115,241.7289705,29.79641376,29.79641376,4.210881952,62.8919584,2.712115681,4.312340957,1.498766271,-312.5255592,65.81724912,4.969138108,-0.010201472,34.28832673,7.086747375,33.08672269,1573.841336,1538.717697,0.306394684,67.25822145,7.066401789,19.96122521,26.83653515,-0.000125776,79.27439478,0,0,1,0,52784.8275,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-180-20220728-09_59_51,10134.7,874.9963077,1165.74,0.24940698,0.5,1261.168122,34.28832673,157.272066,0.035300417,1.766628922,771.9143877,-,0,771.9143877,0.337833147,0.738254911,0.83946817,-1.693682295,1.0909348,0.651282277,0.348717723,1499.949032,1261.168122,0.840807318,0.161158123,6,0.5,0: Broadleaf,2,FALSE,1659027582,1496.280452,1541.15871,26.85842581,19.96414194,1499.326452,26.57687419,600.1849032,100.8782903,0.099916681,30.21092903,29.35344516,999.9,0,0,10001.60323,0,355.5947097,1499.949032,0.972998935,0.027000894,0,874.9616452,4.99935,14106.69355,14584.39677,40.26183871,41.4473871,39.84264516,41.91516129,41.93722581,1454.585484,40.36451613,0,125.7,0,874.9963077,6.664410273,161.2717952,14107.48462,15,1659027631,10:00:30,1659027631,1659026669,11,-0.103,0.005,-3.046,0.132,1541,20,0.33,0.02,100,100,-3.046,0.2815,-1.100487907,-0.001994519,4.10E-07,7.06E-11,0.28153728,0,0,0,4,2101,2,25,1.4,15.3,3.10059,2.32788,1.5979,2.33276,1.59424,2.44263,34.6006,15.6381,18,620.979,404.33,29.9989,27.2277,29.9999,27.008,26.9692,62.0487,32.0407,56.6124,30,1543.31,19.9968,100.191,100.347
15,1659027743,1828.6,20220728 10:02:22,10:02:22,5,Gandalf,8,16,32.2,30.1,31.15,fg,30,LC-102 16-20,16-20,large,10,LCOR-516,1659027735,0.007057309,7.057308595,33.18348883,1998.299774,1839.7168,185.7708524,201.7842379,0.510036308,2.945251651,0.46556577,0.294650309,241.7400638,29.38354283,29.38354283,4.111899971,62.53394744,2.632335523,4.209450436,1.479564447,-311.227309,64.61896525,4.858474093,-0.009805901,33.18348883,7.057308595,32.61153038,2085.543926,2052.152909,0.033894306,67.25426704,7.053148494,19.17108295,26.03873273,-7.87E-05,79.3103657,0,0,1,0,52859.80677,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-181-20220728-10_02_23,10160.3,886.3786923,1150.22,0.229383342,0.5,1261.227126,33.18348883,144.6522466,0.034422763,1.803959243,765.0786667,-,0,765.0786667,0.334841451,0.685050616,0.843444295,-1.409531769,1.099156156,0.591302134,0.408697866,1500.019355,1261.227126,0.840807235,0.161157963,6,0.5,0: Broadleaf,2,FALSE,1659027735,1998.299774,2045.570323,26.06841613,19.19734194,2001.456774,25.76812581,600.1974839,100.878,0.099961619,29.79050323,28.88571935,999.9,0,0,10001.96613,0,371.3917419,1500.019355,0.973002258,0.026997897,0,886.4842581,4.99935,14091.46452,14585.11935,36.40696774,38.21548387,36.45335484,36.85254839,38.54803226,1454.657742,40.36225806,0,151.9000001,0,886.3786923,-11.87514531,-232.1641028,14089.4,15,1659027782,10:03:02,1659027782,1659026669,12,-0.192,0.005,-3.157,0.132,2044,20,0.22,0.02,100,100,-3.157,0.2994,-1.202246898,-0.001994519,4.10E-07,7.06E-11,-0.090919065,-0.004442259,0.000978152,-8.41E-06,4,2101,2,25,1.9,17.9,3.88306,2.32422,1.5979,2.33276,1.59424,2.42188,34.5321,15.603,18,621.119,404.771,29.9993,27.0928,29.9996,26.9117,26.8722,77.722,35.2844,56.0256,30,2046.27,19.1493,100.217,100.374
21,1659030060,4146,20220728 10:41:00,10:41:00,5,Gandalf,7,17,22.8,22.9,22.8,ch,30,LC-102 8-9D,8-9D,large,13,LCOR-411,1659030052,0.004710773,4.710773008,14.42503789,410.0861935,327.0612584,33.01782956,41.39944947,0.327883313,2.943958855,0.308862584,0.194656039,241.7465851,30.49214555,30.49214555,4.382379857,66.89082375,2.898165193,4.332679777,1.484214664,-207.7450896,-31.6073286,-2.396525997,-0.002359087,14.42503789,4.710773008,14.69626659,436.9879851,421.9347333,-0.000463715,67.26,4.669048182,24.12815156,28.66246667,-7.85E-05,79.23568013,0,0,1,0,52734.50667,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-187-20220728-10_41_01,10226.3,912.21012,1076.79,0.152843061,0.5,1261.258354,14.42503789,96.38729398,0.019549105,1.995170832,731.8809558,-,0,731.8809558,0.320312265,0.477168931,0.861665038,-0.631509045,1.138053979,0.382840363,0.617159637,1500.056129,1261.258354,0.84080744,0.16115836,6,0.5,0: Broadleaf,2,FALSE,1659030052,410.0861935,426.4382903,28.70805161,24.13384839,411.5821935,28.46667742,600.1748065,100.8530323,0.100011577,30.293,30.15929032,999.9,0,0,9997.091935,0,1082.525806,1500.056129,0.972996065,0.027003968,0,912.8321935,4.99935,15332.7,14585.44516,36.94529032,39.83648387,37.32035484,35.71145161,38.89483871,1454.684194,40.37354839,0,248.5,0,912.21012,-69.32715395,-1322.938463,15320.056,15,1659030091,10:41:31,1659030091,1659029467,18,0.246,-0.04,-1.496,0.212,425,24,0.44,0.04,100,100,-1.496,0.2414,-0.972287879,-0.001994519,4.10E-07,7.06E-11,0.241379329,0,0,0,4,2101,2,25,3.7,9.9,1.09375,2.38159,1.5979,2.33765,1.59424,2.45605,37.1941,15.2353,18,616.517,395.719,29.9986,29.8518,30.0003,29.6997,29.6726,21.9181,33.4297,82.2085,30,426.833,24.1244,99.7348,99.8658
22,1659030194,4279.6,20220728 10:43:13,10:43:13,5,Gandalf,7,17,22.8,22.9,22.8,ch,30,LC-102 8-9D,8-9D,large,13,LCOR-411,1659030186,0.004699614,4.699613702,14.11613174,400.1519333,317.5106346,32.05357447,40.39644156,0.321792087,2.944198713,0.303451691,0.191217955,241.7422907,30.15468197,30.15468197,4.298449909,65.66124579,2.789864483,4.248875344,1.508585426,-207.2529642,-32.0685864,-2.423162686,-0.002422618,14.11613174,4.699613702,13.92167153,425.8971902,411.6424606,0.001835925,67.21427639,4.681629987,23.1035427,27.65368545,0.000147725,79.46308262,1,0,1,0,52800.65073,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-188-20220728-10_43_15,10234.2,822.23928,976.02,0.157558984,0.5,1261.239371,14.11613174,99.35979718,0.019304476,2.304409746,683.8890884,-,0,683.8890884,0.299308325,0.526410297,0.885045801,-0.425533137,1.191434525,0.437836366,0.562163634,1500.034,1261.239371,0.840807189,0.161157874,6,0.5,0: Broadleaf,2,FALSE,1659030186,400.1519333,416.1442667,27.63534667,23.06685333,401.7419333,27.39397,600.1635,100.8527,0.100058677,29.95264667,29.87081333,999.9,0,0,9998.488333,0,235.4448333,1500.034,0.973004667,0.026994967,0,822.3434,4.99935,13813.04333,14585.26,35.42883333,38.32063333,35.82896667,34.5769,37.37476667,1454.673667,40.36033333,0,132.5,0,822.23928,-23.16623072,-538.3769224,13810.016,15,1659030228,10:43:48,1659030228,1659029467,19,-0.111,-0.04,-1.59,0.212,414,24,0.43,0.04,100,100,-1.59,0.2413,-0.726303163,-0.001994519,4.10E-07,7.06E-11,0.241379329,0,0,0,4,2101,2,25,1.7,12.1,1.07178,2.40723,1.59912,2.33765,1.59424,2.2998,37.1941,15.2003,18,614.909,393.637,29.9999,29.927,30.0004,29.7903,29.7629,21.4723,37.1794,81.1741,30,415.975,23.1476,99.7104,99.8478
23,1659030309,4395.1,20220728 10:45:09,10:45:09,5,Gandalf,7,17,22.8,22.9,22.8,ch,30,LC-102 8-9D,8-9D,large,13,LCOR-411,1659030301,0.004621304,4.6213042,10.09508226,301.450871,239.9523559,24.22445786,30.43305782,0.30991407,2.944117531,0.2928637,0.184493508,241.7328389,30.29250711,30.29250711,4.33255738,65.356682,2.79575366,4.277686036,1.536803721,-203.7995152,-35.2679023,-2.66835403,-0.002932682,10.09508226,4.6213042,10.2790226,320.1036124,309.5947697,-0.002534379,67.22380509,4.673562754,23.28493153,27.80539576,0.004129463,79.43517707,0,0,1,0,52777.86887,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-189-20220728-10_45_10,10223.7,767.4214615,895.79,0.143302045,0.5,1261.190159,10.09508226,90.36556413,0.016116932,2.600363925,643.5050716,-,0,643.5050716,0.281634008,0.508823651,0.902278206,-0.290680637,1.233934489,0.426663335,0.573336665,1499.975484,1261.190159,0.840807181,0.16115786,6,0.5,0: Broadleaf,2,FALSE,1659030301,301.450871,312.9358065,27.69299032,23.20093226,302.8525806,27.45160968,600.1694194,100.8552258,0.100056642,30.07030968,30.05035161,999.9,0,0,9997.776452,0,240.9390645,1499.975484,0.973004194,0.026995926,0,767.5674516,4.99935,13097.99032,14584.6871,36.61874194,39.17709677,36.89490323,35.9836129,38.21358065,1454.617097,40.3583871,0,114.6999998,0,767.4214615,-19.52034189,-128.3794874,13095.28846,15,1659030228,10:43:48,1659030228,1659029467,19,-0.111,-0.04,-1.59,0.212,414,24,0.43,0.04,100,100,-1.401,0.2414,-0.837238169,-0.001994519,4.10E-07,7.06E-11,0.241379329,0,0,0,4,2101,2,25,1.4,14,0.854492,2.39136,1.5979,2.33765,1.59424,2.45605,37.1941,15.2003,18,615.478,393.018,30.0014,30.0177,30.0005,29.8814,29.8568,17.1311,35.9918,80.4924,30,312.565,23.4296,99.6966,99.8327
24,1659030442,4527.6,20220728 10:47:21,10:47:21,5,Gandalf,7,17,22.8,22.9,22.8,ch,30,LC-102 8-9D,8-9D,large,13,LCOR-411,1659030434,0.004478545,4.478544654,5.740577394,200.917129,164.2939305,16.58768751,20.2852932,0.300369231,2.945844532,0.284332608,0.179077325,241.7300022,30.80537004,30.80537004,4.46155538,66.63906145,2.929480219,4.396040634,1.532075161,-197.5038192,-41.10665167,-3.123523528,-0.003992262,5.740577394,4.478544654,5.748612794,212.5746847,206.693097,-0.002353253,67.1860476,4.562235219,24.67983934,29.09829212,0.001814461,79.53125197,0,0,1,0,52744.88427,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-190-20220728-10_47_23,10206.6,740.0376538,849.76,0.129121571,0.5,1261.175497,5.740577394,81.42248073,0.012664384,2.795389286,619.4024986,-,0,619.4024986,0.271085367,0.476313319,0.911597063,-0.225005176,1.258317803,0.398668444,0.601331556,1499.958065,1261.175497,0.840807171,0.16115784,6,0.5,0: Broadleaf,2,FALSE,1659030434,200.917129,207.5553871,29.01524516,24.66804516,202.159129,28.77387742,600.1930323,100.8635161,0.099967139,30.54653871,30.539,999.9,0,0,10006.77419,0,727.083,1499.958065,0.973004194,0.026995742,0,740.0790645,4.99935,12722.59032,14584.52258,39.3303871,41.14490323,39.24564516,39.0823871,40.68716129,1454.600968,40.35741935,0,131.5999999,0,740.0376538,-8.959965794,-235.7435889,12722.54231,15,1659030479,10:47:58,1659030479,1659029467,20,-0.011,-0.04,-1.242,0.212,206,24,0.58,0.04,100,100,-1.242,0.2414,-0.837238169,-0.001994519,4.10E-07,7.06E-11,0.241379329,0,0,0,4,2101,2,25,3.6,16.3,0.623779,2.4231,1.59912,2.33643,1.59424,2.31934,37.242,15.1652,18,616.877,393.433,30.0022,30.1921,30.0003,30.0292,30.0053,12.5065,31.4585,81.0232,30,207.114,24.7469,99.6712,99.8072
25,1659030560,4645.6,20220728 10:49:19,10:49:19,5,Gandalf,7,17,22.8,22.9,22.8,ch,30,LC-102 8-9D,8-9D,large,13,LCOR-411,1659030552,0.004452846,4.452845572,1.359654196,100.996871,91.00605183,9.188088091,10.19677405,0.300027777,2.943878945,0.284016479,0.178877613,241.7422398,30.89807488,30.89807488,4.4852266,67.01965227,2.960712205,4.417677658,1.524514395,-196.3704897,-42.16690332,-3.209055642,-0.004208914,1.359654196,4.452845572,1.427805332,105.2792694,103.8378121,-0.005038978,67.1923829,4.527548004,25.02176496,29.40643939,0.001591072,79.58592554,0,0,1,0,52673.44473,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-191-20220728-10_49_21,10212,737.77444,827.53,0.108462001,0.5,1261.235826,1.359654196,68.39808097,0.009190262,2.897345111,607.5069725,-,0,607.5069725,0.265879216,0.407937119,0.915946772,-0.176034904,1.270093625,0.335908417,0.664091583,1500.029355,1261.235826,0.84080743,0.161158339,6,0.5,0: Broadleaf,2,FALSE,1659030552,100.996871,102.8057097,29.32522258,25.00424516,102.318871,29.08382903,600.1787742,100.8614194,0.099867355,30.63239032,30.51214839,999.9,0,0,9995.806452,0,647.853,1500.029355,0.972994387,0.027005203,0,737.7937097,4.99935,12690.57097,14585.16452,39.07835484,41.05209677,38.99983871,39.36051613,40.94122581,1454.657097,40.37225806,0,117.0999999,0,737.77444,-0.982461529,9.04615402,12688.376,15,1659030582,10:49:42,1659030582,1659029467,21,-0.273,-0.04,-1.322,0.212,100,24,1.12,0.04,100,100,-1.322,0.2414,-0.847788998,-0.001994519,4.10E-07,7.06E-11,0.241379329,0,0,0,4,2101,2,25,1.4,18.2,0.383301,2.45239,1.59912,2.33643,1.59424,2.36816,37.1702,15.1477,18,617.102,394.279,30.0001,30.2104,29.9996,30.044,30.0117,7.71633,30.976,82.8746,30,102.542,25.0832,99.6933,99.8325
26,1659030662,4748.1,20220728 10:51:02,10:51:02,5,Gandalf,7,17,22.8,22.9,22.8,ch,30,LC-102 8-9D,8-9D,large,13,LCOR-411,1659030654,0.004609734,4.609734289,-0.932637292,50.83620645,54.56864128,5.508888806,5.132086892,0.310425859,2.944106462,0.293320736,0.184783701,241.7425688,30.72610221,30.72610221,4.441401549,66.42907434,2.912637569,4.384582501,1.52876398,-203.2892822,-35.74060021,-2.715706886,-0.003020428,-0.932637292,4.609734289,-0.877785553,51.26011253,52.14790545,0.002602445,67.18899779,4.68074422,24.41251947,28.94314848,0.002490921,79.59554362,0,0,1,0,52702.62871,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-192-20220728-10_51_03,10222,742.1453077,819,0.093839673,0.5,1261.240394,-0.932637292,59.17719317,0.007372739,2.937936508,602.8972377,-,0,602.8972377,0.263861737,0.355639565,0.917589518,-0.148252605,1.274612192,0.288911227,0.711088773,1500.035161,1261.240394,0.84080722,0.161157935,6,0.5,0: Broadleaf,2,FALSE,1659030654,50.83620645,50.13813226,28.8513129,24.37599677,51.96320645,28.60993548,600.1905484,100.8533871,0.099993387,30.50092581,30.39567742,999.9,0,0,9997.895806,0,241.2783226,1500.035161,0.973001968,0.02699781,0,742.1261935,4.99935,12643.20968,14585.25484,37.25770968,39.52190323,37.34251613,37.92306452,39.3343871,1454.673226,40.36193548,0,101.5,0,742.1453077,1.041504257,194.8478647,12642.21923,15,1659030688,10:51:27,1659030688,1659029467,22,0.092,-0.04,-1.127,0.212,48,24,1.01,0.04,100,100,-1.127,0.2413,-1.121183766,-0.001994519,4.10E-07,7.06E-11,0.241379329,0,0,0,4,2101,2,25,1.3,19.9,0.263672,2.48047,1.59912,2.33643,1.59424,2.28638,37.0509,15.1215,18,617.964,394.034,30,30.0996,29.9995,29.961,29.9276,5.31936,32.1684,82.5772,30,49.948,24.4255,99.7236,99.8665
27,1659030775,4860.6,20220728 10:52:54,10:52:54,5,Gandalf,7,17,22.8,22.9,22.8,ch,30,LC-102 8-9D,8-9D,large,13,LCOR-411,1659030767,0.00472176,4.72175976,-3.126970109,5.317327097,21.4558597,2.165962967,0.536782666,0.319355864,2.944401853,0.30128492,0.189841413,241.7388014,30.68431127,30.68431127,4.430808173,66.33113384,2.906209818,4.38136611,1.524598355,-208.2296054,-31.14578919,-2.365699728,-0.002292937,-3.126970109,4.72175976,-2.990441518,2.218651992,5.287217758,-0.00109792,67.1771552,4.79730504,24.23127296,28.87831576,0.001962723,78.55,0,0,1,0,52713.26759,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-193-20220728-10_52_56,10228,746.4178,807.68,0.075849594,0.5,1261.221097,-3.126970109,47.83155402,0.005633004,2.993128467,596.740481,-,0,596.740481,0.261167194,0.290425428,0.919746937,-0.115649357,1.280608697,0.232187134,0.767812866,1500.012258,1261.221097,0.840807194,0.161157884,6,0.5,0: Broadleaf,2,FALSE,1659030767,5.317327097,2.216437742,28.7886871,24.2043,6.390327097,28.54730968,600.1883871,100.8497097,0.100007419,30.48810323,30.45831935,999.9,0,0,9999.939677,0,1025.019032,1500.012258,0.973004839,0.026995448,0,746.4333548,4.99935,12656.74194,14585.06129,36.11074194,38.63493548,36.258,37.139,38.2276129,1454.652258,40.36,0,111.6999998,0,746.4178,-0.091384612,123.2153846,12656.636,15,1659030802,10:53:22,1659030802,1659029467,23,-0.041,-0.04,-1.073,0.212,0,24,0.85,0.04,100,100,-1.073,0.2414,-1.029204934,-0.001994519,4.10E-07,7.06E-11,0.241379329,0,0,0,4,2101,2,25,1.4,21.8,0.0317383,4.99634,1.59912,2.33398,1.59424,2.40479,36.908,15.0952,18,619.034,393.957,30.001,29.997,29.9998,29.871,29.8424,0,32.8487,82.1127,30,52.8913,24.2714,99.7525,99.8926
28,1659030909,4995.1,20220728 10:55:09,10:55:09,5,Gandalf,7,17,22.8,22.9,22.8,ch,30,LC-102 8-9D,8-9D,large,13,LCOR-411,1659030901,0.004910493,4.910493018,12.92855678,398.8268387,325.1562573,32.8239243,40.26083358,0.336691507,2.944634415,0.316672902,0.199619895,241.7395349,30.72121267,30.72121267,4.440160985,66.59182995,2.93196492,4.402889847,1.508196065,-216.5527421,-23.40909809,-1.778990346,-0.001295665,12.92855678,4.910493018,13.06623634,424.2542125,410.8356788,0.007033433,67.1836822,4.932618376,24.2705104,29.05760667,0.000127936,78.55,0,0,1,0,52705.04491,RECT-316-20201105-17_55_35,10214.9,1337.403655,3225.17,0.585323051,-10.23143349,RECT-194-20220728-10_55_10,10231.7,734.08744,857.83,0.144250679,0.5,1261.22221,12.92855678,90.96608012,0.018363132,2.75968432,623.6792129,-,0,623.6792129,0.272957098,0.528473816,0.909993613,-0.258026184,1.254042909,0.448990291,0.551009709,1500.013226,1261.22221,0.840807393,0.161158269,6,0.5,0: Broadleaf,2,FALSE,1659030901,398.8268387,413.7090968,29.04426452,24.27790968,400.1968387,28.80289032,600.1909032,100.8481613,0.099993839,30.57375484,30.57209032,999.9,0,0,10001.41548,0,1097.298387,1500.013226,0.972995484,0.027004145,0,733.8521613,4.99935,12485.15806,14585.01613,35.508,38.24796774,35.633,36.929,37.69106452,1454.643226,40.37,0,133.5,0,734.08744,27.69553843,131.192308,12483.636,15,1659030934,10:55:33,1659030934,1659029467,24,0.449,-0.04,-1.37,0.212,411,24,0.44,0.04,100,100,-1.37,0.2414,-1.070223541,-0.001994519,4.10E-07,7.06E-11,0.241379329,0,0,0,4,2101,2,25,1.8,24,1.07666,2.41089,1.5979,2.33521,1.59424,2.44995,36.908,15.0864,18,620.254,394.718,29.9999,29.9678,30.0002,29.8379,29.8125,21.5899,32.7424,81.6565,30,414.536,24.3308,99.7656,99.9015
