obs,time,elapsed,date,hhmmss,averaging,intrument,row,column,spad1,spad2,spad,operator,temp,event,event_short,block,leaf,tree,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID,Duration,Fo,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_des,AccH2O_hum,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
11,1657340527,1088,20220708 23:22:07,11:22:07,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657340527,0.004324791,4.324791355,17.59177921,774.933,675.0871203,68.60041027,78.7464612,0.361760371,1.917338155,0.32767842,0.207592907,241.723623,26.61864145,26.61864145,3.499772609,64.41727702,2.196189888,3.409318104,1.303582721,-190.7232988,-45.8787964,-5.132936189,-0.011408358,0,0,1,0,25891.45921,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1055,17.59177921,#DIV/0!,0.013949491,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.87,1261.1055,0.84080987,0.161163049,6,0.5,0: Broadleaf,2,1657340527,774.933,800.056,21.6124,16.5366,774.37,21.3739,500.176,101.517,0.100122,26.1748,25.7384,999.9,0,0,4985,0,208.596,-25.1578,792.015,813.508,5.07573,800.056,16.5366,2.19402,1.67875,18.9187,14.7013,1499.87,0.973006,0.0269936,0,2.5622,0,16940.2,13302.5,35.875,39.5,37.062,36.687,36.062,1459.38,40.49,0,1657340526,0,2.338556,-1.124800001,-321.653845,16925.216,15,1657340553,23:22:32,1657340553,1657340179,9,0.068,-0.002,0.563,0.152,800,18,0.08,0.03,-25.55797317,3.2484,0.326919825,0,5.103365366,-0.20488662,0.020713621,1,1,2,2-Jan,2.9354,2.7635,0.162968,0.167236,0.112152,0.0936642,26675.6,20691.3,29917.7,24295.7,35291.3,32181.9,43696.3,39666.3,1.98855,2.05767,0.105582,0,24.0057,999.9,54.7,33.4,27.8401,30.9746,35.6851,1,-0.00290396,-0.186925,20.2712,5.22388,11.9081,4.9645,3.292,9999,9999,7809.9,982.1,1.87702,1.87534,1.87404,1.87325,1.87472,1.86966,1.8739,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.563,0.2385,0.636073384,0.001442917,-2.66E-06,7.96E-10,-0.050351557,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1.3,5.8,1.82617,2.45728,1.42578,2.2876,1.54785,2.323,35.1286,14.9814,18,505.88,538.011,25.0012,27.1882,30,27.1239,27.0518,36.5747,42.0095,0,25,800,16.519,100.804,100.892
12,1657340629,1189.5,20220708 23:23:48,11:23:48,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657340629,0.004208539,4.208538581,17.82028278,973.703,866.9921435,88.09946302,98.94289364,0.353491905,1.925339717,0.320997245,0.20329329,241.730586,26.6607919,26.6607919,3.508470782,64.93428736,2.213724837,3.409177073,1.294745945,-185.5965514,-50.51809084,-5.629662491,-0.013718767,0,0,1,0,26093.74999,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1394,17.82028278,#DIV/0!,0.014130304,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.91,1261.1394,0.840810049,0.161163394,6,0.5,0: Broadleaf,2,1657340629,973.703,999.994,21.7854,16.8472,973.489,21.5425,500.205,101.515,0.100065,26.1741,25.6902,999.9,0,0,5018.75,0,232.184,-26.184,995.498,1017.13,4.93824,999.994,16.8472,2.21154,1.71024,19.0461,14.9896,1499.91,0.972996,0.0270038,0,2.1712,0,17080.7,13302.8,37.5,41.5,38.75,37.312,37.437,1459.41,40.5,0,1657340627,0,2.357480769,0.04545982,-144.4581178,17015.09231,15,1657340661,23:24:21,1657340661,1657340179,10,-0.068,-0.002,0.214,0.152,1000,18,0.09,0.03,-26.4252225,2.27111257,0.222059282,0,4.94321425,-0.058119287,0.005985213,1,1,2,2-Jan,2.93551,2.76359,0.18945,0.193508,0.112773,0.0949145,25834.6,20041.1,29920.9,24298.7,35270.7,32141.5,43700.9,39670.9,1.98855,2.05965,0.0986084,0,24.072,999.9,55.3,33.3,27.9878,30.7846,35.2364,1,-0.00728913,-0.16204,20.2713,5.22807,11.9081,4.9639,3.292,9999,9999,7809.9,982.1,1.87699,1.87532,1.87402,1.87318,1.87469,1.86966,1.87388,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.214,0.2429,0.704340271,0.001442917,-2.66E-06,7.96E-10,-0.050351557,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1.3,7.5,2.19604,2.43286,1.42578,2.28882,1.54785,2.32788,34.9214,14.9638,18,505.88,539.405,24.9994,27.1623,29.9999,27.1239,27.0562,43.9835,41.3931,0,25,1000,16.7748,100.815,100.904
13,1657340737,1298,20220708 23:25:37,11:25:37,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657340737,0.00423603,4.236030291,17.55397823,1172.993,1064.58302,108.1767136,119.1927031,0.358079811,1.915815469,0.324629663,0.205637877,241.771065,26.3407127,26.3407127,3.4428891,64.34412743,2.153458171,3.34678277,1.289430929,-186.8089358,-49.4543823,-5.520997136,-0.013250252,0,0,1,0,25880.19388,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.3497,17.55397823,#DIV/0!,0.013916821,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.16,1261.3497,0.840810114,0.161163519,6,0.5,0: Broadleaf,2,1657340737,1172.993,1200.01,21.1925,16.2189,1172.8,20.9648,500.192,101.514,0.100164,25.8619,25.2541,999.9,0,0,4978.75,0,245.061,-27.2603,1198.14,1219.8,4.97362,1200.01,16.2189,2.15133,1.64644,18.6044,14.4005,1500.16,0.972996,0.0270038,0,2.4657,0,17059.9,13305,36.937,40.187,38.312,36.062,36.812,1459.65,40.51,0,1657340736,0,2.434992,-0.652799991,-174.5846149,17047.848,15,1657340769,23:26:09,1657340769,1657340179,11,0.283,-0.002,0.193,0.152,1200,18,0.09,0.03,-27.38180732,0.959149129,0.116954438,0,4.981664146,-0.054149477,0.013031433,1,1,2,2-Jan,2.93556,2.76351,0.213328,0.217222,0.110634,0.092372,25074.4,19452.9,29921.2,24299.4,35358.7,32235.1,43701.1,39672.4,1.98988,2.0596,0.10768,0,23.4855,999.9,55.9,33.1,27.9769,31.1246,35.2925,1,-0.0101448,-0.424747,20.2686,5.22388,11.9081,4.96445,3.292,9999,9999,7809.9,982.2,1.87698,1.87531,1.87396,1.87317,1.8747,1.86966,1.87382,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.193,0.2277,0.63601876,0.001442917,-2.66E-06,7.96E-10,-0.050351557,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1.3,9.3,2.55371,2.43896,1.42578,2.28882,1.54785,2.26074,34.715,14.9288,18,506.547,539.233,24.9977,27.0945,29.9997,27.1053,27.0417,51.1163,43.7035,0,25,1200,16.1848,100.816,100.908
14,1657340845,1406,20220708 23:27:25,11:27:25,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657340845,0.004193715,4.193715146,17.98091642,1471.119,1350.485091,137.2215922,149.4790967,0.343819515,1.91754212,0.312882588,0.198098682,241.747125,26.51068326,26.51068326,3.477580152,63.7570029,2.153401932,3.377514365,1.32417822,-184.9428379,-51.10861474,-5.709813433,-0.014141119,0,0,1,0,25910.65835,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2237,17.98091642,#DIV/0!,0.014256723,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.01,1261.2237,0.840810195,0.161163676,6,0.5,0: Broadleaf,2,1657340845,1471.119,1500.09,21.193,16.2688,1471.33,21.088,500.163,101.509,0.100113,26.0163,25.4337,999.9,0,0,4986.25,0,234.236,-28.9473,1503.19,1524.9,5.05013,1500.09,16.2688,2.16406,1.65142,18.6987,14.4472,1500.01,0.972991,0.0270089,0,2.1966,0,17073.5,13303.6,35.75,38.625,36.812,35.937,35.687,1459.5,40.51,0,1657340844,0,2.359576,0.042100019,-296.0615378,17023.768,15,1657340884,23:28:03,1657340884,1657340872,12,0.008,-0.005,-0.211,0.105,1500,16,0.12,0.02,-28.80429268,0.494759582,0.113113973,0,5.055361707,0.088726202,0.026382978,1,1,2,2-Jan,2.93558,2.76349,0.245459,0.249211,0.111098,0.0925783,24054,18660.1,29924.8,24301.4,35345.1,32231.2,43706.2,39675.3,1.99048,2.0619,0.114739,0,23.5495,999.9,56.4,33,28.0723,31.0346,35.8454,1,-0.0163974,-0.405215,20.269,5.22747,11.9081,4.9639,3.292,9999,9999,7809.9,982.2,1.87698,1.87531,1.87394,1.87317,1.87469,1.86965,1.87379,1.87893,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.211,0.105,0.918137063,0.001442917,-2.66E-06,7.96E-10,-0.050351557,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1.3,11.1,3.07007,2.41943,1.42578,2.28882,1.54785,2.31812,34.5549,14.9201,18,506.563,540.489,25.0018,27.0229,30,27.063,27.0084,61.4662,43.3815,0,25,1500,16.3341,100.828,100.915
15,1657340960,1520.5,20220708 23:29:19,11:29:19,none,Carlos,6,53,24.7,24.5,24.6,CH,25,LC-102 5C,5C,small,11,LCOR-566,1657340960,0.004260105,4.260104776,18.62559074,1967.725,1837.718555,186.7231743,199.9326052,0.357956964,1.920777737,0.324606376,0.205615843,241.742775,26.71734373,26.71734373,3.520170474,64.95813702,2.224398514,3.424357002,1.295771961,-187.8706206,-48.46731844,-5.417529398,-0.012693455,0,0,1,0,25972.31132,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2063,18.62559074,#DIV/0!,0.014768076,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.99,1261.2063,0.840809805,0.161162924,6,0.5,0: Broadleaf,2,1657340960,1967.725,2000.12,21.8924,16.8945,1968.06,21.6516,500.231,101.506,0.0999689,26.2493,25.7818,999.9,0,0,5000,0,231.579,-32.5342,2011.62,2034.49,4.99786,2000.12,16.8945,2.22221,1.7149,19.1233,15.0319,1499.99,0.973006,0.0269935,0,2.353,0,17104.3,13303.5,35.125,38.125,36.125,35.812,35.25,1459.5,40.49,0,1657340959,0,2.417953846,0.155131618,66.09572636,17088.55769,15,1657340989,23:29:48,1657340989,1657340872,13,0.13,-0.005,-0.335,0.105,2000,16,0.09,0.02,-32.4184975,0.589565854,0.102828229,0,4.98427825,0.26653137,0.035449462,1,1,2,2-Jan,2.93567,2.76341,0.291401,0.295007,0.113167,0.095094,22586.6,17518.5,29920.8,24296.5,35259,32136.8,43701.2,39668.5,1.99007,2.06467,0.102557,0,24.0989,999.9,56.9,32.8,28.0037,31.0046,35.024,1,-0.00975864,-0.230784,20.2691,5.22717,11.9081,4.96475,3.292,9999,9999,7809.9,982.2,1.87698,1.87531,1.87394,1.87317,1.87469,1.86965,1.87378,1.87894,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,-0.335,0.2408,0.925195266,0.001442917,-2.66E-06,7.96E-10,-0.055457849,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1.3,1.5,3.87695,2.37793,1.42578,2.2876,1.54785,2.35352,34.4408,14.9026,18,506.769,542.968,25.0012,27.0928,30.0004,27.117,27.068,77.625,41.6461,0,25,2000,16.907,100.815,100.897
26,1657344566,5126.9,20220709 00:29:26,12:29:26,none,Carlos,15,24,25.8,25.5,25.7,CH,25,LC-102 16-20,16-20,large,9,LCOR-318,1657344566,0.00244902,2.44902026,12.5294285,395.331,281.7737085,28.6183515,40.15179974,0.197384334,1.92103909,0.186769594,0.117637097,241.743792,28.0943139,28.0943139,3.815754488,70.83986717,2.525556339,3.565162442,1.290198149,-108.0017935,-120.2427955,-13.57778669,-0.078583705,0,0,1,0,25921.3003,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2144,12.5294285,#DIV/0!,0.009934416,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1261.2144,0.8408096,0.161162528,6,0.5,0: Broadleaf,2,1657344566,395.331,410.051,24.8664,22.262,394.839,24.6054,550.174,101.465,0.100017,26.9333,27.3512,999.9,0,0,5003.12,0,1508.98,-14.5848,405.58,419.388,2.67428,410.051,22.262,2.53017,2.25882,21.2219,19.3857,1500,0.973011,0.0269885,0,2.3422,0,16641.7,13303.7,37.437,38.812,38,37.687,37.562,1459.52,40.48,0,1657344565,0,2.37666,-0.684692325,-1227.515383,17106.712,15,1657344592,0:29:52,1657344586,1657344592,21,-0.131,0.002,0.492,0.261,410,22,0.07,0.05,-14.49238293,0.058965157,0.043139642,1,2.808502195,-0.613626063,0.071416594,0,1,2,2-Jan,3.06044,2.76398,0.100425,0.103884,0.12355,0.115255,28623.8,22243.3,29873.4,24273.8,34767.9,31369.5,43622.9,39625,2.07667,1.96767,0.12676,0,25.2759,999.9,57,33.6,29.3514,31.001,37.1394,1,0.0254065,0.363113,20.2693,5.22732,11.9045,4.9645,3.292,9999,9999,8057.2,983.2,1.87712,1.87544,1.87408,1.87326,1.87477,1.86976,1.87393,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.492,0.261,0.423583777,0.001442917,-2.66E-06,7.96E-10,-0.045854654,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,37.5,39.1,1.05835,2.44995,1.42578,2.28516,1.54785,2.32056,35.6613,14.3247,18,568.368,484.093,24.9986,27.621,29.9992,27.6921,27.6268,21.2038,26.5132,26.5554,25,410,22.2747,100.643,100.793
27,1657344787,5347.9,20220709 00:33:07,12:33:07,none,Carlos,15,24,25.8,25.5,25.7,CH,25,LC-102 16-20,16-20,large,9,LCOR-318,1657344787,0.002346669,2.346669042,12.14072568,385.74,267.4426245,27.16331153,39.17840625,0.182439978,1.918834954,0.173321987,0.10910747,241.724781,27.93501381,27.93501381,3.780486775,69.461736,2.447497606,3.523519203,1.332989168,-103.4881047,-124.2944774,-14.02625636,-0.084057455,0,0,1,0,25882.92934,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1061,12.14072568,#DIV/0!,0.009627045,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.87,1261.1061,0.84081027,0.161163822,6,0.5,0: Broadleaf,2,1657344787,385.74,399.969,24.0974,21.5996,385.241,23.7874,550.113,101.467,0.0998747,26.7335,26.9933,999.9,0,0,4993.75,0,1782.83,-14.2286,395.265,408.798,2.49776,399.969,21.5996,2.44509,2.19165,20.6656,18.9014,1499.87,0.972991,0.0270089,0,2.6289,0,18403,13302.4,38.75,40.937,39.375,39.312,38.625,1459.36,40.51,0,1657344786,0,2.456832,0.384076915,4308.461532,18027.392,15,1657344592,0:29:52,1657344586,1657344592,21,-0.131,0.002,0.492,0.261,410,22,0.07,0.05,-14.22989268,0.067172822,0.039230317,1,2.567792927,-0.321751986,0.034157311,1,2,2,2-Feb,3.06101,2.76379,0.0986635,0.102055,0.120825,0.113001,28709.5,22308.9,29901.2,24293.3,34906.9,31472.9,43661.1,39654.3,2.08383,1.97292,0.132445,0,24.8235,999.9,56.1,33.6,28.8881,30.961,36.887,1,-0.0197256,0.13552,20.2715,5.22508,11.9078,4.9639,3.29133,9999,9999,8097.3,983.3,1.87702,1.8754,1.87407,1.87318,1.87471,1.86967,1.8739,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.499,0.31,0.292687958,0.001442917,-2.66E-06,7.96E-10,-0.044051206,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,3.4,3.2,1.03638,2.45117,1.42578,2.28516,1.54785,2.28271,35.3365,14.2984,18,568.162,482.986,25.001,27.0373,29.9995,27.1583,27.1067,20.7696,27.0293,21.9729,25,400,21.709,100.734,100.869
28,1657344863,5423.4,20220709 00:34:22,12:34:22,none,Carlos,15,24,25.8,25.5,25.7,CH,25,LC-102 16-20,16-20,large,9,LCOR-318,1657344863,0.002361244,2.361244378,8.894013182,289.562,203.5618213,20.67537622,29.41024625,0.184330346,1.918549405,0.175026287,0.110188214,241.749738,28.23982884,28.23982884,3.848220783,70.25277141,2.520949347,3.588398431,1.327271435,-104.1308771,-123.6983109,-14.00399916,-0.083449133,0,0,1,0,25848.92215,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2402,8.894013182,#DIV/0!,0.0070518,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.03,1261.2402,0.840809984,0.161163269,6,0.5,0: Broadleaf,2,1657344863,289.562,300.006,24.8203,22.3094,289.08,24.4908,550.234,101.468,0.100045,27.0439,27.3182,999.9,0,0,4992.5,0,1750.84,-10.4196,296.957,306.852,2.51089,300.006,22.3094,2.51845,2.26368,21.1462,19.4202,1500.03,0.973001,0.0269987,0,2.3257,0,18439.1,13303.8,39.812,42,40.375,40.812,39.625,1459.53,40.5,0,1657344862,0,2.377752,-0.515838451,680.5153852,18265.028,15,1657344882,0:34:42,1657344882,1657344592,22,-0.026,0.002,0.482,0.261,300,22,0.19,0.05,-10.4302975,-0.087038274,0.02854489,1,2.53445075,-0.037164991,0.022851599,1,2,2,2-Feb,3.06142,2.76396,0.0784244,0.0812696,0.123338,0.115596,29357.2,22827.2,29903.7,24295,34805.9,31380,43664.3,39656.5,2.08568,1.9755,0.132956,0,25.1411,999.9,56,33.6,28.8367,30.841,36.859,1,-0.0275661,0.184769,20.2693,5.22028,11.9053,4.96325,3.29095,9999,9999,8109.2,983.3,1.87701,1.87533,1.87402,1.8732,1.87471,1.86966,1.87386,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.482,0.3295,0.292687958,0.001442917,-2.66E-06,7.96E-10,-0.044051206,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,4.6,4.5,0.821533,2.44141,1.42578,2.28149,1.54785,2.35962,35.3133,14.2984,18,568.286,483.62,25.0014,26.9374,29.9998,27.0396,26.9915,16.4607,24.3644,20.8471,25,300,22.4823,100.741,100.876
29,1657344958,5518.9,20220709 00:35:58,12:35:58,none,Carlos,15,24,25.8,25.5,25.7,CH,25,LC-102 16-20,16-20,large,9,LCOR-318,1657344958,0.002450464,2.450463992,5.270571959,193.716,145.434542,14.77091247,19.67457002,0.197613125,1.922068256,0.186979843,0.117770057,241.764681,28.32491227,28.32491227,3.867315438,71.34746165,2.578506596,3.614013079,1.288808842,-108.0654621,-120.1826975,-13.59506342,-0.078542018,0,0,1,0,25927.23583,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.3161,5.270571959,#DIV/0!,0.004178629,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500.12,1261.3161,0.840810135,0.161163561,6,0.5,0: Broadleaf,2,1657344958,193.716,199.981,25.388,22.7837,193.218,25.0431,550.225,101.464,0.0999907,27.1651,27.4707,999.9,0,0,5007.5,0,1802.21,-6.3109,198.715,204.644,2.60429,199.981,22.7837,2.57598,2.31173,21.5147,19.7584,1500.12,0.972996,0.0270038,0,2.2633,0,18349.1,13304.6,38.125,39.812,38.687,38.75,38.125,1459.61,40.51,0,1657344957,0,2.352292308,0.215623938,-502.2393159,18494.08846,15,1657344976,0:36:15,1657344976,1657344592,23,0.043,0.002,0.498,0.261,200,22,0.21,0.05,-6.292980244,-0.008059652,0.029505,1,2.60163439,-0.030400139,0.006799603,1,2,2,2-Feb,3.06147,2.76397,0.0553981,0.0574369,0.125287,0.117313,30090,23419.8,29902.9,24295.2,34724.4,31316.1,43663.2,39655.3,2.08605,1.97687,0.123285,0,25.4528,999.9,56,33.7,28.9999,30.901,37.1915,1,-0.0308918,0.280667,20.2693,5.22822,11.9056,4.9646,3.292,9999,9999,8123.2,983.3,1.87702,1.87534,1.87405,1.87319,1.87469,1.86966,1.87387,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.498,0.3449,0.266701187,0.001442917,-2.66E-06,7.96E-10,-0.044051206,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1.3,6.1,0.595703,2.45117,1.42578,2.28271,1.54785,2.36084,35.3596,14.2896,18,567.677,483.701,25.0012,26.8842,30.0001,26.9496,26.9,11.9577,23.4391,20.1026,25,200,22.6932,100.739,100.874
30,1657345052,5612.4,20220709 00:37:31,12:37:31,none,Carlos,15,24,25.8,25.5,25.7,CH,25,LC-102 16-20,16-20,large,9,LCOR-318,1657345052,0.002725519,2.725519334,1.448407298,98.1368,84.77849303,8.610333892,9.96703981,0.214021249,1.93036557,0.201658447,0.127087728,241.741179,28.19812636,28.19812636,3.838891871,69.49794389,2.50911702,3.610347127,1.32977485,-120.1954026,-109.3073266,-12.30283998,-0.064390181,0,0,1,0,26137.78203,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.1979,1.448407298,#DIV/0!,0.001148438,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499.98,1261.1979,0.840809811,0.161162935,6,0.5,0: Broadleaf,2,1657345052,98.1368,100.008,24.7051,21.8063,97.5868,24.3788,550.197,101.463,0.0997146,27.1478,27.502,999.9,0,0,5042.5,0,1773.98,-1.99535,100.495,102.237,2.89882,100.008,21.8063,2.50666,2.21254,21.0698,19.0534,1499.98,0.973006,0.0269936,0,2.4718,0,18568.3,13303.4,37.125,38.812,37.687,37.75,37.187,1459.49,40.49,0,1657345051,0,2.409084615,0.009456417,57.8290593,18581.79615,15,1657345075,0:37:54,1657345075,1657344592,24,0.122,0.002,0.55,0.261,100,22,0.25,0.05,-1.98785375,-0.077579775,0.020625799,1,3.02838875,-0.38366015,0.038417395,1,2,2,2-Feb,3.06139,2.76386,0.0291401,0.0300131,0.122973,0.113807,30921.9,24099.3,29898.4,24293.3,34812,31438.7,43656,39651.4,2.0862,1.97378,0.115812,0,25.6066,999.9,55.9,33.7,28.9475,30.811,37.4119,1,-0.0266717,0.349978,20.2689,5.22598,11.9069,4.9642,3.29163,9999,9999,8136.5,983.4,1.87706,1.87536,1.87407,1.8732,1.8747,1.86966,1.8739,1.87897,0,0,0,0,0,iiiiiiii,off,off,off,off,0,100,100,0.55,0.3263,0.309591126,0.001442917,-2.66E-06,7.96E-10,-0.044051206,-0.006035291,0.001226161,-1.46E-05,5,1967,1,28,1.3,7.7,0.362549,2.47192,1.42578,2.28149,1.54785,2.38525,35.3827,14.2809,18,567.528,481.564,25.0012,26.895,30.0006,26.9236,26.8773,7.29113,26.0486,18.7376,25,100,21.9992,100.723,100.865
