row,column,ID,Diameter,SPAD,Drought Score,Stem damage,Root damage,Top dieback
12,5,LCOR-563,25.46,20.6,2,0,2,1
13,5,LCOR-353,no tree,,X,X,X,
14,5,LCOR-314,43.84,29.1,0,phys,0,
15,5,LCOR-042,37.12,27.1,1,0,0,
16,5,LCOR-1059,-,,,,,
1,6,LCOR-1003,-,,,,,
2,6,LCOR-577,34.78,29.9,0,bio,1,
3,6,LCOR-069,33.36,26.1,2,0,2,
4,6,LCOR-043,32.36,30.3,1,bio,1,
5,6,LCOR-062,29.6,25.7,1,bio,1,
6,6,LCOR-135,40.41,33,0,0,0,
7,6,LCOR-003,44.62,30,0,bio,1,
8,6,LCOR-191,30.51,29.6,1,0,1,
9,6,LCOR-310,bag,30.6,1,bag,0,
10,6,LCOR-251,40.42,30.7,3,bio,1,1
11,6,LCOR-358,41,22.6,3,bio,1,
12,6,LCOR-363,21.03,24.3,1,0,2,1
13,6,LCOR-355,28.24,29.1,2,0,1,
14,6,LCOR-472,40.73,26,0,0,1,
15,6,LCOR-421,34.4,23.2,0,bio,0,
16,6,LCOR-1102,-,,,,,
1,7,LCOR-1004,-,,,,,
2,7,LCOR-177,45.34,22.8,0,0,1,
3,7,LCOR-073,36.97,29.7,1,phys,1,
4,7,LCOR-510,29.81,27.3,0,bio,1,
5,7,LCOR-474,34.37,30.1,0,bio,0,
6,7,LCOR-181,38.68,31.2,0,0,0,
7,7,LCOR-148,38.89,30.5,0,0,0,
8,7,LCOR-400,40.59,27.7,0,0,1,
9,7,LCOR-530,45.6,28,0,bio,1,
10,7,LCOR-587*,"*tree gone, replaced by tree ID: LCOR-1175",,,,,
11,7,LCOR-005,no tree,,X,X,X,
12,7,LCOR-094,bag,26.3,0,bag,1,
13,7,LCOR-296,bag,24.1,0,bag,0,
14,7,LCOR-265,28.64,25.3,1,0,1,1
15,7,LCOR-198,17.77,25.1,4,phys,2,1
16,7,LCOR-1111,-,,,,,
1,8,LCOR-1005,-,,,,,
2,8,LCOR-179,52.02,32.3,1,phys,0,
3,8,LCOR-036,52.26,29.4,2,0,1,
4,8,LCOR-279,49.17,30.1,1,bio,1,
5,8,LCOR-078,35.83,32.5,2,0,0,
6,8,LCOR-582,54.67,31.4,2,phys,0,
7,8,LCOR-385,49.1,26.3,3,bio,1,
8,8,LCOR-250,51.06,25.7,1,bio,0,
9,8,LCOR-034,46.19,24.8,3,phys &bio,1,
10,8,LCOR-255,39.39,27.1,2,0,1,
11,8,LCOR-238,27.66,22.4,3,0,2,1
12,8,LCOR-254,38.04,23.6,2,bio,1,
13,8,LCOR-469,22.23,29.2,2,bio,2,1
14,8,LCOR-167,28.29,25.5,3,bio,2,1
15,8,LCOR-274,23.66,24.8,1,0,1,1
16,8,LCOR-1114,-,,,,,
1,9,LCOR-1006,-,,,,,
2,9,LCOR-581,68.61,25.9,0,bio,0,
3,9,LCOR-001,59.64,24.7,0,bio,1,
4,9,LCOR-342,34.55,28.9,1,phys,1,
5,9,LCOR-471,52.82,27,1,0,1,
6,9,LCOR-380,46.19,28,1,bio,1,
7,9,LCOR-076,43.3,26.2,1,0,1,
8,9,LCOR-163,58.52,26.8,0,0,0,
9,9,LCOR-609,28.72,25.4,1,0,0,
10,9,LCOR-217,35.39,17.4,1,0,2,
11,9,LCOR-231,39.56,28.9,0,0,0,
12,9,LCOR-075,19.13,21.8,1,0,1,
13,9,LCOR-504,25.02,27.1,2,0,2,1
14,9,LCOR-511,bag,26.8,0,0,bag,0
15,9,LCOR-041,bag,27.2,0,phys,bag,
16,9,LCOR-1121,-,,,,,
1,10,LCOR-1007,-,,,,,
2,10,LCOR-1029,-,,,,,
3,10,LCOR-023,46.04,31.4,0,0,1,
4,10,LCOR-020,38.94,33.6,0,bio,1,
5,10,LCOR-010,35.14,29.5,1,phys,1,
6,10,LCOR-292,34.68,29.6,1,bio,1,
7,10,LCOR-420,42.62,30.1,1,phys,1,
8,10,LCOR-157,41.83,30.5,1,bio,1,
9,10,LCOR-226,30.84,26.4,3,0,1,
10,10,LCOR-263,34.62,25.9,2,bio,2,
11,10,LCOR-018,38.63,22.4,2,bio,1,
12,10,LCOR-286,bag,25.1,3,bio,bag,
13,10,LCOR-133,22.15,16.1,3,0,1,1
14,10,LCOR-039,36.54,28.1,1,bio,0,
15,10,LCOR-203,34.8,23.7,1,bio,2,
16,10,LCOR-1131,-,,,,,
1,11,LCOR-1008,-,,,,,
2,11,LCOR-164,40.88,28.2,0,0,0,
3,11,LCOR-529,40.54,31.9,1,0,0,
4,11,LCOR-386,41.02,28.3,1,0,0,
5,11,LCOR-028,34.41,28,1,0,1,
6,11,LCOR-527,37.75,27.5,1,0,2,
7,11,LCOR-141,39.31,28.2,1,0,0,
8,11,LCOR-150,38.11,29,1,0,1,
9,11,LCOR-233,bag,30.5,0,phys,bag,
10,11,LCOR-161,bag,27.6,1,0,bag,
11,11,LCOR-019,22.91,28.1,2,bio,1,
12,11,LCOR-360,27.31,29.9,2,phys,1,1
13,11,LCOR-289,bag,24.2,0,0,bag,
14,11,LCOR-040,26.7,18.7,1,phys,0,
15,11,LCOR-324,33.86,,0,phys,1,
16,11,LCOR-1139,-,,,,,
1,12,LCOR-1009,-,,,,,
2,12,LCOR-180,38.1,21.4,1,0,0,
3,12,LCOR-403,33.11,23.7,1,phys,1,
4,12,LCOR-364,29.36,25.6,1,0,1,
5,12,LCOR-277,46.32,24,0,phys,0,
6,12,LCOR-115,31.33,23.5,3,0,1,
7,12,LCOR-111,36.54,26.7,1,0,1,
8,12,LCOR-303,30.04,30.7,1,bio,1,
9,12,LCOR-588,bag,31.2,0,0,bag,
10,12,LCOR-561,37.96,33.5,0,bio,0,
11,12,LCOR-035,32.31,28.8,2,bio,1,
12,12,LCOR-241,38.8,25.2,0,0,0,
13,12,LCOR-218,bag,27.3,3,0,bag,
14,12,LCOR-002,19.26,26.4,3,0,2,1
15,12,LCOR-026,31.34,25.9,3,bio,1,1
16,12,LCOR-1201,-,,,,,
1,13,LCOR-1010,-,,,,,
2,13,LCOR-066,27.85,28.2,1,phys,0,
3,13,LCOR-423,29.85,27.9,0,0,0,
4,13,LCOR-200,36.8,27.7,1,bio,1,
5,13,LCOR-332,38.1,26.3,1,phys,0,
6,13,LCOR-137,34.16,31.5,1,bio,1,
7,13,LCOR-338,45.87,30.3,0,0,0,
8,13,LCOR-544,30.33,22.7,1,bio,0,
9,13,LCOR-320,38.83,23.5,3,0,1,
10,13,LCOR-077,bag,26.2,0,bio,bag,
11,13,LCOR-593,35.38,24.3,1,bio,1,
12,13,LCOR-088,35.19,22.2,0,bio,0,
13,13,LCOR-030,36.99,28.8,0,bio,0,
14,13,LCOR-156,bag,31.9,1,bio,bag,
15,13,LCOR-051,22.73,27.6,3,0,2,1
16,13,LCOR-1203,-,,,,,
1,14,LCOR-1011,-,,,,,
2,14,LCOR-060,30.55,27.6,2,phys,1,
3,14,LCOR-604,49.1,28.9,0,0,1,
4,14,LCOR-368,21.11,24.3,3,0,2,1
5,14,LCOR-046,42.61,22.1,0,phys,0,
6,14,LCOR-031,36.69,31.7,1,bio,0,
7,14,LCOR-347,37.61,30.2,2,bio,0,
8,14,LCOR-176,36.43,30.8,1,0,1,
9,14,LCOR-269,39.45,29.7,1,bio,0,
10,14,LCOR-147,41.27,29.2,0,0,1,
11,14,LCOR-257,39.6,28.7,0,0,1,
12,14,LCOR-256,43.8,31.5,2,bio,0,
13,14,LCOR-014,bag,26.2,0,phys,bag,
14,14,LCOR-091,35.3,28.3,3,0,2,1
15,14,LCOR-264,20.37,30.3,3,bio,2,1
16,14,LCOR-1206,-,,,,,
1,15,LCOR-116,22.49,missing measurement,3,phys,1,
2,15,LCOR-486,41.05,31.2,2,0,0,1
3,15,LCOR-174,no tree,,X,X,X,
4,15,LCOR-357,38.47,32.3,1,0,1,
5,15,LCOR-473,37.86,35.8,1,0,0,
6,15,LCOR-525,45.45,33.4,1,bio,1,1
7,15,LCOR-437,44.43,36.1,0,0,0,
8,15,LCOR-550,38.89,28.7,1,bio,1,
9,15,LCOR-307,30.94,29.2,0,0,1,
10,15,LCOR-449,40.16,28.3,0,0,1,
11,15,LCOR-507,40.23,27.1,2,0,0,
12,15,LCOR-154,46.17,26.3,1,phys,1,
13,15,LCOR-562,31.4,28.1,3,bio,2,1
14,15,LCOR-334,38.47,30.1,2,0,1,
15,15,LCOR-393,29.11,30.7,1,phys,1,
16,15,LCOR-1070,-,,,,,
1,16,LCOR-442,31.55,missing measurement,1,bio,2,
2,16,LCOR-247,35.14,29.2,1,bio,0,
3,16,LCOR-611,27.61,27.6,1,bio,0,
4,16,LCOR-327,30.78,24.5,1,0,0,
5,16,LCOR-528,26.74,30.1,1,bio,0,
6,16,LCOR-072,33.45,35.3,0,0,0,
7,16,LCOR-610,32.99,34.6,1,0,0,
8,16,LCOR-516,19.43,32.5,1,phys,0,
9,16,LCOR-280,31.98,27.3,1,bio,1,
10,16,LCOR-033,30.38,24.5,1,phys,2,
11,16,LCOR-331,29.05,23.7,1,0,1,
12,16,LCOR-372,32.46,26.2,2,phys&bio,0,
13,16,LCOR-105,26.59,25.8,1,0,0,
14,16,LCOR-352,33.52,24.6,2,bio,0,
15,16,LCOR-614,22.97,29.3,2,bio,2,
16,16,LCOR-1035,-,,,,,
1,17,LCOR-376,33.84,missing measurement,1,bio,1,
2,17,LCOR-016,32.41,31.8,1,,0,
3,17,LCOR-132,36.15,30.4,1,,0,
4,17,LCOR-574,30.74,30.6,2,,2,
5,17,LCOR-079,28.49,29.8,1,,0,
6,17,LCOR-458,36.75,27.5,1,,0,
7,17,LCOR-411,44.11,28.2,0,,1,
8,17,LCOR-394,40.09,29.1,0,,0,
9,17,LCOR-275,31.91,27.7,1,,0,
10,17,LCOR-601,29.65,29.9,1,phys,0,
11,17,LCOR-252,25.4,30.5,1,bio,1,
12,17,LCOR-134,22.7,,4,bio,2,1
13,17,LCOR-502,35.12,30.1,2,bio,1,
14,17,LCOR-481,28.33,28.6,2,,0,
15,17,LCOR-271,35.89,24.5,2,bio,0,
16,17,LCOR-1062,-,,,,,
1,18,LCOR-377,31.04,missing measurement,3,bio,1,
2,18,LCOR-058,25.35,29.3,2,,1,1
3,18,LCOR-052,26.33,27.4,1,,0,
4,18,LCOR-475,35.25,26.5,1,,0,
5,18,LCOR-085,31.06,28.2,2,,1,
6,18,LCOR-351,32.57,29.8,2,,1,1
7,18,LCOR-053,no tree,,X,,X,
8,18,LCOR-302,no tree,,X,,X,
9,18,LCOR-1069,-,,,,,
10,18,LCOR-306,38.1,26.9,0,,1,
11,18,LCOR-392,36.15,35.2,3,,1,
12,18,LCOR-243,40.18,30.7,2,,1,
13,18,LCOR-572,30.14,27.5,1,bio,1,
14,18,LCOR-463,27.73,28.2,3,,2,1
15,18,LCOR-260,34.26,29.7,1,bio,1,
16,18,LCOR-1077,-,,,,,
1,19,LCOR-548,27.04,,1,bio,1,
2,19,LCOR-057,11.64,27.7,2,,1,
3,19,LCOR-406,14.87,28.2,5,,2,1
4,19,LCOR-089,25.67,28.1,4,,2,1
5,19,LCOR-491,27.91,27.3,1,phys,1,
6,19,LCOR-121,31.61,24.7,2,,1,
7,19,LCOR-585,27.82,29.2,2,,1,
8,19,LCOR-554,32.11,30.3,2,bio,1,
9,19,LCOR-152,38.13,32.5,1,,,
10,19,LCOR-558,26.21,31.1,1,,,
11,19,LCOR-138,27.73,27.3,1,,,
12,19,LCOR-383,26.33,24.8,1,bio,,
13,19,LCOR-568,24.15,32.5,2,bio,,
14,19,LCOR-080,21.2,30.7,1,,,
15,19,LCOR-391,37.31,28.3,1,,,
16,19,LCOR-1086,-,,,,,
1,20,LCOR-553,24.8,,2,,1,
2,20,LCOR-162,33.59,19.2,1,,0,
3,20,LCOR-242,37.09,21.6,1,bio,0,
4,20,LCOR-330,38.95,30.5,1,,0,
5,20,LCOR-166,33.2,27.2,1,,1,
6,20,LCOR-512,23.31,26.5,4,,1,1
7,20,LCOR-059,42.34,26.4,2,bio,0,1
8,20,LCOR-101,39.46,25.3,2,,0,1
9,20,LCOR-067,35.49,26.6,1,,0,
10,20,LCOR-1100,-,,,,,
11,20,LCOR-103,24.85,28.2,1,,0,
12,20,LCOR-230,34.9,29.6,2,,1,
13,20,LCOR-534,36.02,28.1,1,phys,0,
14,20,LCOR-261,37.81,27.2,1,,1,
15,20,LCOR-493,29.91,30.6,1,phys,1,
16,20,LCOR-1087,-,,,,,
1,21,LCOR-468,25.58,31.3,1,bio,2,1
2,21,LCOR-098,38.71,31.5,0,bio,0,
3,21,LCOR-482,33.93,30.7,1,,1,
4,21,LCOR-350,36.29,27.2,1,,1,
5,21,LCOR-129,28.43,24.3,1,,2,
6,21,LCOR-012,35.24,23.7,1,bio,1,
7,21,LCOR-248,39.19,24.6,0,,0,
8,21,LCOR-476,32.55,27.2,3,bio,1,
9,21,LCOR-584,31.48,29.3,1,bio,1,
10,21,LCOR-518,30.69,28.4,3,,1,
11,21,LCOR-450,29.18,27.1,2,bio,2,
12,21,LCOR-017,38.43,22.5,1,,1,
13,21,LCOR-495,38.74,19.3,2,,1,
14,21,LCOR-144,30.81,21.3,2,,0,1
15,21,LCOR-204,33.59,30.5,1,,0,
16,21,LCOR-1142,-,23.7,,,,
1,22,LCOR-470,24.84,24.1,1,bio,1,
2,22,LCOR-616,30.32,28.2,0,,1,
3,22,LCOR-245,13.51,X,5,bio,2,1
4,22,LCOR-165,25.56,25.6,1,,1,
5,22,LCOR-209,29.96,27.3,1,,1,1
6,22,LCOR-340,24.54,28.1,1,,0,
7,22,LCOR-326,37.09,26.3,1,bio,0,
8,22,LCOR-149,24.49,24.7,1,bio,2,
9,22,LCOR-1015,-,27.1,,,,
10,22,LCOR-169,30.57,29.7,2,,1,
11,22,LCOR-063,34.61,28.2,2,,0,
12,22,LCOR-483,38.16,27.6,1,,0,
13,22,LCOR-514,38,23.5,2,,0,1
14,22,LCOR-266,30.71,24.9,4,,2,1
15,22,LCOR-122,29.44,19.3,1,bio,2,
16,22,LCOR-1148,-,,,,,
1,23,LCOR-485,43.81,,1,bio,1,
2,23,LCOR-398,27.58,26.4,2,,2,
3,23,LCOR-171,22.74,25.9,1,bio,1,
4,23,LCOR-422,26.3,X,4,,2,1
5,23,LCOR-319,24.66,23.5,1,,0,
6,23,LCOR-106,27.74,X,4,,2,1
7,23,LCOR-445,36.45,27.2,1,,0,
8,23,LCOR-401,32.78,27.1,1,bio,2,
9,23,LCOR-291,35.22,28.3,1,,0,
10,23,LCOR-207,31.02,26.4,2,,1,1
11,23,LCOR-090,50.1,29.2,0,,0,
12,23,LCOR-015,36.38,30.1,1,,1,
13,23,LCOR-202,36.85,32.3,1,bio,1,
14,23,LCOR-290,44.74,30,0,,1,
15,23,LCOR-333,25.88,27.2,1,,2,
16,23,LCOR-1155,-,,,,,
1,24,LCOR-489,26.81,,1,,1,
2,24,LCOR-178,29.74,32.5,2,,1,
3,24,LCOR-367,30.25,30.6,2,bio,0,
4,24,LCOR-608,29.01,29.1,4,,2,1
5,24,LCOR-229,36.62,28.3,1,,0,
6,24,LCOR-503,20.93,27.6,2,bio,1,1
7,24,LCOR-339,33.95,28.8,1,,0,
8,24,LCOR-348,33.54,27.4,1,,0,
9,24,LCOR-182,28.63,28.2,2,,2,
10,24,LCOR-546,37.74,29.5,0,bio,1,
11,24,LCOR-212,35.76,33.4,2,,1,1
12,24,LCOR-404,37.02,30,2,,2,
13,24,LCOR-084,43.62,24.7,0,,1,
14,24,LCOR-309,35.53,26.3,2,,2,1
15,24,LCOR-318,33.09,27.1,0,,1,
16,24,LCOR-1162,-,,,,,
1,25,LCOR-214,33.67,,0,,1,
2,25,LCOR-192,30.52,28.2,1,,0,
3,25,LCOR-130,24.14,26,1,,2,
4,25,LCOR-606,22.3,,2,,2,
5,25,LCOR-022,34.65,29.7,2,,1,
6,25,LCOR-434,39.5,24.8,0,,1,
7,25,LCOR-160,39.94,27.2,1,bio,1,
8,25,LCOR-199,29.6,31.3,2,,1,1
9,25,LCOR-506,30.73,29.6,1,bio,1,
10,25,LCOR-049,33.07,28.4,1,,1,
11,25,LCOR-065,35.97,27.7,2,,1,
12,25,LCOR-055,39.98,26.4,0,,1,
13,25,LCOR-448,36.66,25.7,2,,1,
14,25,LCOR-379,40.87,30.1,0,bio,1,
15,25,LCOR-301,33.66,32.7,1,bio,1,
16,25,LCOR-1180,-,,,,,
1,26,LCOR-462,32.18,,1,bio,0,
2,26,LCOR-293,46.44,33.9,0,,1,
3,26,LCOR-605,25.82,25.1,1,phys,2,
4,26,LCOR-170,38.55,31.7,1,,1,
5,26,LCOR-487,32.6,28.4,2,,2,
6,26,LCOR-278,29.55,23.6,3,bio,1,1
7,26,LCOR-613,32.59,34.3,0,,0,
8,26,LCOR-300,26.45,24.9,1,bio,0,
9,26,LCOR-341,23.49,17.3,2,,2,1
10,26,LCOR-095,17.87,15.9,2,,2,1
11,26,LCOR-361,29.88,29.7,1,bio,0,
12,26,LCOR-387,25.25,21.3,3,,2,1
13,26,LCOR-356,31.95,31.4,1,bio,0,
14,26,LCOR-484,36.84,35.7,0,,0,
15,26,LCOR-508,36.09,15.4,2,,2,
16,26,LCOR-1178,-,,,,,
1,27,LCOR-533,33.31,,0,,1,
2,27,LCOR-441,43.04,30.7,0,bio,1,
3,27,LCOR-126,27.29,19.3,2,,2,1
4,27,LCOR-399,38.18,34.4,0,,1,
5,27,LCOR-323,15.32,,4,bio,2,1
6,27,LCOR-061,16.43,20.8,3,bio,2,1
7,27,LCOR-197,20.47,,3,,2,1
8,27,LCOR-373,19.64,18.9,3,,2,
9,27,LCOR-206,17.24,,5,,2,1
10,27,LCOR-322,37.57,28.7,1,,1,
11,27,LCOR-048,29.45,22.9,3,,1,
12,27,LCOR-175,40.11,32.2,0,,1,
13,27,LCOR-295,32.11,33,0,bio,1,
14,27,LCOR-388,30.87,26.7,1,bio,0,
15,27,LCOR-429,32.91,33.7,1,bio,0,
16,27,LCOR-1016,-,,,,,
1,28,LCOR-537,26.11,,3,bio,2,1
2,28,LCOR-276,33.54,33,1,,1,
3,28,LCOR-086,20.9,23.8,1,,1,
4,28,LCOR-425,31.24,23.3,0,,1,
5,28,LCOR-596,31.14,30.9,1,,1,
6,28,LCOR-227,27.17,30.5,1,,1,
7,28,LCOR-335,32.84,32.6,2,,1,
8,28,LCOR-128,24.5,21,3,,1,1
9,28,LCOR-551,35.36,29.8,1,,0,
10,28,LCOR-337,33.6,28.2,1,,0,
11,28,LCOR-096,32.98,28,2,,0,
12,28,LCOR-405,35.61,32.6,1,,2,
13,28,LCOR-559,34.35,30.3,2,,0,
14,28,LCOR-1018,-,,,,,
15,28,LCOR-083,25.8,29.2,2,,1,
16,28,LCOR-1020,-,,,,,
1,29,LCOR-024,29.02,,1,,0,
2,29,LCOR-557,29.94,,1,bio,1,
3,29,LCOR-297,18.59,,2,bio,1,1
4,29,LCOR-381,17.23,,1,bio,0,
5,29,LCOR-382,22.39,,1,bio,0,
6,29,LCOR-185,29.41,,2,bio,1,
7,29,LCOR-044,25.02,,3,,0,1
8,29,LCOR-600,28.31,,2,phys,1,1
9,29,LCOR-127,33.48,,2,,0,
10,29,LCOR-1048,-,,,,,
11,29,LCOR-1054,-,,,,,
12,29,LCOR-1049,-,,,,,
13,29,LCOR-1103,-,,,,,
14,29,LCOR-1122,-,,,,,
15,29,LCOR-1124,-,,,,,
16,29,LCOR-1134,-,,,,,
1,30,LCOR-424,,,3,bio,1,
2,30,LCOR-1025,-,,,,,
3,30,LCOR-583,,,3,0,1,1
4,30,LCOR-093,,,1,bio,1,
5,30,LCOR-281,,,3,0,1,
6,30,LCOR-1073,-,,,,,
7,30,LCOR-1082,-,,,,,
8,30,LCOR-1095,-,,,,,
9,30,LCOR-1244,-,,,,,
10,30,LCOR-1052,-,,,,,
11,30,LCOR-1202,-,,,,,
12,30,LCOR-1210,-,,,,,
13,30,LCOR-1154,-,,,,,
14,30,LCOR-1099,-,,,,,
15,30,LCOR-1140,-,,,,,
16,30,LCOR-1161,-,,,,,
1,44,LCOR-1028,-,,,,,
2,44,LCOR-1169,-,,,,,
3,44,LCOR-1245,-,,,,,
4,44,LCOR-1014,-,,,,,
5,44,LCOR-1034,-,,,,,
6,44,LCOR-1118,-,,,,,
7,44,LCOR-1129,-,,,,,
8,44,LCOR-1136,-,,,,,
9,44,LCOR-1151,-,,,,,
10,44,LCOR-1159,-,,,,,
11,44,LCOR-1160,-,,,,,
12,44,LCOR-1193,-,,,,,
13,44,LCOR-1249,-,,,,,
14,44,LCOR-1261,-,,,,,
15,44,LCOR-1237,-,,,,,
16,44,LCOR-1135,-,,,,,
1,45,LCOR-1039,-,,,,,
2,45,LCOR-599,9.87,,4,,,
3,45,LCOR-316,19.11,30.6,3,bio,,
4,45,LCOR-100,20.4,25.8,3,,,
5,45,LCOR-304,10.32,30.9,2,bio,,
6,45,LCOR-494,17.12,27,1,bio,,
7,45,LCOR-439,22.8,28.9,1,0,,
8,45,LCOR-378,30.41,35.7,1,0,,
9,45,LCOR-595,25.64,31.4,1,0,,
10,45,LCOR-1239,26.2,34.6,0,0,,
11,45,LCOR-371,35.53,34.8,0,bio,,
12,45,LCOR-234,34.42,30.4,0,bio,,
13,45,LCOR-461,42.24,30,1,0,,
14,45,LCOR-519,34.02,28.9,1,0,,
15,45,LCOR-1226,-,,,,,
16,45,LCOR-1027,-,,,,,
1,46,LCOR-1042,-,,,,,
2,46,LCOR-112,12.91,36.7,2,0,,
3,46,LCOR-190,27.25,22.5,3,0,,
4,46,LCOR-313,15.19,34,1,0,,
5,46,LCOR-446,24.63,26.2,1,bio,,
6,46,LCOR-032,50.42,27.7,1,phys,,
7,46,LCOR-492,20.47,34.4,1,bio,,
8,46,LCOR-311,28.54,28.9,1,0,,
9,46,LCOR-523,23.61,28.1,1,bio,,
10,46,LCOR-432,31.23,30.1,1,0,,
11,46,LCOR-025,43.14,29.8,1,bio,,
12,46,LCOR-538,39.1,31.7,0,0,,
13,46,LCOR-102,43.26,28,0,0,,
14,46,LCOR-155,37.46,31.7,0,bio,,
15,46,LCOR-490,17.16,26.2,1,0,,
16,46,LCOR-1255,-,,,,,
1,47,LCOR-1079,-,,,,,
2,47,LCOR-374,31.3,34,0,,,
3,47,LCOR-521,13.59,30.5,3,,,
4,47,LCOR-232,34.45,29.9,1,,,
5,47,LCOR-315,57.94,27,0,bio,,
6,47,LCOR-419,36.8,31.8,0,,,
7,47,LCOR-365,29.48,30.8,1,,,
8,47,LCOR-480,20.64,26.4,1,,,
9,47,LCOR-433,34.55,28.5,1,bio,,
10,47,LCOR-453,24.53,29.6,1,bio,,
11,47,LCOR-223,9.15,40.4,0,,,
12,47,LCOR-359*,*no tree,,X,,,
13,47,LCOR-216,22.46,32.5,1,,,
14,47,LCOR-159,31.56,31.7,1,bio,,
15,47,LCOR-426,20.35,24.4,1,,,
16,47,LCOR-1068,-,,,,,
1,48,LCOR-1083,-,,,,,
2,48,LCOR-113,49.15,35,0,,,
3,48,LCOR-505,52.83,34.7,0,,,
4,48,LCOR-153,57.44,32.5,0,bio,,
5,48,LCOR-336,40.89,31.9,0,bio,,
6,48,LCOR-412,36.71,26.9,1,bio,,
7,48,LCOR-509,39.77,25.3,1,,,
8,48,LCOR-549,32.39,27.9,1,,,
9,48,LCOR-466,27.22,30.9,1,,,
10,48,LCOR-547,11.71,31.6,1,,,
11,48,LCOR-598,10.27,26.5,0,,,
12,48,LCOR-464,27.19,36.3,0,,,
13,48,LCOR-555,29.56,31.3,0,,,
14,48,LCOR-189,8.96,27.8,2,,,
15,48,LCOR-447,15.85,34,3,bio,,
16,48,LCOR-1170,-,,,,,
1,49,LCOR-1113,-,,,,,
2,49,LCOR-1172,-,,,,,
3,49,LCOR-270,22.82,28,1,,,
4,49,LCOR-114,13.21,23.8,2,,,
5,49,LCOR-591,25.95,25.7,1,,,
6,49,LCOR-029,31.71,30.5,1,,,
7,49,LCOR-056,13.53,28.5,1,bio,,
8,49,LCOR-578,22.5,28.4,1,,,
9,49,LCOR-586,21.71,27.1,1,bio,,
10,49,LCOR-531,28.31,28.7,1,,,
11,49,LCOR-477,18.23,34,0,,,
12,49,LCOR-460,25.48,37.1,0,,,
13,49,LCOR-615,23.79,31.2,0,,,
