obs,time,elapsed,date,hhmmss,mdh,Air_temp,Air_VPD,averaging,instrument,row,column,spad1,spad2,spad,operator,temp,event,event_short,block,leaf,tree,TIME,E,Emm,A,Csetpoint,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,PhiPS2_PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,,
20,1657253247,2208.5,20220707 23:07:26,11:07:26 AM,7 7 11,19.05,0.6525,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657253247,0.003544918,3.544917679,16.91256177,A_800,780.34,666.9334675,67.62307335,79.12181893,0.294786562,1.917700383,0.271729451,0.171751962,241.7517881,26.92146532,26.92146532,3.562683887,66.80403488,2.278019717,3.410003185,1.28466417,-156.3308697,-76.84401827,-8.608915237,-0.032015087,0,0,1,0,25909.24003,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.286701,16.91256177,#DIV/0!,0.013408975,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.09,1261.286701,0.840807352,0.161158189,6,0.5,0: Broadleaf,2,1657253247,780.34,800.011,22.467,19.0031,780.53,22.2716,600.238,101.294,0.100032,26.1782,25.7565,999.9,0,0,4997.5,0,769.773,,
21,1657253352,2313.5,20220707 23:09:11,11:09:11 AM,7 7 11,19.05,0.6525,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657253352,0.003818226,3.818225631,17.55993714,A_1000,978.789,861.8517147,87.38515433,99.24169827,0.31048903,1.912034246,0.284954907,0.180215642,241.7187101,26.96860607,26.96860607,3.572565593,65.48482417,2.25299843,3.440489394,1.319567163,-168.3837503,-65.94191941,-7.416773981,-0.023733665,0,0,1,0,25753.32956,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.118101,17.55993714,#DIV/0!,0.013924102,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.89,1261.118101,0.84080706,0.161157625,6,0.5,0: Broadleaf,2,1657253352,978.789,1000.08,22.2206,18.4883,979.378,22.0319,600.174,101.292,0.100331,26.3289,25.9733,999.9,0,0,4973.75,0,738.179,,
22,1657253448,2409.5,20220707 23:10:47,11:10:47 AM,7 7 11,19.05,0.6525,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657253448,0.003727423,3.727423015,17.94858936,A_1200,1177.794,1054.44697,106.9081814,119.4140798,0.308579716,1.920449959,0.283445943,0.17924098,241.7086961,27.03356801,27.03356801,3.586222197,66.4774005,2.29157983,3.447156195,1.294642367,-164.3793549,-69.56205465,-7.793474211,-0.026187738,0,0,1,0,25962.98153,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.059901,17.94858936,#DIV/0!,0.01423294,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.82,1261.059901,0.840807497,0.16115847,6,0.5,0: Broadleaf,2,1657253448,1177.794,1200.12,22.6021,18.961,1178.63,22.403,600.342,101.288,0.0999166,26.3617,26.0428,999.9,0,0,5009.38,0,690.507,,
23,1657253559,2520.5,20220707 23:12:38,11:12:38 AM,7 7 11,19.05,0.6525,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657253559,0.003733798,3.733797752,17.97733495,A_1500,1476.477,1347.738471,136.6445768,149.6971254,0.311047384,1.924154926,0.285572646,0.180597524,241.7155181,26.9840558,26.9840558,3.575809385,66.56915944,2.288520948,3.437809592,1.287288437,-164.6604809,-69.33191576,-7.749027941,-0.025906499,0,0,1,0,26060.50361,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.101301,17.97733495,#DIV/0!,0.014255266,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.87,1261.101301,0.84080707,0.161157646,6,0.5,0: Broadleaf,2,1657253559,1476.477,1499.96,22.5719,18.9235,1477.91,22.3736,600.184,101.288,0.100051,26.3157,25.9371,999.9,0,0,5025,0,701.85,,
24,1657253668,2629.5,20220707 23:14:27,11:14:27 AM,7 7 11,19.05,0.6525,none,Carlos,8,49,25.9,24.8,25.35,CH,25,LC-102 5A,5A,small,13,LCOR-578,1657253668,0.003753357,3.753356942,18.17114333,A_2000,1974.372,1834.564913,185.9935087,200.1675565,0.312089392,1.915493568,0.286345527,0.181101643,241.7470001,26.89819041,26.89819041,3.557813776,66.26334048,2.267083828,3.421324387,1.290729948,-165.5230412,-68.55869405,-7.69081221,-0.02554734,0,0,1,0,25849.12345,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.261501,18.17114333,#DIV/0!,0.014407118,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.06,1261.261501,0.840807368,0.16115822,6,0.5,0: Broadleaf,2,1657253668,1974.372,1999.95,22.3616,18.6927,1976.07,22.169,600.086,101.283,0.0998987,26.2343,25.7855,999.9,0,0,4988.75,0,784.475,,
39,1657255985,4946.9,20220707 23:53:05,11:53:05 AM,7 7 11,19.05,0.6525,none,Carlos,9,14,30,28.8,29.4,CH,25,LC-102 5C,5C,large,15,LCOR-269,1657255985,0.004180252,4.180252306,17.89655705,A_410,390.438,294.106728,29.82100698,39.58853441,0.348673909,1.912513816,0.316825015,0.20063414,241.8167861,26.33213338,26.33213338,3.441146098,64.0644341,2.140138094,3.34060251,1.301008004,-184.3491267,-51.70151475,-5.780674111,-0.014529497,0,0,1,0,25808.26009,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.623301,17.89655705,#DIV/0!,0.014185341,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.49,1261.623301,0.840807537,0.161158546,6,0.5,0: Broadleaf,2,1657255985,390.438,409.958,21.1069,17.0167,390.602,20.9508,600.267,101.295,0.100188,25.8307,25.7244,999.9,0,0,4975.62,0,679.379,,
40,1657256114,5075.9,20220707 23:55:14,11:55:14 AM,7 7 11,19.05,0.6525,none,Carlos,9,14,30,28.8,29.4,CH,25,LC-102 5C,5C,large,15,LCOR-269,1657256114,0.004268003,4.26800296,18.13235292,A_400a,380.253,284.9097828,28.88754096,38.55456982,0.3568664,1.924054969,0.323759527,0.205067669,241.7282861,26.26588772,26.26588772,3.427713346,63.80296886,2.127718921,3.334827453,1.299994425,-188.2189306,-48.17077623,-5.351037759,-0.012458473,0,0,1,0,26102.66322,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.168501,18.13235292,#DIV/0!,0.014377423,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.95,1261.168501,0.840807027,0.161157563,6,0.5,0: Broadleaf,2,1657256114,380.253,400.001,20.9851,16.8082,380.396,20.8322,600.221,101.292,0.0998886,25.8015,25.7601,999.9,0,0,5024.38,0,1295.72,,
40,1657256114,5075.9,20220707 23:55:14,11:55:14 AM,7 7 11,19.05,0.6525,none,Carlos,9,14,30,28.8,29.4,CH,25,LC-102 5C,5C,large,15,LCOR-269,1657256152,0.004345592,4.345591893,13.10260857,A_300,285.6615,216.9164199,21.99355803,28.96374943,0.360947901,1.924424835,0.327120253,0.207224578,241.7224811,26.359022,26.359022,3.446656913,63.61359012,2.136919176,3.359290838,1.309737737,-191.6406025,-45.08088465,-5.01196016,-0.010966228,0,0,1,0,26101.27444,#DIV/0!,#DIV/0!,0,0,#DIV/0!,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!,0.5,1261.135201,13.10260857,#DIV/0!,0.01038943,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.91,1261.135201,0.840807249,0.161157991,6,0.5,#DIV/0!,2,1657256152,285.6615,299.993,21.07585,16.82335,285.704,20.92055,600.2115,101.292,0.09983855,25.9245,25.74145,999.9,0,0,5025.94,0,1066.79,,
41,1657256190,5151.4,20220707 23:56:29,11:56:29 AM,7 7 11,19.05,0.6525,none,Carlos,9,14,30,28.8,29.4,CH,25,LC-102 5C,5C,large,15,LCOR-269,1657256190,0.004423181,4.423180826,8.072864223,A_200,191.07,148.923057,15.0995751,19.37292903,0.365029401,1.924794701,0.330480979,0.209381487,241.7166761,26.45215628,26.45215628,3.465600479,63.42421138,2.14611943,3.383754222,1.319481049,-195.0622744,-41.99099306,-4.672882561,-0.009473982,0,0,1,0,26099.88565,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.101901,8.072864223,#DIV/0!,0.006401437,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.87,1261.101901,0.84080747,0.161158418,6,0.5,0: Broadleaf,2,1657256190,191.07,199.985,21.1666,16.8385,191.012,21.0089,600.202,101.292,0.0997885,26.0475,25.7228,999.9,0,0,5027.5,0,837.86,,
42,1657256286,5247.4,20220707 23:58:05,11:58:05 AM,7 7 11,19.05,0.6525,none,Carlos,9,14,30,28.8,29.4,CH,25,LC-102 5C,5C,large,15,LCOR-269,1657256286,0.004347739,4.347738688,2.490170755,A_100,97.0865,83.39964668,8.456040413,9.843775127,0.367465968,1.91827052,0.33237157,0.210605315,241.7544011,26.68487916,26.68487916,3.513449903,64.9643823,2.224678071,3.42445813,1.288771831,-191.7352761,-44.99492937,-5.035163205,-0.010967638,0,0,1,0,25917.5119,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.303201,2.490170755,#DIV/0!,0.001974284,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.11,1261.303201,0.840807141,0.161157782,6,0.5,0: Broadleaf,2,1657256286,97.0865,99.9982,21.9414,17.6899,97.0175,21.763,600.119,101.292,0.0998014,26.2498,26.0234,999.9,0,0,5000,0,196.493,,
43,1657256380,5341.4,20220707 23:59:39,11:59:39 AM,7 7 11,19.05,0.6525,none,Carlos,9,14,30,28.8,29.4,CH,25,LC-102 5C,5C,large,15,LCOR-269,1657256380,0.004483756,4.48375597,-0.463664437,A_50,50.187,51.29780371,5.201217231,5.088589965,0.371163554,1.923028052,0.335475472,0.212591916,241.7224811,26.43764886,26.43764886,3.462636587,63.35884097,2.144960263,3.385415879,1.317676324,-197.7336383,-39.58790897,-4.409370009,-0.008436164,0,0,1,0,26054.47724,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.135201,-0.463664437,#DIV/0!,-0.000367656,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1499.91,1261.135201,0.840807249,0.16115799,6,0.5,0: Broadleaf,2,1657256380,50.187,49.9484,21.155,16.7668,50.08,21.109,600.096,101.293,0.099591,26.0558,25.7875,999.9,0,0,5020,0,321.79,,
44,1657256487,5448.5,20220708 00:01:26,12:01:26 PM,7 7 12,20.325,0.8,none,Carlos,9,14,30,28.8,29.4,CH,25,LC-102 5C,5C,large,15,LCOR-269,1657256487,0.004551087,4.551086828,-3.195042943,A_0,6.86254,20.86143028,2.115412533,0.695882446,0.392529995,1.919883131,0.352791546,0.223728866,241.7681861,26.2872409,26.2872409,3.43203816,64.27866904,2.15998624,3.360346865,1.27205192,-200.7029291,-36.95542561,-4.117200369,-0.007369011,0,0,1,0,25985.53426,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.378501,-3.195042943,#DIV/0!,-0.002532977,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.2,1261.378501,0.840806893,0.161157303,6,0.5,0: Broadleaf,2,1657256487,6.86254,3.70011,21.301,16.8488,6.67354,21.1439,600.262,101.303,0.100044,25.9302,25.687,999.9,0,0,5006.25,0,371.868,,
45,1657256584,5545.5,20220708 00:03:03,12:03:03 PM,7 7 12,20.325,0.8,none,Carlos,9,14,30,28.8,29.4,CH,25,LC-102 5C,5C,large,15,LCOR-269,1657256584,0.004524831,4.524831126,17.42106992,A_400b,381.056,294.773558,29.89059723,38.63980031,0.384671441,1.919277983,0.346414612,0.21962843,241.7443871,26.05749358,26.05749358,3.385755021,63.29924,2.09706216,3.312934183,1.288692861,-199.5450527,-37.98394948,-4.223162436,-0.007777497,0,0,1,0,25991.13063,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.245001,17.42106992,#DIV/0!,0.013812598,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.04,1261.245001,0.840807579,0.161158627,6,0.5,0: Broadleaf,2,1657256584,381.056,400.195,20.6807,16.2509,381.044,20.5399,600.197,101.302,0.0998945,25.6904,25.5235,999.9,0,0,5003.75,0,140.692,,
46,1657256697,5659,20220708 00:04:57,12:04:57 PM,7 7 12,20.325,0.8,none,Carlos,9,14,30,28.8,29.4,CH,25,LC-102 5C,5C,large,15,LCOR-269,1657256697,0.004456556,4.456556289,16.72541226,A_400c,381.681,295.6053496,29.97497928,38.70322401,0.369887777,1.914527873,0.334290861,0.21184382,241.7763071,26.12472625,26.12472625,3.399242438,62.75519964,2.083963593,3.32078235,1.315278845,-196.5341323,-40.71110986,-4.540046624,-0.008981736,0,0,1,0,25867.55998,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.413001,16.72541226,#DIV/0!,0.013259267,#DIV/0!,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1500.24,1261.413001,0.840807471,0.161158419,6,0.5,0: Broadleaf,2,1657256697,381.681,400.105,20.5515,16.1871,381.656,20.4141,600.078,101.302,0.100019,25.7303,25.4073,999.9,0,0,4983.75,0,239.549,,
