row,column,ID,SPAD 1,SPAD 2,SPAD 3,Aug_avg_SPAD,Comments
3,3,LCOR-064,46.1,49.8,50.8,48.9,
4,3,LCOR-173,42.7,41.4,40.4,41.5,
5,3,LCOR-104,35.6,38.7,39.2,37.83333333,
6,3,LCOR-552,34.3,40.5,41.9,38.9,
7,3,LCOR-395,41.1,36.4,38.7,38.73333333,
8,3,LCOR-228,40.5,45.2,39.3,41.66666667,
9,3,LCOR-362,41.9,39.1,38.7,39.9,
10,3,LCOR-259,32.3,33.8,41,35.7,
11,3,LCOR-258,36.9,31,33.2,33.7,
12,3,LCOR-188,43.2,43.9,37.9,41.66666667,insect damage
13,3,LCOR-294,43.6,38.4,49.6,43.86666667,
14,3,LCOR-253,42.7,40.4,32.8,38.63333333,
15,3,LCOR-213,50.5,46.9,39.5,45.63333333,insect damage
16,3,LCOR-1047,33.9,32.2,28.6,31.56666667,many aprical buds
1,4,LCOR-1002,36.1,47,50,44.36666667,
2,4,LCOR-087,37.6,43.4,37.1,39.36666667,
3,4,LCOR-308,33.1,40.3,47.4,40.26666667,
4,4,LCOR-249,34.4,38.7,35.9,36.33333333,
5,4,LCOR-244,41.2,39.8,44.5,41.83333333,small
6,4,LCOR-607,47.4,53.6,55.2,52.06666667,small
7,4,LCOR-396,33.5,42.8,46.5,40.93333333,
8,4,LCOR-325,33.4,42.2,44.2,39.93333333,
9,4,LCOR-054,28.9,41.9,40.4,37.06666667,
10,4,LCOR-109,52.4,45.5,46.7,48.2,
11,4,LCOR-268,32.6,36.4,43.3,37.43333333,
12,4,LCOR-328,45.9,45,37.2,42.7,
13,4,LCOR-107,34.2,39.9,42.4,38.83333333,
14,4,LCOR-201,34.8,38.2,40.7,37.9,
15,4,LCOR-211,37.4,41.3,41.8,40.16666667,
16,4,LCOR-1051,41.6,41.8,42.7,42.03333333,stem canker
1,5,LCOR-082,42.9,45.9,38.9,42.56666667,
2,5,LCOR-344,35.1,34.9,39.1,36.36666667,
3,5,LCOR-070,42.6,41.8,48.7,44.36666667,
4,5,LCOR-282,34.9,36.2,36.5,35.86666667,
5,5,LCOR-027,32.7,34.9,38.9,35.5,
6,5,LCOR-573,34.4,40.6,44.8,39.93333333,
7,5,LCOR-068,40.5,36,39.3,38.6,
8,5,LCOR-575,30.1,30,36,32.03333333,
9,5,LCOR-346,39.7,39.8,38.2,39.23333333,
10,5,LCOR-092,37.1,39.1,35.9,37.36666667,
11,5,LCOR-142,38.3,44.9,49.1,44.1,
12,5,LCOR-563,38.1,40.1,41.6,39.93333333,insect damage
13,5,LCOR-353,,,,,dead
14,5,LCOR-314,31.4,36.6,35.7,34.56666667,
15,5,LCOR-042,32.8,36.2,35.7,34.9,
16,5,LCOR-1059,38.9,34.5,37.5,36.96666667,
1,6,LCOR-1003,46.8,46.9,44.4,46.03333333,insect damage
2,6,LCOR-577,32.2,33.2,39.3,34.9,
3,6,LCOR-069,38.1,42.3,44.1,41.5,
4,6,LCOR-043,35.6,37.1,38.4,37.03333333,
5,6,LCOR-062,32,35.7,38.3,35.33333333,
6,6,LCOR-135,29,30.5,32.7,30.73333333,
7,6,LCOR-003,32.6,37.5,45.2,38.43333333,
8,6,LCOR-191,43.7,40.9,42.6,42.4,
9,6,LCOR-310,35.2,42.8,43.6,40.53333333,
10,6,LCOR-251,31.3,34.9,35.2,33.8,
11,6,LCOR-358,27.1,35.1,33.6,31.93333333,
12,6,LCOR-363,46.3,49.2,49.8,48.43333333,
13,6,LCOR-355,42.5,43.6,37.9,41.33333333,
14,6,LCOR-472,34.6,36.3,39.6,36.83333333,
15,6,LCOR-421,37.5,36.9,42.2,38.86666667,
16,6,LCOR-1102,35.8,46.4,41.6,41.26666667,
1,7,LCOR-1004,28,24.1,30.1,27.4,
2,7,LCOR-177,29.8,34.2,36.3,33.43333333,
3,7,LCOR-073,35,39,39.3,37.76666667,
4,7,LCOR-510,37.5,38.3,43.2,39.66666667,
5,7,LCOR-474,36.1,34.8,40.7,37.2,
6,7,LCOR-181,37.2,41.8,46,41.66666667,
7,7,LCOR-148,32.5,31.8,34.2,32.83333333,
8,7,LCOR-400,32.6,32.3,31.7,32.2,
9,7,LCOR-530,34.9,35.9,39,36.6,
10,7,LCOR-51175,36.2,43.1,44.5,41.26666667,small
11,7,LCOR-005,,,,,dead
12,7,LCOR-094,38.2,38.8,45.1,40.7,
13,7,LCOR-296,30.3,30.9,40.5,33.9,
14,7,LCOR-265,33.7,36.6,40.7,37,
15,7,LCOR-198,33,30.4,32.3,31.9,
16,7,LCOR-1111,33.2,28.9,30.5,30.86666667,
1,8,LCOR-1005,26.2,30.9,35.7,30.93333333,
2,8,LCOR-179,31.1,30.2,33.9,31.73333333,
3,8,LCOR-036,26.9,30.5,33.9,30.43333333,
4,8,LCOR-279,38.5,33.4,35.4,35.76666667,
5,8,LCOR-078,30.4,40.3,40.6,37.1,
6,8,LCOR-582,29.1,30.5,36.2,31.93333333,
7,8,LCOR-385,29.4,40.1,37.5,35.66666667,
8,8,LCOR-250,32,36.5,37.3,35.26666667,
9,8,LCOR-034,39.4,42.2,41.4,41,
10,8,LCOR-255,28.4,30.8,37.2,32.13333333,
11,8,LCOR-238,39.8,33.5,40,37.76666667,
12,8,LCOR-254,39.8,32.7,41.6,38.03333333,
13,8,LCOR-469,48.7,45.7,53.5,49.3,
14,8,LCOR-167,32,32.5,35.8,33.43333333,
15,8,LCOR-274,33.5,35.6,41,36.7,
16,8,LCOR-1114,33.6,37.7,38.7,36.66666667,
1,9,LCOR-1006,30.4,27.5,31.4,29.76666667,
2,9,LCOR-581,29.3,34.1,35.9,33.1,
3,9,LCOR-001,26.7,31.4,31.2,29.76666667,
4,9,LCOR-342,28.1,28.7,38.7,31.83333333,
5,9,LCOR-471,28.8,32.8,36.1,32.56666667,
6,9,LCOR-380,32.9,31.4,40.4,34.9,
7,9,LCOR-076,30.7,32.7,39,34.13333333,
8,9,LCOR-163,27.5,32.7,33.3,31.16666667,
9,9,LCOR-609,42.8,43.2,40.7,42.23333333,
10,9,LCOR-217,37.1,40.6,43,40.23333333,
11,9,LCOR-231,34.8,35.1,40.7,36.86666667,
12,9,LCOR-075,41,45,43.3,43.1,
13,9,LCOR-504,42.2,44.1,46,44.1,
14,9,LCOR-511,35.7,41.7,35.8,37.73333333,
15,9,LCOR-041,26.1,30.7,31.4,29.4,
16,9,LCOR-1121,27.1,36.5,36.3,33.3,
1,10,LCOR-1007,32.3,33.7,27.6,31.2,
2,10,LCOR-1029,37.7,30.7,29.9,32.76666667,
3,10,LCOR-023,41.5,38.9,41.1,40.5,
4,10,LCOR-020,38.3,47.7,44.8,43.6,
5,10,LCOR-010,42.4,48.3,46.8,45.83333333,
6,10,LCOR-292,35.8,38.4,44.1,39.43333333,
7,10,LCOR-420,34.2,31.8,39.7,35.23333333,
8,10,LCOR-157,34.3,33.7,29.1,32.36666667,
9,10,LCOR-226,37,40.5,41.1,39.53333333,
10,10,LCOR-263,34.7,39.4,39.3,37.8,
11,10,LCOR-018,33.6,35.5,40.8,36.63333333,
12,10,LCOR-286,38.9,41.4,41.6,40.63333333,
13,10,LCOR-133,37.6,38.1,40,38.56666667,
14,10,LCOR-039,37.8,32.4,39.8,36.66666667,
15,10,LCOR-203,37.8,38.7,36,37.5,
16,10,LCOR-1131,33.1,30.6,36.2,33.3,
1,11,LCOR-1008,34.1,38.5,35.7,36.1,
2,11,LCOR-164,40.6,43.5,44.1,42.73333333,
3,11,LCOR-529,35.8,35.3,35.8,35.63333333,
4,11,LCOR-386,33,37.6,41.6,37.4,
5,11,LCOR-028,43.9,38.5,37.8,40.06666667,
6,11,LCOR-527,31,31.8,33.6,32.13333333,
7,11,LCOR-141,39,41.4,44.2,41.53333333,
8,11,LCOR-150,40.5,42.5,42,41.66666667,
9,11,LCOR-233,41.3,36.9,48.6,42.26666667,
10,11,LCOR-161,41.7,40.1,43.9,41.9,
11,11,LCOR-019,40,46.2,45.2,43.8,
12,11,LCOR-360,40.3,39.4,44.7,41.46666667,
13,11,LCOR-289,38.6,42.4,43.7,41.56666667,
14,11,LCOR-040,40.8,38,41.4,40.06666667,
15,11,LCOR-324,33.8,31.8,29,31.53333333,
16,11,LCOR-1139,32.5,31.3,34,32.6,
1,12,LCOR-1009,30.5,29.7,32.7,30.96666667,
2,12,LCOR-180,40.3,43.3,49,44.2,many aprical buds
3,12,LCOR-403,29.2,39.2,36.7,35.03333333,
4,12,LCOR-364,36.1,33.7,41.5,37.1,
5,12,LCOR-277,29,30.2,32.3,30.5,
6,12,LCOR-115,32.5,35,36.2,34.56666667,
7,12,LCOR-111,37.2,40.2,40.8,39.4,
8,12,LCOR-303,41.9,42,39,40.96666667,
9,12,LCOR-588,34.6,41.3,42.9,39.6,
10,12,LCOR-561,37,41.3,42.8,40.36666667,
11,12,LCOR-035,35.5,31.6,37.5,34.86666667,
12,12,LCOR-241,33.3,38.5,41.6,37.8,
13,12,LCOR-218,40.7,36.1,41.8,39.53333333,
14,12,LCOR-002,35.3,37.4,36.7,36.46666667,
15,12,LCOR-026,34.1,32.8,37.8,34.9,
16,12,LCOR-1201,34.2,34,44.1,37.43333333,
1,13,LCOR-1010,29.8,28,32.6,30.13333333,
2,13,LCOR-066,41.4,24.3,41.7,35.8,
3,13,LCOR-423,41.1,43.4,36.1,40.2,
4,13,LCOR-200,36.1,39.4,42.3,39.26666667,
5,13,LCOR-332,38.1,42.9,43.4,41.46666667,
6,13,LCOR-137,37.6,40.8,44.2,40.86666667,
7,13,LCOR-338,35.6,42.1,37.9,38.53333333,
8,13,LCOR-544,41.2,42.1,40.9,41.4,
9,13,LCOR-320,30.5,36.7,40.3,35.83333333,
10,13,LCOR-077,30.1,31.5,37.9,33.16666667,
11,13,LCOR-593,31.8,34,36.3,34.03333333,
12,13,LCOR-088,43.7,37.6,44.5,41.93333333,
13,13,LCOR-030,32.1,38,35,35.03333333,
14,13,LCOR-156,34.3,43.1,36.6,38,
15,13,LCOR-051,45.3,48.3,47.5,47.03333333,
16,13,LCOR-1203,37.2,43.1,41.2,40.5,
1,14,LCOR-1011,40.3,32.9,41.3,38.16666667,
2,14,LCOR-060,44.6,43.4,43.1,43.7,
3,14,LCOR-604,32.9,34.4,34.1,33.8,
4,14,LCOR-368,37.9,39.2,46.5,41.2,
5,14,LCOR-046,34.6,35.7,41.4,37.23333333,
6,14,LCOR-031,38.4,37.3,40.1,38.6,
7,14,LCOR-347,37.7,37.1,43,39.26666667,
8,14,LCOR-176,43.6,48.1,52.1,47.93333333,
9,14,LCOR-269,31.4,34.8,35.3,33.83333333,
10,14,LCOR-147,35.6,42.8,47.9,42.1,
11,14,LCOR-257,35,33.2,39.2,35.8,
12,14,LCOR-256,31.1,36.1,41.8,36.33333333,
13,14,LCOR-014,34,35,41.9,36.96666667,
14,14,LCOR-091,32.3,37.4,37.5,35.73333333,
15,14,LCOR-264,36.9,37.9,38.8,37.86666667,
16,14,LCOR-1206,41.7,37.3,42.4,40.46666667,
1,15,LCOR-116,36.8,47.6,44.6,43,
2,15,LCOR-486,38.5,40.5,41.3,40.1,
3,15,LCOR-174,,,,,dead
4,15,LCOR-357,45.2,42.3,42.6,43.36666667,
5,15,LCOR-473,34.5,37.1,45.4,39,
6,15,LCOR-525,30,29.2,31.7,30.3,
7,15,LCOR-437,32.4,34.8,36.9,34.7,
8,15,LCOR-550,36.6,42.3,42.8,40.56666667,
9,15,LCOR-307,34.4,44,40.5,39.63333333,
10,15,LCOR-449,35.4,42.2,41,39.53333333,
11,15,LCOR-507,36.7,36.5,40.2,37.8,
12,15,LCOR-154,33.2,34.9,39.8,35.96666667,
13,15,LCOR-562,30.7,33.4,37.2,33.76666667,
14,15,LCOR-334,36,39,41.7,38.9,
15,15,LCOR-393,40.5,41.3,42.3,41.36666667,
16,15,LCOR-1070,38.7,40.5,38.9,39.36666667,
1,16,LCOR-442,40.9,38.5,42.3,40.56666667,
2,16,LCOR-247,32.6,40.3,32.5,35.13333333,
3,16,LCOR-611,40.3,43.1,47.4,43.6,
4,16,LCOR-327,39.6,39.7,41.1,40.13333333,
5,16,LCOR-528,45.5,44.2,42.8,44.16666667,
6,16,LCOR-072,35.7,37.8,31.5,35,
7,16,LCOR-610,39.5,39.2,32.8,37.16666667,
8,16,LCOR-516,42.4,38.6,38.8,39.93333333,
9,16,LCOR-280,41.4,44.8,46.6,44.26666667,
10,16,LCOR-033,37,47.1,45.4,43.16666667,
11,16,LCOR-331,33.2,34.9,33.4,33.83333333,
12,16,LCOR-372,33.4,42.9,45,40.43333333,
13,16,LCOR-105,39.4,40.7,38.4,39.5,
14,16,LCOR-352,34.2,38.1,38.2,36.83333333,
15,16,LCOR-614,34.7,34.3,33,34,
16,16,LCOR-1035,38.5,40.4,42.2,40.36666667,
1,17,LCOR-376,45.8,43.6,42.4,43.93333333,insect damage
2,17,LCOR-016,34.8,41.1,45.1,40.33333333,insect damage
3,17,LCOR-132,36.9,40.5,34.8,37.4,
4,17,LCOR-574,33.2,35.4,36.6,35.06666667,
5,17,LCOR-079,39.6,37.8,38.8,38.73333333,
6,17,LCOR-458,41.4,41.1,38.2,40.23333333,
7,17,LCOR-411,34.6,35.3,31.6,33.83333333,
8,17,LCOR-394,39.8,38.2,41.2,39.73333333,
9,17,LCOR-275,36.2,31.2,31.6,33,
10,17,LCOR-601,31.1,35.7,40.5,35.76666667,
11,17,LCOR-252,36.7,41,34.7,37.46666667,
12,17,LCOR-134,39.1,41.6,48.9,43.2,
13,17,LCOR-502,39.4,45.9,45.3,43.53333333,
14,17,LCOR-481,38.9,42.4,42.7,41.33333333,
15,17,LCOR-271,32.2,27.4,34.3,31.3,
16,17,LCOR-1062,33.4,29.2,32.3,31.63333333,
1,18,LCOR-377,37.9,39.5,37.4,38.26666667,
2,18,LCOR-058,39.7,41.6,38.8,40.03333333,
3,18,LCOR-052,41.3,38.6,37.6,39.16666667,
4,18,LCOR-475,39.8,41.2,41,40.66666667,
5,18,LCOR-085,35.6,37.6,40.6,37.93333333,
6,18,LCOR-351,39.9,40.1,38,39.33333333,
7,18,LCOR-053,,,,,dead
8,18,LCOR-302,,,,,dead
9,18,LCOR-1069,21.5,19.4,22.5,21.13333333,
10,18,LCOR-306,40.8,36.4,47.6,41.6,
11,18,LCOR-392,46.6,38.2,44.1,42.96666667,
12,18,LCOR-243,32.5,39.3,40,37.26666667,
13,18,LCOR-572,32.2,39.3,43,38.16666667,
14,18,LCOR-463,40.4,43.2,39.1,40.9,
15,18,LCOR-260,38.3,37.7,36.2,37.4,
16,18,LCOR-1077,34.4,40.5,40.9,38.6,
1,19,LCOR-548,42.1,45.6,46.4,44.7,
2,19,LCOR-057,,,,,regrowing
3,19,LCOR-406,39,35.3,34.5,36.26666667,
4,19,LCOR-089,38.7,38.9,39.6,39.06666667,
5,19,LCOR-491,39,37.6,38.2,38.26666667,
6,19,LCOR-121,38,41.8,44.8,41.53333333,
7,19,LCOR-585,48.7,48.8,47.7,48.4,
8,19,LCOR-554,38,43.2,40.5,40.56666667,
9,19,LCOR-152,37,40.1,41.1,39.4,
10,19,LCOR-558,42.6,38,40.5,40.36666667,
11,19,LCOR-138,38.1,38.3,37.4,37.93333333,
12,19,LCOR-383,32.1,34.4,33.6,33.36666667,
13,19,LCOR-568,20.8,28,34.7,27.83333333,
14,19,LCOR-080,34.8,33.1,33.8,33.9,
15,19,LCOR-391,37,42.2,44.5,41.23333333,
16,19,LCOR-1086,29,36.1,37.6,34.23333333,
1,20,LCOR-553,38.7,43.1,40.8,40.86666667,
2,20,LCOR-162,39.4,42.5,47.1,43,
3,20,LCOR-242,39.7,43.5,46.5,43.23333333,
4,20,LCOR-330,41,46.2,47.3,44.83333333,
5,20,LCOR-166,42.5,43.2,44.3,43.33333333,
6,20,LCOR-512,39.5,40.1,40,39.86666667,
7,20,LCOR-059,39.5,42,46.3,42.6,
8,20,LCOR-101,41.6,40.1,41.3,41,
9,20,LCOR-067,43.4,35.5,44,40.96666667,
10,20,LCOR-1100,45.1,51.1,41.7,45.96666667,
11,20,LCOR-103,37.2,40.4,36.9,38.16666667,
12,20,LCOR-230,46.7,46.6,43.9,45.73333333,
13,20,LCOR-534,36.8,40.7,40.1,39.2,
14,20,LCOR-261,40.3,42.7,42.9,41.96666667,
15,20,LCOR-493,43.7,38,43.8,41.83333333,
16,20,LCOR-1087,40.7,44,40.2,41.63333333,
1,21,LCOR-468,43.2,45.8,39.6,42.86666667,
2,21,LCOR-098,43.8,49.1,41.4,44.76666667,
3,21,LCOR-482,40.3,44,50.6,44.96666667,
4,21,LCOR-350,46.5,41.7,42.3,43.5,
5,21,LCOR-129,42.7,41.9,46.6,43.73333333,
6,21,LCOR-012,44.8,49,47.9,47.23333333,
7,21,LCOR-248,38.5,39.9,42.8,40.4,
8,21,LCOR-476,40.4,44.6,44.7,43.23333333,
9,21,LCOR-584,40.6,43.3,42.3,42.06666667,
10,21,LCOR-518,38.8,43.8,44.5,42.36666667,
11,21,LCOR-450,46.4,45.8,42.7,44.96666667,
12,21,LCOR-017,42.3,39.6,37.6,39.83333333,
13,21,LCOR-495,37.6,43.3,40,40.3,
14,21,LCOR-144,38.5,37.8,40.4,38.9,
15,21,LCOR-204,36.3,37,43.4,38.9,
16,21,LCOR-1142,34.3,37.9,35.6,35.93333333,
1,22,LCOR-470,42.4,47.1,42.3,43.93333333,
2,22,LCOR-616,42.5,41.9,42.8,42.4,
3,22,LCOR-245,42.3,40.3,44.7,42.43333333,
4,22,LCOR-165,43.3,46.3,45.8,45.13333333,
5,22,LCOR-209,44.1,39.8,45.1,43,
6,22,LCOR-340,34.5,34.6,36.7,35.26666667,
7,22,LCOR-326,38.7,42.5,43.3,41.5,
8,22,LCOR-149,37.3,38.7,38.1,38.03333333,
9,22,LCOR-1015,47.4,46,43.6,45.66666667,
10,22,LCOR-169,37.7,39.9,37.3,38.3,
11,22,LCOR-063,36.2,37.8,37.7,37.23333333,
12,22,LCOR-483,34.4,34.5,31.3,33.4,
13,22,LCOR-514,35.6,35.3,32.9,34.6,
14,22,LCOR-266,41,36.1,37.6,38.23333333,
15,22,LCOR-122,39.8,37.5,38.8,38.7,
16,22,LCOR-1148,38.8,28.7,38.1,35.2,
1,23,LCOR-485,39.7,38.6,45.3,41.2,
2,23,LCOR-398,45.8,43.3,41.8,43.63333333,
3,23,LCOR-171,48.5,50.2,48,48.9,
4,23,LCOR-422,42.1,44.7,46.6,44.46666667,
5,23,LCOR-319,42.8,45.9,42.8,43.83333333,
6,23,LCOR-106,45.8,43.3,45.2,44.76666667,
7,23,LCOR-445,44.2,49.4,48.9,47.5,
8,23,LCOR-401,42.7,39.4,40.6,40.9,
9,23,LCOR-291,41.3,44.5,42.9,42.9,
10,23,LCOR-207,36.7,41.1,40.2,39.33333333,
11,23,LCOR-090,33.4,36.1,34.8,34.76666667,
12,23,LCOR-015,38.4,40.1,44.7,41.06666667,
13,23,LCOR-202,34.2,34,33.6,33.93333333,
14,23,LCOR-290,37.6,39.7,37.5,38.26666667,
15,23,LCOR-333,32.1,26.2,24.9,27.73333333,
16,23,LCOR-1155,32.8,24.3,32.5,29.86666667,
1,24,LCOR-489,46,43.5,43.4,44.3,
2,24,LCOR-178,40.8,44.3,44.3,43.13333333,
3,24,LCOR-367,44.1,44,40.7,42.93333333,
4,24,LCOR-608,39.3,38.3,36,37.86666667,
5,24,LCOR-229,40.6,38.9,40.7,40.06666667,
6,24,LCOR-503,35.6,41.2,40.8,39.2,
7,24,LCOR-339,39.7,39.5,44,41.06666667,
8,24,LCOR-348,36.8,38.9,38.7,38.13333333,
9,24,LCOR-182,29.4,32.1,32.7,31.4,
10,24,LCOR-546,40,37.3,44.6,40.63333333,
11,24,LCOR-212,34.6,33,35.3,34.3,
12,24,LCOR-404,39.4,40.8,42.2,40.8,
13,24,LCOR-084,30.8,35.5,38,34.76666667,
14,24,LCOR-309,34.4,32,31.2,32.53333333,
15,24,LCOR-318,23.4,25.8,22.6,23.93333333,
16,24,LCOR-1162,32.9,34.3,34.3,33.83333333,
1,25,LCOR-214,40,41.6,39.2,40.26666667,
2,25,LCOR-192,38.1,37.2,36,37.1,
3,25,LCOR-130,40.2,44.4,46.3,43.63333333,
4,25,LCOR-606,34.9,40,38.2,37.7,
5,25,LCOR-022,44,47.1,42.5,44.53333333,
6,25,LCOR-434,32.6,35.3,39.2,35.7,
7,25,LCOR-160,41.5,41.2,37.8,40.16666667,
8,25,LCOR-199,37.4,43.5,40.2,40.36666667,
9,25,LCOR-506,38.6,38.9,41.9,39.8,
10,25,LCOR-049,39.7,41.3,39.4,40.13333333,
11,25,LCOR-065,37.5,33.2,32.7,34.46666667,
12,25,LCOR-055,35.3,36.5,36.3,36.03333333,
13,25,LCOR-448,32.2,38.7,34.3,35.06666667,
14,25,LCOR-379,33.8,34.7,38.2,35.56666667,
15,25,LCOR-301,36.8,40.8,41.1,39.56666667,
16,25,LCOR-1180,42.4,41,42.2,41.86666667,
1,26,LCOR-462,42.8,42.6,42.4,42.6,
2,26,LCOR-293,39.3,42.8,41.1,41.06666667,
3,26,LCOR-605,34.1,41.4,41.9,39.13333333,
4,26,LCOR-170,44.1,38.3,38.1,40.16666667,
5,26,LCOR-487,37.3,38.7,36.4,37.46666667,
6,26,LCOR-278,37.5,34.4,38.1,36.66666667,
7,26,LCOR-613,43.2,42.6,40.4,42.06666667,
8,26,LCOR-300,35.8,44,42.6,40.8,
9,26,LCOR-341,41,44.3,45.2,43.5,
10,26,LCOR-095,31.8,27.2,32.7,30.56666667,
11,26,LCOR-361,41.1,38,40,39.7,
12,26,LCOR-387,40.3,41,42.2,41.16666667,
13,26,LCOR-356,37.1,34.9,36.7,36.23333333,
14,26,LCOR-484,41.5,42,38.7,40.73333333,
15,26,LCOR-508,30.9,37.4,39.5,35.93333333,
16,26,LCOR-1178,32.1,39.1,41.2,37.46666667,
1,27,LCOR-533,35,38.1,49.8,40.96666667,
2,27,LCOR-441,32.5,33,38.4,34.63333333,
3,27,LCOR-126,43.5,37,40.1,40.2,
4,27,LCOR-399,39.3,38.2,41.2,39.56666667,
5,27,LCOR-323,44.6,43.4,41.1,43.03333333,
6,27,LCOR-061,46.3,45.3,42.5,44.7,insect damage
7,27,LCOR-197,42.3,50.6,49.9,47.6,
8,27,LCOR-373,46,45.4,47.2,46.2,
9,27,LCOR-206,34.3,34.1,36.2,34.86666667,
10,27,LCOR-322,43.1,46.5,43.1,44.23333333,
11,27,LCOR-048,41.6,44.7,46.3,44.2,
12,27,LCOR-175,39.9,40.3,41.3,40.5,
13,27,LCOR-295,44.6,41,41.2,42.26666667,
14,27,LCOR-388,35.7,35.1,35.8,35.53333333,
15,27,LCOR-429,40.6,39.2,42.3,40.7,
16,27,LCOR-1016,31.2,37.7,42.1,37,
1,28,LCOR-537,50.8,43.3,43.5,45.86666667,
2,28,LCOR-276,45.3,45.1,43.1,44.5,
3,28,LCOR-086,44.1,40.3,40.1,41.5,
4,28,LCOR-425,41.7,44.8,42.1,42.86666667,
5,28,LCOR-596,46.9,46.5,41.7,45.03333333,
6,28,LCOR-227,38.7,45.4,49.3,44.46666667,
7,28,LCOR-335,47,47.9,41,45.3,
8,28,LCOR-128,42.3,43.6,41.1,42.33333333,
9,28,LCOR-551,38.3,43.4,42.6,41.43333333,
10,28,LCOR-337,39.6,34.6,42.3,38.83333333,
11,28,LCOR-096,40.2,45.5,40.5,42.06666667,
12,28,LCOR-405,39.5,41.6,40.9,40.66666667,
13,28,LCOR-559,33.7,36.4,36.1,35.4,
14,28,LCOR-1018,30.9,34,37.6,34.16666667,
15,28,LCOR-083,38.6,47.4,47.3,44.43333333,
16,28,LCOR-1020,40.6,43.1,43.6,42.43333333,
1,29,LCOR-024,47.1,45.8,53.7,48.86666667,
2,29,LCOR-557,39.3,42.4,46.3,42.66666667,
3,29,LCOR-297,41.9,39.9,41.3,41.03333333,
4,29,LCOR-381,42.7,38.6,38.9,40.06666667,
5,29,LCOR-382,43.7,41.9,40.9,42.16666667,
6,29,LCOR-185,36.6,37.7,37.9,37.4,
7,29,LCOR-044,41.7,45.7,49.2,45.53333333,
8,29,LCOR-600,44.5,46.5,49.6,46.86666667,
9,29,LCOR-127,37.9,37.2,42.9,39.33333333,
10,29,LCOR-1048,37.6,38.8,37.2,37.86666667,
11,29,LCOR-1054,45.2,43.7,39,42.63333333,
12,29,LCOR-1049,45,50,50.1,48.36666667,
13,29,LCOR-1103,46.1,39.9,43.8,43.26666667,
14,29,LCOR-1122,48.9,45.1,46.4,46.8,
15,29,LCOR-1124,42,40,45,42.33333333,
16,29,LCOR-1134,41.7,46,44.5,44.06666667,
1,30,LCOR-424,42.8,50.3,45.7,46.26666667,
2,30,LCOR-1025,40.3,40.4,49.3,43.33333333,
3,30,LCOR-583,38.5,36.9,39.1,38.16666667,
4,30,LCOR-093,27.3,22,38.8,29.36666667,
5,30,LCOR-281,37.9,36.9,36.1,36.96666667,
6,30,LCOR-1073,41.5,44.5,46.5,44.16666667,
7,30,LCOR-1082,42.4,44.6,41.9,42.96666667,
8,30,LCOR-1095,35.7,35.7,36.5,35.96666667,
9,30,LCOR-1244,32.6,36.4,34.3,34.43333333,
10,30,LCOR-1052,41.7,44,41.3,42.33333333,
11,30,LCOR-1202,35.9,44,47.3,42.4,
12,30,LCOR-1210,37.1,44.6,44.3,42,
13,30,LCOR-1154,40.4,39.9,41.8,40.7,
14,30,LCOR-1099,36.1,37.8,37.6,37.16666667,
15,30,LCOR-1140,41.5,42.5,40.5,41.5,
16,30,LCOR-1161,40.2,45.7,47.9,44.6,
1,44,LCOR-1028,51.1,42.9,46.3,46.76666667,
