SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
9,10:20:02,8/15/22,Auto gsw+F,LI-COR Default,,9,LCOR-494,11,0.516425,2.916944,0.438747,7.284369,1.806462,1.601728,3.441825,1.635363,15.83921,17.863787,34.035603,0.441786,PSF-00336_20220815102002,0,0,0,222.839355,332.72757,0.330265,0.5,0.8,227.415848,53.45,47.39,26.03,26.34,101.12,156.1,154.7,0.9,1721,4.083,10:10:11,8/15/22,-0.46,0.001,0.002,0.008,-0.332,0.762,0.57,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,318.592773,25,-10.301954,317.476257,318.010315,-0.534058,2.461561,2.458146,1.656843,0.925994,0.261796,0.00306,0.198081,1.674688,222.839355,0.00225,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815102002,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
10,10:20:51,8/15/22,Auto gsw+F,LI-COR Default,,10,LCOR-494,14,0.664607,2.917895,0.541313,6.06601,1.788351,1.617952,2.895354,1.107003,15.999127,17.684124,28.63073,0.441786,PSF-00336_20220815102051,0,0,0,100.515244,400.128906,0.748793,0.5,0.8,38.836464,52.52,47.52,26.15,23.44,101.13,156.2,154.7,1,130,4.081,10:20:35,8/15/22,-0.49,-0.001,-0.002,0.011,-0.053,0.193,0.72,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,389.088745,25,-7.651212,403.107056,389.198486,13.908569,2.461701,2.456882,1.657851,0.925997,0.260489,-0.032492,0.202141,0.224875,100.515244,0.002207,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815102051,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
11,10:21:42,8/15/22,Auto gsw+F,LI-COR Default,,11,LCOR-439,11,0.739978,2.918812,0.59032,6.602776,1.793064,1.607728,2.897957,1.104893,15.897913,17.730598,28.65626,0.441786,PSF-00336_20220815102142,0,0,0,94.667313,332.271759,0.715091,0.5,0.8,149.66423,52.41,46.99,26.23,23.45,101.13,156.3,155.3,0.7,523,4.081,10:20:35,8/15/22,-0.49,-0.004,-0.004,0.009,1.569,0.829,0.294,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,295.346985,25,-25.609852,295.234314,295.685822,-0.451508,2.460954,2.456697,1.658824,0.927473,0.259635,-0.033304,0.206225,0.58334,94.667313,0.002191,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815102142,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
12,10:22:30,8/15/22,Auto gsw+F,LI-COR Default,,12,LCOR-439,13,0.753631,2.915728,0.598846,6.549124,1.764068,1.579739,2.844815,1.080747,15.621337,17.444084,28.131109,0.441786,PSF-00336_20220815102230,0,0,0,99.761009,426.119507,0.765885,0.5,0.8,41.316921,51.44,46.06,26.27,23.15,101.13,156,155.1,0.6,135,4.079,10:20:35,8/15/22,-0.49,-0.001,0.001,0.01,-0.355,-0.303,-0.406,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,412.288788,25,-9.223779,422.932861,412.942535,9.990326,2.459672,2.455361,1.655558,0.926996,0.259228,-0.03731,0.210009,0.229614,99.761009,0.002216,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815102230,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
13,10:23:35,8/15/22,Auto gsw+F,LI-COR Default,,13,LCOR-378,12,0.739088,2.916664,0.589666,6.467687,1.749573,1.567679,2.833426,1.083853,15.505075,17.304087,28.023891,0.441786,PSF-00336_20220815102335,0,0,0,95.435501,339.780243,0.719126,0.5,0.8,226.651123,50.85,45.56,26.33,23.08,101.11,156.1,154.3,1.1,788,4.078,10:20:35,8/15/22,-0.49,0.006,0.001,0.013,-0.237,0.101,0.974,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,326.421631,25,-9.003036,333.721527,326.91861,6.802917,2.458963,2.45453,1.656547,0.925172,0.258643,-0.038752,0.215254,0.824433,95.435501,0.002188,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815102335,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
14,10:24:27,8/15/22,Auto gsw+F,LI-COR Default,,14,LCOR-378,14,0.680641,2.915915,0.551831,8.111356,1.821464,1.593367,3.27027,1.448807,15.758593,18.014494,32.343365,0.441786,PSF-00336_20220815102427,0,0,0,116.038445,233.087326,0.502168,0.5,0.8,302.245911,52.95,46.32,26.33,25.47,101.11,156,154.1,1.2,1505,4.076,10:20:35,8/15/22,-0.49,0.004,0.003,0.014,-0.332,-2.312,-5.38,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,210.064178,25,-16.703505,206.309799,209.224884,-2.915085,2.460006,2.457411,1.655757,0.924463,0.258681,-0.010814,0.219625,1.477264,116.038445,0.002177,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815102427,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
15,10:25:47,8/15/22,Auto gsw+F,LI-COR Default,,15,-,-,0.030598,2.915283,0.03028,0.517218,1.632355,1.617773,3.31749,1.685134,15.997205,16.141397,32.804695,0.441786,PSF-00336_20220815102547,0,0,0,84.030746,172.40329,0.512592,0.5,0.8,31.508556,47.2,46.78,26.42,25.71,101.13,155.9,152.9,1.9,154,4.075,10:20:35,8/15/22,-0.49,0.001,0,-9999,0.873,1.877,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,168.666595,25,-2.37983,169.722321,169.003494,0.718826,2.460615,2.449469,1.65509,0.921563,0.257755,-0.009038,0.226244,0.246742,84.030746,0.002177,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815102547,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
16,10:26:16,8/15/22,Auto gsw+F,LI-COR Default,,16,-,-,0.033205,2.918199,0.032831,0.666231,1.596934,1.578187,3.596462,1.999527,15.605375,15.790751,35.562408,0.441786,PSF-00336_20220815102616,0,0,0,134.29248,182.223419,0.263034,0.5,0.8,133.620712,46.05,45.51,26.46,27.08,101.13,156.3,149.8,4.1,1270,4.074,10:20:35,8/15/22,-0.49,0,0,0,-2.353,-3.943,-9.05,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,175.861008,25,-4.841754,174.041031,175.306549,-1.265518,2.458856,2.447855,1.658172,0.913958,0.257274,0.006748,0.228536,1.263489,134.29248,0.002839,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815102616,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
17,10:27:03,8/15/22,Auto gsw+F,LI-COR Default,,17,-,-,0.295966,2.916529,0.268699,4.084933,1.696243,1.581259,3.196524,1.50028,15.635633,16.77261,31.607515,0.441786,PSF-00336_20220815102703,0,0,0,210.96933,373.240143,0.434762,0.5,0.8,218.722656,48.8,45.49,26.5,25.09,101.13,156.1,153.7,1.5,1258,4.073,10:20:35,8/15/22,-0.49,0.001,0.002,0.008,-2.13,0.064,16.333,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,351.271759,25,-16.397018,347.341431,349.815552,-2.474121,2.458821,2.451658,1.656404,0.92349,0.256868,-0.017458,0.232146,1.252303,210.96933,0.002194,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815102703,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
18,10:28:07,8/15/22,Auto gsw+F,LI-COR Default,,18,-,-,0.436221,2.914588,0.379432,6.190136,1.749604,1.575185,3.357862,1.608259,15.575227,17.299854,33.202106,0.441786,PSF-00336_20220815102807,0,0,0,125.507713,249.036041,0.496026,0.5,0.8,279.306549,50.16,45.16,26.56,25.92,101.13,155.8,135.4,13.1,1408,4.072,10:20:35,8/15/22,-0.49,0,0.002,0.004,-1.498,-2.611,-9.731,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,228.605392,25,-14.193235,228.607178,228.75975,-0.152573,2.45836,2.453531,1.654358,0.878785,0.256297,-0.008331,0.237001,1.38893,125.507713,0.002265,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815102807,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
19,10:29:28,8/15/22,Auto gsw+F,LI-COR Default,,19,LCOR-1239,10,0.39036,2.916235,0.344276,6.863505,1.760052,1.566946,3.721471,1.961419,15.494945,17.404505,36.800247,0.441786,PSF-00336_20220815102928,0,0,0,209.524155,325.494324,0.356289,0.5,0.8,255.382782,50.49,44.95,26.55,27.67,101.13,156,154.9,0.7,1792,4.07,10:20:35,8/15/22,-0.49,0.004,0.002,0.007,-7.07,-0.362,-11.566,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,311.599731,25,-9.924319,311.956299,311.316559,0.63974,2.458068,2.453982,1.656094,0.926517,0.256386,0.012749,0.243153,1.738896,209.524155,0.002239,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815102928,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
20,10:30:27,8/15/22,Auto gsw+F,LI-COR Default,,20,LCOR-1239,13,0.401713,2.918583,0.353111,6.578416,1.756298,1.571535,3.590585,1.834288,15.53933,17.366262,35.503685,0.441786,PSF-00336_20220815103027,0,0,0,209.263794,329.809692,0.365501,0.5,0.8,264.209686,50.51,45.2,26.51,27.05,101.13,156.3,155.2,0.7,1807,4.065,10:20:35,8/15/22,-0.49,0,-0.001,0.009,-1.523,-3.197,-7.296,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,313.301331,25,-11.67567,313.357483,313.129974,0.227509,2.458424,2.454027,1.658581,0.927259,0.256838,0.005898,0.247621,1.752751,209.263794,0.001879,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815103027,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
21,10:35:09,8/15/22,Auto gsw+F,LI-COR Default,,21,LCOR-371,12,0.505253,2.91708,0.430661,5.754797,1.763682,1.601876,3.08268,1.318998,15.83969,17.439665,30.482199,0.441786,PSF-00336_20220815103509,0,0,0,107.395294,405.562439,0.735194,0.5,0.8,48.979599,50.2,45.59,26.68,24.48,101.13,156.1,155.1,0.7,167,4.063,10:33:40,8/15/22,-0.47,0,0.002,0.016,-1.26,-1.023,-16.786,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,382.663971,25,-15.729316,386.365784,383.091705,3.274078,2.458924,2.453518,1.656987,0.927096,0.255035,-0.026736,0.267987,0.258474,107.395294,0.001998,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815103509,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
22,10:36:54,8/15/22,Auto gsw+F,LI-COR Default,,22,LCOR-234,13,0.719879,2.917756,0.577417,8.96722,1.858634,1.606871,3.388487,1.529853,15.888576,18.377977,33.505005,0.441786,PSF-00336_20220815103654,0,0,0,172.324417,327.979004,0.474587,0.5,0.8,324.14032,52.68,45.54,26.76,26.07,101.13,156.2,155.6,0.4,1707,4.06,10:33:40,8/15/22,-0.47,-0.002,-0.001,-0.034,-0.103,1.364,25.58,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,296.343323,25,-24.367487,287.961975,293.167877,-5.205902,2.458838,2.456898,1.657702,0.928418,0.25431,-0.008863,0.27557,1.661956,172.324417,0.002676,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815103654,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
23,10:37:55,8/15/22,Auto gsw+F,LI-COR Default,,23,LCOR-461,10,0.377101,2.916217,0.333921,6.549269,1.788906,1.604668,3.71855,1.929645,15.866049,17.687681,36.766914,0.441786,PSF-00336_20220815103755,0,0,0,140.416138,288.258179,0.512881,0.5,0.8,329.719635,50.63,45.42,26.78,27.65,101.14,156,155.5,0.3,1607,4.058,10:33:40,8/15/22,-0.47,0.002,0.003,0.003,2.035,1.551,26.342,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,258.481262,25,-21.616407,253.091095,257.377228,-4.286133,2.458658,2.454087,1.656075,0.928007,0.254069,0.009824,0.279492,1.57061,140.416138,0.001773,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815103755,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
24,10:40:04,8/15/22,Auto gsw+F,LI-COR Default,,24,LCOR-519,10,0.500955,2.918044,0.427555,7.646387,1.859977,1.645334,3.619777,1.7598,16.267771,18.389984,35.789505,0.441786,PSF-00336_20220815104004,0,0,0,176.265472,276.270203,0.361982,0.5,0.8,287.0914,52.49,46.43,26.83,27.19,101.14,156.2,155.8,0.3,1983,4.055,10:33:40,8/15/22,-0.47,-0.001,0,-0.053,-1.747,-1.543,46.576,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,249.582047,25,-20.439718,241.698868,247.070251,-5.371384,2.460045,2.456623,1.658009,0.928883,0.253576,0.003677,0.287952,1.91269,176.265472,0.001773,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815104004,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
25,10:41:46,8/15/22,Auto gsw+F,LI-COR Default,,25,LCOR-112,13,0.809874,2.918139,0.633937,11.733744,1.946766,1.617708,3.765893,1.819127,15.995061,19.248608,37.235188,0.441786,PSF-00336_20220815104146,0,0,0,124.2882,211.758987,0.413068,0.5,0.8,326.437439,54.71,45.46,26.9,27.87,101.14,156.3,155.3,0.6,1976,4.054,10:33:40,8/15/22,-0.47,0.002,0,0.009,-0.2,-0.552,-1.646,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,193.650131,25,-12.883371,191.731094,193.353943,-1.622849,2.458686,2.459621,1.658109,0.927663,0.252842,0.010976,0.294275,1.906236,124.2882,0.002736,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815104146,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
26,10:43:10,8/15/22,Auto gsw+F,LI-COR Default,,26,-,-13,0.291258,2.917417,0.26482,6.230395,1.792874,1.617807,4.10262,2.309747,15.998488,17.729719,40.570797,0.441786,PSF-00336_20220815104310,0,0,0,121.119263,199.034637,0.391466,0.5,0.8,207.030853,50.06,45.17,27.01,29.34,101.12,156.2,154.9,0.8,1322,4.052,10:33:40,8/15/22,-0.47,0,0.002,0.004,-1.076,-3.541,-12.172,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,180.61673,25,-13.674215,176.339142,179.499802,-3.16066,2.458266,2.453242,1.657344,0.926434,0.251755,0.027738,0.299289,1.310991,121.119263,0.001735,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220815104310,PFA-00364,PSA-00381,PSF-00336,RHS-00170,1.0.0,2021-01-19T12:57:14.097Z
