Chaney,Measured,"January 27th, February 1st, February 8th",,,,,
row,column,ID,construct,event,DBH,H,
7,44,LCOR-1129,wt,NA,,,
8,44,LCOR-1136,wt,NA,,,
9,44,LCOR-1151,wt,NA,,,
10,44,LCOR-1159,wt,NA,,,
11,44,LCOR-1160,wt,NA,,,
12,44,LCOR-1193,wt,NA,,,
13,44,LCOR-1249,wt,NA,,,
14,44,LCOR-1261,wt,NA,,,
15,44,LCOR-1237,wt,NA,,,
16,44,LCOR-1135,wt,NA,,,
1,45,LCOR-1039,wt,NA,,,
2,45,LCOR-599,CT717,CT717 1,,,
3,45,LCOR-316,LC102,LC-102 16-20,,,
4,45,LCOR-100,LC102,LC-102 16-20,,,
5,45,LCOR-304,LC102,LC-102 13-15E,,,
6,45,LCOR-494,CT717,CT717 3,,,
7,45,LCOR-439,LC102,LC-102 1,,,
8,45,LCOR-378,LC102,LC-102 5,,,
9,45,LCOR-595,CT717,CT717 1,,,
10,45,LCOR-1239,wt,NA,,,
11,45,LCOR-371,LC102,LC-102 5,,,
12,45,LCOR-234,LC102,LC-102 4A,,,
13,45,LCOR-461,LC102,LC-102 2H,,,
14,45,LCOR-519,LC102,LC-102 5,,,
15,45,LCOR-1226,wt,NA,,,
16,45,LCOR-1027,wt,NA,,,
1,46,LCOR-1042,wt,NA,,,
2,46,LCOR-112,LC102,LC-102 16-20,,,
3,46,LCOR-190,LC102,LC-102 13-15B,,,
4,46,LCOR-313,LC102,LC-102 16-20,,,
5,46,LCOR-446,LC102,LC-102 1,,,
6,46,LCOR-032,LC102,LC-102 5C,,,
7,46,LCOR-492,CT717,CT717 3,,,
8,46,LCOR-311,LC102,LC-102 16-20,,,
9,46,LCOR-523,LC102,LC-102 5,,,
10,46,LCOR-432,LC102,LC-102 4B,,,
11,46,LCOR-025,LC102,LC-102 4B,,,
12,46,LCOR-538,LC102,LC-102 4A,,,
13,46,LCOR-102,LC102,LC-102 16-20,,,
14,46,LCOR-155,LC102,LC-102 5A,,,
15,46,LCOR-490,LC102,LC-102 1C,,,
16,46,LCOR-1255,wt,NA,,,
1,47,LCOR-1079,wt,NA,,,
2,47,LCOR-374,LC102,LC-102 5,,,
3,47,LCOR-521,LC102,LC-102 5,,,
4,47,LCOR-232,LC102,LC-102 4A,,,
5,47,LCOR-315,LC102,LC-102 16-20,,,
6,47,LCOR-419,LC102,LC-102 8-9D,,,
7,47,LCOR-365,LC102,LC-102 5,,,
8,47,LCOR-480,LC102,LC-102 1C,,,
9,47,LCOR-433,LC102,LC-102 4B,,,
10,47,LCOR-453,LC102,LC-102 2H,,,
11,47,LCOR-223,LC102,LC-102 2H,,,
12,47,LCOR-359,LC102,LC-102 1,,,
13,47,LCOR-216,LC102,LC-102 2H,,,
14,47,LCOR-159,LC102,LC-102 5A,,,
15,47,LCOR-426,LC102,LC-102 4B,,,
16,47,LCOR-1068,wt,NA,,,
1,48,LCOR-1083,wt,NA,,,
2,48,LCOR-113,CT717,CT717 1,,,
3,48,LCOR-505,LC102,LC-102 16-20,,,
4,48,LCOR-153,LC102,LC-102 7,,,
5,48,LCOR-336,CT717,CT717 1,,,
6,48,LCOR-412,LC102,LC-102 8-9D,,,
7,48,LCOR-509,LC102,LC-102 16-20,,,
8,48,LCOR-549,LC102,LC-102 7,,,
9,48,LCOR-466,LC102,LC-102 13-15B,,,
10,48,LCOR-547,LC102,LC-102 7,,,
11,48,LCOR-598,CT717,CT717 1,,,
12,48,LCOR-464,LC102,LC-102 13-15B,,,
13,48,LCOR-555,LC102,LC-102 7,,,
14,48,LCOR-189,LC102,LC-102 13-15B,,,
15,48,LCOR-447,LC102,LC-102 1,,,
16,48,LCOR-1170,wt,NA,,,
1,49,LCOR-1113,wt,NA,,,
2,49,LCOR-1172,wt,NA,,,
3,49,LCOR-270,LC102,LC-102 5C,,,
4,49,LCOR-114,CT717,CT717 1,,,
5,49,LCOR-591,CT717,CT717 1,,,
6,49,LCOR-029,LC102,LC-102 5C,,,
7,49,LCOR-056,LC102,LC-102 1,,,
8,49,LCOR-578,LC102,LC-102 5A,,,
9,49,LCOR-586,LC102,LC-102 5A,,,
10,49,LCOR-531,LC102,LC-102 5,,,
11,49,LCOR-477,LC102,LC-102 1C,,,
12,49,LCOR-460,LC102,LC-102 2H,,,
13,49,LCOR-615,LC102,LC-102 13-15E,,,
14,49,LCOR-602,CT717,CT717 1,,,
15,49,LCOR-456,LC102,LC-102 2H,,,
16,49,LCOR-1174,wt,NA,,,
1,50,LCOR-1126,wt,NA,,,
2,50,LCOR-500,CT717,CT717 3,,,
3,50,LCOR-119,CT717,CT717 1,,,
4,50,LCOR-375,LC102,LC-102 5,,,
5,50,LCOR-208,CT717,CT717 3,,,
6,50,LCOR-457,LC102,LC-102 2H,,,
7,50,LCOR-440,LC102,LC-102 1,,,
8,50,LCOR-501,CT717,CT717 3,,,
9,50,LCOR-118,CT717,CT717 1,,,
10,50,LCOR-262,LC102,LC-102 4B,,,
11,50,LCOR-172,LC102,LC-102 1C,,,
12,50,LCOR-081,LC102,LC-102 13-15E,,,
13,50,LCOR-210,CT717,CT717 3,,,
14,50,LCOR-417,LC102,LC-102 8-9D,,,
15,50,LCOR-390,LC102,LC-102 7,,,
16,50,LCOR-1196,wt,NA,,,
1,51,LCOR-1019,wt,NA,,,
2,51,LCOR-1256,wt,NA,,,
3,51,LCOR-1167,wt,NA,,,
4,51,LCOR-219,LC102,LC-102 2H,,,
5,51,LCOR-532,LC102,LC-102 5,,,
6,51,LCOR-431,LC102,LC-102 4B,,,
7,51,LCOR-479,LC102,LC-102 1C,,,
8,51,LCOR-1030,wt,NA,,,
9,51,LCOR-108,LC102,LC-102 16-20,,,
10,51,LCOR-312,LC102,LC-102 16-20,,,
11,51,LCOR-225,LC102,LC-102 4A,,,
12,51,LCOR-329,CT717,CT717 1,,,
13,51,LCOR-478,LC102,LC-102 1C,,,
14,51,LCOR-567,LC102,LC-102 5C,,,
15,51,LCOR-413,LC102,LC-102 8-9D,,,
16,51,LCOR-1205,wt,NA,,,
1,52,LCOR-1041,wt,NA,,,
2,52,LCOR-1218,wt,NA,,,
3,52,LCOR-389,LC102,LC-102 7,,,
4,52,LCOR-246,LC102,LC-102 5A,,,
5,52,LCOR-1050,wt,NA,,,
6,52,LCOR-430,LC102,LC-102 4B,,,
7,52,LCOR-465,LC102,LC-102 13-15B,,,
8,52,LCOR-1117,wt,NA,,,
9,52,LCOR-183,LC102,LC-102 13-15B,,,
10,52,LCOR-1096,wt,NA,,,
11,52,LCOR-317,LC102,LC-102 16-20,,,
12,52,LCOR-215,LC102,LC-102 2H,,,
13,52,LCOR-187,LC102,LC-102 13-15B,,,
14,52,LCOR-1220,wt,NA,,,
15,52,LCOR-576,LC102,LC-102 5A,,,
16,52,LCOR-1243,wt,NA,,,
1,53,LCOR-1065,wt,NA,,,
2,53,LCOR-1230,wt,NA,,,
3,53,LCOR-288,LC102,LC-102 8-9D,,,
4,53,LCOR-407,LC102,LC-102 8-9D,,,
5,53,LCOR-580,LC102,LC-102 5A,,,
6,53,LCOR-566,LC102,LC-102 5C,,,
7,53,LCOR-097,LC102,LC-102 8-9D,,,
8,53,LCOR-1194,wt,NA,,,
9,53,LCOR-592,CT717,CT717 1,,,
10,53,LCOR-451,LC102,LC-102 2H,,,
11,53,LCOR-597,CT717,CT717 1,,,
12,53,LCOR-1031,wt,NA,,,
13,53,LCOR-050,LC102,LC-102 1,,,
14,53,LCOR-444,LC102,LC-102 1,,,
15,53,LCOR-1032,wt,NA,,,
16,53,LCOR-1208,wt,NA,,,
1,54,LCOR-1074,wt,NA,,,
2,54,LCOR-590,CT717,CT717 1,,,
3,54,LCOR-038,LC102,LC-102 5C,,,
4,54,LCOR-1038,wt,NA,,,
5,54,LCOR-205,CT717,CT717 3,,,
6,54,LCOR-1138,wt,NA,,,
7,54,LCOR-1252,wt,NA,,,
8,54,LCOR-1182,wt,NA,,,
9,54,LCOR-1107,wt,NA,,,
10,54,LCOR-1123,wt,NA,,,
11,54,LCOR-1133,wt,NA,,,
12,54,LCOR-1179,wt,NA,,,
13,54,LCOR-1190,wt,NA,,,
14,54,LCOR-1013,wt,NA,,,
15,54,LCOR-1251,wt,NA,,,
16,54,LCOR-1045,wt,NA,,,
1,55,LCOR-1084,wt,NA,,,
2,55,LCOR-1176,wt,NA,,,
3,55,LCOR-1055,wt,NA,,,
4,55,LCOR-1067,wt,NA,,,
5,55,LCOR-1146,wt,NA,,,
6,55,LCOR-1036,wt,NA,,,
7,55,LCOR-1157,wt,NA,,,
8,55,LCOR-1184,wt,NA,,,
9,55,LCOR-1232,wt,NA,,,
10,55,LCOR-1258,wt,NA,,,
11,55,LCOR-1012,wt,NA,,,
12,55,LCOR-1109,wt,NA,,,
13,55,LCOR-1000,wt,NA,,,
14,55,LCOR-1125,wt,NA,,,
15,55,LCOR-1130,wt,NA,,,
16,55,LCOR-1195,wt,NA,,,
