obs,time,elapsed,date,hhmmss,averaging,SPAD,Midday_WP,ID,Leaf,Response_curve,A,Ca,Qin,TIME,E,Emm,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
25,1692981459,2935.1,20230825 09:37:38,9:37:38,5,,,LCOR-231,9,Q,9.568067469,409.9581613,250.0106129,1692981451,0.002054867,2.054867459,305.9202403,30.87315906,41.37256008,0.162614722,2.943432885,0.157783546,0.099036822,41.32061044,23.87192459,23.59886129,2.923562173,54.19461993,1.638970486,3.024230981,1.284591686,-90.61965493,89.35116686,6.348954977,46.40107735,9.568067469,2.054867459,9.774241911,426.5664541,416.6297576,0.004703412,67.13169922,2.027272331,14.20430101,16.20561212,-0.001290468,78.55,5,1,1,0,53806.35089,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,210.7441048,9.568067469,#DIV/0!,0.045401353,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,210.7441048,0.842940635,0.165275426,6,0.5,0: Broadleaf,2,FALSE,1692981451,409.9581613,420.3686452,16.24045806,14.21896129,410.0254516,16.18053548,599.9996129,100.819,0.099981452,24.16192903,23.59886129,999.9,0,0,9997.476129,0,220.6260645,250.0106129,0.899978129,0.100021942,0,883.1967097,5.00022,3072.504839,2258.778387,35.25974194,39.78806452,36.95541935,38.034,37.61867742,220.5051613,24.50645161,0,1692981460,0,883.1252692,-8.810017093,-37.62564102,3072.124231,15,1692981417,9:36:57,1692981408,1692981417,26,-0.114,0.001,-0.047,0.024,421,14,0.51,0.04,100,100,-0.068,0.0592,-0.556760514,0.000439478,2.00E-06,-3.80E-10,-0.077651596,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,0.8,0.7,1.09497,2.60498,1.39771,2.27905,1.39526,2.39746,36.4107,15.3666,18,602.447,358.006,21.6799,28.7075,30,28.4226,28.7615,21.959,14.6599,0,21.68,420.81,14.0594,98.474,93.1803
26,1692981549,3025.6,20230825 09:39:09,9:39:09,5,,,LCOR-231,9,Q,3.689752386,410.2728,99.98616333,1692981541,0.002038489,2.038488647,364.6621082,36.80160459,41.40462369,0.161227385,2.944091616,0.156478024,0.098213822,16.50761159,23.56999443,23.43748333,2.89525583,53.74756948,1.609887479,2.995274939,1.285368351,-89.89734933,89.54876117,6.351239123,22.51026255,3.689752386,2.038488647,4.250616048,420.3786082,416.5581879,-0.107312869,67.15458807,1.961651059,13.92538725,15.89360848,-0.007080831,78.55,5,1,1,0,53854.74349,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,84.27325799,3.689752386,#DIV/0!,0.043783194,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84.27325799,0.842849202,0.16509896,6,0.5,0: Broadleaf,2,FALSE,1692981541,410.2728,414.7987,15.95215667,13.94627,410.2848333,15.90115,600.0250333,100.8197,0.10003849,24.00167,23.43748333,999.9,0,0,10001.152,0,222.1686667,99.98616333,0.900032167,0.09996793,0,834.6869,5.00022,1659.880667,875.7007333,33.14566667,37.93313333,35.14966667,36.23733333,35.6498,85.48966667,9.496,0,1692981551,0,834.90564,17.29338462,0.404615413,1660,15,1692981519,9:38:39,1692981519,1692981516,27,0.055,-0.004,-0.002,0.016,415,14,0.94,0.03,100,100,-0.012,0.05,-0.502042694,0.000439478,2.00E-06,-3.80E-10,-0.081433528,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,0.5,0.6,1.08398,2.60742,1.39771,2.27905,1.39526,2.55737,36.5051,15.3666,18,601.874,357.06,21.6801,28.7271,30.0002,28.4371,28.776,21.7064,16.1804,0,21.68,414.595,13.9038,98.4706,93.1786
27,1692981657,3133.1,20230825 09:40:56,9:40:56,5,,,LCOR-231,9,Q,1.58279094,409.9876667,49.98543333,1692981649,0.001952193,1.952193499,385.0020964,38.85441446,41.3759584,0.154820218,2.943981717,0.15043515,0.094405604,8.238243648,23.37700502,23.29335,2.870177212,53.60042636,1.589476999,2.965418574,1.280700213,-86.09173331,85.96901921,6.087998011,14.20352755,1.58279094,1.952193499,1.92660873,417.9718425,416.4897455,-0.103179756,67.14652498,1.919453799,13.73871426,15.68170848,-0.010044641,78.55,5,1,1,0,53881.75911,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,42.12277358,1.58279094,#DIV/0!,0.037575658,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,42.12277358,0.842700978,0.164812888,6,0.5,0: Broadleaf,2,FALSE,1692981649,409.9876667,412.3707667,15.74987,13.82847667,409.9037,15.69791,600.0166667,100.82,0.10000752,23.83500333,23.29335,999.9,0,0,10000.49733,0,223.2190667,49.98543333,0.899895233,0.100104713,0,807.5512667,5.00022,1214.842333,414.7128,33.77266667,39.25383333,36.3539,37.729,36.1955,40.48166667,4.5,0,1692981658,0,807.5118077,-10.26184615,-29.2047863,1214.882308,15,1692981628,9:40:27,1692981625,1692981628,28,0.097,0.005,0.089,0.017,413,14,1.72,0.06,100,100,0.084,0.0506,-0.405229342,0.000439478,2.00E-06,-3.80E-10,-0.076729574,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,0.5,0.5,1.07788,2.59766,1.39771,2.27783,1.39526,2.64893,36.6469,15.3579,18,601.864,356.045,21.6801,28.7308,30,28.4468,28.7856,21.586,18.3125,0,21.68,411.87,13.6763,98.4736,93.1836
43,1692983578,5054.1,20230825 10:12:57,10:12:57,5,,,LCOR-040,6,Q,2.253403118,406.5113667,1499.964667,1692983570,8.42E-05,0.084197537,-171.5591366,-17.3151893,41.02854214,0.006270758,2.943784858,0.006263346,0.003915257,241.7311852,26.31717986,25.65910333,3.3067896,62.75284794,1.985591679,3.164145922,1.321197921,-3.713111374,-117.6339771,-8.477115782,111.9069809,2.253403118,0.084197537,0.119146017,417.4597011,416.9884485,0.076808496,67.14591256,0.108616777,19.66584931,19.7037897,0.012866615,78.55,3,0,1,0,53680.32657,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.18111,2.253403118,#DIV/0!,0.00178674,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1261.18111,0.840807212,0.16115792,6,0.5,0: Broadleaf,2,FALSE,1692983570,406.5113667,408.7989667,19.67327,19.59073,406.5983667,19.54327,600.0079667,100.8284333,0.099967453,24.91789333,25.65910333,999.9,0,0,9998.541667,0,1051.288667,1499.964667,0.973003333,0.02699698,0,584.3645333,5.00022,10105.67667,14098.89,34.9331,40.37883333,36.2269,39.1873,37.031,1454.605,40.35966667,0,1692983579,0,584.2819615,-17.42417097,-249.5213677,10104.03462,15,1692983601,10:13:21,1692983601,1692983595,44,-1.771,0.043,-0.087,0.13,410,20,1.05,0.39,100,100,-0.087,0.13,1.194942544,0.000439478,2.00E-06,-3.80E-10,0.086977789,0,0,0,23,2006,0,18,5.5,5.6,1.0791,2.63306,1.39771,2.27783,1.39526,2.47925,39.1924,15.0602,18,604.31,343.434,21.6812,30.1478,30.0004,29.8212,30.1705,21.6205,10.5797,0,21.68,409.497,19.7613,98.2566,92.9533
44,1692983701,5177.1,20230825 10:15:00,10:15:00,5,,,LCOR-040,6,Q,1.953866209,409.8607333,999.9723667,1692983693,8.89E-05,0.088912917,-70.85416722,-7.151528931,41.36850389,0.006560309,2.944269911,0.006552199,0.004095852,161.899736,26.09279834,25.67446,3.309803383,61.53946142,1.976012217,3.210967681,1.333791165,-3.921059654,-80.96998586,-5.841698728,71.16699177,1.953866209,0.088912917,1.853975101,420.0288191,418.1546061,-0.003657702,67.13355588,0.203924882,19.5675337,19.68513576,0.015464606,78.55,4,1,1,0,53650.24597,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,841.1706462,1.953866209,#DIV/0!,0.002322794,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,841.1706462,0.841193891,0.16190421,6,0.5,0: Broadleaf,2,FALSE,1692983693,409.8607333,411.8510667,19.57745,19.49027667,409.9704667,19.46669667,599.9924,100.8331,0.0999744,25.16435333,25.67446,999.9,0,0,10000.83667,0,1054.192,999.9723667,0.960004267,0.039995433,0,546.4041333,5.00022,6700.596,9345.984667,36.88733333,41.76846667,38.33936667,40.91853333,38.88726667,955.1783333,39.79533333,0,1692983702,0,546.34988,-5.085307698,-21.56923081,6700.2908,15,1692983673,10:14:32,1692983673,1692983668,45,-0.023,-0.019,-0.106,0.111,412,19,0.68,0.25,100,100,-0.109,0.1108,-0.598985211,0.000439478,2.00E-06,-3.80E-10,0.11076,0,0,0,23,2006,0,18,0.5,0.5,1.08032,2.62329,1.39771,2.27783,1.39526,2.64893,39.4416,15.0602,18,604.067,342.695,21.6821,30.1993,29.9999,29.892,30.2405,21.6662,11.3768,0,21.68,411.961,19.78,98.2598,92.95
45,1692983761,5237.6,20230825 10:16:01,10:16:01,5,,,LCOR-040,6,Q,1.859670444,409.9016333,500.0230333,1692983753,0.00046275,0.462749592,317.3888493,32.03545545,41.37317849,0.035272965,2.943976296,0.035039852,0.021920723,82.09653304,25.50045645,25.31723,3.240313998,60.56173048,1.94155273,3.205906956,1.298761268,-20.407257,-28.46776805,-2.050093325,31.17141465,1.859670444,0.462749592,2.276628865,419.9272736,417.8163394,-0.045988509,67.13355588,0.384599928,18.76288605,19.17946788,-0.007395983,78.55,3,0,1,0,53646.44947,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,421.2073568,1.859670444,#DIV/0!,0.004415095,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,421.2073568,0.842375908,0.164185503,6,0.5,0: Broadleaf,2,FALSE,1692983753,409.9016333,411.9509333,19.23578667,18.78195,410.0166333,19.13678667,600.0153,100.8343667,0.100040827,25.13786667,25.31723,999.9,0,0,9999.041667,0,1064.696333,500.0230333,0.920001533,0.07999846,0,566.1504667,5.00022,3920.048333,4592.421,36.30393333,41.36226667,37.79966667,39.63306667,38.5872,455.423,39.60033333,0,1692983763,0,566.2097308,6.818564109,-1.813675309,3919.830385,15,1692983791,10:16:30,1692983791,1692983780,46,-0.009,-0.011,-0.115,0.099,412,19,1.36,0.32,100,100,-0.115,0.099,-0.598985211,0.000439478,2.00E-06,-3.80E-10,0.11076,0,0,0,23,2006,0,18,1.5,1.6,1.08032,2.62085,1.39771,2.27905,1.39526,2.63672,39.5416,15.0602,18,605.071,341.861,21.6804,30.2088,30.0002,29.9126,30.2619,21.6488,15.9694,0,21.68,412.133,18.8542,98.2668,92.9548
46,1692983852,5328.6,20230825 10:17:32,10:17:32,5,,,LCOR-040,6,Q,1.475269262,410.0901,250.0059667,1692983844,0.000386664,0.38666364,322.3386434,32.53571087,41.39302934,0.029621961,2.9442393,0.029457384,0.018425575,41.31951408,25.17896201,25.09704333,3.198120617,59.83586297,1.90671198,3.186570538,1.291408636,-17.05186654,-9.637546127,-0.692859042,13.93724238,1.475269262,0.38666364,1.902383514,419.5021439,417.6941091,-0.028599921,67.12951603,0.352550907,18.46993123,18.85135152,-0.006672693,78.55,3,0,1,0,53672.46827,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,210.7400181,1.475269262,#DIV/0!,0.007000423,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,210.7400181,0.842939954,0.165274112,6,0.5,0: Broadleaf,2,FALSE,1692983844,410.0901,411.7238667,18.89022667,18.51088333,410.1171,18.79522667,600.0255333,100.8364,0.100026753,25.03632667,25.09704333,999.9,0,0,10000.33533,0,1072.002333,250.0059667,0.899999,0.100001,0,679.6226,5.00022,2721.065667,2258.750667,34.59566667,39.8248,36.3914,37.50393333,37.02473333,220.5036667,24.5,0,1692983854,0,679.84372,32.27192303,51.10846144,2721.52,15,1692983893,10:18:12,1692983893,1692983876,47,0.089,-0.004,-0.027,0.095,412,18,1.94,0.42,100,100,-0.027,0.095,-0.608465454,0.000439478,2.00E-06,-3.80E-10,0.099471429,0,0,0,23,2006,0,18,1,1.2,1.0791,2.63428,1.39771,2.27783,1.39526,2.59033,39.5917,15.0514,18,605.036,341.099,21.6809,30.2202,30.0002,29.9385,30.2865,21.6254,17.5683,0,21.68,412.03,18.4079,98.2667,92.9562
47,1692983964,5440.1,20230825 10:19:23,10:19:23,5,,,LCOR-040,6,Q,0.179227893,411.1471667,99.98505,1692983960,8.78E-05,0.087777845,359.241283,36.26148065,41.50081222,0.006573911,2.947712893,0.006565777,0.00410434,16.5072517,24.98606195,24.97961667,3.175815583,58.80551907,1.860023571,3.163008507,1.315792012,-3.871002959,-10.76663335,-0.772178143,1.097437245,0.179227893,0.087777845,2.649091518,419.022631,418.0274303,-0.374538574,67.04515841,0.643519003,18.3412489,18.60804121,0.068651077,78.3215578,15,2,1,0,53796.74117,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,84.27222838,0.179227893,#DIV/0!,0.002126773,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84.27222838,0.84284829,0.165097199,6,0.5,0: Broadleaf,2,FALSE,1692983960,411.1471667,411.3624167,18.42719167,18.34105833,411.1625,18.340525,600.1881667,100.841,0.098068983,24.91186667,24.97961667,999.9,0,0,10019.64167,0,1080.580833,99.98505,0.900038833,0.09996095,0,716.9256667,5.00022,1701.225,875.6914167,33.03616667,38.61975,35.02583333,36.375,35.5465,85.48833333,9.4925,0,1692983965,0,714.81376,31.46923082,23.57615375,1699.8496,15,1692983958,10:19:17,1692983957,1692983958,48,0.014,-0.005,-0.014,0.09,411,18,0.7,0.3,100,100,-0.016,0.0905,-0.505864146,0.000439478,2.00E-06,-3.80E-10,0.09045,0,0,0,23,2006,0,18,0.1,0.1,1.07666,2.62451,1.39771,2.27783,1.39526,2.60986,39.7925,15.0339,18,590.753,338.175,21.6802,30.2694,30.0003,30.0096,30.3665,21.5851,17.8601,0,21.68,411.261,18.3342,98.2613,92.9508
48,1692984026,5502.6,20230825 10:20:26,10:20:26,5,,,LCOR-040,6,Q,0.182663331,410.5805455,49.91573636,1692984023,9.81E-05,0.098051871,362.7299612,36.61401024,41.44405454,0.007384278,2.944037648,0.007374004,0.004609674,8.226843405,24.89063379,24.9449,3.169247292,58.97551371,1.860489976,3.154682103,1.308757316,-4.324087513,-12.25454643,-0.87963832,-9.231428861,0.182663331,0.098051871,1.446451416,418.4986363,417.9054242,-0.193490561,67.04631902,0.588173834,18.3356812,18.59599636,0.059628717,78.3234007,15,3,1,0,53697.07315,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,42.06408481,0.182663331,#DIV/0!,0.004342501,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,42.06408481,0.842701879,0.164814626,6,0.5,0: Broadleaf,2,FALSE,1692984023,410.5805455,410.8033636,18.43161818,18.33541818,410.5639091,18.33785455,600.2782727,100.8420909,0.0980413,24.86769091,24.9449,999.9,0,0,9998.624545,0,1085.838182,49.91573636,0.899892636,0.100107345,0,720.5732727,5.00022,1310.513636,414.0698182,32.36354545,38.187,34.50563636,35.89190909,34.95418182,40.41909091,4.495454545,0,1692984028,0,720.43096,2.544615378,-20.55461536,1312.1632,15,1692984021,10:20:20,1692984021,1692984016,49,0.044,0.003,0.029,0.094,411,18,1.96,0.17,100,100,0.028,0.0938,-0.461830998,0.000439478,2.00E-06,-3.80E-10,0.09375,0,0,0,23,2006,0,18,0.1,0.2,1.07666,2.63306,1.39771,2.27783,1.39526,2.61353,39.9437,15.0339,18,591.155,337.952,21.6789,30.2936,30.0003,30.0354,30.392,21.5734,17.8601,0,21.68,411.176,18.3051,98.2617,92.9529
49,1692984108,5584.6,20230825 10:21:48,10:21:48,5,,,LCOR-040,6,Q,-0.286838683,409.7537273,0.00500022,1692984105,8.93E-05,0.089282087,469.5660992,47.39849754,41.36097361,0.006630067,2.945261609,0.006621787,0.00413936,3.99E-05,24.77043459,24.89058182,3.158994269,58.31853787,1.831642435,3.14075507,1.327351834,-3.93734002,-15.40358305,-1.104503901,-20.44538707,-0.286838683,0.089282087,-1.82547402,417.0432417,417.8246,0.237190476,66.95,0.526107487,18.05542897,18.31966909,0.047589442,78.09069425,17,3,1,0,53746.32395,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,0.000210018,-0.286838683,#DIV/0!,-1365.7783,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.000210018,0.042001848,0.007980351,6,0.5,0: Broadleaf,2,FALSE,1692984105,409.7537273,409.5035455,18.14566364,18.05802727,409.7171818,18.06107273,600.1755455,100.8434545,0.097600664,24.79357273,24.89058182,999.9,0,0,10005.44909,0,1093.71,0.00500022,0,0,0,620.7454545,0.00500022,949.3363636,-0.781818182,32.34636364,38.818,35.13627273,36.48281818,34.90881818,0,0,0,1692984110,0,623.3076923,-27.15897434,-9.856410153,951.1346154,15,1692984103,10:21:42,1692984103,1692984102,50,0.013,-0.008,0.04,0.086,409,18,1.07,0.23,100,100,0.041,0.0863,-0.448873163,0.000439478,2.00E-06,-3.80E-10,0.086235,0,0,0,23,2006,0,18,0.1,0.1,1.07422,2.62207,1.39771,2.27783,1.39526,2.66846,40.07,15.0426,18,588.638,337.033,21.6798,30.3224,30,30.0695,30.427,21.5115,17.4206,0,21.68,409.2,18.2049,98.2604,92.9514
64,1692985907,7383,20230825 10:51:46,10:51:46,5,,,LCOR-303,3,Q,1.160644063,148.2062,1500.005,1692985899,0.001098541,1.098540717,122.4175199,12.35728651,14.96049321,0.082310997,2.9443815,0.08105372,0.050769937,241.7382207,29.88934664,29.05414,4.034389555,68.39173998,2.711991781,3.965379127,1.322397774,-48.44564562,-47.29689501,-3.533145141,142.4625349,1.160644063,1.098540717,2.454642883,152.3486811,150.7225455,-0.198799936,67.12325413,1.11637457,25.8530671,26.93739455,0.000377355,78.55,0,0,1,0,53015.099,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,1261.2153,1.160644063,#DIV/0!,0.000920258,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1261.2153,0.840807397,0.161158277,6,0.5,0: Broadleaf,2,FALSE,1692985899,148.2062,149.5296667,26.86636,25.79732333,149.4742,26.51136,599.9945333,100.8438333,0.099941013,28.75618333,29.05414,999.9,0,0,10000.40667,0,843.0869333,1500.005,0.972998,0.02700186,0,752.2542333,5.00022,12368.61667,14099.25667,34.7332,38.208,35.25,35.9769,36.7353,1454.635,40.37,0,1692985908,0,751.68456,-113.7100768,-1695.569228,12359.908,15,1692985940,10:52:20,1692985940,1692985932,65,0.182,-0.054,-1.268,0.355,141,26,0.76,0.16,100,100,-1.268,0.355,-1.553835973,0.000439478,2.00E-06,-3.80E-10,0.408804762,0,0,0,23,2006,0,18,5.4,5.4,0.505371,0,1.39771,2.26807,1.39526,2.51831,41.2223,14.7274,18,609.789,336.399,27.0016,30.9697,30.0007,30.6458,30.9952,100,4.97604,87.9331,27,2000,26.0355,98.0947,92.4568
65,1692986001,7477.5,20230825 10:53:21,10:53:21,5,,,LCOR-303,3,Q,0.731120523,130.4785806,999.9969355,1692985993,0.001320962,1.320961808,116.1414908,11.72314428,13.17030818,0.101402574,2.9442754,0.099501614,0.062356334,161.9042856,29.25473158,28.70764516,3.954235161,67.45811796,2.658089876,3.940355818,1.296145285,-58.25441574,-9.622217816,-0.717192957,93.31045913,0.731120523,1.320961808,1.809707254,133.6775672,132.6880545,-0.192785926,67.11557826,1.274749978,25.03039964,26.30979818,-0.007265074,78.55,0,0,1,0,53031.09899,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,841.1916096,0.731120523,#DIV/0!,0.000869149,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,841.1916096,0.841194187,0.161904782,6,0.5,0: Broadleaf,2,FALSE,1692985993,130.4785806,131.3820323,26.33376452,25.04762581,131.8115806,26.01376452,600.0173548,100.8384194,0.100049748,28.64702581,28.70764516,999.9,0,0,10000.34032,0,847.7249032,999.9969355,0.959993613,0.040006387,0,628.0611935,5.00022,7217.960645,9346.190968,34.48774194,38.125,35.151,35.80422581,36.61687097,955.1906452,39.80612903,0,1692986003,0,627.63656,-29.22638466,-285.4638466,7214.098,15,1692986021,10:53:41,1692986020,1692986021,66,-0.051,-0.035,-1.333,0.32,127,25,1.18,0.11,100,100,-1.333,0.32,-1.371702201,0.000439478,2.00E-06,-3.80E-10,0.35457,0,0,0,23,2006,0,18,1,1.2,0.463867,0,1.39771,2.26807,1.39526,2.4292,41.1446,14.7274,18,610.104,335.762,27,31.1006,30.0009,30.7598,31.1075,100,6.87544,85.5799,27,2000,25.2784,98.0634,92.4443
66,1692986082,7558.5,20230825 10:54:42,10:54:42,5,,,LCOR-303,3,Q,0.298201252,117.2044194,499.9926452,1692986074,0.001435513,1.435512596,110.4177479,11.14556744,11.83061406,0.110764827,2.944043576,0.10850069,0.0680125,82.0918783,28.5409957,28.22300968,3.844455932,65.56546133,2.551283892,3.891201007,1.29317204,-63.30610547,32.9849378,2.450171533,54.22088217,0.298201252,1.435512596,1.301962167,119.5427505,118.9316727,-0.160656854,67.10978519,1.369485689,23.87048825,25.23562303,-0.005754338,78.55,0,0,1,0,53062.45806,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,421.1819319,0.298201252,#DIV/0!,0.000708011,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,421.1819319,0.842376255,0.164186172,6,0.5,0: Broadleaf,2,FALSE,1692986074,117.2044194,117.6708387,25.27525161,23.8761129,118.5244194,24.99425161,600.039,100.8399032,0.100096529,28.43082903,28.22300968,999.9,0,0,9998.875161,0,850.1527742,499.9926452,0.919989,0.080010871,0,584.6218065,5.00022,3752.359032,4592.12129,33.83435484,38.014,34.97154839,35.129,36.22154839,455.3874194,39.60354839,0,1692986084,0,584.5479231,-10.30694017,-59.03111112,3751.976923,15,1692986108,10:55:07,1692986108,1692986104,67,0.027,-0.039,-1.32,0.281,112,24,0.8,0.1,100,100,-1.32,0.281,-1.422292296,0.000439478,2.00E-06,-3.80E-10,0.319925,0,0,0,23,2006,0,18,1,1,0.430908,0,1.39771,2.26685,1.39526,2.44751,41.1964,14.7187,18,609.563,334.932,26.9995,31.2187,30.0007,30.8656,31.2117,100,9.92275,82.5005,27,2000,24.0469,98.0379,92.4434
67,1692986169,7645,20230825 10:56:08,10:56:08,5,,,LCOR-303,3,Q,-0.017463569,104.7230323,249.9764839,1692986161,0.001413387,1.413386677,102.7807274,10.37517269,10.57123813,0.108271005,2.944237592,0.106106738,0.066507559,41.3147661,28.22590268,28.01319677,3.797760131,64.42535156,2.49504501,3.872768948,1.30271512,-62.33035244,53.32499915,3.955057475,36.26447028,-0.017463569,1.413386677,1.075453401,106.5118632,106.1996182,-0.175392115,67.08220581,1.337498701,23.30092682,24.65318485,-0.009067169,78.55,0,0,1,0,53082.56129,-,-,0,0,#DIV/0!,0,-,-,0,0,#DIV/0!,0.5,210.7152305,-0.017463569,#DIV/0!,-8.29E-05,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,210.7152305,0.842940213,0.165274611,6,0.5,0: Broadleaf,2,FALSE,1692986161,104.7230323,104.8535806,24.71694194,23.3385129,105.9720323,24.45494194,600.0100323,100.8447419,0.099987265,28.34914516,28.01319677,999.9,0,0,9999.498387,0,852.9714194,249.9764839,0.899999903,0.100000084,0,671.221871,5.00022,2475.974516,2258.479032,34.30616129,39.43722581,36.09245161,37.153,36.95141935,220.4787097,24.49967742,0,1692986170,0,671.1885,-5.935623936,-27.92923077,2475.910385,15,1692986192,10:56:32,1692986187,1692986192,68,0.08,-0.019,-1.249,0.262,102,23,0.61,0.17,100,100,-1.249,0.262,-1.395653134,0.000439478,2.00E-06,-3.80E-10,0.281035,0,0,0,23,2006,0,18,1,1.1,0.401611,0,1.39771,2.26685,1.39526,2.49756,41.2482,14.7274,18,609.342,334.174,26.9995,31.3301,30.0007,30.9726,31.3171,100,11.3218,79.0308,27,2000,23.5816,98.0163,92.4403
