obs,time,elapsed,date,hhmmss,averaging,SPAD,Midday_WP,ID,Leaf number,Response_curve,A,Ca,Qin,TIME,E,Emm,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
25,1693337287,3113.1,20230829 12:28:06,12:28:06,5,,,LCOR-314,9,Q,8.963855587,399.786,249.9857273,1693337284,0.003023562,3.023562392,329.4906641,33.49900943,40.64587087,0.237863536,2.956802552,0.227721272,0.143200999,41.31627237,26.73631458,26.13804545,3.401919941,57.41927369,2.088461083,3.637212645,1.313458857,-133.3391015,181.1154932,13.18053236,102.2731965,8.963855587,3.023562392,8.669993455,417.2771186,408.2651273,0.041241703,67.19214351,3.070219014,17.58645053,20.55755939,0.00670142,78.55,0,0,1,0,53654.14364,RECT-1146-20230829-12_13_53,8159.48,651.0653846,2936.64,0.778295813,-0.676353435,RECT-1153-20230829-12_28_09,8158.91,738.5014231,2076.51,0.644354507,0.5,210.7230111,8.963855587,67.89016093,0.04574825,0.41421905,596.3043157,DARK-1154-20230829-12_28_15,580.27,580.27,0.720555162,0.894247298,0.36502332,0.938660515,0.376329871,0.702645741,0.297354259,210.7230111,0.842940168,0.165274525,6,0.5,0: Broadleaf,2,FALSE,1693337284,399.786,409.9575455,20.54175455,17.58061818,400.3085455,20.46410909,600.0641818,101.5689091,0.100161036,27.27422727,26.13804545,999.9,0,0,9999.305455,0,379.9856364,249.9857273,0.899993364,0.100006727,0,737.6991818,5.00022,1953.543636,2258.561818,36.42572727,40.57918182,38.15881818,39.63063636,38.69272727,220.4854545,24.5,0,126.2,0,738.5014231,-11.27750427,-25.08752135,1955.276538,15,1693337235,12:27:15,1693337235,1693337233,67,-0.095,-0.001,-0.504,0.078,410,17,0.59,0.07,100,100,-0.523,0.0777,-0.893461238,-1.58E-05,2.57E-06,-5.48E-10,0.077625,0,0,0,21,1995,1,16,0.9,0.9,1.08032,2.61841,1.39771,2.26196,1.39526,2.6416,34.9904,14.9288,18,602.504,373.503,27.0013,27.2141,30.0003,26.9964,27.3432,21.6348,5.25856,83.4873,27,410,17.6318,98.7113,93.2778
26,1693337404,3230.5,20230829 12:30:04,12:30:04,5,,,LCOR-314,9,Q,3.134653364,405.5495,100.0028,1693337401,0.003229293,3.229293481,376.9636854,38.32716557,41.23358147,0.256287698,2.957292049,0.244556909,0.153857282,16.51106256,26.50431267,25.99694,3.373647509,56.94297832,2.067005233,3.629956306,1.306642277,-142.4118425,198.2109518,14.40962247,86.71979434,3.134653364,3.229293481,3.53630412,417.1590907,413.828897,-0.058696043,67.19762858,3.120716066,17.16360812,20.30142909,-0.015203013,78.55,0,0,1,0,53674.61783,RECT-1146-20230829-12_13_53,8159.48,651.0653846,2936.64,0.778295813,-0.676353435,RECT-1155-20230829-12_30_06,8144.95,700.4289231,2259.2,0.689965951,0.5,84.2876451,3.134653364,29.07780261,0.045214299,0.299858357,610.4807161,DARK-1156-20230829-12_30_13,614.53,614.53,0.727987783,0.947771332,0.291734672,0.969303852,0.296398112,0.831538929,0.168461071,84.2876451,0.842852851,0.165106003,6,0.5,0: Broadleaf,2,FALSE,1693337401,405.5495,409.9931,20.32986,17.16671,406.0254,20.2507,600.0934,101.5732,0.10016286,27.24016,25.99694,999.9,0,0,10001.66,0,339.5066,100.0028,0.8999337,0.10006622,0,700.6079,5.00022,789.2182,875.8256,36.687,41.312,38.6374,40.2248,39.187,85.495,9.51,0,115.4000001,0,700.4289231,2.240957267,-0.472717848,789.1020385,15,1693337363,12:29:23,1693337361,1693337363,68,0.036,0.002,-0.468,0.079,410,17,1.27,0.05,100,100,-0.476,0.0792,-0.857084702,-1.58E-05,2.57E-06,-5.48E-10,0.07918,0,0,0,21,1995,1,16,0.7,0.7,1.0791,2.62573,1.39771,2.26196,1.39526,2.41333,34.9674,14.9113,18,602.555,373.392,27.0004,27.2413,30.0001,27.0202,27.366,21.6307,5.31645,79.2896,27,410,17.4569,98.7076,93.2759
27,1693337473,3299,20230829 12:31:12,12:31:12,5,,,LCOR-314,9,Q,1.063853422,407.7239,49.99084,1693337470,0.002967186,2.967186026,392.2040753,39.87423962,41.45209474,0.240997819,2.955685787,0.230589046,0.145015876,8.239070449,26.29341874,25.72102,3.318955564,57.10745323,2.045231386,3.581373832,1.273724178,-130.8529038,205.4794625,14.90835839,97.77398753,1.063853422,2.967186026,1.22171707,417.1953885,416.0097333,-0.012633768,67.19762858,2.94176855,17.2099969,20.1088903,-0.002994759,78.55,0,0,1,0,53668.64007,RECT-1146-20230829-12_13_53,8159.48,651.0653846,2936.64,0.778295813,-0.676353435,RECT-1157-20230829-12_31_15,8139.41,676.67776,2319.05,0.708209068,0.5,42.12729647,1.063853422,14.91746669,0.041308297,0.266311636,614.7680033,DARK-1158-20230829-12_31_21,584.53,584.53,0.747944201,0.946874202,0.262568502,0.984644717,0.270212137,0.817931975,0.182068025,42.12729647,0.842700312,0.164811602,6,0.5,0: Broadleaf,2,FALSE,1693337470,407.7239,409.9978,20.11695,17.20913,408.1639,20.03995,599.933,101.5673,0.09977112,27.01053,25.72102,999.9,0,0,9993.13,0,299.4077,49.99084,0.9000467,0.0999531,0,674.9116,5.00022,411.5919,414.7824,36.4622,41.5,38.1124,40.2748,39.125,40.494,4.5,0,66.20000005,0,676.67776,-23.23261538,-19.07853843,412.79872,15,1693337505,12:31:44,1693337498,1693337505,69,0.028,-0.002,-0.44,0.077,410,17,1.16,0.05,100,100,-0.44,0.077,-0.857084702,-1.58E-05,2.57E-06,-5.48E-10,0.07918,0,0,0,21,1995,1,16,1.9,1.8,1.0791,2.61475,1.39771,2.26196,1.39526,2.62695,34.9444,14.9026,18,603.002,373.159,26.9985,27.2482,30.0002,27.027,27.3728,21.6207,4.73653,76.2224,27,410,17.1154,98.7083,93.2777
28,1693337619,3445.5,20230829 12:33:39,12:33:39,5,,,LCOR-314,9,Q,-1.606148495,410.3470909,0.00500022,1693337616,0.003078649,3.078649169,412.6363433,41.95080887,41.71807128,0.246523725,2.957682493,0.235650727,0.148218635,3.99E-05,26.0966704,25.54366364,3.284210925,55.97227611,1.990463852,3.556160282,1.293747073,-135.7684283,214.7244347,15.54540347,94.50144971,-1.606148495,3.078649169,-1.272236845,416.8748582,418.4155273,-0.054164523,67.22266195,3.013246369,16.5589893,19.55821273,-0.008451152,78.55,0,0,1,0,53748.4851,RECT-1159-20230829-12_33_41,8140.83,542.712,2447.22,0.778233261,-1.606148495,-,-,0,0,#DIV/0!,0.5,0.000210018,-1.606148495,#DIV/0!,2.11E-12,#DIV/0!,#DIV/0!,-,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,1.284961785,#DIV/0!,#DIV/0!,0.000210018,0.042001848,0.007980351,6,0.5,0: Broadleaf,2,FALSE,1693337616,410.3470909,410.0042727,19.57859091,16.56035455,410.8220909,19.51436364,600.0272727,101.5653636,0.099963609,26.89028182,25.54366364,999.9,0,0,10004.64727,0,247.9794545,0.00500022,0,0,0,543.6090909,0.00500022,70.95454545,-0.318181818,36.33490909,41.562,38.53945455,40.02245455,38.625,0,0,0,144.2,0,542.712,12.39999993,-21.12307702,71.916,15,1693337578,12:32:57,1693337566,1693337578,70,-0.036,-0.013,-0.476,0.064,410,17,1.16,0.05,100,100,-0.475,0.0643,-0.865152447,-1.58E-05,2.57E-06,-5.48E-10,0.064245,0,0,0,21,1995,1,16,0.9,0.7,1.0791,2.61719,1.39771,2.26318,1.39526,2.63794,34.7837,14.8413,18,601.855,373.828,26.9995,27.2174,29.9999,27.0044,27.3477,21.6218,7.65881,71.6661,27,410,16.6082,98.7159,93.2885
29,1693337744,3570.5,20230829 12:35:44,12:35:44,5,,,LCOR-314,9,CO2,12.73519074,385.9965,1499.993,1693337741,0.003335396,3.335395649,292.2226482,29.70925389,39.24291319,0.245923003,2.956616138,0.235097962,0.147869103,241.7365371,27.92138093,26.87731,3.553449643,58.8292079,2.151549841,3.657281677,1.401899802,-147.0909481,78.2368733,5.717743699,178.6002059,12.73519074,3.335395649,13.34756164,407.3025834,394.0785818,-0.080344524,67.22266195,3.312585127,17.89818337,21.13911455,0.000265161,78.55,0,0,1,0,53631.87348,RECT-1159-20230829-12_33_41,8140.83,542.712,2447.22,0.778233261,-1.606148495,RECT-1160-20230829-12_35_46,8150.42,665.15576,782.5,0.14996069,0.5,1261.20534,12.73519074,94.56561156,0.011371137,2.1274377,368.7415902,DARK-1161-20230829-12_35_53,474.8,474.8,0.393226837,0.381359246,0.843998743,0.489366607,0.874094517,0.272221006,0.727778994,1261.20534,0.840807484,0.161158443,6,0.5,0: Broadleaf,2,FALSE,1693337741,385.9965,400.0182,21.16282,17.89823,386.4425,21.06782,600.0403,101.5664,0.10010007,27.36814,26.87731,999.9,0,0,9998.495,0,222.5047,1499.993,0.972994,0.02700592,0,660.6146,5.00022,10369.84,14099.12,37.9748,41.562,38.8624,40.7374,39.6996,1454.619,40.374,0,124.4000001,0,665.15576,-61.33015375,-889.8769217,10435.82,15,1693337781,12:36:21,1693337781,1693337772,71,0.048,0.031,-0.446,0.095,400,18,0.32,0.06,100,100,-0.446,0.095,-0.865152447,-1.58E-05,2.57E-06,-5.48E-10,0.064245,0,0,0,21,1995,1,16,3,2.8,1.05957,2.62573,1.39771,2.26318,1.39526,2.57812,34.6463,14.8325,18,603.725,375.087,27.0009,27.1557,29.9999,26.9571,27.3023,21.2235,0,70.1965,27,400,22.7222,98.7239,93.297
30,1693337857,3683.5,20230829 12:37:37,12:37:37,5,,,LCOR-314,9,CO2,10.24872853,288.8399091,1499.990909,1693337854,0.003151211,3.151210908,211.4623358,21.49871415,29.36544996,0.236892397,2.957165907,0.226832078,0.142638325,241.7357086,28.10385617,26.96003636,3.570767422,59.63805258,2.198458296,3.686334816,1.372309126,-138.968401,86.61074418,6.335445232,195.7134969,10.24872853,3.151210908,10.48694742,305.6611717,295.0888121,-0.024635284,67.13253441,3.197122552,18.54284823,21.63088727,0.007467152,78.55,0,0,1,0,53623.7987,RECT-1159-20230829-12_33_41,8140.83,542.712,2447.22,0.778233261,-1.606148495,RECT-1162-20230829-12_37_39,8149.04,605.869,716.55,0.15446375,0.5,1261.203327,10.24872853,97.40509765,0.009399656,2.415281557,353.4134606,DARK-1163-20230829-12_37_46,458.87,458.87,0.35961203,0.429528873,0.87040511,0.636690482,0.908722883,0.325314406,0.674685594,1261.203327,0.840807314,0.161158116,6,0.5,0: Broadleaf,2,FALSE,1693337854,288.8399091,299.9980909,21.62413636,18.54127273,289.3859091,21.51513636,600.0399091,101.5668182,0.100053445,27.5033,26.96003636,999.9,0,0,10001.57273,0,212.4632727,1499.990909,0.972999818,0.026999982,0,604.9650909,5.00022,9572.894545,14099.13636,39.61918182,41.75,40.02818182,40.29518182,40.91445455,1454.625455,40.36545455,0,110.6000001,0,605.869,-12.33430769,-164.2115385,9584.9296,15,1693337886,12:38:06,1693337876,1693337886,72,0.059,0.014,-0.546,0.109,300,19,0.33,0.05,100,100,-0.546,0.109,-0.817354704,-1.58E-05,2.57E-06,-5.48E-10,0.094915,0,0,0,21,1995,1,16,1.3,1.4,0.844727,2.62085,1.39771,2.26196,1.39526,2.64038,34.5777,14.815,18,604.278,375.541,27.0003,27.1035,29.9999,26.9122,27.2578,16.9304,0,89.5483,27,300,27.669,98.7315,93.2976
31,1693337962,3788.5,20230829 12:39:22,12:39:22,5,,,LCOR-314,9,CO2,6.269934567,193.1376364,1500.322727,1693337959,0.002969904,2.969903615,144.8724888,14.72878312,19.63576647,0.232874192,2.956997834,0.223144205,0.140305451,241.7891405,28.26709488,27.10730909,3.601779597,61.64254154,2.287848865,3.711477185,1.313930732,-130.9727494,81.6551784,5.981158943,198.4527284,6.269934567,2.969903615,5.824328818,203.9817169,197.9018182,0.030462043,67.19052459,2.954878172,19.6000614,22.48705515,0.000321744,78.55,0,0,1,0,53598.17816,RECT-1159-20230829-12_33_41,8140.83,542.712,2447.22,0.778233261,-1.606148495,RECT-1164-20230829-12_39_24,8140.72,585.781,683.82,0.1433696,0.5,1261.4823,6.269934567,90.42910648,0.006243515,2.578748794,345.2628409,DARK-1165-20230829-12_39_31,459,459,0.328770729,0.436077751,0.886923982,0.694779885,0.925908424,0.341697132,0.658302868,1261.4823,0.840807299,0.161158087,6,0.5,0: Broadleaf,2,FALSE,1693337959,193.1376364,199.9818182,22.50330909,19.59996364,194.0726364,22.37330909,599.9432727,101.5673636,0.099855882,27.61951818,27.10730909,999.9,0,0,10000.56545,0,208.1865455,1500.322727,0.973000455,0.0269995,0,585.3936364,5.00022,9300.184545,14102.25455,40.54518182,42.00545455,40.25545455,40.41454545,41.72709091,1454.949091,40.37363636,0,102.8,0,585.781,-5.704384632,-125.1323079,9309.5488,15,1693337991,12:39:51,1693337981,1693337991,73,-0.273,0.021,-0.935,0.13,200,20,0.31,0.04,100,100,-0.935,0.13,-0.758759651,-1.58E-05,2.57E-06,-5.48E-10,0.109345,0,0,0,21,1995,1,16,1.4,1.3,0.621338,2.61597,1.39771,2.26929,1.39526,2.55859,34.5321,14.7887,18,604.886,378.052,26.9998,27.0446,29.9999,26.8623,27.2075,12.4527,0,100,27,200,22.4664,98.7404,93.2955
32,1693338067,3893.5,20230829 12:41:07,12:41:07,5,,,LCOR-314,9,CO2,1.958693247,97.70468182,1500.01,1693338064,0.00309161,3.091609509,82.15720999,8.353009745,9.93373752,0.239004038,2.957842938,0.228769967,0.143864201,241.7384397,28.35246639,27.28539091,3.639593255,61.70143045,2.305778317,3.736993292,1.333814938,-136.3399793,71.97735233,5.278538177,182.6543508,1.958693247,3.091609509,1.820047696,101.9474413,100.082497,0.001848295,67.196889,3.089370395,19.65771081,22.67701273,1.17E-06,78.55,0,0,1,0,53602.00153,RECT-1159-20230829-12_33_41,8140.83,542.712,2447.22,0.778233261,-1.606148495,RECT-1166-20230829-12_41_09,8158.75,583.6301154,668.33,0.126733627,0.5,1261.2192,1.958693247,79.91944152,0.002826504,2.661694073,341.269231,DARK-1167-20230829-12_41_16,455.6,455.6,0.318300839,0.398156746,0.893187455,0.674265508,0.934041758,0.310813662,0.689186338,1261.2192,0.840807195,0.161157885,6,0.5,0: Broadleaf,2,FALSE,1693338064,97.70468182,99.96543636,22.67880909,19.65731818,98.82168182,22.54580909,600.0009091,101.5710909,0.099958373,27.73676364,27.28539091,999.9,0,0,10004.99364,0,215.338,1500.01,0.973002818,0.026996964,0,583.5432727,5.00022,9146.178182,14099.31818,36.93154545,39.24409091,37.34072727,37.068,38.88036364,1454.65,40.36,0,102.9000001,0,583.6301154,-1.124205131,-70.49606835,9151.643462,15,1693338100,12:41:39,1693338086,1693338100,74,-0.109,0.003,-1.117,0.133,100,20,0.59,0.04,100,100,-1.117,0.133,-1.031412992,-1.58E-05,2.57E-06,-5.48E-10,0.130285,0,0,0,21,1995,1,16,1.4,1.3,0.388184,2.64038,1.39771,2.27051,1.39526,2.65747,34.4864,14.78,18,605.111,378.523,27.0003,26.9949,29.9999,26.8118,27.1573,7.77511,0,100,27,100,22.4664,98.7423,93.3003
33,1693338176,4002,20230829 12:42:55,12:42:55,5,,,LCOR-314,9,CO2,-0.373691463,50.20389091,1499.898182,1693338173,0.003112797,3.112797244,51.69680642,5.256089315,5.104302429,0.239369105,2.957951266,0.229104826,0.144076042,241.7209619,28.29734216,27.33423636,3.650025393,61.97004301,2.3091204,3.726188151,1.340904994,-137.2743585,56.28678236,4.127686122,164.8610719,-0.373691463,3.112797244,-0.439915578,50.99624621,51.31367758,0.028857941,67.22977794,3.116552453,19.6708257,22.7164697,2.42E-05,78.55,0,0,1,0,53614.00599,RECT-1159-20230829-12_33_41,8140.83,542.712,2447.22,0.778233261,-1.606148495,RECT-1168-20230829-12_42_58,8160.69,581.8951538,655.35,0.112084911,0.5,1261.125463,-0.373691463,70.67656741,0.000977268,2.734218357,337.8523137,DARK-1169-20230829-12_43_04,455.67,455.67,0.304692149,0.367862811,0.899736386,0.652132017,0.940857166,0.288065721,0.711934279,1261.125463,0.840807382,0.161158247,6,0.5,0: Broadleaf,2,FALSE,1693338173,50.20389091,49.98647273,22.71159091,19.66947273,51.22889091,22.58059091,599.9965455,101.5715455,0.099905427,27.6872,27.33423636,999.9,0,0,10005.56364,0,234.5468182,1499.898182,0.972997091,0.027002864,0,581.5458182,5.00022,9094.513636,14098.22727,36.15309091,38.44281818,36.67009091,36.62472727,37.85781818,1454.531818,40.36636364,0,106.4000001,0,581.8951538,-4.679589748,-11.49094016,9095.333462,15,1693338211,12:43:31,1693338191,1693338211,75,0.11,-0.002,-1.025,0.131,50,20,0.94,0.05,100,100,-1.025,0.131,-1.140687076,-1.58E-05,2.57E-06,-5.48E-10,0.133390476,0,0,0,21,1995,1,16,1.5,1.3,0.270996,2.66602,1.39771,2.27051,1.39526,2.46826,34.4636,14.7537,18,604.917,378.759,27.0005,26.9384,30,26.7607,27.1057,5.45482,0,100,27,50,23.3099,98.7535,93.3064
34,1693338287,4113.5,20230829 12:44:47,12:44:47,5,,,LCOR-314,9,CO2,-2.86529335,1.799270909,1499.999091,1693338284,0.003199407,3.199407419,21.29840074,2.165435869,0.182934194,0.241054001,2.956412312,0.230642926,0.145049751,241.7372776,28.46155358,27.537,3.693610047,61.72144629,2.325001489,3.766926455,1.368608559,-141.0938672,53.62038215,3.941840984,158.2056335,-2.86529335,3.199407419,-2.547489096,-1.080886882,1.726668727,-0.045965621,67.21465627,3.206963133,19.74176039,22.87484242,5.23E-05,78.55,0,0,1,0,53535.97001,RECT-1159-20230829-12_33_41,8140.83,542.712,2447.22,0.778233261,-1.606148495,RECT-1170-20230829-12_44_49,8151.33,577.40652,639.4,0.096955708,0.5,1261.210336,-2.86529335,61.14077084,-0.000998362,2.827369409,333.5626908,DARK-1171-20230829-12_44_56,449.33,449.33,0.297263059,0.326161309,0.904864632,0.641170362,0.949232033,0.253814351,0.746185649,1261.210336,0.8408074,0.161158283,6,0.5,0: Broadleaf,2,FALSE,1693338284,1.799270909,-1.060042727,22.86782727,19.74182727,2.813270909,22.73982727,600.0468182,101.5711818,0.100107755,27.87341818,27.537,999.9,0,0,9996.868182,0,268.9879091,1499.999091,0.972998727,0.027001409,0,577.3113636,5.00022,9107.18,14099.18182,38.39754545,40.04509091,38.54509091,38.67581818,39.82345455,1454.629091,40.37,0,109.5,0,577.40652,-1.467230776,6.724615361,9106.5436,15,1693338317,12:45:17,1693338317,1693338311,76,0.016,-0.003,-1.014,0.128,-1,20,0.49,0.03,100,100,-1.014,0.128,-1.030509788,-1.58E-05,2.57E-06,-5.48E-10,0.131328571,0,0,0,21,1995,1,16,1.6,1.3,0.0317383,4.99756,1.39771,2.26929,1.39526,2.38403,34.5092,14.7187,18,605.019,378.743,27,26.9271,30.0002,26.7363,27.0851,0,0,100,27,0,23.3099,98.7502,93.3042
35,1693338393,4219.5,20230829 12:46:33,12:46:33,5,,,LCOR-314,9,CO2,14.32830097,384.6704545,1500.012727,1693338390,0.003255476,3.255475738,279.454425,28.41260049,39.11009084,0.243477117,2.95693065,0.232862411,0.146454131,241.7396645,28.60116401,27.64143636,3.716235647,61.48861003,2.337153681,3.800953836,1.379081966,-143.5664801,61.56280582,4.530766612,164.2667569,14.32830097,3.255475738,14.94566381,408.2997858,393.282303,-0.050360774,67.21163132,3.242069555,19.80647987,22.97368424,1.83E-05,78.55,0,0,1,0,53523.65109,RECT-1159-20230829-12_33_41,8140.83,542.712,2447.22,0.778233261,-1.606148495,RECT-1172-20230829-12_46_35,8144.64,546.9261923,660.9,0.172452425,0.5,1261.2219,14.32830097,108.7503876,0.012634136,2.702859737,339.3213143,DARK-1173-20230829-12_46_42,418.6,418.6,0.366621274,0.470383028,0.880559198,0.964343315,0.937943028,0.360016284,0.639983716,1261.2219,0.840807466,0.161158409,6,0.5,0: Broadleaf,2,FALSE,1693338390,384.6704545,400.2496364,22.98726364,19.80690909,385.0494545,22.84726364,600.0540909,101.5716364,0.100042282,28.02761818,27.64143636,999.9,0,0,9999.763636,0,303.8000909,1500.012727,0.972994,0.027006018,0,546.1218182,5.00022,8705.908182,14099.30909,40.14190909,41.187,40.15318182,39.68136364,41.30072727,1454.639091,40.37363636,0,104,0,546.9261923,-11.23839317,-129.1302564,8714.669231,15,1693338423,12:47:03,1693338415,1693338423,77,0.263,0.012,-0.379,0.14,401,20,0.26,0.06,100,100,-0.379,0.14,-1.014180835,-1.58E-05,2.57E-06,-5.48E-10,0.12803,0,0,0,21,1995,1,16,1.3,1.4,1.06812,2.66602,1.39771,2.27051,1.39526,2.39502,34.6006,14.7099,18,605.372,379.385,27.0002,26.9271,29.9999,26.7272,27.0739,21.4065,0,100,27,400,23.3099,98.7542,93.3028
36,1693338499,4325.5,20230829 12:48:19,12:48:19,5,,,LCOR-314,9,CO2,14.78823311,384.0585455,1500.011818,1693338496,0.003169187,3.16918714,276.3112937,28.093004,39.04783662,0.244353713,2.956651478,0.233663279,0.146961065,241.7382091,28.46156897,27.38422727,3.660729184,61.67827491,2.322326624,3.765226293,1.33840256,-139.7611529,76.74337042,5.636730941,184.3571576,14.78823311,3.16918714,14.69687927,408.0879781,393.1412909,-0.010254627,67.21491829,3.172727494,19.74369684,22.84436,-6.23E-05,78.55,0,0,1,0,53544.32482,RECT-1159-20230829-12_33_41,8140.83,542.712,2447.22,0.778233261,-1.606148495,RECT-1174-20230829-12_48_21,8144.62,555.61076,681.85,0.185142245,0.5,1261.220457,14.78823311,116.7525937,0.012998823,2.589088509,344.7599171,DARK-1175-20230829-12_48_28,419.13,419.13,0.385304686,0.480508678,0.870459398,0.907295203,0.926942811,0.362476066,0.637523934,1261.220457,0.840807014,0.161157536,6,0.5,0: Broadleaf,2,FALSE,1693338496,384.0585455,400.0643636,22.84145455,19.74457273,384.5995455,22.70545455,599.9838182,101.5716364,0.099937109,27.86568182,27.38422727,999.9,0,0,9998.18,0,340.2907273,1500.011818,0.973007273,0.026992836,0,555.9414545,5.00022,8893.561818,14099.34545,41.10209091,41.75,40.51127273,39.40890909,41.937,1454.657273,40.35090909,0,103.6000001,0,555.61076,4.694846176,89.48538459,8886.6372,15,1693338534,12:48:53,1693338534,1693338533,78,-0.162,-0.004,-0.541,0.136,400,20,0.42,0.03,100,100,-0.541,0.136,-0.751475755,-1.58E-05,2.57E-06,-5.48E-10,0.139855,0,0,0,21,1995,1,16,1.4,1.3,1.06445,2.65259,1.39771,2.27051,1.39526,2.50977,34.6235,14.6924,18,605.296,379.153,27.0003,26.9088,30,26.7115,27.0567,21.3294,0,100,27,400,23.3099,98.7538,93.3039
37,1693338610,4436,20230829 12:50:09,12:50:09,5,,,LCOR-314,9,CO2,21.23415301,576.9146364,1500.050909,1693338607,0.003229929,3.229928842,423.7610341,43.08414226,58.65539836,0.248219519,2.957000236,0.237197592,0.149197983,241.7456544,28.4664425,27.426,3.669694341,61.70339844,2.326060706,3.769744884,1.343633634,-142.439862,73.36986706,5.389990168,178.0656497,21.23415301,3.229928842,21.41786757,612.116203,590.1653515,0.022643325,67.21155368,3.232308501,19.72308195,22.88106303,4.60E-05,78.55,0,0,1,0,53550.81289,RECT-1159-20230829-12_33_41,8140.83,542.712,2447.22,0.778233261,-1.606148495,RECT-1176-20230829-12_50_12,8166.39,582.25884,749.89,0.223540999,0.5,1261.253919,21.23415301,140.9709807,0.018109202,2.263438638,361.3369596,DARK-1177-20230829-12_50_18,425.53,425.53,0.43254344,0.516805895,0.839559972,0.809116605,0.891217049,0.377695274,0.622304726,1261.253919,0.840807409,0.1611583,6,0.5,0: Broadleaf,2,FALSE,1693338607,576.9146364,600.0112727,22.87834545,19.72243636,576.7916364,22.74334545,600.0236364,101.5709091,0.099935545,27.88623636,27.426,999.9,0,0,10000.23,0,427.0496364,1500.050909,0.972995273,0.027004673,0,583.1375455,5.00022,9208.980909,14099.67273,37.54518182,39.60772727,37.835,37.01690909,39.369,1454.678182,40.37181818,0,108.3,0,582.25884,11.68030772,140.6153848,9198.7692,15,1693338639,12:50:39,1693338628,1693338639,79,0.238,-0.001,0.123,0.135,600,20,0.16,0.04,100,100,0.123,0.135,-0.913278477,-1.58E-05,2.57E-06,-5.48E-10,0.13567,0,0,0,21,1995,1,16,1.3,1.3,1.46973,2.65869,1.39771,2.27051,1.39526,2.47437,34.6006,14.6661,18,605.361,379.472,27.0009,26.9179,30.0002,26.7092,27.0559,29.4228,0,100,27,600,23.3099,98.7504,93.3007
