3/8/23,Leaf area Living Carbon,,,,,,
,,,,,,,
row,column,ID,Leaf1_cm2,leaf2_cm2,leaf3_cm2,average_LA,
8,5,LCOR-575,196.548,188.108,165.357,183.3376667,
9,5,LCOR-346,140.343,150.109,136.29,142.2473333,
10,5,LCOR-092,143.526,125.246,no scan,134.386,
11,5,LCOR-142,112.468,104.608,no scan,108.538,
12,5,LCOR-563,121.528,108.84,133.857,121.4083333,
13,5,LCOR-353,no scan,,,,
14,5,LCOR-314,134.219,137.095,140.441,137.2516667,
15,5,LCOR-042,121.893,121.35,118.168,120.4703333,
16,5,LCOR-1059,,,,,border
1,6,LCOR-1003,,,,,border
2,6,LCOR-577,103.368,122.341,113.233,112.9806667,
3,6,LCOR-069,154.549,138.98,158.37,150.633,
4,6,LCOR-043,97.324,93.87,126.053,105.749,
5,6,LCOR-062,132.055,124.571,140.276,132.3006667,
6,6,LCOR-135,126.531,161.076,143.709,143.772,
7,6,LCOR-003,166.261,181.505,156.805,168.1903333,
8,6,LCOR-191,130.161,130.026,123.74,127.9756667,
9,6,LCOR-310,98.53,122.075,133.516,118.0403333,
10,6,LCOR-251,155.522,155.948,125.804,145.758,
11,6,LCOR-358,160.183,204.411,171.149,178.581,
12,6,LCOR-363,57.135,58.507,no scan,57.821,
13,6,LCOR-355,133.23,167.928,137.954,146.3706667,
14,6,LCOR-472,174.864,166.466,180.996,174.1086667,
15,6,LCOR-421,99.527,101.713,112.925,104.7216667,
16,6,LCOR-1102,,,,,border
1,7,LCOR-1004,,,,,border
2,7,LCOR-177,135.354,141.766,127.853,134.991,
3,7,LCOR-073,117.313,95.022,113.922,108.7523333,
4,7,LCOR-510,102.585,99.205,110.531,104.107,
5,7,LCOR-474,114.761,116.925,134.92,122.202,
6,7,LCOR-181,114.049,129.24,137.509,126.9326667,
7,7,LCOR-148,115.394,126.376,141.265,127.6783333,
8,7,LCOR-400,131.474,178.055,156.549,155.3593333,
9,7,LCOR-530,141.263,156.856,172.926,157.015,
10,7,LCOR-587,no scan,,,,
11,7,LCOR-005,no scan,,,,
12,7,LCOR-094,145.162,157.12,122.268,141.5166667,
13,7,LCOR-296,129.071,140.32,159.288,142.893,
14,7,LCOR-265,116.257,116.618,100.996,111.2903333,
15,7,LCOR-198,98.31,114.159,98.67,103.713,
16,7,LCOR-1111,,,,,
1,8,LCOR-1005,,,,,
2,8,LCOR-179,no scan,,,,
3,8,LCOR-036,no scan,,,,
4,8,LCOR-279,no scan,,,,
5,8,LCOR-078,no scan,,,,
6,8,LCOR-582,no scan,,,,
7,8,LCOR-385,no scan,,,,
8,8,LCOR-250,no scan,,,,
9,8,LCOR-034,no scan,,,,
10,8,LCOR-255,no scan,,,,
11,8,LCOR-238,no scan,,,,
12,8,LCOR-254,no scan,,,,
13,8,LCOR-469,no scan,,,,
14,8,LCOR-167,no scan,,,,
15,8,LCOR-274,no scan,,,,
16,8,LCOR-1114,,,,,
1,9,LCOR-1006,,,,,
2,9,LCOR-581,no scan,,,,
3,9,LCOR-001,no scan,,,,
4,9,LCOR-342,no scan,,,,
5,9,LCOR-471,no scan,,,,
6,9,LCOR-380,no scan,,,,
7,9,LCOR-076,no scan,,,,
8,9,LCOR-163,no scan,,,,
9,9,LCOR-609,no scan,,,,
10,9,LCOR-217,no scan,,,,
11,9,LCOR-231,no scan,,,,
12,9,LCOR-075,no scan,,,,
13,9,LCOR-504,no scan,,,,
14,9,LCOR-511,no scan,,,,
15,9,LCOR-041,no scan,,,,
16,9,LCOR-1121,,,,,
1,10,LCOR-1007,,,,,
2,10,LCOR-1029,,,,,
3,10,LCOR-023,no scan,,,,
4,10,LCOR-020,no scan,,,,
5,10,LCOR-010,no scan,,,,
6,10,LCOR-292,no scan,,,,
7,10,LCOR-420,no scan,,,,
8,10,LCOR-157,no scan,,,,
9,10,LCOR-226,no scan,,,,
10,10,LCOR-263,no scan,,,,
11,10,LCOR-018,no scan,,,,
12,10,LCOR-286,no scan,,,,
13,10,LCOR-133,no scan,,,,
14,10,LCOR-039,no scan,,,,
15,10,LCOR-203,no scan,,,,
16,10,LCOR-1131,,,,,
1,11,LCOR-1008,,,,,
2,11,LCOR-164,125.735,116.051,114.941,118.909,
3,11,LCOR-529,129.315,120.989,125.079,125.1276667,
4,11,LCOR-386,124.853,126.317,106.325,119.165,
5,11,LCOR-028,107.347,105.703,134.326,115.792,
6,11,LCOR-527,148.365,137.441,118.887,134.8976667,
7,11,LCOR-141,no scan,128.916,146.327,137.6215,
8,11,LCOR-150,no scan,,,,
9,11,LCOR-233,no scan,,,,
10,11,LCOR-161,no scan,,,,
11,11,LCOR-019,no scan,,,,
12,11,LCOR-360,no scan,,,,
13,11,LCOR-289,no scan,,,,
14,11,LCOR-040,no scan,,,,
15,11,LCOR-324,no scan,,,,
16,11,LCOR-1139,,,,,
1,12,LCOR-1009,,,,,
2,12,LCOR-180,89.855,87.52,62.584,79.98633333,
3,12,LCOR-403,128.661,133.816,134.372,132.283,
4,12,LCOR-364,146.725,126.357,151.361,141.481,
5,12,LCOR-277,117.532,117.603,115.337,116.824,
6,12,LCOR-115,117.155,107.708,91.392,105.4183333,
7,12,LCOR-111,141.822,114.647,148.014,134.8276667,
8,12,LCOR-303,122.492,101.389,109.575,111.152,
9,12,LCOR-588,153.108,123,123.424,133.1773333,
10,12,LCOR-561,145.917,118.95,130.278,131.715,
11,12,LCOR-035,149.204,104.384,138.28,130.6226667,
12,12,LCOR-241,129.661,135.994,126.91,130.855,
13,12,LCOR-218,95.654,99.358,94.644,96.552,
14,12,LCOR-002,108.545,119.051,124.802,117.466,
15,12,LCOR-026,139.255,139.448,111.16,129.9543333,
16,12,LCOR-1201,,,,,
1,13,LCOR-1010,,,,,
2,13,LCOR-066,131.682,131.712,150.341,137.9116667,
3,13,LCOR-423,128.243,143.952,149.613,140.6026667,
4,13,LCOR-200,113.813,130.855,130.459,125.0423333,
5,13,LCOR-332,100.565,119.092,131.743,117.1333333,
6,13,LCOR-137,124.171,127.073,123.721,124.9883333,
7,13,LCOR-338,129.889,101.45,108.097,113.1453333,
8,13,LCOR-544,137.584,105.347,143.476,128.8023333,
9,13,LCOR-320,37.679,35.047,48.066,40.264,
10,13,LCOR-077,150.001,163.821,132.01,148.6106667,
11,13,LCOR-593,149.457,136.45,140.369,142.092,
12,13,LCOR-088,142.018,154.63,157.584,151.4106667,
13,13,LCOR-030,118.186,148.981,151.221,139.4626667,
14,13,LCOR-156,158.424,143.182,139.385,146.997,
15,13,LCOR-051,156.045,119.129,141.239,138.8043333,
16,13,LCOR-1203,,,,,
1,14,LCOR-1011,,,,,
2,14,LCOR-060,131.168,137.243,154.628,141.013,
3,14,LCOR-604,170.389,142.536,163.275,158.7333333,
4,14,LCOR-368,139.902,110.725,123.653,124.76,
5,14,LCOR-046,177.138,173.573,164.33,171.6803333,
6,14,LCOR-031,146.855,140.867,159.899,149.207,
7,14,LCOR-347,114.218,127.76,134.832,125.6033333,
8,14,LCOR-176,128.609,116.464,119.537,121.5366667,
9,14,LCOR-269,127.582,133.16,144.862,135.2013333,
10,14,LCOR-147,163.448,146.143,152.271,153.954,
11,14,LCOR-257,143.995,160.436,136.494,146.975,
12,14,LCOR-256,169.684,138.657,176.764,161.7016667,
13,14,LCOR-014,186.362,196.613,159.141,180.7053333,
14,14,LCOR-091,129.363,131.654,162.029,141.0153333,
15,14,LCOR-264,114.028,116.9,100.897,110.6083333,
16,14,LCOR-1206,,,,,
1,15,LCOR-116,82.434,70.667,71.681,74.92733333,
2,15,LCOR-486,160.652,157.593,132.397,150.214,
3,15,LCOR-174,,,,,dead
4,15,LCOR-357,144.875,124.881,115.617,128.4576667,
5,15,LCOR-473,144.332,155.983,131.477,143.9306667,
6,15,LCOR-525,165.491,157.45,180.335,167.7586667,
7,15,LCOR-437,142.107,111.737,129.986,127.9433333,
8,15,LCOR-550,119.068,114.059,134.83,122.6523333,
9,15,LCOR-307,116.293,121.899,113.298,117.1633333,
10,15,LCOR-449,180.322,149.878,160.784,163.6613333,
11,15,LCOR-507,144.413,123.258,135.657,134.4426667,
12,15,LCOR-154,182.658,152.479,181.102,172.0796667,
13,15,LCOR-562,126.278,132.598,181.102,146.6593333,
14,15,LCOR-334,134.421,137.426,137.471,136.4393333,
15,15,LCOR-393,151.225,132.677,145.419,143.107,
16,15,LCOR-1070,,,,,
1,16,LCOR-442,137.604,111.814,133.471,127.6296667,
2,16,LCOR-247,166.903,122.843,149.274,146.34,
3,16,LCOR-611,117.482,101.401,112.437,110.44,
4,16,LCOR-327,106.579,104.785,93.654,101.6726667,
5,16,LCOR-528,78.255,67.945,80.394,75.53133333,
6,16,LCOR-072,58.104,39.691,34.436,44.077,
7,16,LCOR-610,119.784,131.693,120.902,124.1263333,
8,16,LCOR-516,80.032,81.135,79.177,80.11466667,
9,16,LCOR-280,124.886,134.023,133.634,130.8476667,
10,16,LCOR-033,141.948,104.079,125.795,123.9406667,
11,16,LCOR-331,137.3,158.244,167.633,154.3923333,
12,16,LCOR-372,169.49,203.821,132.516,168.609,
13,16,LCOR-105,79.383,88.391,95.645,87.80633333,
14,16,LCOR-352,162.688,147.397,150.019,153.368,
15,16,LCOR-614,141.167,129.308,145.013,138.496,
16,16,LCOR-1035,,,,,
1,17,LCOR-376,149.47,137.737,148.464,145.2236667,
2,17,LCOR-016,132.957,112.615,112.155,119.2423333,
3,17,LCOR-132,144.285,124.392,128.705,132.4606667,
4,17,LCOR-574,no scan,,,,
5,17,LCOR-079,105.613,117.369,107.983,110.3216667,
6,17,LCOR-458,138.818,161.081,149.876,149.925,
7,17,LCOR-411,113.49,94.262,129.044,112.2653333,
8,17,LCOR-394,146.221,185.752,160.876,164.283,
9,17,LCOR-275,115.039,117.507,123.193,118.5796667,
10,17,LCOR-601,90.33,93.719,102.477,95.50866667,
11,17,LCOR-252,142.699,119.291,130.338,130.776,
12,17,LCOR-134,65.953,106.881,no scan,86.417,
13,17,LCOR-502,169.608,172.733,145.794,162.7116667,
14,17,LCOR-481,163.92,148.46,160.057,157.479,
15,17,LCOR-271,171.174,163.133,172.523,168.9433333,
16,17,LCOR-1062,,,,,
1,18,LCOR-377,118.588,137.997,139.152,131.9123333,
2,18,LCOR-058,105.326,126.044,122.185,117.8516667,
3,18,LCOR-052,106.653,96.728,106.187,103.1893333,
4,18,LCOR-475,127.851,126.235,112.744,122.2766667,
5,18,LCOR-085,145.681,158.212,141.034,148.309,
6,18,LCOR-351,141.788,110.38,126.207,126.125,
7,18,LCOR-053,,,,,dead
8,18,LCOR-302,,,,,dead
9,18,LCOR-1069,,,,,
10,18,LCOR-306,116.098,99.427,118.741,111.422,
11,18,LCOR-392,128.972,138.757,123.175,130.3013333,
12,18,LCOR-243,181.226,141.354,180.851,167.8103333,
13,18,LCOR-572,155.57,163.325,166.814,161.903,
14,18,LCOR-463,159.878,168.398,129.525,152.6003333,
15,18,LCOR-260,177.29,187.212,196.701,187.0676667,
16,18,LCOR-1077,,,,,
1,19,LCOR-548,61.515,80.605,92.2,78.10666667,
2,19,LCOR-057,no scan,,,,
3,19,LCOR-406,90.442,74.971,104.088,89.83366667,
4,19,LCOR-089,116.467,114.347,129.884,120.2326667,
5,19,LCOR-491,96.322,89.665,84.877,90.288,
6,19,LCOR-121,130.089,105.617,122.533,119.413,
7,19,LCOR-585,53.769,47.542,44.907,48.73933333,
8,19,LCOR-554,123.648,137.259,143.02,134.6423333,
9,19,LCOR-152,107.476,110.405,112.164,110.015,
10,19,LCOR-558,95.271,96.406,104.395,98.69066667,
11,19,LCOR-138,86.111,85.44,95.864,89.13833333,
12,19,LCOR-383,41.923,43.091,52.393,45.80233333,
13,19,LCOR-568,68.123,62.933,74.963,68.673,
14,19,LCOR-080,97.419,100.241,86.125,94.595,
15,19,LCOR-391,152.209,148.792,143.521,148.174,
16,19,LCOR-1086,,,,,
1,20,LCOR-553,121.733,127.036,106.708,118.4923333,
2,20,LCOR-162,127.667,135.529,144.096,135.764,
3,20,LCOR-242,120.986,129.672,142.505,131.0543333,
4,20,LCOR-330,89.575,112.7,114.887,105.7206667,
5,20,LCOR-166,106.269,115.726,124.545,115.5133333,
6,20,LCOR-512,96.253,107.012,88.379,97.21466667,
7,20,LCOR-059,166.642,152.576,181.191,166.803,
8,20,LCOR-101,127.006,131.581,142.453,133.68,
9,20,LCOR-067,140.201,129.747,160.909,143.619,
10,20,LCOR-1100,,,,,
11,20,LCOR-103,134.606,125.92,119.572,126.6993333,
12,20,LCOR-230,150.179,132.396,159.043,147.206,
13,20,LCOR-534,143.914,173.616,145.75,154.4266667,
14,20,LCOR-261,102.884,148.607,140.048,130.513,
15,20,LCOR-493,111.886,96.943,101.282,103.3703333,
16,20,LCOR-1087,,,,,
1,21,LCOR-468,no scan,,,,
2,21,LCOR-098,no scan,,,,
3,21,LCOR-482,no scan,,,,
4,21,LCOR-350,no scan,,,,
5,21,LCOR-129,no scan,,,,
6,21,LCOR-012,no scan,,,,
7,21,LCOR-248,no scan,,,,
8,21,LCOR-476,no scan,,,,
9,21,LCOR-584,no scan,,,,
10,21,LCOR-518,no scan,,,,
11,21,LCOR-450,no scan,,,,
12,21,LCOR-017,no scan,,,,
13,21,LCOR-495,no scan,,,,
14,21,LCOR-144,no scan,,,,
15,21,LCOR-204,no scan,,,,
16,21,LCOR-1142,,,,,
1,22,LCOR-470,no scan,,,,
2,22,LCOR-616,no scan,,,,
3,22,LCOR-245,no scan,,,,
4,22,LCOR-165,no scan,,,,
5,22,LCOR-209,no scan,,,,
6,22,LCOR-340,no scan,,,,
7,22,LCOR-326,no scan,,,,
8,22,LCOR-149,no scan,,,,
9,22,LCOR-1015,,,,,
10,22,LCOR-169,no scan,,,,
11,22,LCOR-063,152.593,150.316,115.591,139.5,
12,22,LCOR-483,no scan,110.319,108.653,109.486,
13,22,LCOR-514,86.563,76.921,84.484,82.656,
14,22,LCOR-266,113.804,129.162,131.827,124.931,
15,22,LCOR-122,135.006,127.538,113.064,125.2026667,
16,22,LCOR-1148,,,,,
1,23,LCOR-485,160.726,139.724,128.254,142.9013333,
2,23,LCOR-398,76.963,98.144,115.023,96.71,
3,23,LCOR-171,86.441,85.366,88.867,86.89133333,
4,23,LCOR-422,130.232,113.844,125.025,123.0336667,
5,23,LCOR-319,131.718,116.64,111.397,119.9183333,
6,23,LCOR-106,114.995,119.129,85.879,106.6676667,
7,23,LCOR-445,no scan,,,,
8,23,LCOR-401,148.951,135.604,140.665,141.74,
9,23,LCOR-291,137.724,128.633,123.943,130.1,
10,23,LCOR-207,121.189,117.33,136.453,124.9906667,
11,23,LCOR-090,170.819,164.407,162.722,165.9826667,
12,23,LCOR-015,128.513,132.208,123.915,128.212,
13,23,LCOR-202,111.393,118.652,128.616,119.5536667,
14,23,LCOR-290,181.794,171.345,141.639,164.926,
15,23,LCOR-333,121.84,117.578,122.558,120.6586667,
16,23,LCOR-1155,,,,,
1,24,LCOR-489,115.277,107.483,110.935,111.2316667,
2,24,LCOR-178,143.796,147.226,135.006,142.0093333,
3,24,LCOR-367,112.685,111.935,111.051,111.8903333,
4,24,LCOR-608,138.06,132.878,132.761,134.5663333,
5,24,LCOR-229,157.385,126.92,151.13,145.145,
6,24,LCOR-503,no scan,114.087,123.006,118.5465,
7,24,LCOR-339,129.516,129.815,128.037,129.1226667,
8,24,LCOR-348,126.187,125.794,130.122,127.3676667,
9,24,LCOR-182,136.931,143.212,134.178,138.107,
10,24,LCOR-546,163,160.716,142.706,155.474,
11,24,LCOR-212,138.044,121.127,144.332,134.501,
12,24,LCOR-404,148.567,145.353,166.106,153.342,
13,24,LCOR-084,177.69,157.291,178.276,171.0856667,
14,24,LCOR-309,170.336,167.659,158.285,165.4266667,
15,24,LCOR-318,113.652,138.791,125.207,125.8833333,
16,24,LCOR-1162,,,,,
1,25,LCOR-214,106.88,124.569,124.51,118.653,
2,25,LCOR-192,133.597,125.726,117.74,125.6876667,
3,25,LCOR-130,125.224,133.662,143.287,134.0576667,
4,25,LCOR-606,84.898,76.722,100.925,87.515,
5,25,LCOR-022,145.094,140.348,129.835,138.4256667,
6,25,LCOR-434,129.464,164.597,159.903,151.3213333,
7,25,LCOR-160,129.114,134.077,149.417,137.536,
8,25,LCOR-199,103.042,66.229,86.151,85.14066667,
9,25,LCOR-506,96.565,74.869,120.109,97.181,
10,25,LCOR-049,132.066,147.319,149.401,142.9286667,
11,25,LCOR-065,145.844,150.266,141.689,145.933,
12,25,LCOR-055,172.043,150.811,185.181,169.345,
13,25,LCOR-448,128.478,128.826,122.326,126.5433333,
14,25,LCOR-379,169.114,134.252,148.783,150.7163333,
15,25,LCOR-301,148.783,137.337,157.353,147.8243333,
16,25,LCOR-1180,,,,,
1,26,LCOR-462,156.37,162.281,168.158,162.2696667,
2,26,LCOR-293,153.387,121.928,156,143.7716667,
3,26,LCOR-605,118.069,99.602,126.612,114.761,
4,26,LCOR-170,156.612,143.806,141.212,147.21,
5,26,LCOR-487,181.051,159.271,188.723,176.3483333,
6,26,LCOR-278,no scan,,,,
7,26,LCOR-613,121.986,114.543,144.597,127.042,
8,26,LCOR-300,103.6,108.78,118.081,110.1536667,
9,26,LCOR-341,63.369,74.805,60.041,66.07166667,
10,26,LCOR-095,95.494,138.67,121.08,118.4146667,
11,26,LCOR-361,109.095,138.059,149.285,132.1463333,
12,26,LCOR-387,168.564,155.823,165.984,163.457,
13,26,LCOR-356,164.233,173.462,148.036,161.9103333,
14,26,LCOR-484,140.369,158.259,146.581,148.403,
15,26,LCOR-508,134.503,127.436,155.584,139.1743333,
16,26,LCOR-1178,,,,,
1,27,LCOR-533,160.676,149.738,156.064,155.4926667,
2,27,LCOR-441,174.518,177.392,192.768,181.5593333,
3,27,LCOR-126,108.809,127.826,143.778,126.8043333,
4,27,LCOR-399,146.544,149.143,145.68,147.1223333,
5,27,LCOR-323,58.647,58.56,51.366,56.191,
6,27,LCOR-061,70.934,60.196,81.71,70.94666667,
7,27,LCOR-197,122.712,111.942,107.974,114.2093333,
8,27,LCOR-373,83.075,101.156,100.361,94.864,
9,27,LCOR-206,104.127,108.654,125.932,112.9043333,
10,27,LCOR-322,113.987,110.513,118.055,114.185,
11,27,LCOR-048,120.216,132.051,140.906,131.0576667,
12,27,LCOR-175,163.852,155.578,141.496,153.642,
13,27,LCOR-295,136.432,149.602,148.511,144.8483333,
14,27,LCOR-388,120.371,117.607,131.345,123.1076667,
15,27,LCOR-429,no scan,,,,
16,27,LCOR-1016,,,,,
1,28,LCOR-537,117.695,101.586,111.724,110.335,
2,28,LCOR-276,101.284,88.421,98.244,95.983,
3,28,LCOR-086,68.5,69.91,95.893,78.101,
4,28,LCOR-425,125.483,137.721,126.014,129.7393333,
5,28,LCOR-596,97.461,97.815,94.719,96.665,
6,28,LCOR-227,109.857,115.452,117.352,114.2203333,
7,28,LCOR-335,125.881,109.568,129.389,121.6126667,
8,28,LCOR-128,160.047,150.584,139.032,149.8876667,
9,28,LCOR-551,125.194,108.033,122.713,118.6466667,
10,28,LCOR-337,143.859,118.815,141.751,134.8083333,
11,28,LCOR-096,137.64,118.455,125.966,127.3536667,
12,28,LCOR-405,200.45,181.863,189.499,190.604,
13,28,LCOR-559,118.418,101.62,97.74,105.926,
14,28,LCOR-1018,,,,,
15,28,LCOR-083,130.518,123.713,121.173,125.1346667,
16,28,LCOR-1020,,,,,
1,29,LCOR-024,49.782,59.867,75.546,61.73166667,
2,29,LCOR-557,108.337,121.397,129.749,119.8276667,
3,29,LCOR-297,87.594,77.026,85.171,83.26366667,
4,29,LCOR-381,46.007,44.085,58.401,49.49766667,
5,29,LCOR-382,141.545,111.585,93.357,115.4956667,
6,29,LCOR-185,83.192,89.583,88.023,86.93266667,
7,29,LCOR-044,112.581,111.575,118.839,114.3316667,
8,29,LCOR-600,78.068,84.452,80.156,80.892,
9,29,LCOR-127,131.547,139.342,137.037,135.9753333,
10,29,LCOR-1048,,,,,
11,29,LCOR-1054,,,,,
12,29,LCOR-1049,,,,,
13,29,LCOR-1103,,,,,
14,29,LCOR-1122,,,,,
15,29,LCOR-1124,,,,,
16,29,LCOR-1134,,,,,
1,30,LCOR-424,no scan,,,,
2,30,LCOR-1025,,,,,
3,30,LCOR-583,no scan,,,,
4,30,LCOR-093,no scan,,,,
5,30,LCOR-281,no scan,,,,
6,30,LCOR-1073,,,,,
7,30,LCOR-1082,,,,,
8,30,LCOR-1095,,,,,
9,30,LCOR-1244,,,,,
10,30,LCOR-1052,,,,,
11,30,LCOR-1202,,,,,
12,30,LCOR-1210,,,,,
13,30,LCOR-1154,,,,,
14,30,LCOR-1099,,,,,
15,30,LCOR-1140,,,,,
16,30,LCOR-1161,,,,,
1,44,LCOR-1028,,,,,
2,44,LCOR-1169,,,,,
3,44,LCOR-1245,,,,,
4,44,LCOR-1014,,,,,
5,44,LCOR-1034,,,,,
6,44,LCOR-1118,,,,,
7,44,LCOR-1129,,,,,
8,44,LCOR-1136,,,,,
9,44,LCOR-1151,,,,,
10,44,LCOR-1159,,,,,
11,44,LCOR-1160,,,,,
12,44,LCOR-1193,,,,,
13,44,LCOR-1249,,,,,
14,44,LCOR-1261,,,,,
15,44,LCOR-1237,,,,,
16,44,LCOR-1135,,,,,
1,45,LCOR-1039,,,,,
2,45,LCOR-599,no scan,,,,
3,45,LCOR-316,no scan,,,,
4,45,LCOR-100,no scan,,,,
5,45,LCOR-304,no scan,,,,
6,45,LCOR-494,no scan,,,,
7,45,LCOR-439,no scan,,,,
8,45,LCOR-378,no scan,,,,
9,45,LCOR-595,no scan,,,,
10,45,LCOR-1239,,,,,
11,45,LCOR-371,no scan,,,,
12,45,LCOR-234,no scan,,,,
13,45,LCOR-461,no scan,,,,
14,45,LCOR-519,no scan,,,,
15,45,LCOR-1226,,,,,
16,45,LCOR-1027,,,,,
1,46,LCOR-1042,,,,,
2,46,LCOR-112,no scan,,,,
3,46,LCOR-190,no scan,,,,
4,46,LCOR-313,no scan,,,,
5,46,LCOR-446,no scan,,,,
6,46,LCOR-032,no scan,,,,
7,46,LCOR-492,no scan,,,,
8,46,LCOR-311,no scan,,,,
9,46,LCOR-523,no scan,,,,
10,46,LCOR-432,no scan,,,,
11,46,LCOR-025,no scan,,,,
12,46,LCOR-538,no scan,,,,
13,46,LCOR-102,no scan,,,,
14,46,LCOR-155,no scan,,,,
15,46,LCOR-490,no scan,,,,
16,46,LCOR-1255,,,,,
1,47,LCOR-1079,,,,,
2,47,LCOR-374,no scan,,,,
3,47,LCOR-521,no scan,,,,
4,47,LCOR-232,no scan,,,,
5,47,LCOR-315,no scan,,,,
6,47,LCOR-419,no scan,,,,
7,47,LCOR-365,no scan,,,,
8,47,LCOR-480,no scan,,,,
9,47,LCOR-433,no scan,,,,
10,47,LCOR-453,no scan,,,,
11,47,LCOR-223,no scan,,,,
12,47,LCOR-359,no scan,,,,
13,47,LCOR-216,no scan,,,,
14,47,LCOR-159,no scan,,,,
15,47,LCOR-426,no scan,,,,
16,47,LCOR-1068,,,,,
1,48,LCOR-1083,,,,,
2,48,LCOR-113,no scan,,,,
3,48,LCOR-505,no scan,,,,
4,48,LCOR-153,no scan,,,,
5,48,LCOR-336,no scan,,,,
6,48,LCOR-412,no scan,,,,
7,48,LCOR-509,no scan,,,,
8,48,LCOR-549,no scan,,,,
9,48,LCOR-466,no scan,,,,
10,48,LCOR-547,no scan,,,,
11,48,LCOR-598,no scan,,,,
12,48,LCOR-464,no scan,,,,
13,48,LCOR-555,no scan,,,,
14,48,LCOR-189,no scan,,,,
15,48,LCOR-447,no scan,,,,
16,48,LCOR-1170,,,,,
1,49,LCOR-1113,,,,,
2,49,LCOR-1172,,,,,
3,49,LCOR-270,no scan,,,,
4,49,LCOR-114,no scan,,,,
5,49,LCOR-591,no scan,,,,
6,49,LCOR-029,no scan,,,,
7,49,LCOR-056,no scan,,,,
8,49,LCOR-578,no scan,,,,
9,49,LCOR-586,no scan,,,,
10,49,LCOR-531,no scan,,,,
11,49,LCOR-477,no scan,,,,
12,49,LCOR-460,no scan,,,,
13,49,LCOR-615,no scan,,,,
14,49,LCOR-602,no scan,,,,
15,49,LCOR-456,no scan,,,,
16,49,LCOR-1174,,,,,
1,50,LCOR-1126,,,,,
2,50,LCOR-500,no scan,,,,
3,50,LCOR-119,no scan,,,,
4,50,LCOR-375,no scan,,,,
5,50,LCOR-208,no scan,,,,
