Obs#,Time,Date,configName,configAuthor,remark,Observation,ID,Timepoint,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
8,9:05:10,6/27/23,Auto gsw+F,LI-COR Default,,8,LCOR-001,8,0.405262,2.919282,0.35586,1.920513,1.285627,1.23156,1.822057,0.536431,12.199516,12.735092,18.04884,0.441786,PSF-00281_20230627090510,0,0,0,85.540298,337.447266,0.746508,0.5,0.8,67.017502,64.21,61.51,17.46,15.98,100.95,156.4,157.8,-0.9,224,4.039,-9,-174,157,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:04:55,6/27/23,-0.95,-0.002,-0.001,0.016,-0.004,0.087,1.081,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,324.102417,25,-9.238385,325.515045,324.213257,1.301788,2.505321,2.535532,1.658139,0.935382,0.369002,-0.014267,0.468804,0.315218,85.540298,0.001102,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627090510,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
9,9:07:27,6/27/23,Auto gsw+F,LI-COR Default,,9,LCOR-163,8,0.314046,2.918747,0.283538,1.77786,1.278816,1.228738,1.901865,0.623049,12.171026,12.667064,18.838552,0.441786,PSF-00281_20230627090727,0,0,0,98.095535,306.986542,0.680457,0.5,0.8,95.619164,63.68,61.19,17.51,16.65,100.96,156.3,157.5,-0.8,351,4.035,-52,-173,31,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:04:55,6/27/23,-0.95,0.004,-0.004,-9999,-0.051,0.577,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,293.639648,25,-9.274678,293.330658,293.700531,-0.369873,2.504911,2.534846,1.65757,0.934546,0.368296,-0.007777,0.476376,0.433192,98.095535,0.001095,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627090727,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
10,9:10:27,6/27/23,Auto gsw+F,LI-COR Default,,10,LCOR-504,8,0.047327,2.920813,0.046572,0.337352,1.214667,1.205174,1.93457,0.719903,11.937346,12.031377,19.162079,0.441786,PSF-00281_20230627091027,0,0,0,62.717201,159.616806,0.607076,0.5,0.8,62.385895,59.81,59.34,17.69,16.92,100.96,156.6,157.6,-0.7,257,4.03,11,-126,223,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:04:55,6/27/23,-0.95,0.001,-0.001,-9999,0.042,0.041,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,155.01738,25,-3.159307,155.276657,155.091095,0.185562,2.502588,2.52985,1.659772,0.934872,0.365663,-0.006863,0.487761,0.345416,62.717201,0.001066,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627091027,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
11,9:14:20,6/27/23,Auto gsw+F,LI-COR Default,,11,XXXXXXX,8,0.350806,2.917997,0.313158,2.180562,1.310781,1.249349,2.002156,0.691375,12.376288,12.984848,19.833735,0.441786,PSF-00281_20230627091420,0,0,0,92.262268,380.019073,0.757217,0.5,0.8,79.46328,62.82,59.87,18.12,17.46,100.95,156.2,157.7,-0.9,262,4.029,4,-100,194,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:04:55,6/27/23,-0.95,0.002,0.002,0.011,-0.388,-0.117,0.593,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,371.6297,25,-5.748813,372.1987,371.783875,0.414825,2.503173,2.533647,1.656772,0.934969,0.359378,-0.005757,0.50143,0.350476,92.262268,0.001059,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627091420,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
12,9:15:59,6/27/23,Auto gsw+F,LI-COR Default,,12,LCOR-164,8,0.387583,2.919106,0.342154,2.883444,1.312713,1.23155,2.148858,0.836145,12.199725,13.003727,21.286573,0.441786,PSF-00281_20230627091559,0,0,0,79.237106,190.904938,0.584939,0.5,0.8,300.957642,60.85,57.09,18.65,18.59,100.95,156.4,156.1,0.2,1286,4.026,3,169,141,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:15:44,6/27/23,-0.99,0.001,0.001,0.009,0.472,1.076,2.396,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,183.794983,25,-4.825156,185.845261,183.992889,1.852371,2.499599,2.531086,1.657951,0.930991,0.351781,0.000451,0.507287,1.302614,79.237106,0.001088,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627091559,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
13,9:18:01,6/27/23,Auto gsw+F,LI-COR Default,,13,LCOR-289,8,0.119357,2.919953,0.11467,1.056911,1.283989,1.254267,2.197851,0.913863,12.431936,12.726525,21.784468,0.441786,PSF-00281_20230627091801,0,0,0,72.475075,171.516037,0.577444,0.5,0.8,318.779846,57.81,56.47,19.12,18.95,100.89,156.5,157.6,-0.7,1380,4.022,-33,151,96,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:15:44,6/27/23,-0.99,0.001,0.004,-9999,-0.004,0.205,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,163.875458,25,-5.222564,164.383652,164.034698,0.348953,2.498741,2.527079,1.658854,0.934637,0.34524,-0.000723,0.513816,1.38989,72.475075,0.001084,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627091801,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
14,9:21:18,6/27/23,Auto gsw+F,LI-COR Default,,14,LCOR-040,8,0.244478,2.919039,0.225585,1.761442,1.3193,1.269705,2.094438,0.775138,12.574141,13.065286,20.741631,0.441786,PSF-00281_20230627092118,0,0,0,103.984596,369.088379,0.718266,0.5,0.8,100.513512,57.63,55.47,19.6,18.18,100.98,156.4,157.6,-0.8,350,4.016,-43,118,145,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:15:44,6/27/23,-0.99,0.003,-0.001,0.016,-0.243,-1.429,1.811,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,353.430756,25,-11.007669,352.850311,353.319855,-0.469543,2.497396,2.526778,1.657881,0.934786,0.33859,-0.014088,0.524551,0.431836,103.984596,0.00109,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627092118,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
15,9:24:50,6/27/23,Auto gsw+F,LI-COR Default,,15,LCOR-277,8,0.180796,2.918416,0.170249,2.086983,1.33198,1.27321,2.545789,1.213809,12.611373,13.193501,25.216505,0.441786,PSF-00281_20230627092450,0,0,0,75.863243,132.45192,0.427239,0.5,0.8,180.390656,56.73,54.22,20.01,21.32,100.96,156.3,157.5,-0.8,1056,4.014,-40,172,68,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:15:44,6/27/23,-0.99,-0.004,0.002,-9999,-0.818,-2.018,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,124.385834,25,-5.590031,124.044296,124.444183,-0.399887,2.495751,2.52553,1.657218,0.934452,0.333056,0.015225,0.535117,1.088072,75.863243,0.001065,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627092450,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
16,9:28:10,6/27/23,Auto gsw+F,LI-COR Default,,16,LCOR-111,8,0.17759,2.919225,0.167406,1.540853,1.326438,1.283077,2.239183,0.912745,12.710274,13.139817,22.181549,0.441786,PSF-00281_20230627092810,0,0,0,82.192543,222.123154,0.629969,0.5,0.8,74.795349,55.49,53.68,20.3,19.25,100.95,156.4,157.4,-0.7,297,4.01,-48,159,60,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:28:01,6/27/23,-0.82,0.004,0.003,-9999,-0.04,-0.344,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,214.267014,25,-5.394956,214.605331,214.394867,0.210464,2.495011,2.523658,1.658078,0.934329,0.329229,-0.010293,0.545696,0.382528,82.192543,0.001066,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627092810,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
17,9:30:10,6/27/23,Auto gsw+F,LI-COR Default,,17,LCOR-588,8,0.276974,2.92007,0.252979,2.43736,1.390507,1.32201,2.345056,0.954549,13.096665,13.775236,23.2316,0.441786,PSF-00281_20230627093010,0,0,0,90.406181,304.021271,0.702632,0.5,0.8,106.561806,57.16,54.35,20.58,19.99,100.94,156.5,157.4,-0.6,379,4.01,-38,-158,221,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:28:01,6/27/23,-0.82,0.001,0.002,0.018,-0.009,0.022,0.052,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,287.036072,25,-11.744418,287.249908,287.197357,0.052551,2.495807,2.525791,1.658979,0.934186,0.325499,-0.005416,0.551826,0.459087,90.406181,0.001047,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627093010,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
18,9:31:07,6/27/23,Auto gsw+F,LI-COR Default,,18,LCOR-035,8,0.153453,2.919359,0.145789,1.68886,1.3224,1.274886,2.469611,1.147211,12.631639,13.10241,24.469034,0.441786,PSF-00281_20230627093107,0,0,0,127.974632,280.692902,0.544076,0.5,0.8,168.457428,53.86,51.93,20.73,20.83,100.93,156.4,157.3,-0.6,774,4.009,-33,-128,170,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:28:01,6/27/23,-0.82,0,0.002,-9999,-1.63,-2.759,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,267.296783,25,-9.628535,265.854126,266.899994,-1.045868,2.492708,2.521451,1.658221,0.934011,0.323544,0.001991,0.554574,0.826301,127.974632,0.001068,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627093107,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
19,9:31:59,6/27/23,Auto gsw+F,LI-COR Default,,19,LCOR-218,8,0.094702,2.921364,0.091728,1.229247,1.371092,1.336581,2.696384,1.325292,13.242813,13.584756,26.715719,0.441786,PSF-00281_20230627093159,0,0,0,26.628971,47.660286,0.441275,0.5,0.8,159.599152,55.49,54.09,20.84,22.26,100.93,156.7,157.3,-0.4,904,4.006,-51,174,58,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:28:01,6/27/23,-0.82,0.001,0.002,-9999,-5.138,-1.603,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,46.094658,25,-1.937593,45.531036,44.884678,0.646358,2.495438,2.523564,1.660362,0.934021,0.322191,0.016526,0.556978,0.947317,26.628971,0.001064,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627093159,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
20,9:33:22,6/27/23,Auto gsw+F,LI-COR Default,,20,LCOR-066,8,0.199765,2.918324,0.186966,1.878512,1.347761,1.294881,2.343289,0.995528,12.82956,13.35349,23.217091,0.441786,PSF-00281_20230627093322,0,0,0,78.393105,154.343323,0.492086,0.5,0.8,111.611794,54.42,52.28,20.87,19.98,100.93,156.3,157.5,-0.8,567,4.002,-49,174,78,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:28:01,6/27/23,-0.82,0.002,0.003,0.013,0.304,0.313,0.96,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,145.033844,25,-6.639806,143.747086,144.831787,-1.084702,2.493135,2.522156,1.65712,0.934447,0.321705,-0.008723,0.56054,0.633796,78.393105,0.001069,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627093322,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
21,9:37:05,6/27/23,Auto gsw+F,LI-COR Default,,21,LCOR-338,8,0.252298,2.919635,0.23223,2.056934,1.314002,1.256144,2.192374,0.878372,12.44662,13.019914,21.723347,0.441786,PSF-00281_20230627093705,0,0,0,97.782257,338.679413,0.711284,0.5,0.8,104.531227,53.35,51,20.78,18.91,100.92,156.4,157,-0.3,367,4,15,167,139,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:28:01,6/27/23,-0.82,0.001,0.001,-9999,-0.12,-0.136,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,322.806702,25,-10.971376,322.898987,322.962891,-0.063904,2.491518,2.520769,1.658515,0.933122,0.322875,-0.019157,0.570517,0.448161,97.782257,0.001089,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627093705,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
22,9:40:15,6/27/23,Auto gsw+F,LI-COR Default,,22,LCOR-077,8,0.194844,2.92056,0.182658,1.761629,1.30491,1.255378,2.261278,0.956369,12.436131,12.926808,22.400873,0.441786,PSF-00281_20230627094015,0,0,0,58.022617,177.740723,0.673555,0.5,0.8,77.771736,53.31,51.28,20.68,19.4,100.95,156.6,157,-0.3,289,3.996,-33,154,99,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:40:00,6/27/23,-0.74,-0.004,0.002,0.005,2.032,1.442,-6.708,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,153.247833,25,-16.803663,148.988846,153.669418,-4.680573,2.491893,2.52061,1.659502,0.933133,0.324157,-0.012805,0.57829,0.37494,58.022617,0.001085,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627094015,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
23,9:42:36,6/27/23,Auto gsw+F,LI-COR Default,,23,LCOR-604,8,0.150871,2.919068,0.143456,1.370231,1.295157,1.25658,2.242475,0.947318,12.447764,12.82991,22.2141,0.441786,PSF-00281_20230627094236,0,0,0,72.27874,208.293198,0.652995,0.5,0.8,70.956131,53.07,51.49,20.63,19.27,100.95,156.4,157.2,-0.5,272,3.994,-47,155,97,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,9:40:00,6/27/23,-0.74,0.002,0.002,-9999,-7.933,-2.241,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,208.293198,25,-3.362547,190.102097,203.476334,-13.374237,2.492165,2.520307,1.657911,0.933676,0.324801,-0.013698,0.584133,0.359127,72.27874,0.001052,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230627094236,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
