obs,time,elapsed,date,hhmmss,averaging,Group name,Control v transgenic,obs,ID,Leaf number,Plant age,TIME,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Asty,Esty,Adyn,Crd,Csd,dCsd/dt,αVc,Edyn,Hr,Hs,dHs/dt,αVh,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt._Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,UseDynamic,TIME,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
47,1693244096,7687.1,20230828 10:34:56,10:34:56,5,,Transgenic,47,LCOR-250,,,1693244088,0.001214922,1.214921985,7.506491801,402.0025806,288.3004231,29.27832688,40.82534057,0.113566461,2.955904003,0.111196995,0.069706891,33.04843327,23.44630963,22.65825806,2.761922892,57.4591421,1.676596081,2.917892645,1.08532681,-53.57805952,144.7598978,10.16342739,134.393699,7.506491801,1.214921985,7.846620223,416.3473417,408.4764727,-0.021151082,67.25868341,1.253881058,15.31891072,16.5509297,0.000198238,78.44623354,67,11,1,0,54295.85932,-,0,0,0,#DIV/0!,0.5,RECT-772-20230828-10_34_53,8149.06,1023.8616,2888.66,0.645558287,0.5,168.5841186,7.506491801,54.41543736,0.041560806,-1,#DIV/0!,DARK-773-20230828-10_34_59,665.73,665.73,0.76953674,0.838892093,4.339086416,0.645558287,#DIV/0!,0.545460083,0.454539917,199.9992581,168.5841186,0.84292372,0.165242779,6,0.5,0: Broadleaf,2,FALSE,1693244088,402.0025806,409.9971935,16.50925484,15.31443226,402.3945806,16.44325484,600.0210645,101.4549032,0.10001841,23.56664839,22.65825806,999.9,0,0,10005.43968,0,385.9925484,199.9992581,0.900053516,0.099946484,0,1025.43,5.00022,2176.1,1797.759677,34.312,38.522,36.19332258,35.05819355,36.06416129,175.5096774,19.4916129,0,165.3999999,0,1023.8616,-121.5346156,-236.9861542,2172.9484,15,1693244121,10:35:21,1693244115,1693244121,48,0.104,-0.001,-0.392,0.066,410,15,0.33,0.08,100,100,-0.392,0.066,-0.985603996,0.000439478,2.00E-06,-3.80E-10,-0.053762404,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,2.3,2.4,1.07178,2.5647,1.39771,2.27905,1.39526,2.54639,30.8686,14.6749,18,525.51,397.269,22.9141,23.8813,30.0004,23.679,24.0312,21.4775,0,100,-999.9,410,56.859,99.2271,93.7975
48,1693244210,7800.6,20230828 10:36:49,10:36:49,5,,Transgenic,48,LCOR-279,,,1693244202,0.000999343,0.999342865,8.027400249,401.5749333,244.6477156,24.84553438,40.78249325,0.086319943,2.954679837,0.084943054,0.053211287,33.04672961,23.66614419,23.06706,2.831186945,56.42665253,1.662826484,2.946881322,1.168360461,-44.07102035,105.7262814,7.447562202,102.1495529,8.027400249,0.999342865,8.066520044,416.4064609,408.2598667,-0.009913965,67.25927884,1.095795102,15.39471637,16.43981091,0.006074011,78.44782517,21,4,1,0,54229.7148,-,0,0,0,#DIV/0!,0.5,RECT-774-20230828-10_36_46,8150.38,1118.1088,3096.28,0.638886406,0.5,168.5753159,8.027400249,53.85023883,0.04465304,-1,#DIV/0!,DARK-775-20230828-10_36_52,719.8,719.8,0.767527485,0.832395476,4.301583773,0.638886406,#DIV/0!,0.535867586,0.464132414,199.9888,168.5753159,0.842923783,0.165242902,6,0.5,0: Broadleaf,2,FALSE,1693244202,401.5749333,410.0033,16.37343333,15.39049333,402.0339333,16.30943333,600.0245333,101.4563333,0.100038513,23.73078333,23.06706,999.9,0,0,9998.350667,0,302.7528667,199.9888,0.900048433,0.099951567,0,1118.861667,5.00022,2425.943333,1797.660667,34.7374,39.1374,36.9372,35.8496,36.6622,175.4996667,19.491,0,111.2,0,1118.1088,-108.7115383,-214.0615382,2424.5584,15,1693244231,10:37:10,1693244231,1693244229,49,-0.067,-0.003,-0.459,0.064,410,15,0.66,0.09,100,100,-0.459,0.064,-0.881824587,0.000439478,2.00E-06,-3.80E-10,-0.054770492,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.6,1.5,1.07178,2.56958,1.39771,2.27905,1.39526,2.44019,30.8902,14.6486,18,576.93,397.235,23.054,23.9604,30.0001,23.7469,24.0989,21.4802,0,100,-999.9,410,56.859,99.216,93.791
49,1693244342,7933.1,20230828 10:39:02,10:39:02,5,,Transgenic,49,LCOR-342,,,1693244334,0.000678182,0.678181601,5.912388519,403.7993333,223.3478324,22.68159898,41.00695515,0.054787312,2.954904587,0.054229174,0.033942906,33.04815095,23.88976985,23.32522,2.875706041,54.97815058,1.63390069,2.971909155,1.241805351,-29.90780859,87.00273227,6.140545218,96.28361985,5.912388519,0.678181601,6.212721777,416.4274387,410.3211879,-0.044254949,67.25939657,0.726151073,15.42529447,16.13143636,0.001544917,78.44863388,11,2,1,0,54210.59077,-,0,0,0,#DIV/0!,0.5,RECT-776-20230828-10_38_59,8243.59,870.5060769,2240.72,0.611506089,0.5,168.5819341,5.912388519,51.54443957,0.032105389,-1,#DIV/0!,DARK-777-20230828-10_39_05,627.07,627.07,0.720147988,0.849139481,3.573317174,0.611506089,#DIV/0!,0.611678549,0.388321451,199.9965667,168.5819341,0.842924141,0.165243591,6,0.5,0: Broadleaf,2,FALSE,1693244334,403.7993333,409.9856,16.08917333,15.4219,404.2463333,16.02117333,599.9972,101.4528333,0.099972157,23.87136,23.32522,999.9,0,0,9999.971,0,379.8805333,199.9965667,0.900032267,0.09996774,0,870.6891667,5.00022,1931.076667,1797.723333,35.05786667,39.375,37.4832,34.77066667,36.812,175.503,19.494,0,130.3999999,0,870.5060769,-54.74167525,-113.0844446,1930.724615,15,1693244368,10:39:27,1693244366,1693244368,50,0.011,0.003,-0.447,0.068,410,15,1.39,0.58,100,100,-0.447,0.068,-0.948774411,0.000439478,2.00E-06,-3.80E-10,-0.057954153,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.9,1.9,1.07178,2.56592,1.39771,2.27905,1.39526,2.55737,30.9985,14.6311,18,588.103,397.047,23.2272,24.0276,30.0001,23.809,24.16,21.4817,0,100,-999.9,410,56.859,99.1942,93.7845
50,1693244501,8092.1,20230828 10:41:41,10:41:41,5,,Transgenic,50,LCOR-076,,,1693244493,0.001176145,1.176145302,7.443785413,402.0765667,278.6123829,28.29491739,40.83351616,0.103341689,2.955649412,0.101375531,0.063533243,33.05067689,23.7859136,23.11011333,2.838569233,56.66581997,1.68657362,2.97635086,1.151995613,-51.86800782,125.2589572,8.829900472,115.2715267,7.443785413,1.176145302,7.44201764,416.468861,408.8902303,0.004398927,67.25838819,1.222996966,15.45794252,16.65554848,0.000922134,78.44523957,30,5,1,0,54228.11399,-,0,0,0,#DIV/0!,0.5,RECT-778-20230828-10_41_38,8141.25,939.8462692,2677.12,0.648933828,0.5,168.5911946,7.443785413,54.70226467,0.041187118,-1,#DIV/0!,DARK-779-20230828-10_41_44,656.33,656.33,0.754837288,0.859700281,4.078923712,0.648933828,#DIV/0!,0.600361042,0.399638958,200.0070667,168.5911946,0.842926189,0.165247546,6,0.5,0: Broadleaf,2,FALSE,1693244493,402.0765667,409.9928,16.60723333,15.45068667,402.5445667,16.53923333,600.0343,101.4565333,0.1000346,23.8962,23.11011333,999.9,0,0,10003.83367,0,416.1467333,200.0070667,0.899963367,0.100036643,0,940.0688,5.00022,2083.075,1797.781667,35.18493333,39.375,37.258,35.17476667,36.87913333,175.4986667,19.50866667,0,156.8,0,939.8462692,-45.49842739,-96.70974361,2082.451538,15,1693244532,10:42:11,1693244532,1693244524,51,-0.02,0,-0.468,0.068,410,15,1,0.16,100,100,-0.468,0.068,-0.937563061,0.000439478,2.00E-06,-3.80E-10,-0.05494655,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,2.2,2.2,1.07178,2.57202,1.39771,2.27905,1.39526,2.52319,31.0419,14.6136,18,566.795,397.279,23.3095,24.0398,30.0002,23.8391,24.1899,21.4788,0,100,-999.9,410,56.859,99.2066,93.7846
51,1693244629,8219.6,20230828 10:43:48,10:43:48,5,,Transgenic,51,LCOR-231,,,1693244621,0.001647939,1.647938947,8.631066532,400.7045806,305.8367719,31.05894859,40.69315436,0.159365516,2.954505702,0.154739364,0.097116558,33.04247846,23.46837664,22.88016774,2.799335162,59.21991732,1.741990218,2.941561382,1.057344944,-72.67410758,130.7078853,9.197759199,100.2740154,8.631066532,1.647938947,8.296446321,416.475486,407.8184727,0.049860871,67.25937352,1.711488899,15.54234165,17.21918121,0.00095978,78.44835909,1,0,1,0,54230.00985,-,0,0,0,#DIV/0!,0.5,RECT-780-20230828-10_43_45,8169.25,940.7582692,2710.27,0.65289131,0.5,168.5503989,8.631066532,55.02254539,0.048241159,-1,#DIV/0!,DARK-781-20230828-10_43_51,677.2,677.2,0.750135595,0.87036439,4.002170703,0.65289131,#DIV/0!,0.626527328,0.373472672,199.9588065,168.5503989,0.84292561,0.165246428,6,0.5,0: Broadleaf,2,FALSE,1693244621,400.7045806,409.995871,17.15333871,15.5336871,401.1535806,17.08533871,600.0072903,101.4540323,0.099971184,23.70076774,22.88016774,999.9,0,0,9997.589355,0,428.668,199.9588065,0.899980645,0.100019406,0,941.5618387,5.00022,2090.367419,1797.346452,34.875,38.86687097,37.377,32.26987097,36.062,175.4580645,19.5,0,125.7,0,940.7582692,-65.19593154,-132.6871793,2088.79,15,1693244655,10:44:14,1693244648,1693244655,52,0.019,-0.002,-0.449,0.068,410,16,0.28,0.05,100,100,-0.449,0.068,-0.957954445,0.000439478,2.00E-06,-3.80E-10,-0.055174415,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.6,1.7,1.07178,2.56714,1.39771,2.27905,1.39526,2.64526,31.0636,14.5873,18,599.744,396.958,23.2275,24.0559,30.0001,23.859,24.2079,21.4814,0,100,-999.9,410,56.859,99.1993,93.7808
52,1693244770,8360.6,20230828 10:46:09,10:46:09,5,,Transgenic,52,LCOR-511,,,1693244762,0.001660804,1.660804115,8.375987447,400.9317419,308.9797156,31.37775487,40.71574049,0.160013329,2.955071234,0.155350948,0.097501923,33.04996052,23.51699557,22.99118065,2.818216908,59.54426915,1.757006574,2.950756806,1.061210334,-73.24146149,121.3076946,8.541681872,89.65787548,8.375987447,1.660804115,8.498264561,416.4847222,407.8863333,-0.007547429,67.26,1.758400982,15.67641846,17.37442727,0.005538742,78.45216782,52,9,1,0,54237.20029,-,0,0,0,#DIV/0!,0.5,RECT-782-20230828-10_46_06,8177.63,888.3629615,2574.89,0.654989937,0.5,168.5881346,8.375987447,55.2117658,0.04671733,-1,#DIV/0!,DARK-783-20230828-10_46_12,-11135.13,-11135.13,5.324507066,0.123014192,-0.231240228,0.654989937,#DIV/0!,-1.541913704,2.541913704,200.0035161,168.5881346,0.842925854,0.165246897,6,0.5,0: Broadleaf,2,FALSE,1693244762,400.9317419,409.9731935,17.30140968,15.6694129,401.3227419,17.22940968,600.026871,101.4527742,0.100024519,23.75261935,22.99118065,999.9,0,0,10000.92258,0,386.9553548,200.0035161,0.899960968,0.100039074,0,889.1983871,5.00022,1940.105484,1797.747097,34.85874194,38.917,37,34.77193548,36.4816129,175.4951613,19.50580645,0,139,0,888.3629615,-76.31784621,-141.7521369,1938.599615,15,1693244801,10:46:40,1693244801,1693244794,53,0.058,0.002,-0.391,0.072,410,16,0.53,0.05,100,100,-0.391,0.072,-0.939165307,0.000439478,2.00E-06,-3.80E-10,-0.056998738,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,2,1.9,1.07178,2.56714,1.39771,2.27905,1.39526,2.4292,31.0853,14.5698,18,541.763,397.042,23.1989,24.0769,30.0002,23.8792,24.2298,21.4814,0,100,-999.9,410,56.859,99.1941,93.7763
53,1693244878,8468.6,20230828 10:47:57,10:47:57,5,,Transgenic,53,LCOR-041,,,1693244870,0.001550381,1.550381354,8.707300011,400.6709355,299.7221094,30.43617087,40.68731893,0.150150144,2.954693709,0.14603636,0.091632944,33.05240276,23.52864094,22.91400323,2.805078345,59.40748981,1.75118945,2.9477587,1.053888895,-68.3718177,130.8955364,9.213586192,104.7897077,8.707300011,1.550381354,8.687729379,416.5375447,407.8109152,-0.021647139,67.25958419,1.609610421,15.72513933,17.30242364,0.000828575,78.44996927,14,2,1,0,54229.03781,-,0,0,0,#DIV/0!,0.5,RECT-784-20230828-10_47_54,8131.98,969.32084,2715.34,0.643020454,0.5,168.6025673,8.707300011,54.2074497,0.048678381,-1,#DIV/0!,DARK-785-20230828-10_48_00,-9415.73,-9415.73,4.467606267,0.143929526,-0.288383375,0.643020454,#DIV/0!,-1.398093906,2.398093906,200.0209032,168.6025673,0.842924737,0.165244743,6,0.5,0: Broadleaf,2,FALSE,1693244870,400.6709355,409.9992903,17.24494839,15.72132581,401.2209355,17.17294839,600.008871,101.4479677,0.099999258,23.73572903,22.91400323,999.9,0,0,9999.253871,0,484.0553548,200.0209032,0.899998516,0.10000151,0,970.0490968,5.00022,2077.434839,1797.930645,34.67116129,39.25,36.45341935,35.32425806,36.75987097,175.5177419,19.5,0,106,0,969.32084,-43.59761544,-115.2123079,2075.7664,15,1693244915,10:48:34,1693244915,1693244903,54,-0.159,0,-0.55,0.072,410,16,0.45,0.07,100,100,-0.55,0.072,-0.881557854,0.000439478,2.00E-06,-3.80E-10,-0.055434853,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.3,1.4,1.07178,2.5647,1.39771,2.27905,1.39526,2.54883,31.107,14.5523,18,584.579,396.429,23.2596,24.1423,30.0003,23.9374,24.2884,21.4825,0,100,-999.9,410,56.859,99.1811,93.7607
54,1693245009,8599.6,20230828 10:50:08,10:50:08,5,,Transgenic,54,LCOR-286,,,1693245001,0.002721063,2.721063048,9.980364507,398.9216129,340.1816742,34.54571429,40.51080087,0.314324249,2.955235989,0.296861891,0.187026716,33.04739372,23.10712489,22.80284839,2.786249694,64.1258258,1.876796978,2.926741223,0.909452715,-119.9988804,129.6968868,9.116917134,51.86231721,9.980364507,2.721063048,10.14793859,416.5473411,406.240503,-0.000832626,67.25868824,2.806038878,15.80976333,18.5611703,0.000459876,78.44501672,12,2,1,0,54266.83909,-,0,0,0,#DIV/0!,0.5,RECT-786-20230828-10_50_05,8151.26,1157.2408,3439.96,0.663588879,0.5,168.5763733,9.980364507,55.9327033,0.056237801,-1,#DIV/0!,DARK-787-20230828-10_50_12,835,835,0.757264619,0.876297218,4.119712575,0.663588879,#DIV/0!,0.632286882,0.367713118,199.9897419,168.5763733,0.842925101,0.165245444,6,0.5,0: Broadleaf,2,FALSE,1693245001,398.9216129,409.9871613,18.48136452,15.81066452,399.3706129,18.40936452,600.0166452,101.4507742,0.100005603,23.6169,22.80284839,999.9,0,0,10002.05484,0,493.962871,199.9897419,0.900009097,0.099990881,0,1157.710968,5.00022,2484.996129,1797.646452,34.19106452,39,36.522,33.83441935,35.95732258,175.4929032,19.5,0,128.5999999,0,1157.2408,-53.47384608,-97.05692292,2484.0228,15,1693245035,10:50:34,1693245027,1693245035,55,0.101,-0.002,-0.449,0.072,410,16,0.4,0.04,100,100,-0.449,0.072,-1.04086215,0.000439478,2.00E-06,-3.80E-10,-0.055609249,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.6,1.8,1.07178,2.57935,1.39771,2.27783,1.39526,2.37549,31.1287,14.5085,18,586.296,395.838,23.1727,24.1854,30.0002,23.9836,24.333,21.4821,0,100,-999.9,410,56.859,99.172,93.752
55,1693245146,8736.6,20230828 10:52:25,10:52:25,5,,Transgenic,55,LCOR-289,,,1693245138,0.001433729,1.43372909,8.542943382,400.8660968,296.5030805,30.1091663,40.70697664,0.141795958,2.954976258,0.138121521,0.086648153,33.0505015,23.47630523,22.79193548,2.784407119,59.79492274,1.753877158,2.933153983,1.030529961,-63.22745289,137.2125661,9.647316373,116.6829311,8.542943382,1.43372909,8.66944104,416.5319572,407.9343879,-0.04582653,67.255812,1.481318549,15.86085529,17.31455576,0.000352609,78.55,2,0,1,0,54252.45179,-,0,0,0,#DIV/0!,0.5,RECT-788-20230828-10_52_22,8147.98,932.69488,2575.04,0.637794023,0.5,168.5904181,8.542943382,53.76298045,0.047707002,-1,#DIV/0!,DARK-789-20230828-10_52_29,701.6,701.6,0.727538213,0.876646767,3.670239453,0.637794023,#DIV/0!,0.659438993,0.340561007,200.0061613,168.5904181,0.842926123,0.165247417,6,0.5,0: Broadleaf,2,FALSE,1693245138,400.8660968,409.9833226,17.27148387,15.8625871,401.3900968,17.19348387,600.0296774,101.4475484,0.100018171,23.65323548,22.79193548,999.9,0,0,10000.89871,0,523.8714194,200.0061613,0.899973387,0.100026561,0,933.0518387,5.00022,2021.706129,1797.779355,34.33232258,38.903,36.774,33.18325806,35.903,175.5006452,19.5083871,0,134.5999999,0,932.69488,-38.44530764,-63.39846155,2021.1232,15,1693245174,10:52:53,1693245168,1693245174,56,-0.075,0.005,-0.524,0.078,410,16,0.62,0.16,100,100,-0.524,0.078,-0.939371418,0.000439478,2.00E-06,-3.80E-10,-0.05782891,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,2,1.9,1.07178,2.57202,1.39771,2.27783,1.39526,2.61841,31.1939,14.4998,18,598.167,395.617,23.1744,24.21,30.0001,24.0117,24.3621,21.4825,0,100,-999.9,410,56.859,99.1717,93.753
56,1693245269,8859.6,20230828 10:54:28,10:54:28,5,,Transgenic,56,LCOR-161,,,1693245261,0.001895833,1.895832764,8.89541721,400.3482581,318.4875777,32.34106877,40.65367522,0.192985642,2.95402531,0.186245083,0.116989175,33.04699873,23.3813533,22.93896129,2.809321292,61.24638587,1.79911799,2.937508825,1.010203302,-83.60622491,117.6768433,8.283629041,75.40124616,8.89541721,1.895832764,9.151900669,416.6134981,407.4305273,-0.025169516,67.25843564,2.036491586,15.85465567,17.81145636,0.008063192,78.44438391,0,0,1,0,54219.83233,-,0,0,0,#DIV/0!,0.5,RECT-790-20230828-10_54_25,8147.66,965.2588846,2890.88,0.666102057,0.5,168.5742876,8.89541721,56.1438399,0.049802478,-1,#DIV/0!,DARK-791-20230828-10_54_31,-10055.67,-10055.67,4.478411418,0.148736236,-0.287487557,0.666102057,#DIV/0!,-1.549472923,2.549472923,199.9872581,168.5742876,0.842925141,0.165245521,6,0.5,0: Broadleaf,2,FALSE,1693245261,400.3482581,410.0022581,17.71730968,15.85514516,400.7762581,17.64130968,600.0255161,101.4457419,0.100035771,23.67787097,22.93896129,999.9,0,0,9995.680645,0,353.0328065,199.9872581,0.899982548,0.100017426,0,965.8930323,5.00022,2071.785806,1797.610968,34.5,38.812,36.923,33.7193871,36.048,175.4841935,19.49935484,0,120.8,0,965.2588846,-67.80851287,-141.768889,2070.524615,15,1693245297,10:54:56,1693245289,1693245297,57,0.096,-0.002,-0.428,0.076,410,16,0.47,0.05,100,100,-0.428,0.076,-1.01395611,0.000439478,2.00E-06,-3.80E-10,-0.052553194,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.7,1.6,1.07178,2.56714,1.39771,2.27783,1.39526,2.6355,31.2156,14.4823,18,609.334,395.046,23.1687,24.2039,30,24.0117,24.3606,21.4808,0,100,-999.9,410,56.859,99.1768,93.7565
57,1693245369,8960.1,20230828 10:56:09,10:56:09,5,,Transgenic,57,LCOR-233,,,1693245361,0.000757202,0.757201861,4.287396698,405.4205333,284.8470058,28.92404168,41.1673641,0.060953132,2.954811947,0.060263129,0.037725799,33.04948983,24.03516871,23.6505,2.932670777,56.16252397,1.685813629,3.001669992,1.246857148,-33.39260205,61.59805504,4.358456024,65.61339884,4.287396698,0.757201861,4.351715444,416.6628094,412.2626909,-0.004687683,67.25745656,0.796722349,15.85330713,16.6351297,0.000301569,78.55,27,5,1,0,54177.36742,-,0,0,0,#DIV/0!,0.5,RECT-792-20230828-10_56_06,8157.49,798.13532,2089.45,0.61801655,0.5,168.5900494,4.287396698,52.09572033,0.022465126,-1,#DIV/0!,DARK-793-20230828-10_56_12,-8316.73,-8316.73,4.98034411,0.124091134,-0.25123456,0.61801655,#DIV/0!,-1.29305449,2.29305449,200.0063667,168.5900494,0.842923414,0.165242189,6,0.5,0: Broadleaf,2,FALSE,1693245361,405.4205333,410.0147667,16.60207,15.85746333,405.8125333,16.53007,600.0194,101.4423667,0.100009,24.03718,23.6505,999.9,0,0,10000.477,0,515.4097333,200.0063667,0.900046933,0.099953067,0,798.0118,5.00022,1708.931333,1797.822333,34.9874,39.2164,37.2206,35.87893333,36.73313333,175.5156667,19.49,0,98.5999999,0,798.13532,8.337076914,27.01153834,1709.28,15,1693245393,10:56:33,1693245393,1693245388,58,0.036,-0.004,-0.392,0.072,410,16,1.06,0.16,100,100,-0.392,0.072,-0.918266558,0.000439478,2.00E-06,-3.80E-10,-0.054080575,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.3,1.2,1.07178,2.56958,1.39771,2.27783,1.39526,2.64282,31.3026,14.456,18,569.98,395.103,23.3123,24.2079,30,24.0152,24.3681,21.4832,0,100,-999.9,410,56.859,99.1827,93.76
58,1693245513,9104.1,20230828 10:58:33,10:58:33,5,,Transgenic,58,LCOR-218,,,1693245505,0.002417916,2.417915844,9.171968881,399.8691935,333.6701179,33.87923015,40.60076019,0.25298832,2.954291718,0.241539329,0.151947545,33.04705985,23.7126595,23.18929677,2.852190668,61.54817317,1.859361594,3.020985836,0.992829075,-106.6300887,152.0629291,10.7420844,89.2219846,9.171968881,2.417915844,9.070593095,416.680472,407.4047455,0.012766165,67.25890543,2.479139305,15.94191478,18.37452121,0.000157541,78.44656651,12,2,1,0,54142.39099,-,0,0,0,#DIV/0!,0.5,RECT-794-20230828-10_58_30,8123.66,933.9724615,2712.95,0.655735468,0.5,168.5776661,9.171968881,55.2711774,0.05144198,-1,#DIV/0!,DARK-795-20230828-10_58_36,-9227,-9227,4.401094749,0.148993718,-0.294022976,0.655735468,#DIV/0!,-1.471954569,2.471954569,199.9916774,168.5776661,0.842923407,0.165242175,6,0.5,0: Broadleaf,2,FALSE,1693245505,399.8691935,410.0074516,18.3125,15.93899355,400.3371935,18.2385,600.0331935,101.4350645,0.100039571,24.14403548,23.18929677,999.9,0,0,9998.244516,0,382.6987742,199.9916774,0.900060516,0.099939477,0,934.2683226,5.00022,2027.804194,1797.695161,35.31206452,39.909,36.92919355,38.21554839,37.4756129,175.5041935,19.48870968,0,142,0,933.9724615,-29.73558976,-58.25641032,2027.250769,15,1693245540,10:58:59,1693245537,1693245540,59,-0.076,0.001,-0.468,0.074,410,16,0.38,0.06,100,100,-0.468,0.074,-0.882309894,0.000439478,2.00E-06,-3.80E-10,-0.058479451,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,2,2.1,1.073,2.57446,1.39771,2.27783,1.39526,2.56714,31.4115,14.4297,18,586.864,394.181,23.4904,24.2364,30.0003,24.04,24.3919,21.4861,0,100,-999.9,410,56.859,99.1732,93.7544
59,1693245613,9203.6,20230828 11:00:12,11:00:12,5,,Transgenic,59,LCOR-156,,,1693245605,0.002302583,2.302582871,9.728661543,399.3608387,325.3452848,33.02945602,40.54360666,0.237031742,2.95388478,0.226949179,0.142713375,33.04896036,23.87672414,23.2459,2.861962781,60.94030633,1.855880929,3.045407942,1.006081852,-101.5439046,164.4074761,11.62695018,107.539482,9.728661543,2.302582871,9.601175447,416.7257164,406.9554788,0.002880876,67.25444701,2.453121449,16.02552515,18.38910788,0.008251636,78.55,19,3,1,0,54105.64999,-,0,0,0,#DIV/0!,0.5,RECT-796-20230828-11_00_09,8127.94,1013.4976,2922.54,0.653213438,0.5,168.584465,9.728661543,55.06081895,0.054742064,-1,#DIV/0!,DARK-797-20230828-11_00_16,-9732.87,-9732.87,4.330277772,0.15084793,-0.300275253,0.653213438,#DIV/0!,-1.448630259,2.448630259,199.9993548,168.584465,0.842925044,0.165245335,6,0.5,0: Broadleaf,2,FALSE,1693245605,399.3608387,410.0085161,18.28071613,16.02034194,399.9308387,18.20771613,600.0307419,101.4211935,0.100044223,24.2782871,23.2459,999.9,0,0,9997.302581,0,360.2445161,199.9993548,0.899990613,0.100009368,0,1014.295161,5.00022,2204.472258,1797.725161,35.643,40.292,37.6226129,39.27383871,37.88093548,175.4967742,19.5,0,97.5,0,1013.4976,-55.52230777,-105.3253848,2202.9872,15,1693245644,11:00:43,1693245644,1693245638,60,-0.102,-0.003,-0.57,0.073,410,16,0.26,0.04,100,100,-0.57,0.073,-0.958650676,0.000439478,2.00E-06,-3.80E-10,-0.057953623,-0.011920631,0.001912794,-4.02E-05,23,2006,0,18,1.3,1.2,1.073,2.58179,1.39771,2.27783,1.39526,2.59888,31.477,14.4122,18,578.706,394.29,23.6297,24.3042,30.0004,24.0936,24.4456,21.4852,0,100,-999.9,410,56.859,99.1572,93.742
